time,open,close,high,low,volume,turnover
1744848000,10.243,10.084,10.308,10.08,20161.40720116,205155.41090054036
1744891200,10.084,10.048,10.153,10,26939.9078,271155.5716847
1744934400,10.048,10.16,10.16,10.023,11743.6317,118528.5866905
1744977600,10.159,10.018,10.16,10,19887.8652,200151.4459
1745020800,10.018,9.953,10.049,9.943,13076.2324,130788.34198
1745064000,9.953,10.021,10.027,9.948,11241.033,112334.3309356
1745107200,10.022,9.819,10.029,9.802,11374.1869,112989.0698037
1745150400,9.816,9.841,9.842,9.695,18040.339,176281.4351558
1745193600,9.841,10.006,10.036,9.839,18793.77767679,187902.15346339566
1745236800,10.004,9.809,10.02,9.769,25612.0061,253603.6278464
1745280000,9.808,9.86,9.989,9.667,48752.7377,481638.3833213
1745323200,9.86,10.174,10.174,9.833,48653.78758057,486949.94097492047
1745366400,10.174,10.303,10.32,10.161,39184.1637,401784.0481774
1745409600,10.303,10.396,10.4,10.253,26531.5871,274254.7762328
1745452800,10.396,10.306,10.4,10.24,18824.6921,194369.1519172
1745496000,10.306,10.395,10.4,10.289,16503.4602216,170999.2792390464
1745539200,10.392,10.491,10.5,10.291,23980.67075865,249513.0748294389
1745582400,10.491,10.527,10.56,10.434,22533.3672,237047.8429629
1745625600,10.53,10.449,10.56,10.446,9713.9251,102313.044271
1745668800,10.449,10.544,10.55,10.449,10097.0434,106056.3994338
1745712000,10.545,10.518,10.63,10.498,15649.2176,165047.6503107
1745755200,10.518,10.515,10.555,10.48,12687.6013,133301.8283229
1745798400,10.515,10.61,10.628,10.48,14265.8614,150261.8515024
1745841600,10.61,10.632,10.639,10.486,13071.7681,138252.3679964
1745884800,10.632,10.679,10.681,10.607,15297.7299,162760.6885319
1745928000,10.68,10.633,10.72,10.603,11940.90666124,127365.70456277808
1745971200,10.633,10.745,10.746,10.633,16707.484,178917.9680751
1746014400,10.745,10.8,10.8,10.676,16145.91490036,173101.39827630147
1746057600,10.8,10.837,10.87,10.747,19443.36916622,210254.9391813382
1746100800,10.837,10.731,10.865,10.72,18884.8691,203637.7427014
1746144000,10.73,10.749,10.765,10.72,6578.0002,70640.269103
1746187200,10.749,10.797,10.816,10.733,10959.1404,118166.5057204
1746230400,10.798,10.775,10.813,10.758,9289.32855589,100234.47307485009
1746273600,10.776,10.751,10.801,10.72,10982.6608,118231.8113806
1746316800,10.747,10.704,10.768,10.703,9253.0712,99313.8733469
1746360000,10.703,10.698,10.715,10.676,8168.5354,87357.7533938
1746403200,10.698,10.696,10.761,10.676,10789.7017,115515.5510863
1746446400,10.694,10.776,10.786,10.676,8176.9405,87613.5098033
1746489600,10.776,10.681,10.8,10.676,12332.15652989,132483.96540027135
1746532800,10.683,10.788,10.799,10.651,13515.6032,145084.0104767
1746576000,10.789,10.79,10.8,10.738,9648.9876,104007.9219307
1746619200,10.79,10.767,10.796,10.7,8367.7387,89947.3780699
1746662400,10.767,10.878,10.886,10.767,29250.60688169,316969.20751347031
1746705600,10.881,11.041,11.12,10.865,60573.3115,666197.1445838
1746748800,11.04,11.158,11.24,10.976,73218.5229428,814008.4477307268
1746792000,11.158,11.166,11.2,11.041,29975.158,333940.2327799
1746835200,11.166,11.184,11.239,11.12,24794.3223,277643.8069915
1746878400,11.185,11.359,11.36,11.17,29789.0517,335582.3317547
1746921600,11.359,11.323,11.36,11.236,24413.37029182,275600.9112652773
1746964800,11.323,11.3,11.335,11.2,17540.3434,197759.8235922
1747008000,11.3,11.272,11.376,11.237,32955.2746,372743.4867673
1747051200,11.271,11.351,11.438,11.236,46522.23311851,526426.26649197836
1747094400,11.351,11.342,11.36,11.236,24181.25359131,273471.67022195903
1747137600,11.342,11.43,11.44,11.26,38303.9871,435271.9946242
1747180800,11.43,11.433,11.446,11.329,30001.4627,341973.9015597
1747224000,11.432,11.429,11.44,11.315,21271.7572,242623.1348729
1747267200,11.429,11.616,11.616,11.306,108308.8221,1237786.548979
1747310400,11.616,11.93,11.95,11.586,117301.9606,1384285.6390143
1747353600,11.93,12.034,12.076,11.91,53681.9439,644170.5840618
1747396800,12.03,11.947,12.098,11.936,37466.6054,450760.880097
1747440000,11.949,11.844,11.954,11.82,27897.6964,331627.978382
1747483200,11.844,11.492,11.849,11.44,93912.18682323,1086763.26385798725
1747526400,11.493,11.555,11.586,11.454,13121.498,151415.7607304
1747569600,11.555,11.645,11.65,11.508,42832.3713,495257.0367944
1747612800,11.644,11.594,11.655,11.446,25761.9353,297237.197184
1747656000,11.594,11.735,11.76,11.572,36112.442,421678.4581744
1747699200,11.735,11.693,11.796,11.68,17750.81486115,208547.29736071965
1747742400,11.694,11.85,11.852,11.68,33942.6054,399516.3388701
1747785600,11.85,11.454,11.852,11.448,77331.3685,899316.1807415
1747828800,11.454,11.339,11.497,11.28,63291.2682,719968.6010028
1747872000,11.341,11.482,11.52,11.321,53272.95146556,608878.39268668732
1747915200,11.483,11.512,11.52,11.423,25571.9443,293438.1650035
1747958400,11.511,11.456,11.581,11.44,32549.91363377,373966.01972840711
1748001600,11.455,11.384,11.506,11.376,24473.3335,279664.8558607
1748044800,11.382,11.514,11.515,11.382,11326.3132,129928.5369161
1748088000,11.514,11.182,11.515,11.096,50715.12118149,571756.18435842164
1748131200,11.182,11.169,11.2,11.097,14229.2121,158984.9154357
1748174400,11.171,11.269,11.269,11.136,16725.89,187492.1623945
1748217600,11.269,11.219,11.301,11.166,68188.8905,766140.4059687
1748260800,11.219,11.278,11.28,11.174,152042.3049,1706727.8035651
1748304000,11.278,11.306,11.306,11.224,69039.2998,778502.4983475
1748347200,11.306,11.354,11.36,11.264,152285.92951822,1724668.63849548768
1748390400,11.354,11.358,11.36,11.314,104954.3584,1191093.3170246
1748433600,11.358,11.364,11.376,11.282,224876.8428,2550450.0566517
1748476800,11.364,11.332,11.44,11.309,141625.5123,1606701.2547533
1748520000,11.332,11.298,11.34,11.28,169332.78484027,1915317.705555351
1748563200,11.298,11.336,11.341,11.26,244391.1321,2763443.7829822
1748606400,11.336,11.211,11.36,11.2,324785.54705763,3659649.76813451883
1748649600,11.21,11.258,11.271,11.2,205213.5074,2306091.006115
1748692800,11.258,11.249,11.281,11.235,126748.6654,1427708.6006794
1748736000,11.249,11.25,11.281,11.205,190959.4005,2148025.2983461
1748779200,11.249,11.325,11.376,11.211,243912.4168,2761007.5785007
1748822400,11.325,11.245,11.376,11.243,136972.0618,1550854.3015125
1748865600,11.246,11.233,11.325,11.2,99729.7845,1122949.2972343
1748908800,11.232,11.232,11.244,11.199,110296.8695,1238092.5731392
1748952000,11.232,11.194,11.267,11.168,119523.2324,1340712.4570756
1748995200,11.194,11.168,11.223,11.166,135154.8528,1511486.4194242
1749038400,11.168,11.154,11.2,11.124,197916.4807,2211973.1300058
1749081600,11.154,11.154,11.179,11.123,133398.2937,1488269.9027615
1749124800,11.154,11.104,11.177,11.04,149146.73921484,1655610.86653804312
1749168000,11.101,11.156,11.164,11.055,89299.749,992802.2328347
1749211200,11.156,11.066,11.166,11.04,137492.356,1524835.4101168
1749254400,11.065,11.059,11.095,11.04,89701.8675,992737.2368211
1749297600,11.059,11.109,11.147,11.059,126490.00252753,1403955.61914282065
1749340800,11.109,11.064,11.133,11.038,38982.47399109,431456.19243783066
1749384000,11.064,11.084,11.099,11.057,38399.5566,425462.4415491
1749427200,11.081,11.166,11.166,11.051,121633.3541,1352072.8570918
1749470400,11.166,11.359,11.36,11.106,147718.44177165,1658748.6317141006
1749513600,11.359,11.36,11.361,11.312,74585.7263,846250.4050543
1749556800,11.361,11.422,11.428,11.259,111203.6351,1261360.8569243
1749600000,11.421,11.368,11.44,11.353,174919.563,1995961.2378343
1749643200,11.372,11.409,11.442,11.351,193800.5664,2208773.6869363
1749686400,11.408,11.381,11.425,11.364,58113.5806,662996.3530104
1749729600,11.381,11.319,11.389,11.28,70431.6235,798070.905805
1749772800,11.318,11.214,11.318,11.166,403198.6619,4523079.6229397
1749816000,11.215,11.276,11.28,11.169,157652.4252,1771053.4241419
1749859200,11.275,11.191,11.28,11.179,35896.7523,403797.578955
1749902400,11.192,11.219,11.232,11.12,47146.545,527566.8881063969
1749945600,11.22,11.131,11.236,11.096,92334.0136,1032332.3709848
1749988800,11.131,11.19,11.2,11.117,94364.86818292,1054742.23308285304
1750032000,11.191,11.162,11.28,11.153,117921.3872,1323717.4246114
1750075200,11.162,11.128,11.25,11.12,72568.8651,812115.5685863
1750118400,11.127,11.153,11.215,11.12,109779.0865,1224885.1570845
1750161600,11.151,11.079,11.159,11.04,107388.4759,1190983.1842161
1750204800,11.078,11.126,11.166,11.04,57672.9232,640712.0441387
