time,open,close,high,low,volume,turnover
1516924800,7.200001,7.835294,7.992,6.53,65808.1609,461817.17726121
1517011200,7.7,10.38,10.55,7.53,84099.6488,771766.52912916
1517097600,10.38,10.71,12.393699,9.7764,120924.6276,1329610.3863618
1517184000,10.666005,9.450003,11.014986,9.31,48704.8123,479721.87179702
1517270400,9.44,8.1,9.72099,7.6,71046.481,602831.10220091
1517356800,8.1,8.041005,8.48999,7.600002,36881.8175,298290.75999485
1517443200,8.100007,7.33,8.479988,6.64,71615.532,524484.12597623
1517529600,7.3,6.699983,7.5,5.1,134765.1674,830385.81258959
1517616000,6.699937,7.85996,8.1,6.1153,62748.3675,459600.10631838
1517702400,7.548218,6,7.89,5.585,77506.8774,510662.23896527
1517788800,5.989668,4.514084,6.38,4.03,147381.6059,716573.12381767
1517875200,4.689697,5.719001,5.979997,3.4128,249838.3618,1096723.03679008
1517961600,5.719001,5.19,6.516378,4.800001,128490.0532,739395.51095822
1518048000,5.21,5.850001,6.25,5.170011,90274.8846,525048.92702097
1518134400,5.785,5.801016,6.089994,5.2,82073.9766,462405.15251932
1518220800,5.91854,5.6,6.479995,5.194,89058.2194,517394.03702955
1518307200,5.600003,5.15,5.649987,5.001,53151.1379,285107.52581339
1518393600,5.150001,5.742919,5.893351,5.13,40976.1928,227831.90137129
1518480000,5.774989,5.392108,5.79,5.3,34620.281,191717.90236126
1518566400,5.400108,5.729995,5.917455,5.400108,45328.0191,259002.95442644
1518652800,5.68,5.901104,6.260001,5.6,62775.3864,365990.1234668
1518739200,5.901109,5.906004,6.048616,5.75,28629.8969,167489.86642562
1518825600,5.787601,5.74,5.999488,5.61,53644.1476,311730.05117232
1518912000,5.77,5.497896,5.9,5.384989,60467.9526,336868.05291233
1518998400,5.46,5.15,5.70005,4.5,48012.941,251257.53914364
1519084800,5.140996,4.4,5.3134,4.4,48118.1921,234493.24231164
1519171200,4.4,4.424931,4.783297,4.11,37769.7616,165430.26549187
1519257600,4.24931,4.169989,4.484362,4,26108.609,108930.07043036
1519344000,4.110175,4.67,4.679998,4.060004,32348.0657,143566.43046251
1519430400,4.67,4.315046,4.84,4.235,17153.8872,76891.81571686
1519516800,4.25,4.699551,4.75,4.235001,30526.2606,137208.55949313
1519603200,4.574551,4.65008,4.896796,4.34,22425.0391,105045.23548149
1519689600,4.65008,4.479518,4.724797,4.3712,24267.2696,110568.61345139
1519776000,4.420001,4.185007,4.675,4.1234,19247.1745,83161.67958073
1519862400,4.15022,4.26,4.332543,4.123411,15174.0823,63615.29842991
1519948800,4.26,4.237036,4.37,4.1241,16755.2903,70599.69845296
1520035200,4.134,3.746242,4.339883,3.6,30600.8664,120035.53327423
1520121600,3.695025,3.857005,4.1,3.615819,20068.5623,77354.29354021
1520208000,3.888888,3.7,3.949175,3.650002,17020.398,63938.0918515
1520294400,3.7,3.244873,3.819996,3.2,33288.1061,115230.10102241
1520380800,3.244867,3.238498,3.447992,2.800002,55926.5388,171824.60790378
1520467200,3.206863,3.02,3.350338,2.968858,36330.0237,112914.898016
1520640000,3.162651,3.075496,3.365,3.017244,31999.5045,103707.32154977
1520726400,3.03014,3.229979,3.49,2.95,21502.5597,67902.20715446
1520812800,3.229981,3.372211,3.47,3.10008,13564.6045,44814.16956318
1520899200,3.37148,3.249837,3.42621,3.182403,24038.0677,79715.49257886
1520985600,3.349996,2.76,3.391,2.699999,60743.63,175620.80164585
1521072000,2.797068,2.652359,2.797086,2.25,45689.3332,115635.65310401
1521158400,2.652359,2.429996,2.689714,2.25,38797.3075,93219.91324186
1521244800,2.353028,2.177807,2.429997,2.05,36980.245,81472.06487938
1521331200,2.177807,2.289756,2.301793,1.824835,85962.2963,174194.14218072
1521417600,2.289746,2.729999,2.810582,2.222898,54256.2621,137692.54369078
1521504000,2.700115,3.11,3.2385,2.5949,40200.3836,115516.24079049
1521590400,3.05,2.880416,3.2,2.81,37217.2075,112048.79619404
1521676800,2.879124,2.735438,3.1089,2.703,32508.6909,93052.56276892
1521763200,2.735006,2.995812,2.995816,2.6,16811.0069,45983.61048222
1521849600,2.822084,2.88,3.05,2.822084,21118.6439,62514.17903357
1521936000,2.88,3.0001,3.029989,2.8156,11521.6291,33365.54776852
1522022400,3.029989,2.749681,3.04,2.530207,36267.9804,99636.54064122
1522195200,2.529998,2.635595,2.6406,2.470197,16467.0019,42413.31350355
1522281600,2.632959,2.263063,2.632959,2.25,39652.4198,94098.54592766
1522368000,2.265406,2.213073,2.4,2.149,47941.2134,107334.6861692
1522454400,2.249997,2.244688,2.360239,2.226933,16703.2821,38338.57032571
1522540800,2.266999,2.240114,2.305167,2.1158,11211.3034,24861.06351577
1522627200,2.240517,2.28468,2.35,2.2101,18286.6199,41786.27689636
1522713600,2.28468,2.500201,2.500201,2.262675,30543.8865,73707.22713418
1522800000,2.534091,2.276661,2.534092,2.2,26987.1802,63254.62554986
1522886400,2.29141,2.196757,2.29141,2.15,25170.444,55700.90181813
1523059200,2.083244,2.203774,2.279996,2.083244,13764.1806,30191.50158451
1523145600,2.20147,2.38,2.449,2.189996,43441.4317,100779.15086696
1523232000,2.382382,2.364,2.573483,2.27,28629.9372,68532.89775897
1523318400,2.364,2.489999,2.5099,2.307055,16546.3871,40125.36447833
1523404800,2.49,2.730041,2.85,2.46,17433.9254,45360.18258947
1523491200,2.730143,3.233237,3.27845,2.699896,59375.7271,174520.00974904
1523577600,3.278448,3.012102,3.5,3.003003,56861.2352,185667.2713711
1523664000,3.057284,3.149799,3.34398,3,30514.287,96203.77191396
1523750400,3.178143,3.295527,3.32,3.0551,41852.8086,135260.24987083
1523836800,3.301522,3.169998,3.32,3.061,34899.7762,111016.69119764
1523923200,3.169987,3.0275,3.19,3.0275,27298.0307,84830.17273136
1524009600,3.04,3.097801,3.139268,3.02,26479.0106,81189.24986374
1524096000,3.077401,3.266416,3.30002,3.077401,47169.4571,151584.97796633
1524182400,3.266516,3.47,3.4899,3.22,51359.9829,171036.91201682
1524268800,3.469999,3.58,3.633,3.288609,36258.0305,126029.27840203
1524355200,3.595083,4.099228,4.373,3.595083,55917.873,226362.36509888
1524441600,4.093975,4.914915,5,4.025822,34474.7699,152166.63369144
1524528000,4.826353,5.11,5.130113,4.57,56373.8359,279540.5170327
1524614400,5.1,4.209977,5.1,3.800001,173478.8141,744470.43748217
1524700800,4.185004,4.53376,4.538778,4.060115,46474.5068,199046.39635623
1524787200,4.51376,4.329906,4.6,4.155408,55828.9638,244984.0881296
1524873600,4.221249,4.442124,4.49,4.221249,19211.3232,84682.18485671
1524960000,4.442124,4.351986,4.5388,4.259898,30850.603,135527.72096957
1525046400,4.351986,4.079283,4.4,4.00001,26802.6199,111879.48750577
1525132800,4.032513,4.090779,4.1,3.86,27783.9005,110166.35335421
1525219200,4.07,4.1381,4.20126,3.8499,16874.406,67440.21837119
1525305600,4.07,4.600399,4.63,3.953319,56154.4434,237943.65302469
1525392000,4.589001,4.735,4.81,4.354567,28568.9152,131890.53530169
1525478400,4.72,4.72182,4.899999,4.535,27152.1366,128894.50208477
