time,open,close,high,low,volume,turnover
1775654400,9.2314,9.2363,9.2386,9.23,1076.7681,9943.29693248
1775655000,9.2378,9.1777,9.2719,9.1754,11782.166000000001,108628.08344378
1775655600,9.1837,9.2062,9.2078,9.1541,14283.3193,131166.50765912002
1775656200,9.2061,9.1549,9.2076,9.1424,14075.3553,129084.26154735
1775656800,9.152,9.1046,9.17,9.1015,6735.1777,61562.49655991999
1775657400,9.1013,9.1031,9.1507,9.1012,12123.0167,110665.74605894
1775658000,9.1047,9.0843,9.1158,9.0833,10565.699200000001,96131.87602098001
1775658600,9.0852,9.0278,9.0918,8.9938,18810.300300000003,169813.77776258
1775659200,9.0275,9.0151,9.0379,8.9775,12594.967,113482.44846208999
1775659800,9.0085,8.9994,9.0085,8.97,13274.3741,119348.27592726
1775660400,8.9967,8.9905,9.0208,8.9879,10379.8695,93460.59379054999
1775661000,8.9907,9.0322,9.0322,8.9781,9619.1117,86596.44864289
1775661600,9.029,9.0112,9.0409,9.0084,5629.4002,50807.59183553
1775662200,9.0113,9.0403,9.0445,9.0041,11662.5872,105271.21730294
1775662800,9.0357,9.041,9.0435,9.0183,7028.9818,63482.48679063
1775663400,9.0362,9.0306,9.0434,9.0193,9378.8108,84691.16591288999
1775664000,9.0262,9.0308,9.0446,9.0258,2479.3984,22404.18915635
1775664600,9.0328,9.0526,9.0526,9.0282,2735.3384816899998,24717.552166649995
1775665200,9.0494,9.0434,9.055,9.04,2770.3592,25064.49847237
1775665800,9.0399,9.0434,9.0443,9.0248,4364.944100000001,39439.11471754
1775666400,9.0462,9.0635,9.0668,9.0417,5034.9154,45597.58560806
1775667000,9.0623,9.0663,9.0785,9.0528,3630.0852,32915.36775314
1775667600,9.066,9.0775,9.0864,9.0651,6920.2755,62794.76324819
1775668200,9.0796,9.0749,9.0908,9.0713,3415.7612,31014.53931195
1775668800,9.0747,9.0559,9.0759,9.0405,8071.8418,73136.52200511
1775669400,9.0568,9.0956,9.1168,9.0482,7453.260399999999,67674.58191581
1775670000,9.0924,9.0954,9.1022,9.0815,3191.2286,29007.594962130002
1775670600,9.0951,9.1022,9.1022,9.0872,4310.9202000000005,39202.832491969995
1775671200,9.103,9.0826,9.103,9.0787,7252.1131000000005,65898.07243422
1775671800,9.0795,9.0467,9.0812,9.0344,3066.181,27759.53848826
1775672400,9.05,9.0193,9.05,9.0173,8715.6459,78698.92890065
1775673000,9.0234,9.0271,9.0438,9.0219,2883.1676,26039.04983604
1775673600,9.0183,8.9949,9.0202,8.9942,5387.9345,48535.8757685
1775674200,8.9948,8.9608,8.9961,8.9608,5897.6528,52981.65298839
1775674800,8.9606,8.9615,8.9742,8.9467,3561.3613,31912.99107016
1775675400,8.9663,8.9581,8.9794,8.9542,3853.7055,34556.116712970004
1775676000,8.9539,8.9403,8.9631,8.9389,2073.4202999999998,18564.06873049
1775676600,8.9412,8.9653,8.97,8.9363,5649.8326,50569.2936395
1775677200,8.9647,8.9711,8.9747,8.9482,3562.6488,31928.09941817
1775677800,8.9717,8.9883,8.9883,8.9682,3603.4156000000003,32349.05210464
1775678400,8.9905,8.9871,9.0077,8.987,2366.6247,21287.988294220002
1775679000,8.9864,8.9889,8.9975,8.9864,1397.0897,12560.098601869999
1775679600,8.9888,8.9828,8.9894,8.9801,1627.5342999999998,14623.671459320001
1775680200,8.9871,8.9644,8.9871,8.9566,1154.0422,10353.21809814
1775680800,8.959,8.9617,8.9647,8.9557,3853.3328,34526.525783439996
1775681400,8.9657,8.9725,8.9725,8.9583,1286.9859000000001,11540.32220341
1775682000,8.9745,8.9758,8.9797,8.9683,1287.5973,11555.65410204
1775682600,8.9804,9.0065,9.0137,8.9804,5647.217500000001,50851.21143997
1775683200,9.008,9.0221,9.0357,9.0064,11117.746500000001,100304.29183054
1775683800,9.0221,9.0229,9.0266,9.0052,17202.977600000002,155140.76103853
1775684400,9.0216,9.0063,9.0236,8.9997,6422.525799999999,57868.034653409995
1775685000,9.007,9.0096,9.0096,9.0002,4249.6357,38268.94060775
1775685600,9.0136,8.9975,9.0136,8.9864,8079.5111,72684.29412025999
1775686200,8.9983,8.9747,9.0003,8.9725,5846.7357,52534.119210970006
1775686800,8.9706,8.9333,8.9729,8.9308,10525.790700000001,94246.89468027
1775687400,8.9367,8.9683,8.978,8.9179,9485.9548,84941.06660925
1775688000,8.9671,8.9635,8.9691,8.9536,4643.146199999999,41605.66452804
1775688600,8.9631,8.9251,8.9664,8.9243,2123.1303,18983.56629505
1775689200,8.9229,8.8766,8.9229,8.8701,7635.3214,67851.7308345
1775689800,8.8749,8.8951,8.9148,8.8749,4935.1619,43933.42703975
1775690400,8.8968,8.8561,8.9013,8.8397,8250.5055,73134.63836844
1775691000,8.8563,8.8569,8.8742,8.8417,8259.9493,73167.31181413001
1775691600,8.8575,8.8653,8.8663,8.8515,5818.1080999999995,51530.39439036
1775692200,8.8645,8.86,8.8716,8.854,5324.7257,47183.147887340005
1775692800,8.8579,8.841,8.8614,8.8335,11012.6113,97421.66236684
1775693400,8.8397,8.8328,8.8521,8.8231,6993.108399999999,61832.4618739
1775694000,8.8322,8.7923,8.8364,8.788,9079.99,80067.18141563
1775694600,8.7927,8.764,8.7987,8.764,8568.630799999999,75240.28582694
1775695200,8.7643,8.7725,8.7725,8.7511,4822.206099999999,42242.01468743
1775695800,8.7679,8.7725,8.7845,8.7572,2382.9583000000002,20916.045211919998
1775696400,8.7707,8.7308,8.776,8.7078,9723.4787,85047.47849092
1775697000,8.7329,8.7246,8.7464,8.7159,6961.1484,60798.32873594
1775697600,8.7215,8.6991,8.7289,8.6933,6894.0346,60009.06444865
1775698200,8.7,8.7164,8.7494,8.6926,4512.2457,39364.76718677
1775698800,8.7178,8.732,8.732,8.7096,5441.5925,47440.202573400005
1775699400,8.7318,8.7544,8.7544,8.7293,4435.3177,38782.31543282
1775700000,8.7501,8.7566,8.7657,8.7475,4766.1247,41737.79022076
1775700600,8.7509,8.7638,8.7644,8.734,3876.8124,33925.27238301
1775701200,8.7695,8.7765,8.7801,8.7576,2655.2317000000003,23280.11495594
1775701800,8.7733,8.7716,8.7797,8.7618,3636.0708,31906.951878940003
1775702400,8.7661,8.7647,8.7718,8.7477,2261.3665,19807.33806099
1775703000,8.7714,8.7699,8.7775,8.767,1488.2493,13054.26999468
1775703600,8.7701,8.7701,8.7804,8.7662,2328.2394,20425.29172562
1775704200,8.7683,8.769,8.7724,8.7618,2040.0132,17887.55569891
1775704800,8.7693,8.7518,8.777,8.7417,5062.121999999999,44331.37268102
1775705400,8.7544,8.7611,8.7699,8.7536,2632.411,23066.612455410002
1775706000,8.7604,8.752,8.7604,8.7347,2895.8449,25334.22823111
1775706600,8.7574,8.7607,8.7645,8.7566,3772.3516,33048.6740301
1775707200,8.7617,8.7519,8.7617,8.7498,3173.3239000000003,27779.24004074
1775707800,8.751,8.7611,8.7689,8.751,2377.0304,20827.2238197
1775708400,8.7596,8.7625,8.7692,8.7536,942.6505,8257.93550876
1775709000,8.7635,8.7949,8.7949,8.7635,2473.9121,21734.53216421
1775709600,8.7901,8.7669,8.792,8.7657,5472.953,48064.477655740004
1775710200,8.7658,8.7668,8.7723,8.7643,1217.6497,10675.02558165
1775710800,8.7659,8.7674,8.7741,8.7568,3186.576,27936.549840109998
1775711400,8.765,8.7738,8.7743,8.7593,1595.441,13986.19850242
1775712000,8.7806,8.7753,8.7821,8.77,1821.1385,15981.72755865
1775712600,8.779,8.7938,8.7938,8.7771,3380.4287,29689.915286620002
1775713200,8.7961,8.7621,8.7961,8.7611,1861.6461,16344.919011099999
1775713800,8.7619,8.7626,8.7627,8.7506,1677.2517,14687.572030759999
1775714400,8.7654,8.7839,8.7914,8.7647,4458.1185000000005,39159.103993669996
1775715000,8.7821,8.7609,8.7828,8.7609,1422.8498,12489.31549045
1775715600,8.7588,8.7631,8.7646,8.756,346.4579,3034.84743792
1775716200,8.763,8.7743,8.7744,8.7577,1489.5251,13059.89220816
1775716800,8.7698,8.766,8.7711,8.7605,1661.0468,14562.31307035
1775717400,8.7647,8.7733,8.7757,8.7631,464.83050000000003,4076.12422961
1775718000,8.7802,8.7977,8.7977,8.7802,954.6342,8389.41918584
1775718600,8.7986,8.7842,8.8003,8.782,1058.3663,9302.01819323
1775719200,8.7849,8.7707,8.7849,8.7707,1152.2975000000001,10113.53632759
1775719800,8.7694,8.7701,8.7775,8.7684,1226.8232,10760.39405752
1775720400,8.763,8.7603,8.7652,8.7517,661.5045,5793.1100208299995
1775721000,8.7582,8.7578,8.7637,8.7572,1070.511,9377.74476669
1775721600,8.7575,8.764,8.7785,8.7509,2908.272,25477.157649679997
1775722200,8.7546,8.7453,8.7575,8.7378,4438.2089,38815.65289703
1775722800,8.7452,8.7556,8.7609,8.7452,3176.0164,27796.40685489
1775723400,8.7591,8.7754,8.7792,8.7589,1516.5979,13304.42901797
1775724000,8.7717,8.7789,8.7902,8.7717,4601.431500000001,40409.8346016
1775724600,8.7777,8.7735,8.7823,8.7574,3374.7852000000003,29589.1953312
1775725200,8.7746,8.7584,8.7746,8.755,1764.5668999999998,15463.361645680001
1775725800,8.7601,8.7847,8.7877,8.7585,1637.3224999999998,14365.881057039998
1775726400,8.7849,8.7704,8.7849,8.7652,812.0359000000001,7123.9016772899995
1775727000,8.7687,8.7628,8.7831,8.7618,1709.8779,14996.009811790002
1775727600,8.76,8.7717,8.7717,8.7587,984.5256999999999,8625.57126081
1775728200,8.7693,8.7922,8.8053,8.7693,1265.8675,11119.67139655
1775728800,8.7924,8.7769,8.7936,8.7769,1657.5805999999998,14562.39080781
1775729400,8.7767,8.7849,8.7882,8.775,623.4435,5473.81937883
1775730000,8.789,8.7919,8.7945,8.789,1046.9466,9204.650561760001
1775730600,8.7886,8.7917,8.7968,8.7886,878.7522,7724.97653731
1775731200,8.7942,8.7892,8.8061,8.7892,1531.7401,13475.289282060001
1775731800,8.7893,8.7793,8.7927,8.7793,1273.9338,11193.80110571
1775732400,8.7761,8.7775,8.7848,8.7754,1477.3955,12969.562009910002
1775733000,8.7711,8.7601,8.7715,8.7509,6140.9126,53786.03004125
1775733600,8.7597,8.7551,8.7664,8.7511,11817.5919,103512.88304367001
1775734200,8.7553,8.7634,8.7647,8.7507,7473.2024,65446.22550519
1775734800,8.7663,8.7682,8.7723,8.7615,9886.1288,86683.76100825
1775735400,8.7686,8.7643,8.769,8.7616,5170.711499999999,45325.294663520006
1775736000,8.7646,8.7827,8.7843,8.7646,7614.16142188,66813.46695070571
1775736600,8.7819,8.7795,8.7903,8.7758,13844.8318,121629.14459077001
1775737200,8.7778,8.7845,8.7959,8.7601,4208.7498,36950.11013079
1775737800,8.7874,8.7835,8.7964,8.7721,14595.4686,128206.55089109001
1775738400,8.7832,8.7913,8.8135,8.7797,11909.3801,104744.63095788
1775739000,8.7903,8.7962,8.7998,8.7877,4964.7358,43656.62347457
1775739600,8.8086,8.7873,8.8092,8.7844,3607.2951000000003,31714.64938755
1775740200,8.785,8.7811,8.7905,8.7811,2128.819,18703.99585009
1775740800,8.7791,8.7735,8.7791,8.7641,3355.3296,29429.56404523
1775741400,8.7787,8.7532,8.7893,8.7399,7656.8959,67159.53119427
1775742000,8.7468,8.743,8.7617,8.7232,4217.3465,36876.493661960005
1775742600,8.7393,8.7385,8.7412,8.715,2717.6003,23726.472632719997
1775743200,8.742,8.7323,8.742,8.7203,2976.3157,25986.98389663
1775743800,8.7266,8.7162,8.7569,8.7148,3919.904,34250.60695257
1775744400,8.7193,8.711,8.7281,8.6921,5008.1124,43649.05004274
1775745000,8.7128,8.745,8.745,8.7106,2704.5505,23585.12577992
1775745600,8.7416,8.7828,8.7836,8.7409,5368.4974999999995,47043.04972022
1775746200,8.7806,8.7912,8.8009,8.7793,9700.490600000001,85255.69189841
1775746800,8.791,8.7522,8.7928,8.7522,4878.715200000001,42797.8227143
1775747400,8.7535,8.8236,8.8413,8.7532,8628.8221,75894.92631164
1775748000,8.8259,8.8082,8.8449,8.8054,6525.4452,57582.18270736
1775748600,8.7992,8.8957,8.9549,8.7992,14863.5627,132353.01471321
1775749200,8.8994,8.9356,8.9753,8.8988,16937.1557,151208.134074
1775749800,8.9336,8.9412,8.9616,8.9205,11085.651,99093.71991652
1775750400,8.9473,8.9489,8.9914,8.9456,9729.6978,87229.68744883
1775751000,8.9488,8.9848,8.9877,8.9488,8944.9745,80257.5868853
1775751600,8.9861,8.9431,8.9863,8.9392,9663.870599999998,86583.50508209999
1775752200,8.9421,8.8836,8.9421,8.8705,10005.654700000001,89256.4006197
1775752800,8.8877,8.8736,8.9114,8.8646,14553.8328,129339.03544762
1775753400,8.8732,8.941,8.9434,8.8732,10798.6122,96228.45264879
1775754000,8.9373,8.9883,8.9953,8.9346,13910.8518,124820.62276783
1775754600,8.9861,8.9944,9.0058,8.98,9801.3629,88155.41587373
1775755200,8.9954,8.9657,9.0042,8.9501,13191.2634,118344.68825969001
1775755800,8.965,9.009,9.0193,8.9317,7118.237999999999,63800.359444379996
1775756400,9.0012,9.0108,9.0212,8.9933,10561.121200000001,95168.60721761
1775757000,9.0026,9.0112,9.0203,8.9948,6808.8699,61306.041116039996
1775757600,9.0116,8.9699,9.018,8.9272,11101.4833,99495.03225839
1775758200,8.97,8.9569,8.9758,8.9433,9066.9097,81225.79302623999
1775758800,8.9562,8.9783,8.9861,8.9338,12132.4557,108632.97462572
1775759400,8.9752,8.9794,8.9842,8.9382,8584.5888,76969.77078945
1775760000,8.9805,8.9684,8.9843,8.9524,3491.7885,31316.14007907
1775760600,8.9708,8.964,8.9801,8.9586,1748.6605000000002,15683.2951751
1775761200,8.9621,9.0016,9.0062,8.9589,3276.0402999999997,29433.66763666
1775761800,9.0038,8.9794,9.0156,8.9767,6138.3969,55210.49867255
1775762400,8.9761,8.9662,8.9794,8.9501,6215.0193,55682.40401488
1775763000,8.9672,8.9895,8.9959,8.9672,9012.5634,80964.43953262
1775763600,8.9899,9.0224,9.0352,8.9899,8652.6811,77982.53878263
1775764200,9.0212,9.0069,9.0367,8.9936,5781.3595000000005,52120.12075209
1775764800,9.0066,9.0066,9.0138,8.9914,5739.6056,51680.171304029995
1775765400,9.0059,9.0225,9.023,8.9987,3946.9892,35554.33442531
1775766000,9.0217,9.0232,9.0395,9.0199,5435.7461,49095.51250731
1775766600,9.029,9.0243,9.0347,9.0149,1670.1267,15077.57194355
