time,open,close,high,low,volume,turnover
1744848000,12.3543,12.445,12.6915,12.3045,225089.3131153,2812991.06489019776
1744891200,12.449,12.5345,12.7012,12.2039,239459.9229,2998763.31701648
1744934400,12.5373,12.6283,12.719,12.4024,246517.16139723,3100816.784148166758
1744977600,12.6297,12.5631,12.657,12.4671,270091.8244,3396548.16008494
1745020800,12.5628,12.7591,12.93,12.5387,278613.892,3556676.65444385
1745064000,12.7589,12.9373,13.05,12.7057,198506.02014003,2555310.37917394262
1745107200,12.9347,12.9075,13.1372,12.8773,192566.668,2507008.25237409
1745150400,12.9086,13.2847,13.5989,12.9048,360472.4434,4795418.4623621
1745193600,13.2845,13.4496,13.6921,13.2597,268285.36999842,3627360.331356628334
1745236800,13.445,13.1043,13.5839,12.9657,237394.3407935,3136249.6871080201
1745280000,13.1044,13.4502,13.5196,12.8875,227100.7519,2999298.64772843
1745323200,13.4483,14.1313,14.1695,13.4028,422044.58868361,5837609.295108275482
1745366400,14.1314,15.0115,15.1477,14.02,383172.9504,5586857.6237797
1745409600,15.0226,15.0172,15.282,14.585,358156.87529993,5348058.88861387895
1745452800,15.0132,14.4322,15.11,14.1569,215479.3435,3138326.56224151
1745496000,14.4349,15.0542,15.1463,14.3654,231864.63998698,3445984.02736788647
1745539200,15.0568,15.1332,15.2958,14.708,213601.5763,3212752.01653498
1745582400,15.1515,14.9152,15.3541,14.8172,312552.47467966,4715651.57842478773
1745625600,14.9174,14.7719,15.2759,14.7372,165419.18766153,2489253.582126877809
1745668800,14.7727,14.8631,14.9714,14.6763,155137.98398885,2302792.5221287589
1745712000,14.8683,14.5264,15.0933,14.4353,219570.3032,3232524.33565625
1745755200,14.5257,14.5568,14.8199,14.3765,177052.4929,2583404.64118591
1745798400,14.5575,14.971,15.1093,14.2474,285283.6247,4218705.05854419
1745841600,14.9726,15.0197,15.1051,14.4178,236183.24385754,3490796.943942367131
1745884800,15.0249,15.0249,15.2341,14.8491,200732.0457,3027330.70484393
1745928000,15.0283,14.6037,15.0421,14.4812,209841.9097591,3114408.110584963405
