time,open,close,high,low,volume,turnover
1770692400,54.36,53.96,54.39,53.57,4328.784,233572.05401
1770696000,53.95,54.16,54.19,53.93,1929.087,104315.62237
1770699600,54.15,53.75,54.15,53.61,2577.516,138860.39515
1770703200,53.74,53.16,53.82,52.98,6997.701,374332.71437
1770706800,53.16,53.17,53.52,53.08,2822.721,150331.19407
1770710400,53.19,53.55,53.55,53.18,3413.771,182216.37559
1770714000,53.55,53.45,53.72,53.32,2719.536,145528.20443
1770717600,53.45,53.21,53.6,53.18,2568.394,137133.53087
1770721200,53.21,53.08,53.45,53.07,3659.189,194739.73395
1770724800,53.09,52.93,53.29,52.9,4078.56,216626.06837
1770728400,52.92,53.37,53.4,52.85,4378.045,232597.12963
1770732000,53.38,53.25,53.8,52.94,7062.979,376969.40713
1770735600,53.24,53.37,53.65,53.11,4994.693,266791.1603
1770739200,53.38,53.4,53.74,53.21,7029.483,376480.09115
1770742800,53.39,53.75,53.86,53.18,3468.36,185833.19841
1770746400,53.76,53.07,53.79,52.87,4521.297,240891.01159
1770750000,53.07,53.28,53.42,52.89,3251.848,172650.44369
1770753600,53.27,53.29,53.45,53.14,4048.577,215720.72348
1770757200,53.28,53.15,53.44,53,5226.702,278251.20448
1770760800,53.16,53.22,53.41,53.13,6404.072,340996.30333
1770764400,53.21,53.35,53.42,53.12,3133.986,166897.41765
1770768000,53.37,53.5,53.59,53.24,4522.733,241670.88357
1770771600,53.52,53.5,53.55,53.27,6953.473,371206.18603
1770775200,53.51,53.31,53.71,53.2,10365.294,554470.5446
1770778800,53.31,53.12,53.41,52.85,3893.453,207111.06423
1770782400,53.12,52.64,53.2,52.47,4130.397,217916.6813
1770786000,52.63,52.51,52.84,52.49,2009.467,105836.50772
1770789600,52.5,52.11,52.6,51.95,5538.041,288994.23695
1770793200,52.11,52.06,52.3,51.96,2816.51,146873.3218
1770796800,52.07,51.99,52.11,51.86,3864.426,200822.01103
1770800400,52,52.1,52.33,51.94,2733.92,142477.90011
1770804000,52.1,51.75,52.1,51.59,5331.82,276166.00854
1770807600,51.75,52.13,52.13,51.7,4180.864,217201.343
1770811200,52.14,52.23,52.51,52.06,2714.432,141919.66578
1770814800,52.24,52.53,52.59,51.99,6559.504,342905.15356
1770818400,52.55,51.74,53.49,51.55,9229.864,485009.76174
1770822000,51.73,51.22,51.96,51.03,8624.919,443797.69291
1770825600,51.22,51.24,52.07,51.15,7357.482,378775.48067
1770829200,51.23,51.66,51.93,51.11,4545.826,234622.70264
1770832800,51.68,52.36,52.5,51.44,5069.818,264302.22488
1770836400,52.37,52.24,52.54,52.11,3598.955,188354.95297
1770840000,52.24,52.24,52.4,51.92,3206.354,167390.57053
1770843600,52.25,52.63,52.9,52.18,4582.258,241014.31555
1770847200,52.64,52.35,52.75,52.28,3880.595,204033.36467
1770850800,52.35,52.31,52.52,51.98,5316.054,277492.78891
1770854400,52.31,52.71,52.87,52.31,6925.338,364358.50869
1770858000,52.71,52.85,53.15,52.71,4073.816,215451.1796
1770861600,52.84,52.73,52.9,52.61,3592.662,189555.61248
1770865200,52.75,52.85,52.86,52.6,1987.623,104845.44517
1770868800,52.85,52.82,53,52.72,3181.013,168091.12106
1770872400,52.82,52.93,52.97,52.61,3626.286,191589.74111
1770876000,52.93,53.21,53.36,52.93,1728.441,91785.96028
1770879600,53.22,53.33,53.33,53.01,3268.914,173793.47909
