time,open,close,high,low,volume,turnover
1776084000,52.96,52.87,52.96,52.87,65.213,3451.27748
1776084300,52.87,52.95,52.95,52.87,28.005,1482.36108
1776084600,52.96,52.98,53.03,52.95,181.759,9631.90472
1776084900,52.98,52.93,53,52.91,98.268,5201.32422
1776085200,52.95,52.98,53,52.95,47.343,2507.94567
1776085500,52.99,52.9,53,52.87,88.432,4680.49944
1776085800,52.91,52.99,52.99,52.91,71.739,3798.95301
1776086100,52.96,52.92,52.96,52.9,99.435,5262.58991
1776086400,52.92,52.91,52.93,52.89,70.264,3717.61572
1776086700,52.88,52.88,52.91,52.83,85.562,4525.29445
1776087000,52.89,52.96,52.97,52.89,488.031,25827.08396
1776087300,52.94,52.92,52.95,52.89,599.061,31700.45891
1776087600,52.92,52.9,52.99,52.87,95.449,5051.83305
1776087900,52.89,53.12,53.12,52.85,371.847,19688.12436
1776088200,53.12,53.04,53.15,52.99,205.473,10898.23683
1776088500,53.08,53.15,53.19,53.05,321.238,17069.9793
1776088800,53.16,52.99,53.16,52.95,576.558,30595.53465
1776089100,53.01,52.93,53.04,52.92,375.206,19883.09982
1776089400,52.89,52.93,52.95,52.88,117.523,6220.02455
1776089700,52.91,52.93,52.98,52.88,55.91,2958.90931
1776090000,52.93,52.9,52.97,52.8,236.216,12490.79391
1776090300,52.92,52.95,52.96,52.9,72.56,3840.67892
1776090600,52.96,53.02,53.02,52.96,68.518,3631.15037
1776090900,53.03,53.08,53.08,53.01,29.587,1569.12104
1776091200,53.08,53.21,53.23,53.05,138.328,7350.62885
1776091500,53.22,53.19,53.27,53.19,142.151,7566.02333
1776091800,53.19,53.24,53.24,53.12,183.688,9763.25025
1776092100,53.25,53.41,53.41,53.25,225.694,12034.6382
1776092400,53.4,53.23,53.4,53.23,153.682,8197.59541
1776092700,53.23,53.26,53.28,53.2,139.264,7415.40752
1776093000,53.26,53.2,53.26,53.19,64.713,3443.3628
1776093300,53.2,53.18,53.21,53.14,162.787,8658.19908
1776093600,53.18,53.16,53.22,53.16,100.468,5344.5012
1776093900,53.16,53.15,53.17,53.12,63.987,3400.70859
1776094200,53.12,53.06,53.12,53.03,463.871,24612.5739
1776094500,53.06,53.07,53.09,53.01,297.979,15813.66718
1776094800,53.07,53.06,53.07,53.04,53.368,2831.73719
1776095100,53.06,52.98,53.06,52.96,144.341,7654.70631
1776095400,52.97,52.97,52.98,52.94,162.9,8626.55734
1776095700,52.97,52.96,52.99,52.96,45.369,2403.22564
1776096000,52.94,52.82,52.94,52.82,356.712,18861.20535
1776096300,52.82,52.85,52.89,52.74,274.624,14505.38832
1776096600,52.85,52.89,52.89,52.84,55.462,2931.76559
1776096900,52.89,53,53,52.87,66.652,3527.65122
1776097200,53.02,53,53.02,52.95,117.141,6206.92778
1776097500,53.01,53.15,53.15,53.01,96.828,5135.68449
1776097800,53.16,53.14,53.19,53.14,62.837,3340.80197
1776098100,53.15,53.12,53.17,53.08,189.415,10064.15111
1776098400,53.13,53.15,53.18,53.08,133.711,7105.32598
1776098700,53.13,53.09,53.16,53.09,100.784,5353.4636
1776099000,53.1,53.1,53.16,53.09,145.047,7707.15589
1776099300,53.09,53.11,53.11,53.07,114.801,6095.53142
1776099600,53.12,53.09,53.12,53.05,161.345,8564.85153
1776099900,53.1,53.05,53.1,53.04,37.06,1967.21656
1776100200,53.08,53.06,53.14,53.06,83.177,4417.74402
1776100500,53.07,53.08,53.1,53.05,175.627,9319.78628
1776100800,53.09,53.08,53.09,53.07,105.846,5618.27535
1776101100,53.08,53.17,53.17,53.08,54.57,2897.29083
1776101400,53.2,53.22,53.27,53.18,289.212,15387.26874
1776101700,53.2,53.16,53.22,53.15,475.144,25273.64291
1776102000,53.15,53.15,53.19,53.1,509.477,27068.76594
1776102300,53.16,53.17,53.22,53.16,123.844,6585.57662
1776102600,53.16,53.12,53.16,53.08,198.176,10523.60847
1776102900,53.11,53.05,53.11,53.05,171.319,9092.16849
1776103200,53.04,53.06,53.06,53.01,282.35,14972.89514
1776103500,53.05,53.05,53.06,53.03,56.24,2983.09996
1776103800,53.03,53.02,53.06,53.02,43.384,2300.40986
1776104100,53,53.05,53.06,52.97,181.615,9631.25052
1776104400,53.06,52.96,53.07,52.96,67.379,3575.05641
1776104700,52.96,52.97,52.97,52.93,144.195,7636.13678
1776105000,52.97,53.04,53.04,52.97,112.084,5940.73094
1776105300,53.04,53.01,53.04,53,29.079,1541.60049
1776105600,53.02,53.04,53.04,53,35.212,1866.64835
1776105900,53.04,52.98,53.06,52.98,122.549,6497.09892
1776106200,53,53,53,52.98,54.439,2884.9393
1776106500,53.02,53.05,53.06,53.01,52.515,2785.33988
1776106800,53.06,53.09,53.09,53.06,101.023,5361.11058
1776107100,53.1,53.16,53.18,53.1,46.018,2445.59824
1776107400,53.16,53.11,53.16,53.11,79.599,4228.31274
1776107700,53.12,53.14,53.23,53.12,31.147,1655.91744
1776108000,53.15,53.22,53.25,53.15,65.118,3463.36166
1776108300,53.24,53.25,53.28,53.23,37.54,1998.87278
1776108600,53.25,53.3,53.32,53.25,212.19720981,11308.7423386768
1776108900,53.29,53.38,53.38,53.23,261.033,13909.97586
1776109200,53.39,53.39,53.41,53.36,75.45,4028.59481
1776109500,53.39,53.55,53.55,53.39,191.412,10240.45829
1776109800,53.56,53.68,53.69,53.55,244.2,13100.14377
1776110100,53.69,53.72,53.78,53.69,525.521,28236.12897
1776110400,53.73,53.64,53.74,53.59,185.498,9950.43994
1776110700,53.65,53.59,53.65,53.54,1048.296,56160.3992
