time,open,close,high,low,volume,turnover
1701302400,0.48,0.5396,0.58,0.48,1177264.8003,636554.04288856
1701388800,0.5397,0.5433,0.5497,0.5344,479174.9116,260688.29531598
1701475200,0.5459,0.5484,0.55,0.5399,310148.2508,169449.32779188
1701561600,0.5484,0.5435,0.5485,0.5374,572963.3945,311073.97126707
1701648000,0.5425,0.5978,0.599,0.5425,854062.7534,494723.94211333
1701734400,0.5958,0.5856,0.599,0.506,598285.4966,341260.28746439
1701820800,0.5851,0.6317,0.6468,0.5782,805661.6543,484231.82639702
1701907200,0.631,0.6416,0.6499,0.6154,514924.3535,323577.30796656
1701993600,0.642,0.6314,0.6564,0.6277,158012.5739,100992.27829931
1702080000,0.631,0.6115,0.6398,0.6111,109420.8332,68535.27580142
1702166400,0.6134,0.6074,0.6185,0.5902,74819.7844,45256.90243576
1702252800,0.6096,0.5807,0.6116,0.5621,158585.7962,92572.33219705
1702339200,0.5811,0.5817,0.6039,0.5757,90227.9541,53013.95031642
1702425600,0.5811,0.5898,0.5908,0.559,55998.614,32215.70873611
1702512000,0.587,0.6017,0.6049,0.5819,144388.1666,85508.415922
1702598400,0.6008,0.58,0.6022,0.5783,121255.0763,71798.85132589
1702684800,0.58,0.5849,0.5909,0.5799,55740.2235,32629.00345983
1702771200,0.585,0.5648,0.5865,0.5632,88016.95,50660.1435922
1702857600,0.5639,0.5706,0.5706,0.5402,115525.4092,63889.59679743
1702944000,0.5717,0.5617,0.631,0.5519,58194.7981,33441.28513943
1703030400,0.5621,0.5642,0.5781,0.5576,58277.5448,33190.20232308
1703116800,0.5642,0.5747,0.5803,0.563,56772.3557,32482.41173878
1703203200,0.5736,0.6049,0.6116,0.5649,87728.7733,52153.11504235
1703289600,0.6032,0.6242,0.6242,0.5739,94184.3341,56343.05960617
1703376000,0.6242,0.6251,0.6419,0.6115,106462.092,66681.30206912
1703462400,0.6251,0.6092,0.6252,0.6031,51942.5729,31804.71790901
1703548800,0.6081,0.5845,0.6098,0.5729,65839.1119,39026.97977307
1703635200,0.586,0.6224,0.6243,0.575,103056.8479,61088.78921345
1703721600,0.6242,0.6459,0.6491,0.6206,185351.0852,117652.05113629
1703808000,0.6463,0.6596,0.71,0.6294,605928.8203,395480.87653921
1703894400,0.6612,0.6594,0.7254,0.6364,428013.3992,283565.22358693
1703980800,0.6613,0.6436,0.7049,0.6379,305443.0937,200834.56570555
1704067200,0.6412,0.6433,0.6486,0.63,255764.3304,164074.64492969
1704153600,0.6433,0.6693,0.6809,0.6414,191041.6549,125853.82372294
