time,open,close,high,low,volume,turnover
1770926400,0.6108,0.6091,0.613,0.6091,12890.1916,7883.47046272
1770930000,0.6095,0.6101,0.6106,0.6087,3927.1608,2392.91455544
1770933600,0.6097,0.6109,0.6109,0.6077,5881.2618,3575.52618128
1770937200,0.6127,0.6127,0.6127,0.6127,23.4158,14.34686066
1770940800,0.6136,0.6069,0.6136,0.6051,11741.7839,7143.17164185
1770944400,0.6067,0.6103,0.6119,0.6067,4068.4168,2484.15976304
1770948000,0.6112,0.6103,0.612,0.6103,1536.1959,939.61110837
1770951600,0.609,0.6085,0.609,0.6085,515.7551,313.94560745
1770955200,0.6103,0.6096,0.6103,0.6092,810.7774,494.34506625
1770958800,0.6092,0.6105,0.6106,0.6083,566.817,345.93806749
1770962400,0.6095,0.6087,0.6095,0.6066,3867.4905,2352.29739915
1770966000,0.6085,0.6044,0.6093,0.6044,10403.4287,6321.77730892
1770969600,0.6046,0.6111,0.6112,0.6046,6648.0558,4047.79968868
1770973200,0.6115,0.6115,0.6126,0.6115,4178.8031,2556.33164939
1770976800,0.6111,0.6114,0.613,0.6111,230.537,141.20557543
1770980400,0.611,0.611,0.6119,0.6106,2742.3618,1676.53403941
1770984000,0.6117,0.6131,0.6131,0.6101,3919.2413,2395.25281104
1770987600,0.6145,0.6149,0.6153,0.6137,2698.6225,1659.0413772
1770991200,0.6133,0.616,0.616,0.6117,3515.7404,2156.36708255
1770994800,0.6176,0.6275,0.6294,0.6174,4008.5042,2502.85091488
1770998400,0.628,0.6349,0.6349,0.628,1269.7595,802.700625
1771002000,0.6335,0.6349,0.6357,0.6323,5529.1077,3501.94319644
1771005600,0.6334,0.6358,0.636,0.6334,2184.4233,1386.66068134
1771009200,0.6358,0.6344,0.6366,0.6344,86.256,54.86621297
1771012800,0.6346,0.6359,0.6359,0.6346,46.0421,29.24025841
1771016400,0.6376,0.64,0.64,0.6374,669.6863,427.39375607
1771020000,0.6401,0.6394,0.6407,0.6394,298.4201,191.06721796
1771023600,0.6367,0.6376,0.6379,0.6362,1954.2596,1245.43404475
1771027200,0.6391,0.6417,0.6421,0.639,791.2348,507.22810734
1771030800,0.6416,0.6419,0.6419,0.6416,1629.6692,1045.85118315
1771034400,0.6426,0.6414,0.6428,0.6414,121.8998,78.34771139
1771038000,0.6431,0.6427,0.6433,0.6424,1230.9333,791.48930972
1771041600,0.6428,0.6413,0.6428,0.641,2753.5505,1766.61754671
1771045200,0.6388,0.6405,0.641,0.6387,51.9817,33.28887407
1771048800,0.6397,0.6404,0.6406,0.6395,1891.788,1210.93087542
1771052400,0.6414,0.6407,0.6414,0.6407,1115.5176,715.10653953
1771056000,0.6401,0.6448,0.6448,0.6398,1662.6988,1066.96273229
1771059600,0.6468,0.6479,0.6482,0.6468,2543.4388,1646.95083658
1771063200,0.6462,0.6494,0.6496,0.6451,6927.1089,4476.57797121
1771066800,0.6504,0.659,0.6597,0.6504,9110.6208,5983.22796235
1771070400,0.6581,0.653,0.6588,0.653,7780.5057,5115.48151985
1771074000,0.6514,0.6501,0.6523,0.6493,4288.8395,2787.25579061
1771077600,0.6517,0.6517,0.6517,0.6517,460.4847,300.09787899
1771081200,0.6543,0.6567,0.6568,0.6536,2494.6511,1636.50305467
1771084800,0.6563,0.6562,0.6563,0.6536,8553.8946,5607.63301144
1771088400,0.6571,0.6597,0.6597,0.6566,1764.3398,1159.96023552
1771092000,0.66,0.6633,0.6661,0.66,10458.8061,6943.48740435
1771095600,0.6619,0.6633,0.6645,0.6606,4411.9221,2922.254575
1771099200,0.6633,0.6618,0.664,0.6614,2859.9741,1893.82240585
1771102800,0.6637,0.6626,0.6646,0.6603,949.6335,627.37088035
1771106400,0.6642,0.6628,0.6642,0.662,1638.1015,1087.17914471
1771110000,0.6627,0.6645,0.6645,0.6616,1320.7853,875.14440164
1771113600,0.6632,0.6625,0.6634,0.6614,666.1239,441.50222543
1771117200,0.6629,0.6622,0.6634,0.6597,3171.0554,2095.31188692
1771120800,0.6629,0.6606,0.6629,0.6606,14.3309,9.47827358
1771124400,0.6617,0.6571,0.6617,0.6557,5433.909,3574.83835207
1771128000,0.6602,0.6611,0.6631,0.6602,80.2892,53.1241513
1771131600,0.6631,0.6636,0.6646,0.6631,2037.6557,1352.36315139
1771135200,0.6633,0.6647,0.665,0.6633,2660.5419,1765.77476826
1771138800,0.6645,0.6666,0.6684,0.6561,16892.8533,11160.57368716
1771142400,0.6683,0.67,0.6788,0.6683,8061.6787,5436.14177574
1771146000,0.6702,0.6736,0.6743,0.6702,2296.1908,1543.15785697
1771149600,0.6734,0.673,0.6734,0.6696,1725.4044,1158.83896442
1771153200,0.6715,0.6711,0.6716,0.6711,341.1722,228.97797139
1771156800,0.6705,0.6567,0.6705,0.6567,3049.0146,2023.21967098
1771160400,0.6583,0.6328,0.6604,0.6303,26166.9712,16801.02517409
1771164000,0.6334,0.632,0.6334,0.6277,3091.6184,1950.91784501
1771167600,0.633,0.6332,0.6334,0.6315,6856.6747,4336.05069488
1771171200,0.6316,0.6362,0.6363,0.6316,2354.0654,1495.45854305
1771174800,0.6363,0.6291,0.6379,0.6271,2521.3582,1590.34216613
1771178400,0.6278,0.6278,0.63,0.6278,2619.4045,1648.53654266
1771182000,0.6265,0.6268,0.6274,0.6236,1674.1043,1045.98430931
1771185600,0.6266,0.6261,0.6267,0.6234,5442.4202,3402.87231965
1771189200,0.6273,0.628,0.629,0.6273,1487.1765,935.11234487
1771192800,0.6294,0.6282,0.6302,0.6277,873.3261,549.27719831
1771196400,0.6263,0.6277,0.6277,0.6263,472.2481,295.77038699
1771200000,0.6283,0.6333,0.6343,0.6283,4758.4854,3006.18499916
1771203600,0.6294,0.6258,0.6294,0.6244,8055.5533,5045.23806205
1771207200,0.6283,0.6272,0.6283,0.6264,2918.8516,1830.50317168
1771210800,0.6262,0.6271,0.6271,0.6262,22.0021,13.77901691
1771214400,0.6269,0.6282,0.6282,0.6269,609.4422,382.82347273
1771218000,0.6293,0.6286,0.6293,0.6286,459.5817,288.8948355
1771221600,0.6284,0.6313,0.6313,0.6284,580.4522,364.81647009
1771225200,0.631,0.632,0.6329,0.6305,358.9908,226.78576679
1771228800,0.6334,0.6343,0.6343,0.6334,102.7092,65.13761166
1771232400,0.6344,0.638,0.6392,0.6344,2141.4143,1365.80017565
1771236000,0.638,0.6375,0.6384,0.6375,1698.3317,1083.83159552
1771239600,0.6367,0.6332,0.6371,0.6303,300.2946,190.24344328
1771243200,0.6339,0.6387,0.6387,0.6339,131.6003,83.94092077
1771246800,0.6404,0.6331,0.6438,0.6331,991.3769,634.17722168
1771250400,0.6346,0.636,0.6376,0.6346,155.6834,98.90976782
1771254000,0.6364,0.6279,0.6369,0.6278,617.6918,388.93752869
1771257600,0.6305,0.6305,0.6312,0.6295,3130.7156,1970.97406933
1771261200,0.6329,0.6323,0.6329,0.6316,968.0747,612.1031883
1771264800,0.6321,0.6364,0.6364,0.6321,3287.4492,2086.73999006
1771268400,0.6357,0.6366,0.6384,0.6357,1763.7918,1124.98509108
1771272000,0.6358,0.6387,0.6396,0.6358,117.9956,75.28338398
1771275600,0.6391,0.646,0.646,0.6391,736.4681,473.97722643
1771279200,0.6472,0.6446,0.6472,0.6426,904.059,581.95980555
1771282800,0.6455,0.6458,0.6458,0.6455,105.2245,67.93244926
1771286400,0.645,0.6443,0.6451,0.644,507.406,326.9281846
1771290000,0.6443,0.6446,0.6463,0.6443,1718.0489,1109.22108908
1771293600,0.644,0.6462,0.6468,0.644,55.0147,35.5091347
1771297200,0.646,0.6445,0.646,0.6444,1719.5598,1109.39381047
1771300800,0.644,0.6435,0.6446,0.6422,1852.3178,1191.64693769
1771304400,0.6437,0.6396,0.6437,0.6384,2136.8769,1365.02788023
1771308000,0.6405,0.6428,0.6428,0.6405,11.2373,7.20712916
1771311600,0.6422,0.6416,0.6427,0.6413,204.2487,131.08103422
1771315200,0.6433,0.6401,0.6433,0.6401,50.2886,32.25183342
1771318800,0.6395,0.6415,0.6415,0.6395,353.5937,226.783109
1771322400,0.6407,0.6376,0.6409,0.6373,1974.1929,1258.76324734
1771326000,0.6371,0.6372,0.6377,0.637,87.8536,55.98208454
1771329600,0.6377,0.6388,0.6414,0.6374,2500.057,1597.08027561
1771333200,0.6376,0.6394,0.6395,0.6375,284.213,181.38816594
1771336800,0.6408,0.6345,0.6408,0.6345,3814.96,2435.58220951
1771340400,0.6345,0.6273,0.6345,0.6233,2906.1288,1818.4027111
1771344000,0.6284,0.6315,0.6334,0.6284,1672.0071,1055.11332705
1771347600,0.6306,0.6278,0.6306,0.6275,1058.9087,665.78100074
1771351200,0.6292,0.6336,0.6336,0.6292,365.4779,230.93512211
1771354800,0.6338,0.6317,0.6345,0.6317,87.9589,55.77255861
1771358400,0.6318,0.6318,0.6318,0.6299,64.7631,40.88339431
1771362000,0.6332,0.6333,0.6333,0.6331,96.7679,61.26700663
1771365600,0.6339,0.6339,0.634,0.6337,97.4917,61.8031026
1771369200,0.634,0.6338,0.634,0.6338,36.1867,22.93864046
1771372800,0.6337,0.6343,0.6343,0.6337,65.0228,41.23207052
1771376400,0.6337,0.6315,0.6337,0.6303,318.6556,201.38865681
1771380000,0.6322,0.6339,0.6339,0.6322,185.2681,117.37155037
1771383600,0.6339,0.6339,0.6339,0.6339,0,0
1771387200,0.6344,0.6335,0.6345,0.6334,184.44,116.84652192
1771390800,0.6341,0.6342,0.6352,0.6337,809.3232,513.32026086
1771394400,0.6344,0.635,0.6354,0.6341,82.1426,52.13253425
1771398000,0.6349,0.6363,0.6364,0.6345,5317.0177,3381.10462904
1771401600,0.6355,0.6352,0.6365,0.635,2355.0518,1497.36350712
1771405200,0.6346,0.6347,0.635,0.6344,242.7062,154.01585322
1771408800,0.6328,0.6329,0.6329,0.6327,44.7862,28.34167141
1771412400,0.631,0.6307,0.6321,0.6307,18.5142,11.68596392
1771416000,0.6313,0.6306,0.6313,0.6291,83.9058,52.8747345
1771419600,0.6299,0.6269,0.6299,0.6268,878.3274,551.00684776
1771423200,0.6274,0.6265,0.6278,0.6249,436.7996,273.29322751
1771426800,0.6293,0.6315,0.6322,0.6291,216.0918,136.25185213
1771430400,0.627,0.6245,0.627,0.6241,2556.4388,1600.0532994
1771434000,0.6269,0.6252,0.6269,0.6252,55.2377,34.56014008
1771437600,0.6234,0.6164,0.6234,0.6164,1993.6622,1232.9225184
1771441200,0.6185,0.6169,0.6194,0.6152,3276.6395,2027.49381089
1771444800,0.6164,0.6177,0.6186,0.6164,30.116,18.60257052
1771448400,0.6183,0.6173,0.6183,0.6173,5.8403,3.60961247
1771452000,0.6174,0.6184,0.6184,0.6173,77.6432,47.98935395
1771455600,0.6184,0.6184,0.6184,0.6184,0,0
1771459200,0.6192,0.6198,0.6207,0.6192,1336.8791,827.83466968
1771462800,0.6202,0.6208,0.621,0.6202,1497.7463,930.00739177
1771466400,0.6215,0.6215,0.6215,0.6215,1.0002,0.6216243
1771470000,0.6216,0.6223,0.6223,0.6216,503.4597,313.14152549
1771473600,0.6228,0.6221,0.623,0.6221,550.3008,342.80659579
1771477200,0.6213,0.6209,0.6214,0.6201,943.2166,585.57685107
1771480800,0.6229,0.6236,0.6237,0.6229,62.5759,39.00859551
1771484400,0.6237,0.6229,0.6242,0.6229,58.1683,36.28313319
1771488000,0.623,0.6216,0.6231,0.6214,762.782,474.00791199
1771491600,0.6213,0.6247,0.6247,0.6213,290.3624,181.05526981
1771495200,0.6211,0.6204,0.6226,0.6167,4821.4096,2986.66772986
1771498800,0.6211,0.621,0.6244,0.6209,2347.5571,1460.80993366
1771502400,0.6212,0.6208,0.6214,0.6207,417.6838,259.47136951
1771506000,0.6187,0.6137,0.6187,0.6137,1626.1421,1002.70652374
1771509600,0.6135,0.6179,0.6179,0.6135,481.4469,296.42981087
1771513200,0.6184,0.6161,0.6184,0.615,45.2083,27.93225651
1771516800,0.6161,0.6153,0.6168,0.6143,28.3541,17.46203077
1771520400,0.6156,0.616,0.619,0.6156,229.9891,141.70929636
1771524000,0.6166,0.6177,0.6189,0.6166,124.6086,77.01743914
1771527600,0.6177,0.6179,0.6185,0.6166,181.9836,112.35553183
1771531200,0.6179,0.6189,0.6189,0.6179,102.9453,63.69972147
1771534800,0.6188,0.6195,0.6195,0.6188,39.0997,24.20885765
1771538400,0.6188,0.6193,0.6193,0.6187,23.6202,14.61804822
1771542000,0.6202,0.6203,0.6207,0.6202,42.0059,26.06274111
1771545600,0.6209,0.6225,0.6236,0.6202,14568.3314,9045.46066876
1771549200,0.6227,0.6209,0.6228,0.6209,63.8576,39.69197641
1771552800,0.6226,0.6212,0.6227,0.6212,41.4646,25.81553552
1771556400,0.621,0.621,0.621,0.621,1.0224,0.6349104
1771560000,0.6221,0.6212,0.6222,0.6201,223.5947,138.93987468
1771563600,0.6208,0.6243,0.6243,0.6201,241.9144,150.71162236
1771567200,0.6243,0.6273,0.6273,0.6243,9982.8887,6243.53231224
1771570800,0.627,0.6263,0.6271,0.6254,558.4298,349.74711539
1771574400,0.6268,0.6267,0.6268,0.6262,645.6512,404.55091343
1771578000,0.6272,0.6217,0.6275,0.6193,5264.4622,3281.81935077
1771581600,0.6202,0.6206,0.6215,0.6194,1434.642,890.88136511
1771585200,0.6197,0.6179,0.6198,0.6179,238.7375,147.84491398
1771588800,0.6179,0.6197,0.6197,0.6171,104.8938,64.83548042
1771592400,0.6197,0.6163,0.6197,0.6152,273.4006,168.30513313
1771596000,0.6166,0.6193,0.6193,0.6153,6547.4538,4042.16704153
1771599600,0.6202,0.6231,0.6231,0.619,1418.5662,880.65965412
1771603200,0.6243,0.6247,0.6255,0.6233,386.7056,241.59302075
1771606800,0.6253,0.6259,0.6259,0.6224,3820.7326,2382.69818682
1771610400,0.6249,0.6255,0.6263,0.6247,55.6642,34.80235035
1771614000,0.6262,0.624,0.6262,0.6234,25.4608,15.87977238
1771617600,0.624,0.6242,0.625,0.6239,139.9882,87.38383884
1771621200,0.6248,0.6256,0.6256,0.6242,165.6398,103.53623139
1771624800,0.6256,0.6316,0.6333,0.6256,10898.7641,6862.60080141
1771628400,0.6312,0.6307,0.6312,0.6306,699.4266,441.46945375
1771632000,0.631,0.632,0.633,0.631,1814.6477,1145.96955771
1771635600,0.632,0.632,0.6322,0.632,76.1595,48.139554
1771639200,0.6333,0.6324,0.6333,0.6324,65.0766,41.1849401
1771642800,0.6324,0.6324,0.6324,0.6324,0,0
1771646400,0.6308,0.6311,0.6311,0.6308,25.6724,16.19456449
1771650000,0.6319,0.6315,0.6322,0.6315,200.6952,126.84091972
1771653600,0.6315,0.6307,0.6318,0.6307,152.1675,96.04894332
1771657200,0.6311,0.6303,0.6311,0.6303,137.6046,86.79781043
1771660800,0.6304,0.6366,0.6374,0.6304,4945.5041,3131.21714989
1771664400,0.6359,0.6363,0.6377,0.6355,233.638,148.77874902
1771668000,0.6365,0.6362,0.6374,0.6362,307.6497,195.9006565
1771671600,0.6369,0.6363,0.6374,0.6362,2603.7538,1656.69599099
1771675200,0.6356,0.6363,0.6365,0.6356,58.0531,36.90428031
1771678800,0.6364,0.6362,0.6368,0.6361,365.0016,232.3102143
1771682400,0.6381,0.639,0.6399,0.6381,42.5632,27.1708848
1771686000,0.6392,0.6381,0.6392,0.6381,38.5824,24.65526832
1771689600,0.6355,0.6358,0.6358,0.6338,79.6024,50.5263064
1771693200,0.6346,0.6365,0.6372,0.6346,131.0114,83.28412352
1771696800,0.6376,0.6378,0.6378,0.6373,39.2612,25.02246239
1771700400,0.6369,0.6372,0.6379,0.6369,235.5517,150.21958626
1771704000,0.6377,0.6354,0.6377,0.6354,178.0807,113.40790525
1771707600,0.6338,0.6358,0.6358,0.6338,145.7729,92.5267346
1771711200,0.6344,0.633,0.6344,0.6329,869.073,550.17592898
1771714800,0.6319,0.633,0.6333,0.6319,311.4294,197.09686275
