time,open,close,high,low,volume,turnover
1776084000,0.6626,0.6626,0.6626,0.6626,0,0
1776084300,0.6626,0.6626,0.6626,0.6626,0,0
1776084600,0.6642,0.6644,0.6644,0.6642,68,45.1724
1776084900,0.6644,0.6644,0.6644,0.6644,0,0
1776085200,0.6644,0.6644,0.6644,0.6644,0,0
1776085500,0.6644,0.6644,0.6644,0.6644,0,0
1776085800,0.6636,0.6636,0.6636,0.6636,2.1636,1.43576496
1776086100,0.6636,0.6636,0.6636,0.6636,0,0
1776086400,0.6635,0.6634,0.6635,0.6634,23.9702,15.90367568
1776086700,0.6634,0.6634,0.6634,0.6634,0,0
1776087000,0.6634,0.6634,0.6634,0.6634,0,0
1776087300,0.6627,0.6627,0.6627,0.6627,2.016,1.3360032
1776087600,0.6627,0.6627,0.6627,0.6627,0,0
1776087900,0.6633,0.665,0.665,0.6633,25.1185,16.6724375
1776088200,0.665,0.665,0.665,0.665,0,0
1776088500,0.665,0.665,0.665,0.665,0,0
1776088800,0.6693,0.6686,0.6697,0.6686,61.2622,41.00920692
1776089100,0.6682,0.6666,0.6682,0.6661,946.1243,632.09135638
1776089400,0.6663,0.6663,0.6663,0.6663,1.1839,0.78883257
1776089700,0.6663,0.6663,0.6663,0.6663,0,0
1776090000,0.6653,0.6653,0.6653,0.6653,2.2869,1.52147457
1776090300,0.6653,0.6653,0.6653,0.6653,0,0
1776090600,0.6663,0.6663,0.6663,0.6663,9.375,6.2465625
1776090900,0.6663,0.6663,0.6663,0.6663,0,0
1776091200,0.6663,0.6663,0.6663,0.6663,0,0
1776091500,0.6679,0.668,0.668,0.6679,37.4279,24.9999922
1776091800,0.6679,0.6681,0.6681,0.6679,19.0734,12.74013582
1776092100,0.6681,0.6687,0.6687,0.6681,100.0002,66.85153362
1776092400,0.6687,0.6687,0.6692,0.6687,3.5377,2.36623654
1776092700,0.669,0.6684,0.6692,0.6684,95.3635,63.7700642
1776093000,0.6684,0.6684,0.6684,0.6684,0,0
1776093300,0.6671,0.667,0.6671,0.667,35.9235,23.9628195
1776093600,0.667,0.667,0.667,0.667,0,0
1776093900,0.667,0.667,0.667,0.667,0,0
1776094200,0.667,0.667,0.667,0.667,0,0
1776094500,0.667,0.667,0.667,0.667,0,0
1776094800,0.667,0.667,0.667,0.667,0,0
1776095100,0.667,0.667,0.667,0.667,0,0
1776095400,0.667,0.667,0.667,0.667,0,0
1776095700,0.667,0.667,0.667,0.667,0,0
1776096000,0.667,0.667,0.667,0.667,0,0
1776096300,0.667,0.667,0.667,0.667,0,0
1776096600,0.666,0.6661,0.6661,0.666,523.5582,348.69048569
1776096900,0.6661,0.6661,0.6661,0.6661,0,0
1776097200,0.6673,0.6673,0.6673,0.6673,9.58,6.392734
