time,open,close,high,low,volume,turnover
1625788800,1.67,2.0949,2.15,1.67,59237.99537646,123401.748331857928
1625875200,2.0949,2.1049,2.1354,2.03,147194.22248443,306849.940454415701
1625961600,2.13,2.1734,2.2474,2.0808,155899.79600244,344680.930993435373
1626048000,2.1699,2.0843,2.2318,2.0392,129481.75742956,276075.105530180282
1626134400,2.0886,1.9426,2.098,1.931,182032.7541024,375942.564413708473
1626220800,1.9542,1.9933,2.0818,1.8668,300895.56748864,583226.776458060842
1626307200,1.9937,1.9194,2.0268,1.8614,644352.69891577,1264544.413159237395
1626393600,1.931,1.8414,1.9861,1.8,701756.49849667,1360999.403793275085
1626480000,1.8382,1.936,2.0392,1.8,14083.47750145,27339.252561666877
1626566400,1.944,1.9194,1.9859,1.8646,13095.99802073,25180.532542419709
1626652800,1.9078,1.7222,1.9078,1.6152,51759.52971702,91262.89076024591
1626739200,1.7337,1.6873,1.7536,1.5483,21327.69326512,34915.720088769108
1626825600,1.6768,1.8264,1.865,1.6293,63979.30611308,114543.597653997058
1626912000,1.8112,1.931,1.9426,1.7778,13129.61708417,24345.607440167642
1626998400,1.936,1.936,1.9398,1.8168,35196.90820436,66888.313165644221
1627084800,1.9264,2.1342,2.1882,1.9264,25613.06058203,53094.139462885462
1627171200,2.1376,2.1568,2.3111,2.043,32416.43067436,70884.768090032449
1627257600,2.1627,2.1512,2.4953,2.1401,64798.94798219,149586.531246418667
1627344000,2.1512,2.2372,2.3392,2.0703,13004.30244542,28450.965889916588
1627430400,2.224,2.224,2.3066,2.1472,29404.51647847,64852.727548611393
1627516800,2.2144,2.2528,2.2998,2.1952,12361.04807284,27836.619014411249
1627603200,2.2528,2.3229,2.3584,2.1472,38014.40503335,84256.450051406835
1627689600,2.3267,2.3967,2.4991,2.32,14168.32894671,34229.711998258917
1627776000,2.396,2.3924,2.5433,2.3804,23412.69815491,57823.176800614323
1627862400,2.388,2.3792,2.4552,2.3329,17387.9831745,41631.134902614552
1627948800,2.3639,2.3379,2.3884,2.2293,36350.30143047,84521.840555690688
1628035200,2.3396,2.4574,2.491,2.2644,60185.31278758,144622.890409041778
1628121600,2.4721,2.5073,2.5913,2.3287,72699.05531617,179185.749416836156
1628208000,2.5055,2.5186,2.5848,2.4333,55634.58376859,139001.107272564867
1628294400,2.5072,2.7772,2.7888,2.4829,76020.23083029,203405.700415138124
1628380800,2.7631,2.5516,2.7631,2.528,64659.1104634,171109.679270387781
1628467200,2.5657,2.684,2.7442,2.467,61236.99617361,162432.098210986007
1628553600,2.6863,2.8601,2.9382,2.6503,86182.1259734,242100.703424142392
1628640000,2.8618,2.9827,3.0475,2.8259,104406.22401514,307172.717996509691
1628726400,2.9776,3.3434,3.459,2.9634,140932.10082718,448443.035512318679
1628812800,3.3434,3.414,3.5,3.2579,87066.87655572,290040.043485802013
1628899200,3.4182,3.2465,3.4367,3.1654,33095.32498662,108767.727004375843
1628985600,3.2538,3.2332,3.269,3.0304,12353.08054601,38966.962090460163
1629072000,3.2403,3.4781,3.5621,3.2181,64641.53499209,220499.720301502907
1629158400,3.48,3.7285,4,3.3814,162029.6421398,612607.994708474932
1629244800,3.7255,4.4373,4.547,3.625,270277.12487016,1144026.369848904548
1629331200,4.4362,4.4812,4.8202,4.1662,150505.33553891,671669.393754635042
1629417600,4.4572,4.413,4.6037,4.3163,67182.82030117,296546.73542675561
1629504000,4.4115,6.1728,6.236,4.3155,170379.78604213,902723.503557086095
1629590400,6.18,5.469,6.5794,4.95,233336.1525059,1358917.985318774414
1629676800,5.4691,5.5081,5.8664,5.1598,102433.02705459,574274.047084665309
1629763200,5.4995,5.0528,5.7209,4.88,100990.96735911,547935.838344161011
1629849600,5.052,5.598,5.598,4.8306,82197.45455114,432853.111808067274
1629936000,5.5963,4.87,5.755,4.8268,87100.77288259,461435.064611339038
1630022400,4.8888,5.3144,5.3801,4.6172,63911.45291388,319166.485779384716
1630108800,5.3156,5.6851,5.798,5.0552,119813.16128818,649415.656095712244
1630195200,5.7279,5.5499,6.2236,5.54,157897.43497825,932578.690676380837
1630281600,5.5454,5.3311,5.8885,5.25,73299.67501098,408395.897753630572
1630368000,5.3412,5.2853,5.5364,5.16,77050.30546002,412367.145846184627
1630454400,5.2721,5.491,5.5983,5.1115,82357.06389334,451086.662790718352
1630540800,5.4955,5.5039,5.6755,5.4089,37149.37267853,204808.335515853092
1630627200,5.5039,6.1772,6.873,5.4775,232662.32484699,1441918.019186899682
1630713600,6.1818,6.0787,6.3547,6.009,79888.21212618,494419.558481978021
1630800000,6.0787,6.1364,6.176,5.8736,86945.64342451,522699.160063755208
1630886400,6.1328,6.0925,6.4386,5.772,78010.83023004,476874.787022749116
1630972800,6.1005,8.6574,9.3922,5.5,748757.44765518,5368454.553800778434
1631059200,8.6745,10.3845,11.7785,7.3835,1928769.64282637,18213359.240713774098
1631145600,10.3857,9.7348,11.8662,9.6416,786471.22383982,8505394.470547386936
1631232000,9.7148,9.9292,10.4261,8.5421,463079.36298574,4272000.154263882323
1631318400,9.9292,9.06,9.9813,8.741,253535.56577053,2322022.100912267807
1631404800,9.0239,8.9501,9.7725,8.3,186798.27924694,1693001.328865090085
1631491200,8.9477,8.192,9.0266,7.7341,200009.92848761,1653692.514529899606
1631577600,8.2163,8.6072,9.3323,8.0628,188949.88317568,1651011.321556507356
1631664000,8.5897,9.2339,9.6704,8.56,187717.22152586,1704853.676319729708
1631750400,9.2569,8.7194,9.3686,8.4231,124360.04494783,1107056.042272851081
1631836800,8.7128,8.3039,8.9533,8.1079,112550.93093603,951236.914898993289
1631923200,8.3399,9.0929,9.4363,8.1245,168221.99904604,1516634.737269629252
1632009600,9.0587,10.0697,10.3784,8.7002,279537.31289029,2680254.950768060887
1632096000,10.0702,7.6961,10.4,7.3822,466309.73851854,4013574.614484124791
1632182400,7.6997,6.6998,7.99,6.3562,238983.80296629,1756864.932365042941
1632268800,6.7005,7.7799,7.8032,6.5378,278206.07321399,2030622.965461658631
1632355200,7.7623,9.1637,9.4058,7.36,351150.54517962,2926723.879971021999
1632441600,9.1775,7.98,9.2662,7.4249,424518.63565057,3404623.158862423035
1632528000,7.9811,7.6133,8.4375,7.4725,259838.91888325,2039110.882800298252
1632614400,7.61,7.3,7.671,6.6056,315569.30904993,2288493.523380611468
1632700800,7.2786,6.8838,8.1484,6.8524,340564.88229976,2496254.980276178384
1632787200,6.8985,6.4211,7.128,6.3681,191720.67727139,1293618.50198506358
1632873600,6.4072,6.6393,7.3341,6.3703,306425.39123901,2070023.328558294864
1632960000,6.6431,6.9316,6.995,6.558,273037.98672594,1848166.585537551563
1633046400,6.9101,7.8142,7.9823,6.8249,462088.10973358,3459396.969049585856
1633132800,7.815,7.8283,8.2819,7.5298,401575.15786998,3182052.061394641214
1633219200,7.8273,8.0213,8.4943,7.6244,426509.74256756,3457232.498991784308
1633305600,8.0175,7.6177,8.1911,7.4032,282058.41254227,2187064.379406030917
1633392000,7.6,7.9937,8.245,7.5736,251575.02098924,1993862.272350799174
1633478400,7.9989,7.7978,8.0111,7.1348,238577.18778297,1817140.107527049249
1633564800,7.8081,8.2596,8.466,7.5001,332427.53493864,2682056.69467333179
1633651200,8.2616,8.0876,8.7355,7.9906,368655.19432131,3060242.779906569652
1633737600,8.0956,8.0415,8.3974,7.9041,126300.65721144,1027121.588958894274
1633824000,8.0446,7.3856,8.0446,7.316,194851.70197837,1504160.280481139276
