time,open,close,high,low,volume,turnover
1770926400,0.9548,0.9429,0.9561,0.941,89840.0855,85138.08310286
1770930000,0.943,0.9451,0.948,0.9406,102569.3895,96810.41363818
1770933600,0.9453,0.959,0.9593,0.9427,90234.4605,85709.74249641
1770937200,0.9585,0.9631,0.9643,0.957,96937.7926,93175.90297535
1770940800,0.9635,0.9612,0.9671,0.9551,110118.6371,105887.6576044
1770944400,0.9614,0.9635,0.9682,0.9588,103912.5772,100204.08021602
1770948000,0.9641,0.9635,0.9659,0.9603,85554.6431,82385.01463717
1770951600,0.9642,0.9634,0.9674,0.9574,84117.1751,80979.08219857
1770955200,0.963,0.9648,0.9659,0.9578,78017.3867,75092.30470021
1770958800,0.9652,0.9676,0.973,0.9625,106875.1394,103503.18713076
1770962400,0.9679,0.9854,0.9875,0.9673,129470.5781,126303.16643504
1770966000,0.9855,0.9806,0.9889,0.9764,124793.0972,122430.63128839
1770969600,0.9808,0.9893,0.991,0.9763,85151.6971,83554.79601068
1770973200,0.9904,0.9835,0.9904,0.9807,49552.0872,48771.91049771
1770976800,0.9837,0.985,0.9903,0.9819,72719.9099,71744.42096473
1770980400,0.9843,0.9805,0.9847,0.9776,47719.1764,46775.14330385
1770984000,0.9801,0.9758,0.9803,0.9737,70795.1558,69104.53602986
1770987600,0.9754,0.9835,0.9885,0.9736,125636.4376,123276.85831327
1770991200,0.984,0.999,1.0078,0.9812,200817.2859,199984.66146331
1770994800,1,1.0091,1.0271,0.9943,130587.91861639,131873.918039521576
1770998400,1.0099,1.0252,1.0281,1.0085,129107.7642,131802.67120598
1771002000,1.0252,1.018,1.0254,1.018,75465.0342,77142.02731719
1771005600,1.0175,1.019,1.0215,1.0128,71286.5671,72498.40369742
1771009200,1.0194,1.0228,1.0245,1.0176,57949.5208,59180.81204479
1771012800,1.0226,1.0234,1.024,1.0177,71119.8482,72596.51690916
1771016400,1.0228,1.027,1.0301,1.0228,66552.3753,68306.61628519
1771020000,1.0276,1.0249,1.0305,1.0219,75955.5426,77873.64896556
1771023600,1.0252,1.023,1.0252,1.0202,59647.7148,60973.435635
1771027200,1.0241,1.0238,1.0282,1.0197,115143.7472,117860.57297188
1771030800,1.0237,1.0277,1.0294,1.0217,67883.0412,69671.26058583
1771034400,1.0278,1.0264,1.03,1.0241,68887.0097,70753.65982294
1771038000,1.0265,1.0276,1.0296,1.0251,64826.8529,66589.44230179
1771041600,1.0277,1.0233,1.0287,1.0233,47988.6221,49250.89411722
1771045200,1.0231,1.0248,1.031,1.0219,78869.8662,80957.41531151
1771048800,1.0246,1.025,1.0255,1.0166,179498.2578,183304.42478389
1771052400,1.0254,1.0304,1.033,1.0241,106422.0733,109507.27050755
1771056000,1.0303,1.0404,1.0413,1.0303,99164.4414,102695.97064352
1771059600,1.04,1.0439,1.0447,1.0399,72709.8717,75774.00828214
1771063200,1.0437,1.0412,1.0439,1.038,54207.2786,56383.11990782
1771066800,1.0414,1.0525,1.0539,1.0404,100740.8632,105554.26174986
1771070400,1.0533,1.0515,1.0639,1.0515,126080.923,133311.16853135
1771074000,1.0513,1.0489,1.0523,1.0443,84261.1745,88318.92800974
1771077600,1.0494,1.0613,1.0625,1.0487,93142.8924,98223.4837126
1771081200,1.0612,1.0691,1.0695,1.0581,114041.9716,121182.9197518
1771084800,1.0693,1.0738,1.0771,1.0585,124808.7829,133135.66334284
1771088400,1.0738,1.0727,1.0849,1.0686,142117.1192,152970.24952661
1771092000,1.0718,1.081,1.0843,1.0716,128791.0466,139127.4104981
1771095600,1.0814,1.091,1.0947,1.0778,84208.7985,91403.68753164
1771099200,1.0913,1.0879,1.096,1.0827,82090.9423,89361.95538749
1771102800,1.0879,1.0898,1.1019,1.084,126827.1011,138706.07003742
1771106400,1.0898,1.0925,1.0974,1.0884,74136.3631,81024.18928817
1771110000,1.0925,1.0852,1.0938,1.0806,97279.1124,105679.94910593
1771113600,1.0849,1.0781,1.0855,1.0735,84067.3016,90603.70690057
1771117200,1.0782,1.0765,1.084,1.0708,85603.562,92136.00871112
1771120800,1.0764,1.0704,1.0811,1.0641,89616.9349,96020.09985813
1771124400,1.0703,1.0721,1.0739,1.0573,141406.116,150837.59397076
1771128000,1.0719,1.0746,1.0876,1.0714,131831.4942,142320.60607241
1771131600,1.0744,1.08,1.0844,1.0738,57448.1098,61991.56053797
1771135200,1.0792,1.078,1.0825,1.0743,54976.7172,59297.32029009
1771138800,1.0779,1.0872,1.0905,1.0779,60977.7426,66145.12148646
1771142400,1.0874,1.0729,1.0898,1.0667,108420.8448,116744.25779885
1771146000,1.0723,1.0788,1.0814,1.0717,83338.8954,89734.19691257
1771149600,1.079,1.0789,1.0812,1.0703,50521.3448,54348.97309958
1771153200,1.0793,1.083,1.0839,1.0788,39472.4895,42684.52891418
1771156800,1.0829,1.0529,1.0848,1.0524,127918.9434,136662.75597647
1771160400,1.0529,1.0511,1.0666,1.047,135955.2053,143748.35860638
1771164000,1.0507,1.0586,1.0592,1.0493,71764.5119,75724.00148079
1771167600,1.0579,1.0581,1.0613,1.0526,75485.4701,79786.49324628
1771171200,1.0576,1.0553,1.0587,1.0491,84361.3087,88976.24806362
1771174800,1.0543,1.0434,1.0569,1.0329,120020.7344,125668.15684577
1771178400,1.0428,1.0393,1.0472,1.0353,137680.978,143292.41624489
1771182000,1.0383,1.0408,1.0461,1.0321,96957.7781,100734.20245796
1771185600,1.0401,1.0441,1.0466,1.0369,72552.5784,75655.47174478
1771189200,1.0441,1.0465,1.052,1.0437,56301.7401,59009.96565007
1771192800,1.0465,1.0523,1.0536,1.0452,59210.3805,62180.11363166
1771196400,1.0527,1.0555,1.0572,1.0415,62118.7952,65177.43813176
1771200000,1.0562,1.0554,1.0637,1.0514,88033.925,93133.76886098
1771203600,1.0554,1.0525,1.0625,1.0491,86367.0495,91092.39053735
1771207200,1.0523,1.0468,1.0555,1.0453,99340.9469,104313.6048419
1771210800,1.0469,1.0494,1.0508,1.044,73236.6217,76727.6247507
1771214400,1.0498,1.0564,1.0568,1.0498,52916.4768,55790.07167996
1771218000,1.0567,1.0416,1.0598,1.0402,78171.7128,81819.00717961
1771221600,1.0412,1.0507,1.0525,1.0406,158455.1476,165926.75536817
1771225200,1.0504,1.0445,1.0516,1.0421,202750.7784,212276.97452319
1771228800,1.0445,1.0475,1.0499,1.0432,198848.1571,208173.73521447
1771232400,1.0477,1.0518,1.0555,1.0473,217297.9763,228410.80265367
1771236000,1.0514,1.046,1.0523,1.0457,172960.1442,181438.44146707
1771239600,1.046,1.0473,1.0483,1.0318,212614.4925,221350.5869556
1771243200,1.0472,1.0694,1.0709,1.0448,253041.1722,267751.23252049
1771246800,1.0694,1.0437,1.0749,1.0405,252540.0629,266879.6257084
1771250400,1.043,1.0492,1.0534,1.0372,222105.3267,232184.48359145
1771254000,1.0492,1.031,1.0559,1.0253,273555.6216,283972.71235151
1771257600,1.0312,1.0443,1.0455,1.0301,228221.4573,237396.08581762
1771261200,1.0434,1.0456,1.0499,1.0382,198423.1469,207322.65800826
1771264800,1.0456,1.0479,1.0527,1.0456,155476.0956,163137.73966625
1771268400,1.0485,1.0544,1.0584,1.0451,165028.2466,173548.81581152
1771272000,1.0539,1.064,1.0653,1.0504,174997.7869,185100.94239729
1771275600,1.064,1.0637,1.0656,1.0529,808448.2581,853710.86798342
1771279200,1.0637,1.0563,1.0651,1.0536,218533.4337,231247.5391842
1771282800,1.0562,1.0569,1.0592,1.0545,184021.2347,194472.7219765
1771286400,1.057,1.052,1.0592,1.0516,183647.4377,193815.94273134
1771290000,1.0525,1.05,1.0572,1.0486,157566.2307,166043.22228132
1771293600,1.0494,1.0593,1.0623,1.0443,170434.3017,180006.11794035
1771297200,1.0596,1.0554,1.0596,1.0532,152833.6346,161290.85535511
1771300800,1.0554,1.0533,1.0615,1.0521,160468.9796,169502.96560591
1771304400,1.0534,1.0484,1.0543,1.0405,176410.1116,184882.67507842
1771308000,1.0486,1.0534,1.0537,1.0486,142557.9305,149895.85436267
1771311600,1.0531,1.0535,1.0559,1.0488,133435.214,140405.03866155
1771315200,1.0536,1.0522,1.0575,1.0504,155580.7541,163981.13652738
1771318800,1.052,1.0527,1.0546,1.0496,164475.8835,172987.29871935
1771322400,1.0525,1.0506,1.0542,1.0449,177605.3149,186332.77226119
1771326000,1.0508,1.0556,1.0568,1.0504,165745.2912,174642.71110194
1771329600,1.0553,1.0563,1.0673,1.0538,191361.4684,203064.67874997
1771333200,1.0563,1.06,1.0671,1.054,168438.3479,178608.59278977
1771336800,1.0598,1.0377,1.0617,1.0322,319760.7281,334489.5458224
1771340400,1.0371,1.0402,1.0461,1.0297,251799.9935,261416.2812986
1771344000,1.0401,1.0446,1.0549,1.0372,254895.4137,266582.04638473
1771347600,1.0446,1.0345,1.0471,1.0278,223031.0141,231213.54824154
1771351200,1.0343,1.0543,1.0583,1.0324,239992.8432,251257.11083159
1771354800,1.0546,1.0462,1.0565,1.0442,191784.6902,201410.44758166
1771358400,1.0462,1.0432,1.0479,1.0363,190182.1619,198199.21607186
1771362000,1.0437,1.0455,1.0488,1.0418,158568.3527,165546.73501104
1771365600,1.0456,1.0417,1.0479,1.0408,221384.9643,231224.50254612
1771369200,1.0422,1.0437,1.0452,1.0399,179670.7232,187340.65950387
