time,open,close,high,low,volume,turnover
1776084000,1.3683,1.3712,1.3725,1.3677,67615.1348,92591.42046585
1776084300,1.3704,1.3698,1.3717,1.3698,2007.9496,2751.4330631
1776084600,1.3704,1.3807,1.3818,1.3704,64542.5159,88808.29109293
1776084900,1.381,1.3791,1.3841,1.3774,111743.0528,154325.77271989
1776085200,1.379,1.3775,1.3799,1.3764,91244.7007,125755.50844447
1776085500,1.3779,1.3756,1.3783,1.3734,36082.3724,49619.45538833
1776085800,1.3756,1.3776,1.3794,1.3755,75410.944,103895.96085919
1776086100,1.3777,1.3842,1.3842,1.3758,54945.2079,75690.03076759
1776086400,1.3842,1.3882,1.3884,1.3818,127904.9571,177191.08997778
1776086700,1.388,1.3918,1.3931,1.3869,108174.4077,150347.78563019
1776087000,1.3917,1.3915,1.393,1.3885,97197.3182,135175.56694342
1776087300,1.3911,1.388,1.3927,1.385,99393.562,138181.12530014
1776087600,1.3879,1.3928,1.3954,1.3871,112960.4328,157235.40358725
1776087900,1.3922,1.4057,1.4057,1.3894,112225.433,156463.69872595
1776088200,1.406,1.4021,1.4095,1.3976,98059.6114,137376.17468001
1776088500,1.4017,1.3981,1.4063,1.3978,103148.0965,144561.94790357
1776088800,1.3999,1.3935,1.3999,1.3901,93574.0786,130401.25958607
1776089100,1.3935,1.3898,1.3939,1.3896,108859.9501,151423.34800231
1776089400,1.3904,1.3964,1.3978,1.3895,88264.2354,123084.22576449
1776089700,1.396,1.393,1.3962,1.3903,118296.163,164817.39046872
1776090000,1.3935,1.3896,1.3939,1.3863,137762.6532,191610.63518945
1776090300,1.389,1.3881,1.3906,1.3876,94366.4562,131053.93424203
1776090600,1.3887,1.3932,1.3941,1.3873,101965.0238,141703.67876976
1776090900,1.3931,1.3932,1.394,1.3901,73644.4777,102530.18113537
1776091200,1.3928,1.3987,1.3994,1.3908,110326.5621,153672.86124093
1776091500,1.3981,1.3999,1.4039,1.3963,117425.7614,164471.66336797
1776091800,1.3995,1.3961,1.4001,1.3923,97768.8467,136539.3334174
1776092100,1.3966,1.395,1.3986,1.3939,125130.5845,174657.81765422
1776092400,1.3949,1.3893,1.3949,1.3891,120328.0571,167407.01474445
1776092700,1.3892,1.3841,1.3917,1.383,111279.6619,154423.99819452
1776093000,1.384,1.3865,1.3865,1.3804,127107.8004,175856.09793224
1776093300,1.3867,1.3866,1.3921,1.3859,83167.7152,115555.46954925
1776093600,1.3882,1.3888,1.3891,1.3856,70935.0535,98463.05233343
1776093900,1.3885,1.3863,1.3903,1.3862,97169.8751,134922.61920589
1776094200,1.3862,1.376,1.3862,1.3727,92073.5213,126792.0879913
1776094500,1.3762,1.371,1.3775,1.37,124160.3685,170585.12670326
1776094800,1.3709,1.3688,1.3726,1.3681,89511.2753,122684.27580188
1776095100,1.3684,1.3692,1.3721,1.3677,71143.2039,97400.28422836
1776095400,1.3693,1.3729,1.3734,1.3679,117368.4637,160910.70428794
1776095700,1.372,1.3764,1.3766,1.372,53168.3648,73111.40921931
