time,open,close,high,low,volume,turnover
1774882800,0.04535,0.0452,0.04552,0.04499,8907366.3,402671.181056
1774884600,0.04521,0.04482,0.04533,0.0447,5839046.2,262684.778499
1774886400,0.04484,0.044,0.04484,0.0439,15523087.8,685960.655249
1774888200,0.04401,0.04417,0.04427,0.04391,3492964.9,153940.152487
1774890000,0.04417,0.04466,0.04467,0.04405,3756611.5,166534.293103
1774891800,0.04467,0.04416,0.04469,0.04409,6478638.5,287266.052831
1774893600,0.04418,0.04335,0.04424,0.04319,2787144.8,122599.317845
1774895400,0.04334,0.04308,0.04348,0.04297,1355262.4,58556.214927
1774897200,0.04308,0.04327,0.04335,0.043,7075885.7,305875.367486
1774899000,0.04324,0.04315,0.04328,0.04262,2395340.3,102894.402782
1774900800,0.04317,0.04325,0.04345,0.04298,5480021.2,237011.425556
1774902600,0.04324,0.04348,0.04362,0.04323,2504376.3,108763.839011
1774904400,0.04348,0.04354,0.04358,0.04324,4319566.8,187371.676001
1774906200,0.04351,0.04373,0.04376,0.04343,516297.4,22462.514738
1774908000,0.04372,0.0441,0.04429,0.04372,1000292.9,44118.661715
1774909800,0.04393,0.04362,0.04393,0.04358,632048,27592.918744
1774911600,0.04357,0.04357,0.0438,0.04346,2260219.2,98587.377835
1774913400,0.04357,0.04355,0.04372,0.04339,1853152.3,80721.427176
1774915200,0.04353,0.04404,0.0443,0.04349,2153741.6,94338.276243
1774917000,0.04404,0.04404,0.04563,0.04344,13311718.5,597430.677442
1774918800,0.04404,0.04425,0.04444,0.04382,2700080.2,119007.261202
1774920600,0.04426,0.04437,0.04448,0.04415,3190444.3,141309.956101
1774922400,0.04439,0.04445,0.04458,0.04422,1498050.38563368,66393.217165417076
1774924200,0.04444,0.04525,0.04552,0.04438,5488629.5,246671.059041
1774926000,0.04529,0.04628,0.04637,0.04529,4782862.9,219030.615191
1774927800,0.04633,0.04629,0.0467,0.04608,5684644.6,263462.588088
1774929600,0.04632,0.04681,0.04699,0.04621,6250467.4,291238.905076
1774931400,0.04679,0.04648,0.04758,0.04633,6884528.8,323143.35254
1774933200,0.04649,0.04693,0.04693,0.04647,1378571.9,64363.627333
1774935000,0.04694,0.04658,0.04699,0.04636,1548070.2,72203.502688
1774936800,0.04659,0.0472,0.0475,0.04659,4794064.6,226317.858211
1774938600,0.04721,0.04838,0.04863,0.04693,16372801.6,782345.083722
1774940400,0.04839,0.04893,0.04899,0.04816,12248275.4,594062.464161
1774942200,0.0489,0.04845,0.04918,0.04822,10756908.1,523165.397695
