time,open,close,high,low,volume,turnover
1705536000,0.03,0.21852,0.239,0.03,163002452.926,23156902.933419146
1705622400,0.21852,0.20107,0.23998,0.17422,61131197.3085,12163320.652144681
1705708800,0.2012,0.20591,0.225,0.187,42055827.6274,8429392.01021407
1705795200,0.20592,0.28253,0.2953,0.19236,92820276.0548,24302318.302368994
1705881600,0.28225,0.24375,0.3198,0.2399,121577364.4403,33398719.675856776
1705968000,0.24378,0.25177,0.26534,0.20001,84737141.3369,19530189.515852226
1706054400,0.25186,0.25668,0.25866,0.23004,75890411.73868253,18521520.6042323350792
1706140800,0.25658,0.22346,0.26552,0.21356,61455106.1398,14223481.348192846
1706227200,0.22346,0.2274,0.23962,0.208,57714369.07528617,12850996.0974658110138
1706313600,0.22741,0.2637,0.27683,0.22102,44168219.29344687,10906557.3369548395886
1706400000,0.26358,0.25646,0.29386,0.24776,39211644.55751073,10664255.3817438860984
1706486400,0.25641,0.26751,0.28165,0.24244,46574422.71487716,11966131.7863284566056
1706572800,0.2677,0.23981,0.27433,0.23616,31186824.6443931,7873000.281802104525
1706659200,0.2398,0.21581,0.24034,0.20933,52973006.1756,11760362.542861423
1706745600,0.21581,0.20893,0.22013,0.1968,25028370.62757225,5212518.49358349258
1706832000,0.20907,0.22094,0.22725,0.20402,22470730.22053566,4808689.1913442261054
1706918400,0.22126,0.20722,0.2237,0.20547,17118660.9018,3622079.899137971
1707004800,0.20722,0.20684,0.21781,0.20031,15463957.2834,3220511.211306892
1707091200,0.20692,0.21333,0.2311,0.20288,23289569.8537,5089765.96318305
1707177600,0.21334,0.22378,0.24,0.20998,34375302.7977,7679555.872914884
1707264000,0.22377,0.24159,0.24445,0.2188,24038243.4109,5584610.295550972
1707350400,0.24165,0.22829,0.24938,0.22601,22137209.46212007,5262796.7313984335281
1707436800,0.22839,0.22273,0.23976,0.22227,18862930.50607497,4354815.6000783652188
1707523200,0.22293,0.22233,0.23032,0.22,14167907.231,3176260.880364558
1707609600,0.22254,0.24047,0.24568,0.22254,18872274.96008054,4423864.826587484659
1707696000,0.2405,0.24218,0.2478,0.22266,22316603.7849,5257483.960338025
1707782400,0.24249,0.24959,0.2648,0.23463,22588232.98203694,5648217.3354972069618
1707868800,0.25029,0.28639,0.288,0.24538,31582234.4847,8534740.47743817
1707955200,0.28642,0.26015,0.30337,0.25383,27188235.33768781,7352295.1662399527644
1708041600,0.26015,0.26176,0.27372,0.24629,19613178.1527,5045904.074343227
1708128000,0.2611,0.2521,0.26607,0.23679,10642933.60663003,2648357.5529127851067
1708214400,0.25213,0.2685,0.28257,0.24876,14055669.3564,3783227.209632701
1708300800,0.26957,0.34751,0.35432,0.26642,29622003.40187439,9321606.9254777816009
1708387200,0.34858,0.3438,0.3634,0.30802,27179209.9652251,9163674.1693683036164
1708473600,0.34379,0.37009,0.37436,0.30029,23521999.05826706,7678553.244026508895
1708560000,0.37004,0.43315,0.46461,0.34748,32695601.04118652,13246164.3336098837728
1708646400,0.43407,0.41183,0.45513,0.38094,31293420.19065925,13016907.5187399502527
1708732800,0.41165,0.41846,0.43799,0.39,11706296.47662269,4871012.7447352210698
1708819200,0.41865,0.42002,0.46269,0.41104,12902859.505,5586937.031237741
1708905600,0.4198,0.4287,0.44253,0.39755,14541876.6007,6118754.508261312
1708992000,0.42871,0.44113,0.47554,0.41333,23208194.5304,10324015.776712755
1709078400,0.44205,0.40505,0.4443,0.3575,37478958.4987,15331377.203334658
1709164800,0.40553,0.42978,0.48717,0.3648,32955494.9922072,13960562.83048597769
1709251200,0.42929,0.50498,0.543,0.4234,43009119.6195,20822453.511117541
1709337600,0.50495,0.48764,0.52607,0.47072,14430188.6013785,7139490.023216187505
1709424000,0.48759,0.50061,0.54119,0.45,26146976.7085287,12918845.64634707022
1709510400,0.50092,0.48827,0.53958,0.46966,23686703.52938618,11846265.0665400481998
1709596800,0.48949,0.51352,0.52447,0.4106,31942496.5544,15417799.950041032
1709683200,0.51325,0.57785,0.579,0.47643,21492966.66734383,11119468.8035879735682
1709769600,0.5782,0.60217,0.61192,0.55465,20889102.78797649,12163616.9783982798608
1709856000,0.60126,0.5991,0.65895,0.58907,23346301.39371688,14436176.2673381197824
1709942400,0.60074,0.61105,0.64307,0.60074,11049179.75892259,6853930.8251095065234
1710028800,0.61209,0.59758,0.62716,0.56735,8579126.0827,5123818.769305285
1710115200,0.59757,0.61353,0.62662,0.55759,10064830.9234,6044609.712501388
1710201600,0.61391,0.58659,0.64099,0.55308,12516417.13882495,7454361.792039928842
1710288000,0.58627,0.56848,0.59487,0.55538,7235148.6321,4152643.365361878
1710374400,0.56848,0.55265,0.57354,0.51101,15012933.0306,8127812.759889835
1710460800,0.55265,0.51755,0.56078,0.46924,15698533.2654,7961390.535036757
1710547200,0.52011,0.47043,0.54151,0.45521,11370230.8927,5689545.773642679
1710633600,0.47001,0.49129,0.50213,0.44397,12014143.265,5785874.083605957
1710720000,0.49128,0.44349,0.49928,0.43789,8864130.0541,4133704.272772026
1710806400,0.4437,0.51059,0.52957,0.385,33026461.08779949,15249181.2994607109238
1710892800,0.51011,0.65736,0.6684,0.47768,39325548.00337363,22304707.0083780204472
1710979200,0.6582,0.74723,0.82755,0.64168,44391383.62141438,33252114.9229732241086
1711065600,0.74874,0.74,0.8008,0.6627,33101685.14846259,24209340.2572816936991
1711152000,0.73973,0.70313,0.75128,0.68279,14271627.4742,10145423.923829598
1711238400,0.70311,0.87328,0.88754,0.7,26159021.51687771,20822298.8538116880131
1711324800,0.87423,0.9278,0.98,0.84297,31974939.71466906,29291355.5642957973226
1711411200,0.92697,0.87641,0.995,0.83081,28584339.71573265,25740418.5105082023679
1711497600,0.87633,0.86382,0.93995,0.83,19624638.66041255,17283107.365445915202
1711584000,0.86384,0.91201,0.96314,0.85,9919259.96170606,9034527.0348735018076
1711670400,0.91307,0.87548,0.94413,0.8611,7533636.3171,6726787.120077473
1711756800,0.87548,0.89677,0.952,0.86769,7795462.029,7084560.770050592
1711843200,0.89697,0.97661,1.05591,0.88821,16122955.35171553,15453681.4533412992649
1711929600,0.97641,0.90244,0.98261,0.84,13054970.19035205,11736293.1773488396386
1712016000,0.90071,0.79438,0.90224,0.76741,14932181.89862734,12109651.4716269313353
1712102400,0.79441,0.8005,0.8404,0.75145,8550177.2502,6877785.297919833
1712188800,0.80036,0.80679,0.8495,0.75006,7531581.39413147,6035047.8732841728643
1712275200,0.80638,0.77135,0.81216,0.73398,5047250.1899,3881480.499553246
1712361600,0.77125,0.79736,0.83245,0.7635,3772412.9623,3024404.212215011
1712448000,0.79824,0.80404,0.85342,0.78172,4085623.13867941,3331645.5634298012403
1712534400,0.80404,0.84402,0.86348,0.78214,5170834.0323713,4241548.402185311326
1712620800,0.8429,0.75942,0.84617,0.75386,10474991.1612,8314431.828086463
1712707200,0.75899,0.77561,0.79704,0.71777,10875545.09063149,8308020.6050073897671
1712793600,0.77646,0.82172,0.84525,0.73937,12519839.7475,9770320.075764516
1712880000,0.82018,0.70027,0.85874,0.54934,28380378.93252914,20432599.9054770420733
1712966400,0.69875,0.7722,0.84265,0.60942,46954296.71600446,35167236.8135252487901
1713052800,0.7722,0.90276,0.93812,0.71191,36340792.99550619,28783808.5673848577721
1713139200,0.90285,0.85762,1.073,0.82907,27328588.48100899,25277601.249081479356
1713225600,0.85945,0.82312,0.88898,0.74,17712122.36724414,14566205.9436852720572
1713312000,0.8228,0.79675,0.88619,0.76794,20371163.0896708,16608468.80792951828
1713398400,0.79646,0.76594,0.89046,0.74167,18991984.9807,15018891.246140657
1713484800,0.76604,0.74665,0.8021,0.68931,21471131.68250489,16193434.0905300762137
1713571200,0.74674,0.82225,0.83088,0.73176,8692828.45467267,6814979.6413493828456
1713657600,0.82225,0.81066,0.85125,0.79969,11264019.33382961,9287750.3411899804003
