time,open,close,high,low,volume,turnover
1776084000,0.24719,0.24766,0.24766,0.2471,81007.1261,20038.032663073
1776084300,0.24779,0.24838,0.24838,0.24775,32618.4832,8092.052881344
1776084600,0.24832,0.24979,0.24999,0.24832,100457.1608,25006.607368532
1776084900,0.24973,0.24907,0.24982,0.24899,132873.4679,33131.822243613
1776085200,0.2491,0.24944,0.24951,0.24892,139013.9202,34645.472097435
1776085500,0.24945,0.24933,0.24967,0.24917,13363.3921,3335.29100759
1776085800,0.24927,0.24952,0.24964,0.24927,110759.7398,27626.143458932
1776086100,0.24973,0.24927,0.24973,0.24902,118296.9425,29501.720767852
1776086400,0.24926,0.24981,0.24987,0.24926,135211.973,33738.516421834
1776086700,0.2498,0.24966,0.24999,0.24937,137750.7581,34399.637276778
1776087000,0.24977,0.24875,0.24996,0.24846,156525.0716,38988.265039653
1776087300,0.2486,0.24799,0.24867,0.24799,175308.6614,43532.606575368
1776087600,0.24805,0.24948,0.25047,0.24805,73338.9266,18287.228822895
1776087900,0.24987,0.25266,0.25266,0.24958,73880.6789,18542.69323279
1776088200,0.2527,0.25207,0.25291,0.25143,46221.5693,11652.579173417
1776088500,0.25208,0.25309,0.2531,0.25197,107723.4052,27211.861520179
1776088800,0.25319,0.25232,0.25376,0.25164,98792.1435,24941.175549429
1776089100,0.25222,0.25171,0.25239,0.25153,63775.5352,16073.240036389
1776089400,0.25161,0.25211,0.25217,0.25161,65269.8944,16435.549736045
1776089700,0.25209,0.25228,0.25279,0.25147,93744.4237,23628.079963917
1776090000,0.25226,0.25277,0.25277,0.25162,25305.6752,6386.944019012
1776090300,0.25285,0.25255,0.25289,0.25211,76245.5573,19254.812443903
1776090600,0.2526,0.25408,0.25409,0.25246,76795.2284,19447.220378444
1776090900,0.254,0.25348,0.25434,0.25333,76042.5095,19287.567194523
1776091200,0.25341,0.2539,0.25393,0.25299,48308.4288,12239.681148306
1776091500,0.25397,0.25327,0.25422,0.25321,45954.6632,11660.30108739
1776091800,0.25332,0.25329,0.25341,0.25273,80709.2747,20422.750917984
