time,open,close,high,low,volume,turnover
1775134800,4595.59,4592.19,4606.03,4576.01,15.9131,72964.241962
1775136600,4591.37,4638,4643.17,4580.31,7.2734,33580.88694
1775138400,4637.94,4654.85,4665.27,4626.22,10.0018,46461.555596
1775140200,4655.35,4672.93,4688.76,4652.83,15.786,73802.847653
1775142000,4672.56,4661.92,4672.94,4650.12,3.4394,16038.562666
1775143800,4664.27,4651.36,4665.37,4643.48,1.1083,5158.123263
1775145600,4651.36,4643.13,4657.84,4636,4.7875,22245.131716
1775147400,4643.77,4651.92,4661.04,4643.77,16.758,78006.807437
1775149200,4652.55,4643.59,4658.79,4642.57,3.7506,17454.468918
1775151000,4641.84,4638.89,4648.21,4637.11,1.2482,5792.941076
1775152800,4639.57,4642.33,4647.93,4639.12,1.9341,8982.113193
1775154600,4642.78,4658.86,4661.49,4642.78,5.371,24994.675893
1775156400,4658.86,4656.93,4672.57,4656.24,3.9295,18327.688313
1775158200,4656.67,4664.55,4667.14,4653.1,4.0677,18966.561654
1775160000,4662.65,4659.39,4666.71,4656.27,1.4835,6918.005903
1775161800,4659.34,4664.97,4666.25,4659.11,0.5844,2724.123487
1775163600,4666.23,4663.92,4667.38,4663.92,1.2331,5752.857266
1775165400,4663.93,4668.6,4670.6,4663.93,0.7937,3704.738555
1775167200,4668.6,4666.99,4670.68,4665.23,1.1925,5566.367852
1775169000,4666.99,4664.37,4668.63,4663.87,0.685,3195.770567
1775170800,4664.37,4667.93,4667.93,4664.37,0.2849,1328.979444
1775172600,4667.93,4667.36,4670.61,4665.38,2.862,13361.404317
1775174400,4669.09,4668.07,4669.94,4666.94,0.9465,4417.815961
1775176200,4667.21,4666.3,4667.21,4664.55,0.1133,528.708096
1775178000,4666.31,4665.59,4666.31,4663.49,0.474,2211.226117
1775179800,4664.49,4660.89,4664.49,4660.63,1.2147,5662.873973
1775181600,4661.71,4662.2,4663.77,4661.7,0.1253,584.3039
1775183400,4662.2,4665.04,4665.04,4662.09,0.4893,2281.315677
1775185200,4665.05,4662.36,4666.01,4661.83,1.5931,7429.039952
1775187000,4662.37,4663.07,4663.57,4662.25,1.3579,6331.871163
1775188800,4663.08,4666.04,4666.05,4663.07,0.4646,2167.372862
1775190600,4666.2,4665.65,4666.21,4665.18,0.2937,1370.347961
1775192400,4665.66,4665.65,4667.31,4665.65,0.3733,1741.983453
1775194200,4665.65,4667.53,4667.53,4664.72,0.5231,2441.230305
1775196000,4667.53,4666.78,4668.94,4665.65,1.2965,6051.447043
1775197800,4666.78,4665.32,4667.49,4665.32,0.4065,1897.13446
1775199600,4665.32,4660.38,4665.32,4658.91,0.8406,3918.716501
1775201400,4660.39,4659.83,4660.39,4657.79,2.8519,13285.989279
1775203200,4659.83,4664.25,4664.63,4659.82,0.6155,2869.726411
1775205000,4664.25,4662.81,4664.33,4661.19,1.3738,6405.199816
1775206800,4662.81,4662.16,4663.03,4662.16,0.3678,1714.897435
1775208600,4662.16,4661.9,4662.17,4659.47,9.1096,42451.463798
1775210400,4661.91,4662.36,4662.85,4661.9,0.7267,3388.109099
1775212200,4662.35,4661.85,4662.36,4661.84,0.7813,3642.503371
1775214000,4661.86,4661.65,4662.18,4660.7,1.3161,6135.093003
1775215800,4661.66,4661.29,4661.66,4660.71,0.605,2820.006861
1775217600,4661.29,4663.17,4664.56,4659.41,4.0904,19067.48414
1775219400,4663.81,4648.01,4665.51,4644.17,9.3195,43335.178977
1775221200,4648.01,4648,4650.01,4647.32,1.5535,7222.054098
1775223000,4647.99,4651.98,4652.03,4646.71,4.7705,22186.590388
1775224800,4651.98,4651.1,4651.98,4649.2,0.2808,1305.940037
1775226600,4651.11,4648.23,4651.6,4647.07,3.8385,17843.157294
1775228400,4648.22,4648.73,4649.67,4646.27,3.6244,16847.330002
1775230200,4648.73,4649.28,4650.68,4647.98,1.0069,4681.692309
1775232000,4648.84,4652.03,4652.03,4648.36,1.5345,7137.038306
1775233800,4652.02,4651.68,4652.03,4651.24,0.4236,1970.44881
1775235600,4651.68,4647.67,4651.68,4647.67,0.8846,4113.901766
1775237400,4647.67,4648.05,4649.19,4647.03,0.4965,2307.831863
1775239200,4648.06,4646.47,4648.06,4646.01,0.3839,1783.969823
1775241000,4646.48,4646.37,4647.41,4646.02,1.8913,8787.914764
1775242800,4646.37,4648.07,4648.67,4643.94,0.2681,1245.742042
1775244600,4648.08,4644.46,4648.08,4644.46,0.3313,1539.709217
1775246400,4644.46,4645.12,4646.25,4643.66,2.216,10292.902223
1775248200,4645.11,4644.8,4646.21,4644.79,0.575,2671.168882
1775250000,4645.01,4645.82,4648.94,4645.01,0.5989,2783.297796
1775251800,4645.82,4647.95,4648.7,4645.52,0.3096,1438.851389
1775253600,4647.95,4646.49,4647.95,4645.74,0.26,1208.206163
1775255400,4646.49,4646.14,4648.41,4645.94,0.3997,1857.151774
1775257200,4646.13,4648.07,4648.07,4646.13,0.5497,2554.807436
1775259000,4648.53,4649.2,4649.67,4648.52,0.6682,3106.188189
1775260800,4649.2,4648.56,4649.2,4647.64,3.5645,16571.420505
1775262600,4648.57,4649.11,4649.56,4648.1,1.4497,6739.31566
1775264400,4648.17,4652.31,4652.67,4648.16,1.6582,7712.429924
1775266200,4651.84,4652.81,4653.53,4650.06,5.0576,23522.460275
1775268000,4652.81,4651.82,4653.26,4650.83,3.2357,15052.169415
1775269800,4651.81,4652.38,4652.86,4651.46,2.4456,11376.822806
1775271600,4652.39,4653.24,4653.33,4651.3,0.2506,1165.872889
1775273400,4653.25,4652.8,4653.25,4652.33,0.3364,1565.290255
1775275200,4652.8,4652.52,4653.22,4650.32,2.0831,9691.778046
1775277000,4652.51,4652.1,4652.52,4651.42,1.406,6541.076578
1775278800,4651.7,4651.27,4651.7,4650.57,0.7287,3389.520965
1775280600,4651.28,4650.97,4651.28,4650.51,0.7741,3600.409763
1775282400,4650.98,4653.05,4654.09,4650.52,1.6987,7903.33577
1775284200,4653.05,4651.9,4653.06,4651.88,0.9897,4604.353137
1775286000,4651.73,4651.74,4652.1,4651.66,1.6366,7613.137372
1775287800,4651.74,4650.26,4651.74,4650.26,1.0232,4758.593733
1775289600,4650.27,4648.78,4650.27,4648.78,2.0671,9611.873941
1775291400,4648.78,4648.52,4648.79,4648.51,0.9763,4538.492688
1775293200,4648.52,4648.51,4648.52,4648.5,1.021,4746.129516
1775295000,4648.52,4650.8,4650.81,4648.51,0.5203,2418.784217
1775296800,4650.81,4652.47,4653.31,4650.8,2.5663,11939.669155
1775298600,4652.47,4655.49,4655.49,4652.47,0.2136,994.099307
1775300400,4655.49,4655.89,4656.38,4655.4,1.609,7491.355627
1775302200,4655.89,4653.13,4655.9,4651.31,1.4331,6670.877021
1775304000,4653.14,4655.31,4655.78,4653.13,1.5966,7431.61331
1775305800,4655.32,4655.45,4655.46,4655.31,0.3798,1768.130263
1775307600,4655.45,4655.24,4656.83,4655.23,3.0201,14060.610085
1775309400,4655.23,4656.53,4656.53,4654.76,0.1406,654.530175
1775311200,4656.54,4654.85,4657.93,4654.85,1.0952,5100.450638
1775313000,4654.85,4657.07,4657.07,4654.85,0.9902,4610.138298
1775314800,4656.61,4654.51,4657.79,4654.51,1.3815,6433.400326
1775316600,4654.52,4655.46,4655.69,4654.24,1.4212,6615.562837
1775318400,4655.47,4657.75,4657.77,4655.47,0.8142,3791.87077
1775320200,4657.76,4656.35,4657.76,4656.35,1.2121,5644.801731
1775322000,4656.36,4656.37,4657.3,4656.35,0.7285,3392.395521
1775323800,4656.36,4652.85,4656.82,4652.85,2.0104,9359.474058
1775325600,4652.86,4653.18,4653.18,4652.13,1.7044,7930.657822
1775327400,4653.17,4651.2,4653.18,4651.2,1.1931,5550.378899
1775329200,4651.21,4649.31,4651.7,4648.86,0.8354,3885.067801
1775331000,4649.32,4648.83,4649.78,4648.47,0.9944,4622.940078
1775332800,4648.71,4648.5,4648.71,4648.06,4.8947,22752.963432
1775334600,4648.49,4650.23,4650.24,4648.49,10.8569,50469.090478
1775336400,4650.23,4650.81,4650.85,4648.66,0.8678,4034.967587
1775338200,4649.73,4649.4,4650.38,4649.4,0.4824,2243.202746
1775340000,4649.41,4650.64,4651.99,4649.4,0.7164,3331.605887
1775341800,4650.63,4650.62,4651.06,4649.67,0.7489,3482.62317
1775343600,4650.62,4649.99,4650.96,4649.99,0.2028,943.186641
1775345400,4649.98,4648.84,4650.2,4648.55,0.2997,1393.296109
1775347200,4648.85,4647.99,4649.61,4647.99,1.5148,7042.160475
1775349000,4649.32,4650.79,4651.46,4648.95,0.7714,3587.267099
1775350800,4649.66,4649.76,4650.54,4649.01,0.8466,3936.577007
1775352600,4649.77,4650.25,4650.25,4649.47,0.6644,3089.387212
1775354400,4650.25,4651,4651,4650.24,0.2218,1031.514037
1775356200,4650.99,4650.99,4651,4650.99,0.0166,77.206487
1775358000,4651,4650.72,4651,4650.71,0.2886,1342.253857
1775359800,4650.71,4650.29,4650.72,4650.29,0.2697,1254.256201
1775361600,4650.3,4650.7,4650.72,4650.29,0.0898,417.618323
1775363400,4650.71,4650.59,4650.71,4650.58,0.0999,464.596874
1775365200,4650.6,4650.59,4650.6,4650.59,0.3453,1605.849532
1775367000,4650.6,4649.57,4650.6,4649.36,0.5925,2755.084596
1775368800,4649.57,4651.54,4652.88,4648.82,1.4004,6513.173912
1775370600,4651.54,4650.08,4652.88,4650.08,2.6323,12245.137283
1775372400,4650.08,4647.88,4650.1,4647.4,0.4628,2151.775506
1775374200,4647.89,4648.39,4649.17,4647.88,0.4742,2204.421503
