time,open,close,high,low,volume,turnover
1770692400,0.00636,0.006267,0.00636,0.006206,5053573,31672.210239
1770696000,0.006265,0.006318,0.006328,0.006264,1324135,8345.747433
1770699600,0.00631,0.006239,0.006314,0.006229,2244821,14054.151524
1770703200,0.006238,0.006135,0.006252,0.006116,7736181,47895.208752
1770706800,0.006147,0.006171,0.006195,0.006147,1054953,6517.145105
1770710400,0.006179,0.006213,0.006213,0.00617,1577965,9773.103521
1770714000,0.006209,0.006195,0.006247,0.00617,3184348,19723.329376
1770717600,0.006197,0.006181,0.006206,0.006166,1416309,8761.947132
1770721200,0.006179,0.006139,0.006197,0.006139,2337947,14442.862325
1770724800,0.006155,0.006123,0.006159,0.006102,1768807,10851.128307
1770728400,0.006122,0.006158,0.006173,0.006116,2005293,12308.979652
1770732000,0.006159,0.006127,0.006199,0.006083,5902054,36261.274966
1770735600,0.006119,0.006143,0.006191,0.006102,1652013,10143.74496
1770739200,0.006143,0.006151,0.006183,0.006119,3251385,20031.737471
1770742800,0.006133,0.006165,0.006191,0.006117,1518603,9344.007709
1770746400,0.006177,0.006069,0.00619,0.006031,3442686,21070.769965
1770750000,0.006069,0.006125,0.006138,0.00605,962218,5854.630896
1770753600,0.00612,0.006129,0.00614,0.006106,1737907,10647.151357
1770757200,0.006143,0.006108,0.006152,0.006087,1373709,8393.065923
1770760800,0.00611,0.006138,0.006157,0.006103,375134,2292.358563
1770764400,0.006122,0.006148,0.00615,0.006113,784491,4807.555325
1770768000,0.006148,0.006173,0.00618,0.006148,598975,3696.127926
1770771600,0.006164,0.006172,0.006185,0.006146,381477,2351.719831
1770775200,0.006177,0.006142,0.006206,0.006142,570989,3526.400229
1770778800,0.006145,0.006131,0.006169,0.00607,1917728,11726.504387
1770782400,0.006125,0.006028,0.006134,0.006024,3180175,19288.571262
1770786000,0.006044,0.005996,0.006056,0.005988,6114405,36790.520861
1770789600,0.005997,0.005929,0.006004,0.005915,11724496,69739.127867
1770793200,0.00593,0.005921,0.005955,0.005897,3002070,17810.767229
1770796800,0.00592,0.005923,0.005925,0.005871,2321789,13678.213628
1770800400,0.00592,0.005901,0.005927,0.005892,2066619,12212.56111
1770804000,0.005904,0.005873,0.005905,0.005857,873055,5121.758126
1770807600,0.005878,0.005926,0.005932,0.005874,1899404,11211.223152
1770811200,0.005924,0.005951,0.005965,0.005897,2620463,15533.478914
1770814800,0.005945,0.006048,0.006052,0.005912,13231025,79135.407626
1770818400,0.006053,0.005963,0.006307,0.00594,22903731,140660.802127
1770822000,0.005962,0.005946,0.006,0.005868,11928897,70811.095431
1770825600,0.005951,0.005919,0.006058,0.0059,8811747,52702.949895
1770829200,0.005897,0.005948,0.006011,0.005874,4709341,28040.366904
1770832800,0.005944,0.006035,0.006063,0.005898,8142558,48866.989285
1770836400,0.006035,0.006019,0.006085,0.006001,5055033,30552.631367
1770840000,0.006018,0.006069,0.006079,0.005975,1963101,11825.404949
1770843600,0.00607,0.006131,0.006176,0.006062,6781927,41539.211044
1770847200,0.006133,0.006054,0.00615,0.006043,2331651,14267.179937
1770850800,0.00605,0.006028,0.00605,0.005967,5532239,33227.033377
1770854400,0.006029,0.006101,0.006114,0.006029,3461754,21014.671313
1770858000,0.006086,0.006131,0.006169,0.006086,3386664,20781.288794
1770861600,0.006132,0.006154,0.006178,0.006108,1588733,9757.845499
1770865200,0.006147,0.00617,0.006177,0.006145,1150645,7090.162191
1770868800,0.006172,0.006199,0.006219,0.006145,2281160,14106.061087
1770872400,0.006197,0.006205,0.006205,0.006135,5977004,36857.648018
1770876000,0.006209,0.006242,0.006303,0.006205,7255353,45400.482576
1770879600,0.006243,0.006296,0.006296,0.006203,4489233,28025.083059
1770883200,0.006294,0.006295,0.006319,0.006261,3817196,24024.635117
1770886800,0.006293,0.006404,0.006426,0.006287,8166594,52108.312471
1770890400,0.006403,0.00651,0.006517,0.006382,4223976,27151.944447
1770894000,0.006514,0.006466,0.006539,0.006439,13047880.366934,84659.283271026706
1770897600,0.006462,0.006349,0.006468,0.006331,9972966,63386.24347
1770901200,0.00635,0.006414,0.006493,0.006328,22718659,145827.771016
1770904800,0.006416,0.006337,0.006419,0.006313,10750623,68230.482348
1770908400,0.006337,0.006263,0.006383,0.006262,6467376,40825.288017
1770912000,0.006265,0.006125,0.006291,0.006105,13667246,84441.546064
1770915600,0.006128,0.006139,0.006206,0.006095,5257410,32363.293579
1770919200,0.00614,0.006157,0.006198,0.006112,4607633,28325.823094
1770922800,0.006154,0.006218,0.006277,0.006122,5592092,34776.45731
1770926400,0.006214,0.006139,0.006225,0.00612,2518015,15538.239525
1770930000,0.006139,0.006158,0.006178,0.006139,1761583,10855.613891
1770933600,0.006159,0.006245,0.006245,0.006121,1806800,11188.928721
1770937200,0.006249,0.006302,0.006324,0.006237,2887619,18158.533514
1770940800,0.006305,0.006211,0.00635,0.006173,3225829,20164.165521
1770944400,0.006199,0.006198,0.00625,0.006194,2588714,16128.546418
1770948000,0.00621,0.006229,0.006245,0.006194,1750650,10880.319109
1770951600,0.006229,0.006209,0.006267,0.006204,1420396,8844.06988
1770955200,0.006206,0.006172,0.006208,0.006171,1153878,7141.175694
1770958800,0.006172,0.006158,0.006194,0.006147,2059528,12703.700693
1770962400,0.006161,0.006191,0.006195,0.00612,2012817,12380.56451
1770966000,0.006191,0.006218,0.006243,0.00619,4100074.25400358,25485.36510023634278
1770969600,0.006221,0.006289,0.006307,0.00622,2118700,13307.213851
1770973200,0.00629,0.006271,0.00629,0.006265,1115395,7001.994645
1770976800,0.006269,0.006299,0.00632,0.006267,1226628,7712.27086
1770980400,0.006294,0.006284,0.006294,0.006248,1903347,11938.538755
1770984000,0.006283,0.006258,0.006283,0.00624,1552855,9730.43681
1770987600,0.006268,0.006329,0.006356,0.006242,9087365,57367.044645
1770991200,0.006327,0.006395,0.006455,0.006295,10737783,68557.986292
1770994800,0.006409,0.006485,0.006678,0.006399,12050574,78782.080642
1770998400,0.006487,0.006642,0.006688,0.006474,10716321,70680.290446
1771002000,0.00665,0.006668,0.006701,0.006615,9531107,63644.240447
1771005600,0.006669,0.006705,0.006728,0.006623,6410305,42666.389296
1771009200,0.006711,0.006701,0.006811,0.00668,5259047,35463.0903
1771012800,0.006701,0.0067,0.006733,0.006676,3553811,23805.866112
1771016400,0.006705,0.006717,0.006742,0.006695,3795729,25498.510662
1771020000,0.006717,0.006696,0.006742,0.006677,4086430,27412.26489
1771023600,0.006702,0.00664,0.006704,0.00663,1935329,12884.011165
1771027200,0.006638,0.006679,0.006708,0.006597,2093518,13897.963732
1771030800,0.00668,0.006716,0.006721,0.006661,2520654,16878.342475
1771034400,0.006711,0.00687,0.006875,0.00671,9738262,66449.298419
1771038000,0.006871,0.006946,0.007033,0.00685,19695924,137162.897706
1771041600,0.006947,0.006836,0.006971,0.006824,4625980,31886.802931
1771045200,0.006827,0.006751,0.006868,0.006749,8591200,58598.628977
1771048800,0.006748,0.006759,0.006766,0.006734,3197308,21583.248499
1771052400,0.006761,0.006822,0.006832,0.006758,3513064,23904.579586
1771056000,0.006829,0.006939,0.006953,0.006829,4155500,28694.420067
1771059600,0.006934,0.006911,0.006946,0.006905,2019364,13985.508239
1771063200,0.006912,0.006897,0.006913,0.006876,1204671,8305.140657
1771066800,0.006916,0.007067,0.007067,0.006901,5781199,40446.503739
1771070400,0.007061,0.006951,0.007139,0.00695,8698807,61253.298981
1771074000,0.00695,0.006927,0.006967,0.006863,7269218,50268.830499
1771077600,0.00693,0.007098,0.007123,0.006925,4505900,31573.448939
1771081200,0.007101,0.007266,0.007268,0.007073,19535490,139616.997412
1771084800,0.007269,0.007517,0.007517,0.007225,22191339,162391.049721
1771088400,0.007517,0.0076,0.007674,0.007463,19907351,150812.4677
1771092000,0.007599,0.007893,0.007902,0.007595,17693324,137392.196794
1771095600,0.007892,0.007855,0.007953,0.00773,17771576,139693.215238
1771099200,0.007859,0.007901,0.007934,0.007748,11034069,86645.439092
1771102800,0.007895,0.007989,0.00814,0.007842,22365951,178408.547777
1771106400,0.007988,0.008049,0.008197,0.007973,13041809,105607.157428
1771110000,0.008046,0.007866,0.008057,0.007831,8210704,64905.51657
1771113600,0.007864,0.007703,0.007869,0.007631,20680813,159742.54822
1771117200,0.007703,0.007797,0.007964,0.007685,26127585,203702.870788
1771120800,0.007788,0.007703,0.007853,0.007631,14936545,115559.440444
1771124400,0.007702,0.007715,0.007729,0.007542,16839687,128728.999217
1771128000,0.007721,0.007724,0.007922,0.007677,17365381,135211.564409
1771131600,0.007723,0.007711,0.007809,0.00769,8807557,68156.069034
1771135200,0.00771,0.007665,0.007722,0.007637,4614368,35467.082439
1771138800,0.007662,0.007699,0.007771,0.007654,7320703,56474.34346
1771142400,0.007704,0.007541,0.007751,0.007484,9119966,69410.821172
1771146000,0.007541,0.007609,0.00762,0.007527,3549140,26934.031737
1771149600,0.007613,0.00754,0.007627,0.007467,6645084,49912.392739
1771153200,0.007532,0.007504,0.007545,0.007488,2442269,18369.915715
1771156800,0.007509,0.007181,0.00751,0.007176,17990934,131940.142996
1771160400,0.007181,0.007165,0.007305,0.007134,18817192,135902.578945
1771164000,0.007166,0.00724,0.007271,0.007159,13539538,97659.120818
1771167600,0.007239,0.007213,0.007269,0.007203,3849380,27877.541348
1771171200,0.007209,0.007203,0.007221,0.007147,4518536,32507.810646
1771174800,0.007198,0.007056,0.007213,0.006978,11509616,81265.839954
1771178400,0.00706,0.006982,0.007086,0.006968,9169833,64479.413144
1771182000,0.006988,0.006967,0.007014,0.006922,3665488,25510.392455
1771185600,0.006974,0.006966,0.006995,0.006924,3442838,23957.310158
1771189200,0.006968,0.006975,0.007034,0.006954,4343095,30388.506016
1771192800,0.006967,0.007053,0.007053,0.006959,1407497,9862.911924
1771196400,0.007042,0.007044,0.007057,0.006948,1193117,8365.69053
1771200000,0.00705,0.00709,0.007118,0.007043,2960653,20966.460245
1771203600,0.007087,0.007042,0.007119,0.006995,2876603,20273.70508
1771207200,0.007038,0.007014,0.007067,0.007004,2459339,17297.500573
1771210800,0.007015,0.007024,0.007028,0.006983,1722230,12066.235305
1771214400,0.007024,0.00714,0.00714,0.007019,2889727,20486.775511
1771218000,0.007141,0.007094,0.007158,0.007055,4834141,34310.684193
1771221600,0.007083,0.007166,0.007189,0.007068,2470010,17637.814234
1771225200,0.007172,0.007176,0.007231,0.007126,2244837,16141.557369
1771228800,0.007175,0.007179,0.007234,0.00716,1899414,13686.847773
1771232400,0.007184,0.007307,0.007334,0.00718,6759234,49008.745981
1771236000,0.007307,0.007295,0.007325,0.00726,2581132,18804.912892
1771239600,0.007316,0.007268,0.007357,0.007153,5408101,39344.775224
1771243200,0.007255,0.007434,0.007476,0.007251,6670453,49172.295139
1771246800,0.007433,0.007176,0.007496,0.00715,9535154,69488.95474
1771250400,0.007166,0.007156,0.007209,0.007095,4819858,34455.656777
1771254000,0.007148,0.007017,0.007221,0.00696,7732565,54483.844299
1771257600,0.007013,0.007089,0.007124,0.00701,5400820,38231.935356
1771261200,0.0071,0.007094,0.007138,0.007067,6705579,47630.0965
1771264800,0.00709,0.007092,0.007144,0.007088,1711470,12164.75458
1771268400,0.007094,0.007149,0.00719,0.007076,2523135,18022.085671
1771272000,0.007154,0.007213,0.00723,0.00712,3023645,21712.080236
1771275600,0.007214,0.007308,0.007324,0.007185,4023439,29283.821874
1771279200,0.007309,0.00728,0.007331,0.00726,2057585,15014.010596
1771282800,0.007274,0.007298,0.007332,0.00727,2123464,15510.494083
1771286400,0.007299,0.007237,0.007303,0.007234,2261755,16430.195174
1771290000,0.007245,0.007225,0.007281,0.007216,1320268,9563.246133
1771293600,0.007225,0.007332,0.007357,0.007182,3350870,24449.779125
1771297200,0.007314,0.007242,0.007327,0.007242,2716633,19803.673968
1771300800,0.007236,0.007211,0.007266,0.007178,2172981,15716.912689
1771304400,0.0072,0.007182,0.007208,0.00709,5682962,40571.897426
1771308000,0.007185,0.007175,0.007207,0.007169,1154161,8297.953815
1771311600,0.007174,0.007151,0.007174,0.007126,916512,6552.884971
1771315200,0.007162,0.007104,0.007166,0.00709,3424432,24405.477129
1771318800,0.007106,0.007109,0.007119,0.007077,2173032,15437.782011
1771322400,0.007108,0.007056,0.007126,0.007038,3526110,24891.931882
1771326000,0.007073,0.007106,0.007117,0.007059,3150445,22352.818039
1771329600,0.007107,0.007107,0.007172,0.007105,2040723,14564.370002
1771333200,0.00711,0.007168,0.007199,0.007087,5479063,39175.42565
1771336800,0.007167,0.007017,0.007219,0.006974,23128372,163398.669754
1771340400,0.007016,0.007139,0.007142,0.007003,13638453,96524.087501
1771344000,0.007134,0.007201,0.007349,0.007116,20118497,145899.171315
1771347600,0.007202,0.007124,0.007202,0.007057,17435296,124426.797505
1771351200,0.007128,0.0072,0.007244,0.007094,8076869,58056.196082
1771354800,0.007202,0.007104,0.007204,0.007089,1897362,13554.969325
1771358400,0.007106,0.0071,0.007131,0.007064,2856468,20278.001193
1771362000,0.007102,0.007144,0.007147,0.00709,1348207,9579.549564
1771365600,0.007145,0.007123,0.007172,0.007118,1022387,7313.481857
1771369200,0.007131,0.007141,0.007152,0.007116,5888806,42020.609956
1771372800,0.00714,0.007076,0.007149,0.007075,1778006,12647.827749
1771376400,0.007074,0.007043,0.007082,0.007021,1447447,10206.70703
1771380000,0.007066,0.007092,0.007124,0.007058,2236227,15878.712217
1771383600,0.0071,0.007102,0.007111,0.007083,1516485,10763.507858
1771387200,0.0071,0.007107,0.007116,0.007089,2266265,16096.705161
1771390800,0.007102,0.007131,0.007154,0.007096,1078328,7686.713037
1771394400,0.00714,0.007152,0.007198,0.00714,1322945,9471.896557
1771398000,0.007161,0.007185,0.007218,0.007143,1195294,8592.094181
1771401600,0.007186,0.007203,0.00726,0.007184,1960657,14162.683104
1771405200,0.007203,0.007227,0.00723,0.007188,942944,6800.034755
1771408800,0.007233,0.007168,0.007253,0.007158,8241167,59546.622876
1771412400,0.007173,0.007093,0.007173,0.007066,8887574,63291.299968
1771416000,0.007093,0.007079,0.007122,0.007052,2217776,15737.86008
1771419600,0.007078,0.006979,0.007078,0.006946,5546186,38829.112744
1771423200,0.006998,0.007037,0.007067,0.006958,13345371,93670.435782
1771426800,0.007042,0.007096,0.007194,0.007035,7427980,52872.731246
1771430400,0.0071,0.006993,0.007106,0.006974,5672962,39903.79379
1771434000,0.006996,0.006973,0.00707,0.006971,1268838,8902.023744
1771437600,0.006973,0.006846,0.006985,0.006844,10601593,73008.986766
1771441200,0.006845,0.006827,0.006891,0.006759,6472785,44151.27609
1771444800,0.006826,0.006825,0.006871,0.006799,3656141,24995.9775
1771448400,0.006826,0.006811,0.006853,0.006795,3484304,23800.459412
1771452000,0.006812,0.006789,0.006819,0.006757,2502644,16977.706763
1771455600,0.006787,0.006777,0.00679,0.006748,1393438,9426.014854
1771459200,0.006771,0.006696,0.006776,0.006687,3482106,23389.357883
1771462800,0.006701,0.006816,0.006818,0.006701,3163633,21394.825405
1771466400,0.006816,0.006825,0.006844,0.006794,757356,5163.628393
1771470000,0.006829,0.006823,0.006842,0.006802,2648361,18055.654474
1771473600,0.006829,0.006818,0.006855,0.006817,1131229,7734.741131
1771477200,0.006818,0.00679,0.006826,0.006734,3851492,26062.146046
1771480800,0.006785,0.006816,0.006842,0.006781,6425130,43777.010363
1771484400,0.006818,0.006789,0.006818,0.006769,7653350,51896.891932
1771488000,0.006786,0.006688,0.006786,0.006648,3895661,26152.097253
1771491600,0.006686,0.0067,0.006735,0.006681,1425846,9572.6809
1771495200,0.006695,0.006695,0.006723,0.006667,2371874,15910.23855
1771498800,0.006689,0.006672,0.006713,0.006669,1703925,11406.437728
1771502400,0.006681,0.006656,0.006701,0.006656,1566702,10466.697833
1771506000,0.006662,0.006565,0.006664,0.006515,8971178,59092.82489
1771509600,0.006566,0.006666,0.006681,0.006562,5831569,38529.704686
1771513200,0.006646,0.006556,0.006694,0.006536,9247232,60905.1114
1771516800,0.006557,0.006551,0.0066,0.006488,5047930,33078.023802
1771520400,0.00655,0.006494,0.006634,0.00644,7438252,48396.05117
1771524000,0.006493,0.006567,0.006568,0.006479,2622947,17108.997354
1771527600,0.006571,0.006531,0.006587,0.006483,9126981,59643.496442
