time,open,close,high,low,volume,turnover
1774882800,0.006516,0.006488,0.006521,0.006467,6807027,44172.472461
1774884600,0.006489,0.006503,0.006535,0.00648,8074578,52606.304839
1774886400,0.006507,0.006506,0.006525,0.006499,5752635,37445.66627
1774888200,0.006503,0.006499,0.006516,0.00648,7138983,46404.142758
1774890000,0.0065,0.006434,0.006516,0.006415,8330754,53973.452831
1774891800,0.00643,0.006441,0.006461,0.006415,7700485,49606.027803
1774893600,0.006441,0.006395,0.006448,0.006379,6290976,40331.674454
1774895400,0.006396,0.006385,0.006412,0.006363,7225874,46180.491158
1774897200,0.006384,0.006359,0.006385,0.006342,6169371,39251.858502
1774899000,0.00636,0.006395,0.0064,0.006353,7276654,46354.734475
1774900800,0.006395,0.006383,0.006405,0.006382,6325167,40436.877476
1774902600,0.006383,0.006372,0.006385,0.006369,3991477,25451.063128
1774904400,0.00637,0.006435,0.006461,0.00637,6232817,40029.125277
1774906200,0.006438,0.006423,0.006461,0.006418,5067984,32657.517824
1774908000,0.006423,0.006424,0.006446,0.006392,6937231,44511.515784
1774909800,0.006421,0.006405,0.006424,0.006401,2853369,18308.643321
1774911600,0.006403,0.006375,0.006403,0.006346,7499440,47710.325747
1774913400,0.006378,0.006388,0.006392,0.006373,4956545,31633.840797
1774915200,0.006388,0.006389,0.006393,0.006359,7660867,48853.096418
1774917000,0.006388,0.006424,0.006445,0.006377,6559644,42008.086566
1774918800,0.006425,0.00651,0.00651,0.006412,6784381,43809.378763
1774920600,0.006513,0.006528,0.006572,0.006481,8589683,56003.907392
1774922400,0.006516,0.006541,0.006545,0.006507,5460026,35633.134384
1774924200,0.006545,0.006537,0.006545,0.006525,9445531,61712.985466
1774926000,0.006518,0.006501,0.006532,0.006494,10722702,69803.557099
1774927800,0.006503,0.006483,0.006509,0.006476,8407681,54562.48766
1774929600,0.006486,0.006464,0.006512,0.006456,14789199,95873.163047
1774931400,0.006464,0.006454,0.006471,0.006451,6845995,44223.780872
1774933200,0.00645,0.006468,0.00647,0.006428,10784162,69490.945632
1774935000,0.006464,0.006493,0.006499,0.00646,2561377,16574.206096
1774936800,0.006492,0.006451,0.006499,0.006437,11138936,72050.579812
1774938600,0.006453,0.006464,0.006473,0.006444,10281563,66328.12423
1774940400,0.006467,0.006441,0.006467,0.006417,9384438,60366.828255
1774942200,0.006441,0.006456,0.006464,0.006431,11050819,71287.041774
1774944000,0.006457,0.00645,0.006457,0.006426,5997413,38640.606831
