time,open,close,high,low,volume,turnover
1695254400,1,0.9992,1.008,0.9974,78693.9194,78837.57357943
1695340800,0.9992,1,1.0023,0.9986,5802.4011,5801.83925241
1695427200,1.0001,0.9999,1.0021,0.9975,4773.7325,4773.49064398
1695513600,0.9998,1,1.0022,0.9997,3089.4486,3090.30811983
1695600000,0.9999,0.9999,1.0047,0.9955,10097.1827,10103.31193384
1695686400,0.9999,1.0008,1.0045,0.9983,6313.3226,6325.98404603
1695772800,1.0008,1.0006,1.001,0.9983,3029.9085,3030.94666325
1695859200,1.0004,1.0022,1.0049,0.9999,5187.7934,5199.19616078
1695945600,1.0022,1.0001,1.0046,0.999,4661.4053,4666.95876539
1696032000,1.0002,0.9999,1.0017,0.9987,2580.8092,2580.70130997
1696118400,0.9999,1.0012,1.0045,0.9986,5505.5823,5517.62557921
1696204800,1.0012,1.004,1.009,0.9989,8099.9222,8129.45304607
1696291200,1.0028,1.0012,1.0041,0.9996,4856.0682,4864.65942235
1696377600,1.0011,0.999,1.0044,0.9989,6957.8592,6957.95161682
1696464000,0.9997,1.0003,1.0022,0.9988,2627.7718,2626.69893039
1696550400,1.0005,1.0007,1.0024,1.0003,3012.9693,3016.08115664
1696636800,1.0006,1.0007,1.0022,1.0005,1329.3716,1330.37529302
1696723200,1.0007,1.0006,1.004,1.0005,3265.4342,3272.10239528
1696809600,1.0009,1.0007,1.0029,1.0006,933.5315,934.26154949
1696896000,1.0006,1.0006,1.0025,1.0005,1732.5608,1733.8049479
1696982400,1.0006,1.0005,1.0026,1.0005,1738.0531,1739.09777979
1697068800,1,1.0002,1.004,0.9991,8130.1146,8144.00985448
1697155200,1.0001,0.9994,1.0019,0.9953,8015.5847,8010.40471035
1697241600,0.9995,1.0039,1.0045,0.9995,12836.6596,12881.51631369
1697328000,1.0039,1.0023,1.0046,1.0006,2689.4224,2700.74419737
1697414400,1.0019,0.9999,1.007,0.9998,9203.0434,9236.77637707
1697500800,1,0.9996,1.0019,0.9991,3347.9329,3347.96718036
1697587200,0.9994,0.9996,1.0019,0.9994,1622.124,1623.06322679
1697673600,0.9996,0.9998,1.0009,0.9995,2070.5212,2070.94700178
1697760000,0.9995,0.9993,1.0019,0.9991,6616.0025,6615.73190323
1697846400,0.9994,0.9994,1.0019,0.9991,3438.5683,3440.66693836
1697932800,0.9994,0.9996,1.0018,0.9991,6663.705,6659.44528994
1698019200,0.9993,0.9992,1.0013,0.9986,6773.0057,6767.80355754
1698105600,0.9993,0.9996,1.0039,0.9991,23770.9631,23789.19380953
1698192000,0.9997,0.999,0.9997,0.999,5218.3208,5213.94716611
1698278400,0.9991,0.9998,1.0019,0.999,9231.5118,9233.65885908
1698364800,0.9998,0.9998,1.0039,0.9992,10024.0308,10040.90055952
1698451200,0.9998,0.9992,0.9998,0.9991,1602.5356,1601.45512587
1698537600,1,0.9993,1.0019,0.9991,3901.9407,3901.64922231
1698624000,0.9993,0.9995,1.0042,0.9991,17506.7243,17560.39158571
1698710400,0.9995,0.9991,0.9995,0.9991,455.7256,455.33636775
1698796800,0.9992,0.9994,1.0024,0.9991,8724.945,8734.46373571
1698883200,0.9994,0.9996,1.0041,0.9994,6616.6306,6629.25779805
1698969600,0.9997,0.9991,1.0012,0.9991,1034.2215,1033.55865925
1699056000,0.9991,0.9991,0.9993,0.9991,2305.6455,2303.5755162
1699142400,0.9992,0.9993,1.0035,0.9991,11203.8452,11221.79479403
1699228800,0.9992,0.9992,1.003,0.9991,4942.3094,4942.33381887
1699315200,0.9992,0.9997,1.0038,0.9991,6380.262,6392.10914051
1699401600,0.9996,0.9994,1.0025,0.9992,2149.1708,2148.96986579
1699488000,0.9993,0.9995,1.0024,0.9991,5871.6419,5870.20594191
1699574400,0.9996,0.9996,1.0011,0.9991,7441.2106,7436.51758743
1699660800,0.9994,0.9993,1.0019,0.9991,5359.4826,5358.51350556
1699747200,0.9993,0.9992,0.9993,0.9991,1258.8317,1257.80052835
1699833600,0.9992,0.9997,1.0036,0.9992,17306.7413,17341.74628303
1699920000,0.9996,0.9991,1.0036,0.9991,3761.4235,3760.65794874
1700006400,0.9992,0.9992,1.0009,0.9991,4263.643,4260.27310112
1700092800,0.9992,0.9992,1.0019,0.9945,13893.1582,13879.25630948
1700179200,0.9991,0.9967,1.0019,0.9966,22175.6827,22179.06539547
1700265600,0.9967,0.9988,1.0019,0.9966,5875.3931,5877.25398928
1700352000,0.9994,0.9988,1.0019,0.9976,6954.7669,6953.77773152
1700438400,0.9988,0.9985,1.0019,0.9956,10877.5493,10867.42183401
1700524800,0.9985,0.9991,1.0017,0.9985,3609.8234,3608.97669544
1700611200,0.999,0.9991,1.0019,0.9946,8442.5144,8436.20926948
1700697600,0.9991,0.9978,1.0019,0.9941,16407.4686,16350.54661332
1700784000,0.9979,0.9987,1.0019,0.9934,10917.6301,10899.97982541
1700870400,0.9986,0.9975,1,0.9941,14403.8269,14367.93524057
1700956800,0.9981,0.9991,0.9996,0.9936,12116.3725,12092.68704364
1701043200,0.9989,0.9989,1.0016,0.9896,35067.9016,34931.92657807
1701129600,0.999,0.999,0.9992,0.9956,2400.1455,2394.28573439
1701216000,0.9991,0.9994,1.0019,0.9946,6935.8405,6928.69213585
1701302400,0.9995,1.0019,1.0019,0.9991,9886.0459,9895.88963897
1701388800,0.9996,0.9966,1.0004,0.9948,15308.9653,15276.54278701
1701475200,0.9971,0.998,1.0019,0.9924,13871.1969,13834.80840575
1701561600,0.9981,0.9983,0.9986,0.9946,1414.108,1409.71344348
1701648000,0.9983,1.0001,1.0019,0.9947,5640.8747,5638.57873958
1701734400,0.9999,0.9992,1.0018,0.9945,12288.9098,12280.04819858
1701820800,0.9992,0.9993,1.0019,0.9974,12150.6764,12154.91834251
1701907200,0.9999,0.9991,0.9999,0.9991,626.0003,625.59750687
1701993600,0.9996,0.9994,1.0018,0.9991,16359.6287,16365.06089531
1702080000,0.9994,0.9992,0.9995,0.9949,10487.0307,10449.76274972
1702166400,0.9993,0.9992,1.0019,0.9948,8285.3137,8277.13301498
1702252800,0.9993,1.0006,1.0019,0.9991,41403.3846,41445.06433726
1702339200,1.0005,1.0001,1.0019,0.9987,11842.9434,11852.67750853
1702425600,1.0001,1.0007,1.0018,0.9991,7265.1527,7262.08668239
1702512000,1.0007,0.9982,1.0016,0.991,9630.4122,9608.1469787
1702598400,0.9985,0.9996,1.0019,0.9978,7345.3149,7345.82228055
1702684800,0.9996,0.9992,1.0019,0.9978,5191.2767,5190.6061827
1702771200,0.9992,0.9999,1.0019,0.9991,16573.7156,16577.57724323
1702857600,1,0.9997,1.0011,0.9991,2490.2202,2489.75951228
1702944000,0.9998,1.0001,1.0019,0.9991,5476.9849,5481.31837719
1703030400,1,0.9997,1.0019,0.9991,4377.7514,4382.28965696
1703116800,0.9997,0.999,1.0019,0.9949,18038.5289,18018.73056479
1703203200,0.9996,0.999,1.0019,0.9968,5574.3301,5572.94616428
1703289600,0.9993,0.9986,0.9997,0.9949,5566.7373,5552.99038417
1703376000,0.9985,1.0019,1.0019,0.9958,10622.4607,10619.55564335
1703462400,0.999,0.9994,1.0019,0.996,14343.0313,14337.22830432
1703548800,0.9993,0.9991,1.0019,0.9946,23887.5873,23888.95456092
1703635200,0.9995,0.9991,1.0019,0.9991,15974.5746,15974.51997059
1703721600,0.9991,0.9986,0.9992,0.9946,9867.8441,9850.23010308
1703808000,0.9985,0.9979,1.0019,0.995,23762.8441,23725.90865214
1703894400,0.9979,0.9996,0.9998,0.9957,11210.7329,11186.50065072
1703980800,0.9996,0.9998,1.0009,0.995,24357.045,24330.99060802
1704067200,0.9999,0.9993,1.0019,0.9968,10588.9818,10592.99500361
1704153600,0.9995,0.9989,1,0.9957,8318.081,8305.34348389
1704240000,0.9988,0.9991,1.0019,0.9943,13284.783,13267.51128539
1704326400,0.9992,0.9987,1.0019,0.9961,5974.0626,5971.54588768
1704412800,0.9986,0.9987,0.999,0.9891,15087.8156,15044.12697867
1704499200,0.9986,0.9947,0.9987,0.9942,12488.6574,12441.12364222
1704585600,0.9974,0.9967,0.9996,0.9929,27930.6374,27826.84031154
1704672000,0.9966,0.9966,0.9998,0.9929,15811.0831,15746.36397561
1704758400,0.9969,0.997,1.0001,0.9923,15374.1681,15328.95295336
1704844800,0.999,0.9966,1.0002,0.9929,12771.9758,12741.04897326
1704931200,0.9966,0.9986,0.9998,0.9931,26049.1292,25982.78159547
1705017600,0.9987,1,1.0008,0.9946,32955.7079,32915.00211355
1705104000,1.0001,0.9996,1.0004,0.9954,11429.1583,11405.60794097
1705190400,0.9998,0.9996,1.0004,0.9969,9685.2205,9679.40653817
1705276800,0.9999,1.0004,1.0019,0.9981,5675.4899,5677.56946157
1705363200,1.0004,1.0006,1.0017,0.9969,17713.5195,17707.76700241
1705449600,0.9997,1.0002,1.0019,0.996,21808.1762,21804.31620824
1705536000,1.0002,1.0006,1.0019,0.9991,53633.554,53669.71901182
1705622400,1.0004,0.9996,1.0019,0.9991,35311.3239,35324.98023872
1705708800,1.0002,0.9999,1.0006,0.9991,9235.6291,9234.68927567
1705795200,0.9999,1,1.0017,0.9991,5813.7988,5813.05155182
1705881600,1.0001,1.0003,1.0019,0.9973,53502.5647,53489.00502599
1705968000,1.0004,1,1.0011,0.9972,13481.8264,13482.93979799
1706054400,1.0001,1.0009,1.0009,0.9991,12025.1541,12027.45248378
1706140800,0.9996,0.9998,1.0009,0.9992,8488.4121,8488.91302426
1706227200,0.9997,0.9996,1.0009,0.9991,5788.076,5786.78595327
1706313600,0.9996,0.9996,1.0009,0.9991,8844.031,8843.9445589
1706400000,0.9996,1.0001,1.0001,0.9951,15573.3116,15560.09853903
1706486400,1,0.9977,1.0008,0.997,9306.3191,9297.59765859
1706572800,0.9993,0.9993,1.0011,0.9977,33783.4554,33793.23636546
1706659200,0.9994,0.9984,1.0015,0.996,27682.3817,27682.57613629
1706745600,0.9998,0.9983,1.0005,0.9983,16977.5413,16981.4451977
1706832000,0.9998,0.999,1.0003,0.9959,17098.0176,17074.87307359
1706918400,1,0.9999,1.0046,0.996,68111.7629,68169.82883144
1707004800,0.9999,0.9998,1.0016,0.9991,9724.0182,9718.78172063
1707091200,1,1.0006,1.0017,0.9955,17114.1605,17105.71199455
1707177600,1.0008,1.0004,1.0017,0.9963,16480.1828,16472.95691661
1707264000,0.9998,0.9974,1.001,0.9968,12490.3211,12486.54108471
1707350400,0.9997,1.0008,1.0013,0.9967,29858.4725,29866.35024281
1707436800,0.9995,0.9989,1.0014,0.9948,27236.3141,27205.01163307
1707523200,0.9988,0.9986,1.0008,0.9943,20628.2696,20615.35763898
1707609600,0.9999,0.9962,0.9999,0.9961,1633.3961,1630.59675149
1707696000,0.9984,0.9981,1.0008,0.9966,10495.1224,10489.3906713
1707782400,0.9984,1.0009,1.0009,0.9968,2433.2361,2432.59518396
1707868800,1.0009,0.9993,1.0009,0.9991,3192.0682,3189.83623369
1707955200,0.9993,0.9995,1.0034,0.9991,22685.2484,22703.30088634
1708041600,0.9996,0.9966,1.0034,0.9892,53082.2743,52945.6707277
1708128000,0.9968,0.9992,1.0029,0.9968,43642.8601,43632.75406165
1708214400,0.9992,0.9971,1.0009,0.9685,16961.0171,16920.26142213
1708300800,0.9966,0.9979,0.9993,0.9943,5207.0458,5192.48681203
1708387200,0.998,0.9982,1.0009,0.9934,8663.8418,8645.34336553
1708473600,0.9983,0.9988,1,0.9938,5369.6232,5354.3707534
1708560000,0.9986,1,1,0.9948,4406.3523,4399.47433284
1708646400,0.9995,0.9996,1.0009,0.9948,14757.0379,14753.18855257
1708732800,0.9997,0.9996,1.0009,0.9993,369.0147,369.05282254
1708819200,0.9995,0.9998,0.9998,0.9991,743.4742,743.06913244
1708905600,0.9996,1.0009,1.0009,0.9992,4885.6067,4887.68400331
1708992000,0.9992,0.9967,1.0009,0.9961,14804.8049,14791.22706607
1709078400,0.9966,0.9977,1.0009,0.987,16851.4738,16790.56263552
1709164800,0.9979,0.9982,1.0009,0.9931,30118.4112,30061.48172627
1709251200,0.9975,0.9977,1.0009,0.993,32224.1762,32142.91822544
1709337600,0.9975,0.997,0.9997,0.9935,12414.3159,12375.76220255
1709424000,0.9969,0.9936,0.9969,0.988,23403.9081,23205.52325822
1709510400,0.9934,0.9965,0.9996,0.9926,27820.4455,27751.59080129
1709596800,0.9973,0.997,1,0.9923,73951.8155,73728.06730893
1709683200,0.9972,0.9989,0.9994,0.9938,15933.6332,15902.6940458
1709769600,0.9989,0.9982,0.9995,0.9642,32182.5636,32048.51953034
1709856000,0.998,0.9964,0.9994,0.9933,22657.464,22580.44681854
1709942400,0.9966,0.9959,0.9994,0.9916,9351.3069,9304.1744212
1710028800,0.9961,0.9953,0.9994,0.9915,14364.8201,14309.24696825
1710115200,0.9952,0.9951,0.9994,0.9909,38279.3467,38057.05199687
1710201600,0.9952,0.9959,0.9992,0.9904,11318.7987,11259.03866875
1710288000,0.996,0.9962,0.9982,0.9902,20525.4981,20395.40460715
1710374400,0.9962,0.9963,0.9979,0.9916,26378.1428,26243.61297639
1710460800,0.9963,0.9974,0.9976,0.9922,33512.761,33319.67356772
1710547200,0.9965,0.9974,0.9974,0.9918,18663.0905,18578.72355459
