time,open,close,high,low,volume,turnover
1770699600,0.9997,0.9997,0.9997,0.9997,1.2178,1.21743466
1770703200,0.9996,0.9996,0.9996,0.9996,61.1369,61.11244524
1770706800,0.9998,0.9998,0.9998,0.9998,1.099,1.0987802
1770710400,0.9998,0.9997,0.9998,0.9997,51.0341,51.02378877
1770714000,0.9997,0.9997,0.9997,0.9997,0.9919,0.99160243
1770717600,0.9999,0.9999,0.9999,0.9999,0.9423,0.94220577
1770721200,0.9998,1,1,0.9998,52.8852,52.87902296
1770724800,0.9997,0.9997,0.9997,0.9997,0.8504,0.85014488
1770728400,0.9998,0.9998,0.9998,0.9998,201.78,201.739644
1770732000,0.9996,0.9996,0.9997,0.9996,5015.7548,5013.75879808
1770735600,0.9997,0.9997,0.9997,0.9997,0.7291,0.72888127
1770739200,0.9991,0.9991,0.9991,0.9991,0.6927,0.69207657
1770742800,0.9991,0.9993,0.9993,0.9987,15492.447,15478.68164
1770746400,0.9993,0.9993,0.9994,0.9993,825.6035,825.10557739
1770750000,0.9994,0.9994,0.9994,0.9994,0.5939,0.59354366
1770753600,0.9994,0.9995,0.9995,0.9994,2600.5442,2599.24387148
1770757200,0.9994,0.9996,0.9996,0.9994,805.825,805.4926184
1770760800,0.9995,0.9995,0.9995,0.9995,0.5092,0.5089454
1770764400,0.9995,0.9995,0.9996,0.9995,839.4637,839.04496815
1770768000,0.9995,0.9995,0.9995,0.9995,0.4595,0.45927025
1770771600,0.9996,0.9996,0.9996,0.9996,0.4366,0.43642536
1770775200,0.9995,0.9995,0.9995,0.9995,0.4147,0.41449265
1770778800,0.9996,0.9996,0.9996,0.9996,0.394,0.3938424
1770782400,0.9996,0.9995,0.9996,0.9995,270.6218,270.5134891
1770786000,0.9996,0.9996,0.9996,0.9996,3900.1917,3898.63162332
1770789600,0.9997,0.9997,0.9997,0.9997,0.5612,0.56103164
1770793200,0.9996,0.9996,0.9996,0.9996,0.5331,0.53288676
1770796800,0.9994,0.9994,0.9994,0.9994,0.5065,0.5061961
1770800400,0.9994,0.9994,0.9994,0.9994,3998.4811,3996.08201134
1770804000,0.9994,0.9994,0.9994,0.9994,358.5311,358.31598134
1770807600,0.9995,0.9995,0.9995,0.9995,247.3942,247.2705029
1770811200,0.9995,0.9995,0.9995,0.9995,0.4125,0.41229375
1770814800,0.9995,0.9995,0.9995,0.9995,0.3919,0.39170405
1770818400,0.9993,0.9993,0.9993,0.9993,4000.3523,3997.55205339
1770822000,0.9992,0.9992,0.9992,0.999,2330.2236,2328.35935038
1770825600,0.9995,0.9995,0.9995,0.9995,0.336,0.335832
1770829200,0.9995,0.9995,0.9995,0.9995,0.3192,0.3190404
1770832800,0.9995,0.9995,0.9995,0.9995,26.8932,26.8797534
1770836400,0.9996,0.9996,1,0.9996,1975.1841,1974.6029014
1770840000,0.9996,0.9997,0.9997,0.9996,6490.1477,6487.91563532
1770843600,0.9996,0.9996,0.9996,0.9993,5508.3094,5505.95300823
1770847200,0.9997,0.9997,0.9997,0.9997,100.237,100.2069289
1770850800,0.9996,0.9996,0.9996,0.9996,0.2346,0.23450616
1770854400,0.9996,0.9996,0.9996,0.999,26395.771,26379.98998392
1770858000,0.9996,0.9996,0.9996,0.9996,0.2118,0.21171528
1770861600,0.9996,0.9996,0.9996,0.9996,0.2012,0.20111952
1770865200,0.9996,0.9996,0.9996,0.9996,500.1811,499.98102756
1770868800,0.9996,0.9996,0.9996,0.9996,1.1815,1.1810274
1770872400,0.9997,0.9997,0.9997,0.9997,1.1225,1.12216325
1770876000,0.9997,0.9997,0.9997,0.9997,1.0663,1.06598011
1770879600,0.9996,0.9996,0.9996,0.9996,1.013,1.0125948
1770883200,1.0002,0.9997,1.0002,0.9997,483.3624,483.45859128
1770886800,0.9997,0.9996,0.9997,0.9996,73.9143,73.89203428
1770890400,0.9996,0.9996,0.9996,0.9996,0.8685,0.8681526
1770894000,0.9996,0.9996,0.9996,0.9996,0.8251,0.82476996
1770897600,0.9994,0.9994,0.9994,0.9994,0.7839,0.78342966
1770901200,0.9994,0.9994,0.9994,0.9994,0.7447,0.74425318
1770904800,0.9995,0.9995,1,0.9995,2066.7074,2065.70604555
1770908400,0.9994,0.9994,0.9994,0.9994,0.6721,0.67169674
1770912000,0.9994,1,1,0.9994,276.6815,276.68011478
1770915600,0.9996,0.9996,0.9996,0.9996,0.6065,0.6062574
1770919200,0.9997,0.9996,0.9997,0.9996,842.4762,842.14101725
1770922800,0.9997,0.9997,0.9997,0.9996,4862.9895,4861.16061815
1770926400,0.9997,0.9997,0.9997,0.9994,6431.9649,6429.60510396
1770930000,0.9997,0.9997,0.9997,0.9997,0.494,0.4938518
1770933600,0.999,0.999,0.999,0.999,0.4693,0.4688307
1770937200,0.9997,0.9997,0.9997,0.9997,0.4459,0.44576623
1770940800,0.9997,0.9997,0.9997,0.9997,0.4236,0.42347292
1770944400,0.9997,0.9997,0.9997,0.9997,0.4024,0.40227928
1770948000,0.9997,0.9997,0.9997,0.9997,20.4539,20.44776383
1770951600,1,1.0006,1.0006,1,1086.1539,1086.30105377
1770955200,1.0004,0.9999,1.0004,0.9999,21.425,21.4332725
1770958800,0.9999,0.9999,1.0005,0.9999,1048.2636,1048.75739868
1770962400,0.9998,0.9996,0.9998,0.9996,4822.8332,4821.10969645
1770966000,0.9997,0.9997,0.9997,0.9997,0.5101,0.50994697
1770969600,0.9996,0.9996,0.9996,0.9996,0.4846,0.48440616
1770973200,0.9996,0.9996,0.9996,0.9996,674.6642,674.39433432
1770976800,0.9996,0.9996,0.9996,0.9993,8256.2974,8252.91737994
1770980400,0.9995,0.9995,0.9995,0.9995,0.4155,0.41529225
1770984000,0.9996,0.9996,0.9996,0.9996,0.3947,0.39454212
1770987600,0.9996,1.0004,1.0004,0.9996,195.375,195.45285
1770991200,0.9997,0.9997,0.9997,0.9997,0.3563,0.35619311
1770994800,0.9995,0.9995,0.9995,0.9994,1988.3194,1987.14591481
1770998400,0.9994,1.0005,1.0005,0.9994,48.3215,48.3453071
1771002000,0.9996,0.9996,0.9996,0.9995,500.2654,500.02009784
1771005600,0.9996,0.999,0.9996,0.999,342.4202,342.14874192
1771009200,0.9993,0.9993,0.9993,0.9993,0.2757,0.27550701
1771012800,0.999,0.9994,0.9994,0.999,596.2519,595.8940441
1771016400,0.9994,0.9991,0.9994,0.9991,20.33,20.31479186
1771020000,0.9995,0.9995,0.9995,0.9995,0.2363,0.23618185
1771023600,0.9995,0.9994,0.9995,0.9994,92.9945,92.94068213
1771027200,0.9993,0.9993,0.9993,0.9993,2524.2633,2522.49631569
1771030800,0.9993,0.9993,0.9993,0.9993,20.2257,20.21154201
1771034400,0.9994,0.9994,0.9995,0.9993,4600.1625,4597.34440269
1771038000,0.9993,0.9993,0.9993,0.9993,0.1829,0.18277197
1771041600,1,0.9993,1,0.9993,1413.1506,1412.31867042
1771045200,0.9993,0.9993,0.9993,0.9993,1.3502,1.34925486
1771048800,0.9993,0.9993,0.9993,0.9993,1.2827,1.28180211
1771052400,0.9993,0.9993,0.9993,0.9993,101.2448,101.17392864
1771056000,0.9994,0.9994,0.9994,0.9994,41.1476,41.12291144
1771059600,0.9994,0.9994,0.9994,0.9994,1.0997,1.09904018
1771063200,0.9993,0.9993,0.9993,0.9993,1.0447,1.04396871
1771066800,0.9994,0.9994,0.9994,0.9994,0.9925,0.9919045
1771070400,0.9994,0.9994,0.9994,0.9994,0.9429,0.94233426
1771074000,0.9993,0.9993,0.9993,0.9993,260.3957,260.21342301
1771077600,0.9992,0.9992,0.9992,0.9992,4159.9034,4156.57547728
1771081200,0.9992,0.9991,0.9992,0.9991,1011.2284,1010.32091828
1771084800,0.9999,1.0004,1.0004,0.9999,82.951,82.95028747
1771088400,1.0004,0.9994,1.0004,0.9994,98.4296,98.43054224
1771092000,0.9996,1,1,0.9996,32.6971,32.69682276
1771095600,0.9994,0.9993,0.9994,0.9993,1972.4474,1971.06939651
1771099200,0.9993,0.9993,0.9993,0.9993,0.6255,0.62506215
1771102800,0.9994,0.9994,0.9994,0.9994,23.8943,23.87996342
1771106400,0.9994,0.9994,0.9994,0.9994,4509.5485,4506.8427709
1771110000,0.9994,0.9994,0.9994,0.9994,5678.172,5674.7650968
1771113600,0.9994,1.0002,1.0002,0.9994,569.3685,569.4419661
1771117200,0.9995,0.9994,0.9995,0.9994,1988.4751,1987.33490099
1771120800,0.9995,0.9995,0.9995,0.9995,0.4598,0.4595701
1771124400,0.9995,0.9993,0.9995,0.9993,30.4268,30.4074948
1771128000,0.9992,0.9992,0.9992,0.9992,0.415,0.414668
1771131600,1.0004,0.9992,1.0005,0.9992,38.723,38.70945551
1771135200,0.9992,0.9992,0.9992,0.9992,0.3745,0.3742004
1771138800,0.9992,1,1,0.9992,76.0462,76.00346986
1771142400,0.9993,0.999,0.9993,0.999,6439.0165,6434.07734481
1771146000,0.9993,0.9993,0.9993,0.9993,0.3211,0.32087523
1771149600,0.9993,0.999,0.9993,0.999,6394.4516,6389.55702351
1771153200,0.9994,0.9994,0.9994,0.9994,203.2898,203.16782612
1771156800,0.9994,0.9994,0.9994,0.9994,0.2753,0.27513482
1771160400,0.9994,0.9994,0.9994,0.9994,0.2616,0.26144304
1771164000,0.9994,0.9995,0.9995,0.9994,28.3485,28.33151575
1771167600,0.9994,0.9994,0.9994,0.9994,0.236,0.2358584
1771171200,0.9993,0.9993,0.9993,0.9993,0.2242,0.22404306
1771174800,0.9994,0.9994,0.9994,0.9994,250.1181,249.96802914
1771178400,0.9995,0.9994,0.9995,0.9994,20.2024,20.1902988
1771182000,0.9999,0.9996,1,0.9996,141.5537,141.55262243
1771185600,0.9996,0.9995,0.9996,0.9995,130.2269,130.16276797
1771189200,0.9995,0.9994,0.9995,0.9994,26.9535,26.93734525
1771192800,0.9995,0.9995,0.9995,0.9995,0.1648,0.1647176
1771196400,0.9994,0.9994,0.9994,0.9994,0.1566,0.15650604
1771200000,0.9995,0.9994,0.9995,0.9994,50.1488,50.12371072
1771203600,0.9994,0.9994,0.9994,0.9994,0.1413,0.14121522
1771207200,0.9994,0.9994,0.9994,0.9994,0.1343,0.13421942
1771210800,0.9994,0.9994,0.9994,0.9994,1182.1176,1181.40832944
1771214400,0.9994,0.9994,0.9994,0.9994,1194.1112,1193.39473328
1771218000,0.9994,0.9994,0.9994,0.9994,1.0651,1.06446094
1771221600,0.9994,0.9994,0.9994,0.9994,1.0119,1.01129286
1771225200,0.9995,0.9995,0.9995,0.9995,40.8313,40.81088435
1771228800,0.9995,0.9995,0.9995,0.9995,0.9132,0.9127434
1771232400,0.9994,0.9994,0.9994,0.9994,260.999,260.8424006
1771236000,0.9994,0.9993,0.9994,0.9993,20.8242,20.80970548
1771239600,0.9993,0.9994,0.9995,0.9993,586.4862,586.13430818
1771243200,0.9994,0.9994,0.9994,0.9994,5.7523,5.74884862
1771246800,0.9994,0.9994,0.9994,0.9994,200.9132,200.79265208
1771250400,0.9995,0.9995,0.9995,0.9995,2754.3008,2752.9236496
1771254000,0.9994,0.9995,0.9995,0.9994,181.1577,181.06705738
1771257600,0.9995,1.0005,1.0005,0.9995,1390.2775,1390.22879135
1771261200,1.0005,1.0005,1.0005,1.0005,0.5755,0.57578775
1771264800,1.0006,0.9997,1.0008,0.9997,2932.3148,2934.25826854
1771268400,0.9997,0.9997,0.9997,0.9997,1945.4994,1944.91575018
1771272000,0.9997,0.9993,0.9997,0.999,2041.7369,2040.60781719
1771275600,0.9994,0.9994,0.9995,0.9993,5595.365,5591.57488508
1771279200,0.9994,0.9995,0.9995,0.9994,315.4583,315.27102632
1771282800,0.9994,0.9994,0.9994,0.9994,86.9546,86.90242724
1771286400,0.9994,0.9994,0.9994,0.9993,442.5401,442.23874667
1771290000,0.9994,0.9994,0.9996,0.9994,1132.7164,1132.06350296
1771293600,0.9994,0.9994,0.9994,0.9994,172.4169,172.31344986
1771297200,0.9994,0.9994,0.9994,0.9994,20.3446,20.33239324
1771300800,0.9994,0.9995,0.9995,0.9994,78.769,78.7227391
1771304400,0.9995,0.9994,0.9995,0.9994,2069.0752,2067.83474043
