time,open,close,high,low,volume,turnover
1612656000,30,37.065,70,30,6721.40757174,257369.18503480684
1612742400,37.072,40.001,42.003,33,11972.72813939,457711.81767587454
1612828800,40.232,41.54,47.5,39.5,9703.5145958,406185.34894604793
1612915200,41.535,42,43,39.46,14314.91727327,593633.52514530279
1613001600,42,45.5,47,41.5,8354.82973685,370743.59789740574
1613088000,45.5,43.344,46.5,41.996,11194.90483672,487413.9353525056
1613174400,43.344,43.33,45.5,40.48,10109.72317872,436735.1889684288
1613260800,43.331,41.886,44.11,38.842,15700.67691031,656540.2812835403
1613347200,41.886,40.47,42.3,36,10331.49066773,411025.93310180839
1613433600,40.47,42.5,43.9,38.5,13614.23280252,561373.0599336143
1613520000,42.5,44.9,44.9,40.46,16491.63359081,697078.93619026797
1613606400,44.9,44.37,49.82,43,16608.44447266,770161.06798036
1613692800,44.63,41.501,46.5,41.5,10075.88146157,444485.2875442952
1613779200,41.77,40.5,47.5,40,17254.09079863,758172.57985342991
1613865600,40.433,43,45.14,39.588,14796.38720024,621578.53402102462
1613952000,43,39,45.499,34,24628.71625062,970104.93970400978
1614038400,38.999,34.836,40,32.956,16391.54980736,590438.57037609324
1614124800,34.836,35.218,38.833,34.5,9391.71550181,344609.45604432874
1614211200,34.963,34.5,38.7,34,14734.6632982,533976.53379480074
1614297600,34.5,32.5,35.999,30.919,14079.26204415,474925.14504681884
1614384000,32.5,34.643,35.999,32.383,8331.39502524,287753.35705918323
1614470400,34.643,32.726,34.941,30,10805.6407911,349076.49864170997
1614556800,32.94,34.288,35.499,32.5,20062.92764582,679991.07785728046
1614643200,34.28,32.998,37,31.501,17249.23181321,575624.27521507708
1614729600,32.751,34.001,34.979,31.9,15243.55863068,514290.90103193827
1614816000,34.001,32.848,34.978,30.5,16481.92209137,535220.39724210181
1614902400,32.848,33.751,33.999,29,13029.81210974,416157.39002263373
1614988800,33.763,33.998,33.999,32.001,4010.09651204,132569.61172909956
1615075200,33.762,36.985,36.985,32.9,9431.63035218,329604.95228041139
1615161600,36.986,43.59,47.843,35.069,17284.88155613,697501.19639536869
1615248000,43.59,43.5,48,43,11530.91569108,520365.69903324504
1615334400,43.46,41.271,44,40,7655.48815915,322907.64693624759
1615420800,41.207,40.348,44,38,14390.23511315,577047.72454015258
1615507200,40.279,37,40.5,34,13774.16889261,513088.56776576209
1615593600,37,38.5,39,34,19060.30880999,693929.65828436264
1615680000,38.259,38.649,39.834,35.5,15480.49621143,578879.83122745136
1615766400,38.646,37.04,39.499,35.5,15280.9574794,567921.35496902964
1615852800,37.04,42.195,43.778,35.7,20154.93371542,788661.75675449112
1615939200,42.195,45,45,38.5,10342.10347994,439801.19169250041
1616025600,44.736,43.877,46.5,41.501,14549.08018844,646130.79837783182
1616112000,43.928,47.5,49.9,42.81,12485.51742119,582471.64058773251
1616198400,47.5,44.361,48.5,42.3,12184.43573359,546596.35032759383
1616284800,44.153,45.25,46.244,42.632,13781.04480905,617169.02781103597
1616371200,45.266,42.91,48.999,39.88,21286.28264459,914709.84524951958
1616457600,42.91,42.628,48.2,40.686,21967.84811399,957647.76431944095
1616544000,42.612,39.646,45,39,22259.62627869,924412.15099464276
1616630400,39.646,39.8,41.5,35.892,13732.11540493,531171.73820156875
1616716800,39.75,42.5,43.005,39.298,12469.492831,508896.43357543534
1616803200,42.5,39.9,43.372,37.378,18942.49719219,758435.90780487131
1616889600,39.9,39.648,41.5,38.9,11345.15505761,452969.34211763056
1616976000,39.428,41.3,44.5,38.501,20704.8789994,863337.63862989184
1617062400,41.502,41.52,44,39.5,20057.76326052,827484.03996162091
1617148800,41.312,41.059,42.354,38.5,16639.60705751,682988.13374488209
1617235200,40.853,40.494,42.141,39.194,21505.07015793,870496.93711577575
1617321600,40.321,43,44.95,39.5,11984.60559447,494633.40045400981
1617408000,42.993,40.202,43.5,39.225,16962.48778036,696035.91550499041
1617494400,40.202,40.299,40.573,39.832,10612.38908223,426016.97355047201
1617580800,40.2,39,40.468,37,20475.24408594,801992.20671308772
1617667200,38.8,37.8,39.8,37.772,16083.76520941,623220.32268016205
1617753600,38.039,37.628,39.104,35.781,15604.57722509,584534.00871962353
1617840000,37.64,40.686,41.31,37.091,17145.39520835,669056.74006765853
1617926400,40.687,40.1,43.25,37.932,23367.88029572,945091.46363192018
1618012800,40.1,39.999,41.8,38.772,13563.1918749,540987.02897546894
1618099200,39.999,38.772,41.528,37.35,16971.73214115,669560.20478935604
1618185600,38.754,37.985,39,36,11787.30471869,450201.22114063459
1618272000,37.985,43.657,45,36,31193.84399262,1278593.0951488011
1618358400,43.657,43.892,44.8,40,21729.50932393,927432.36710611015
1618444800,43.892,41.035,44,40.15,15830.56400755,668393.72099677787
1618531200,41.007,40.936,43.5,37,18559.44821603,737961.15645427975
1618617600,40.7,45.181,46,40,19078.07653212,814669.28424232097
1618704000,45,40.801,45.505,36.77,23566.70882491,943309.37742845096
1618790400,40.995,43.501,45.5,38.018,29460.05487241,1232927.04454782118
1618876800,43.501,40.568,43.75,38.5,30334.531398,1231208.09953624046
1618963200,40.568,40.518,41.452,38.067,30622.44769701,1231080.68217579853
1619049600,40.51,41,44,40.01,28276.39750778,1186539.40249726419
1619136000,41,37.5,41.499,35.702,19495.11062529,747912.85284442443
1619222400,37.703,37.25,39,36.172,13494.52476135,504263.16359801345
1619308800,37.25,36.325,39.8,35.839,11291.10763824,421382.77767151331
1619395200,36.138,40.179,42,36.08,18820.67232256,749909.46023713299
1619481600,40.179,40.752,42.03,37.998,12049.04077622,477935.18373670082
1619568000,40.7,41.53,43,39.311,18148.66690188,738500.63352719418
1619654400,41.486,41.74,43,40.5,12549.12858918,520534.92456807628
1619740800,41.985,42.638,44.5,40.73,15395.71311838,659773.41573540422
1619827200,42.64,42.625,45.5,41,21482.3799903,934101.93681379995
1619913600,42.41,40.007,42.904,39.501,24277.91752759,991878.80764049155
1620000000,39.801,40.538,41.5,39.202,22270.58851224,894881.50088432989
1620086400,40.535,38.886,41,38.823,20974.96330131,832847.07782052477
1620172800,38.85,38.973,41.9,38,16401.54273912,647032.70546642314
1620259200,38.972,37.999,40.2,36.822,28526.76507726,1096552.41858565475
1620345600,37.798,39.656,41,37,21868.40036847,848034.05578188485
1620432000,39.885,39.5,42,38.475,13314.02991347,532262.04569835662
1620518400,39.501,38.679,40.309,34.5,22557.54196607,873495.18363170267
1620604800,38.68,41.34,44,36.001,43564.51508653,1766003.23395040963
1620691200,41.34,44,45,39.8,41829.39876038,1776675.09695242831
1620777600,44,41.866,48,41.866,40363.14675002,1812199.61134913556
1620864000,41.866,56.57,65.5,40.427,98272.08520781,5390427.54671753397
1620950400,56.796,54.491,62.5,50,45550.23676628,2596968.04978249759
1621036800,54.493,51.25,57,50.5,34591.48633339,1850685.58061097024
1621123200,51.527,50.1,54,45.792,24939.70208798,1261591.1489451076
1621209600,49.856,50.712,52.82,45,30065.17547481,1469787.21665410075
1621296000,50.712,62.599,64,49.5,37873.26836558,2103916.56649018391
1621382400,62.599,46.992,65.576,35.217,80225.32435901,4054832.01805704092
1621468800,47.249,52.474,53.887,40.893,42095.33332553,2055533.93671136887
1621555200,52.23,46.489,54,38.888,44844.81557711,2082029.86873306785
1621641600,46.489,39.5,48,39.027,26861.81004052,1127055.4899192983
1621728000,39.743,31.329,40.986,23,87244.82647491,2735534.21102951288
1621814400,31.311,40.925,43.5,31.1,43599.00377608,1623884.80543729695
1621900800,40.794,41.153,44.5,37.22,28551.74670039,1163146.57853159446
1621987200,41.132,45.034,45.9,41.088,22195.81155436,970408.4244213266
1622073600,45.034,46.763,51.5,41.001,26473.74634306,1237251.46071509036
1622160000,46.5,41.5,49,38.5,40179.53500704,1726199.45025405618
1622246400,41.5,39,44.1,35.5,28526.10358045,1119491.267572796
1622332800,38.812,40.098,42.3,36.5,16785.91990162,673307.37275894846
1622419200,40.106,43.981,44.9,38.9,25456.81337211,1079699.28915957344
1622505600,43.921,45.316,49,42.545,17785.92830062,813382.45022198959
1622592000,45.316,47.432,48.499,44.517,11015.26333309,517223.61115713644
1622678400,47.551,48.497,52.2,45.911,19184.91248352,942659.48911701499
1622764800,48.259,45,48.657,41.334,24086.58779076,1064078.63565091876
1622851200,44.768,43.06,45.75,42.501,17344.16484326,769514.24238225805
1622937600,42.806,43.001,44.3,42.654,7431.50765614,325198.74304059761
1623024000,43.257,41.838,45.75,41.422,16869.35659667,745961.5485981192
1623110400,41.838,41.796,43.1,36.36,35258.81728732,1419361.62988972998
1623196800,41.57,44.911,45.5,41,12295.47575293,529319.58070966699
1623283200,44.911,47.491,48.521,43.555,21864.07536386,995404.64165287066
1623369600,47.491,51.613,54.522,45.766,42442.91275011,2084875.78285208471
1623456000,51.613,53.284,55,47,26770.58083815,1362608.98711222685
1623542400,53.031,56.847,57.5,52,21264.5379065,1157769.45437955637
1623628800,56.859,61.648,62.5,56.578,33915.74471041,2028951.91865804326
1623715200,61.452,63.481,63.5,58.55,24415.06679941,1496891.97434737694
1623801600,63.137,72.44,88.831,62.5,92553.48734054,6746948.65094599584
1623888000,72.684,69,82.003,68.3,56741.75104816,4227471.04091986825
1623974400,69,71.001,73,57,64410.97122231,4258076.41767385976
1624060800,71.001,73.865,80.999,71,45194.61099072,3398370.48366134914
1624147200,73.865,74.475,75.5,63.095,65053.2676713,4520458.20252555828
1624233600,74.814,57.55,74.981,55,48243.28576216,3121653.90222885557
1624320000,57.629,59.499,66.5,44.1,106720.31535998,5856562.20348553494
1624406400,59.498,74,75,56.5,82246.80904787,5436444.19586840036
1624492800,74.392,79,80,65.88,81788.52579324,5985526.99136957935
1624579200,78.978,94.483,99,74.956,118162.63302876,10314397.05419707279
1624665600,94.328,81.279,95.857,74.221,65097.72938532,5256779.44834660018
1624752000,81.2,82.709,91.75,75.3,37396.07117174,3077713.35638873742
1624838400,82.709,74.6,93,74.568,60880.57001293,4963837.5515946614
1624924800,74.992,75.497,79.2,72.984,45101.67857108,3420864.32888102436
1625011200,75.449,68.4,76.369,67.62,41299.06830444,2950478.984703762
1625097600,68.106,68.499,72.5,65.479,29130.67679098,2003455.39835953941
1625184000,68.443,74.947,74.947,63.783,35276.87973265,2454956.0799538973
1625270400,74.948,78.552,86.858,74,39841.54490098,3243725.5838703046
1625356800,78.552,82.342,84.8,77.623,19177.49582023,1555528.35241454991
1625443200,82.342,78.394,86.134,76.5,26563.69432145,2152497.79805873719
1625529600,78.394,79.626,81,77.435,20598.2174711,1625388.45131224416
1625616000,79.626,80.025,82.621,77.344,23025.89564349,1838893.89418516659
1625702400,80.025,74.37,80.699,72,28154.44663893,2112624.96506623105
1625788800,74.796,77.451,79.008,72.329,19856.39678593,1506624.01675975939
1625875200,77.015,81.034,81.881,76.5,19679.49452975,1573568.15134795318
1625961600,81.034,78.602,81.6,78,13754.4406954,1098208.04543280488
1626048000,78.602,76.535,79.521,72,16000.12367969,1215613.81145530197
1626134400,76.536,72.538,77,70.486,18546.18909531,1365275.7275240723
1626220800,72.538,76.754,76.781,68.3,19002.10204378,1358986.3797682105
1626307200,76.754,72,79.049,71,15504.69587085,1156917.68399742888
1626393600,72,69.567,73.33,69,21752.25426823,1551885.62152426949
1626480000,69.567,69.299,70.693,68.1,11421.80508848,790179.58662200798
1626566400,68.976,69.957,73,68.432,10921.16978116,770023.26580347601
1626652800,69.956,66.421,69.958,65.5,20586.6363362,1387338.25108750626
1626739200,66.421,67.563,74.584,55.821,73671.56591628,4882948.86292848072
1626825600,67.83,73.452,75.949,67.087,33268.40036833,2389931.64075692976
1626912000,73.332,73.139,74.68,71.291,19497.4039705,1424390.72742872901
1626998400,73.142,74,76,71.142,30930.93882238,2280975.55967667385
1627084800,74,82.499,83.587,73.705,31718.79285452,2524549.16668289984
1627171200,82.141,96.088,98.096,81.08,65725.12378798,5990888.58024143757
1627257600,96.087,90.842,100.09,86.7,49894.09802799,4608606.93311808302
1627344000,90.843,93.505,97,83.6,23085.75396036,2100747.14326296761
1627430400,93.505,99.765,99.983,92.312,40335.53125296,3863686.2653650652
1627516800,99.35,135.682,145,95.957,172375.86685681,21160747.37965792769
1627603200,136.33,131.553,136.999,121.007,49728.81557356,6412032.76842405393
1627689600,131.553,134.565,140,125.29,23935.8590444,3166871.33171044619
1627776000,134.513,175.21,178.8,134.2,116246.78727573,18818040.85256728852
1627862400,175.211,157.879,187,145.521,133738.19917803,21510257.79404377589
1627948800,157.879,164.8,175,142.782,46981.94639495,7402075.59326686692
1628035200,164.8,176.352,185.985,157.6,36162.95609027,6253723.04619178781
1628121600,176.954,173.333,180.925,168.354,22105.84920586,3862639.3407437944
1628208000,173.327,161.826,174.999,161,26074.11672671,4371934.85375131485
1628294400,161.852,154.766,166.763,149.967,31505.38650866,5003165.48403302012
1628380800,155.003,152.072,162.434,147.101,26568.48574638,4071279.78150003205
1628467200,152.072,152.025,167,142.268,31900.65988309,4873976.6328152032
1628553600,151.92,152.907,164.77,148.003,25325.60917242,3881141.39708294291
1628640000,153.209,155.988,164.733,153,23135.45155655,3662074.55510670574
1628726400,155.271,150.846,157.3,145.462,24430.36877403,3692671.57668992485
1628812800,150.697,153.82,159.826,147.611,19537.54511839,3035056.00646519301
1628899200,153.82,150.22,156.839,150.15,15760.3932306,2405387.14441113611
1628985600,150.342,164.98,167,147.413,17857.89417065,2751197.4067589884
1629072000,164.902,153.125,165.086,150,18119.15769271,2826644.69622741203
1629158400,152.98,164.899,167,150,30632.93392394,4833850.86973651857
1629244800,164.899,184.001,200,164.899,80468.21120509,14778196.68595570126
1629331200,184.001,178.351,192.427,176.425,34138.10129589,6261794.95198770028
1629417600,178.351,191.995,195.746,177.828,28459.37388621,5400139.85659324848
1629504000,191.997,186.995,194.995,183.529,20585.51576251,3882091.68197929378
1629590400,186.995,183.231,189.448,178.646,17522.89706152,3238594.512685074
1629676800,182.91,181.373,192.89,179.023,25770.25604562,4748142.68917497637
1629763200,181.373,206.25,209.999,177.56,58688.87391291,11408962.1576048349
1629849600,206.25,194.557,212.624,187.1,48502.45775855,9577045.32895270115
1629936000,194.51,186.042,197.319,180.912,25864.0393597,4853509.47672136726
1630022400,186.348,195.426,198.373,180.558,26680.02545557,5128527.26301576037
1630108800,195.426,193.817,196.863,191.117,18404.43364711,3581416.72008561531
1630195200,193.868,190.019,195.863,187.087,14826.34009255,2829794.35447461821
1630281600,189.683,183.805,191.2,182.709,21266.1425768,3975141.97303679388
1630368000,183.556,182.598,191.37,177,17851.54273539,3290766.06542685385
1630454400,182.116,186.515,187.307,180,20236.13796767,3706870.13524241722
1630540800,186.9,186.627,196,182.53,20011.99444156,3779365.91775253416
1630627200,186.19,185.93,187.944,181,28615.31115412,5299774.03674608762
1630713600,185.357,222.609,225.61,185.357,42046.41551434,8781483.13696908765
1630800000,222.606,319.883,331.03,220.808,105462.18013255,28896211.38995619348
1630886400,318.791,325.313,385.436,302.001,113259.50464683,38598555.89011669245
1630972800,326.294,353,358,287.67,72313.60462429,23268119.37484097163
1631059200,353,311.125,355,288.614,59991.02526773,19178385.48680954996
1631145600,311,313.426,333.67,296.298,50040.46929557,15710024.07444291432
1631232000,313.537,395.156,409.367,309.425,80412.87960617,28478608.98632803073
1631318400,395.2,383.952,429.695,356.638,70073.16046371,27391061.78363450979
