time,open,close,high,low,volume,turnover
1770926400,67.336,67.101,67.336,66.856,121.9524,8180.5400224
1770930000,67.142,67.499,67.694,67.135,46.823,3158.6293245
1770933600,67.556,68.303,68.303,67.524,42.1987,2864.9945271
1770937200,68.308,68.633,68.705,68.289,44.9654,3082.1027286
1770940800,68.566,68.559,68.792,68.068,86.0643,5892.393038
1770944400,68.582,69.178,69.605,68.53,78.3742,5411.9550078
1770948000,69.259,68.967,69.584,68.91,42.8609,2968.5795477
1770951600,69.041,68.173,69.123,68.113,115.2282,7891.1899857
1770955200,68.225,67.364,68.324,67.002,176.1269,11912.7219832
1770958800,67.376,67.299,67.591,67.11,54.2739,3657.2120198
1770962400,67.378,67.024,67.428,66.552,115.6153,7745.4456994
1770966000,67.108,67.082,67.112,66.738,78.2224,5231.8133662
1770969600,66.883,67.579,67.581,66.866,83.0077,5575.2404577
1770973200,67.483,67.492,67.601,67.296,113.0983,7624.0052836
1770976800,67.525,67.5,67.786,67.479,40.1032,2713.7350161
1770980400,67.428,67.489,67.694,67.336,75.3508,5085.78058
1770984000,67.433,67.263,67.433,67.16,15.5817,1048.5828242
1770987600,67.307,67.805,68.228,67.279,77.7093,5257.1166067
1770991200,67.832,68.079,68.429,67.639,117.6032,7990.5802914
1770994800,68.265,67.854,69.278,67.797,136.0785,9313.4656875
1770998400,67.906,69,69.213,67.906,102.9885,7067.8115242
1771002000,68.995,69.692,71.19,68.645,430.4452,30179.9749419
1771005600,69.704,69.793,70.622,69.472,188.1426,13168.7429955
1771009200,69.836,70.086,70.171,69.836,33.5593,2349.0450984
1771012800,70.102,70.36,70.86,69.958,75.8011,5332.2832634
1771016400,70.725,70.769,70.898,70.259,136.8031,9662.3552533
1771020000,70.801,70.374,70.801,70.22,81.4583,5740.5380356
1771023600,70.495,70.285,70.495,70.137,88.6609,6232.9663308
1771027200,70.312,70.574,70.787,70.193,25.8991,1826.8702746
1771030800,70.43,71,71,70.384,49.5238,3506.8760983
1771034400,70.719,71.055,71.303,70.719,74.7967,5311.0005469
1771038000,71.048,70.684,71.107,70.684,44.9485,3188.5158353
1771041600,70.797,71.034,71.035,70.731,18.913,1340.9102101
1771045200,71.137,70.591,71.141,70.591,38.0749,2700.8026029
1771048800,70.687,70.986,71.043,70.628,37.8873,2685.6506064
1771052400,70.986,71.038,74.608,70.986,622.8738,44698.7463058
1771056000,71.091,74.249,75,71.091,397.8526,29119.7758171
