time,open,close,high,low,volume,turnover
1775134800,70.123,70.287,70.449,69.783,21.9132,1535.6828889
1775136600,70.251,70.055,70.251,69.615,47.8345,3342.8067205
1775138400,70.041,70.555,70.582,70.041,26.229,1843.3795164
1775140200,70.599,70.875,71.276,70.599,118.3938,8401.2422389
1775142000,70.83,70.926,70.926,70.785,28.2925,2004.7019809
1775143800,70.982,71.152,71.456,70.857,99.9827,7108.5048366
1775145600,71.023,71.104,71.124,70.872,201.2915,14297.0913626
1775147400,71.135,71.327,71.672,71.135,124.6187,8903.780822
1775149200,71.28,71.495,71.672,71.111,37.9648,2712.1755566
1775151000,71.338,70.996,71.338,70.896,17.4028,1238.058
1775152800,71.058,70.989,71.265,70.948,90.6709,6443.694789
1775154600,70.989,71.588,71.672,70.989,16.3677,1169.9848434
1775156400,71.449,71.494,71.53,71.217,21.211,1514.4379781
1775158200,71.514,71.628,71.672,71.368,18.4998,1323.0730294
1775160000,71.769,72.441,72.544,71.769,139.8659,10097.6694614
1775161800,72.414,72.733,72.812,72.3,74.3166,5398.6898972
1775163600,72.755,72.808,72.894,72.241,188.0145,13664.2511032
1775165400,72.781,72.506,72.781,72.37,24.9036,1807.5466399
1775167200,72.538,73.467,73.672,72.538,47.61,3490.9668951
1775169000,73.612,73.651,74.003,73.518,44.6887,3295.8212918
1775170800,73.646,74.017,74.384,73.646,52.0969,3859.3812695
1775172600,73.844,73.572,73.856,73.207,83.2097,6114.3507388
1775174400,73.542,74.332,74.332,73.542,29.5115,2181.4754051
1775176200,74.25,74.6,75.154,74.241,298.0916,22246.7924796
1775178000,74.664,74.817,75.69,74.566,160.5746,12076.1112799
1775179800,74.899,75.012,75.162,74.895,304.0948,22817.2300751
1775181600,75.149,75.208,75.459,74.658,125.0062,9393.8904117
1775183400,75.152,75.592,75.639,74.858,104.7334,7859.8873852
1775185200,75.662,76.758,76.967,75.662,296.0519,22613.6755277
1775187000,76.77,76.366,77.179,76.24,220.5322,16940.0701206
1775188800,76.433,75.555,76.826,75.523,55.8568,4246.8648775
1775190600,75.523,75.162,75.523,74.003,181.25045545,13570.95016767375
1775192400,75.225,75.553,75.903,74.95,105.6519,7973.0970521
1775194200,75.593,75.332,75.786,75.144,78.6966,5938.8762023
1775196000,75.243,74.995,75.243,74.995,7.2872,547.0822839
1775197800,75.092,75.041,75.202,74.949,18.1991,1366.0699371
1775199600,75.16,75.301,75.523,75.16,21.6352,1630.7916673
1775201400,75.471,75.221,75.879,75.22,55.6481,4208.5093637
1775203200,75.191,75.177,75.523,75.141,42.8778,3227.9902247
1775205000,75.178,75.193,75.248,74.153,123.101,9196.4963663
1775206800,75.203,75.616,75.903,75.103,96.9277,7328.4775042
1775208600,75.523,76.794,77.519,75.523,317.7379,24410.6240069
1775210400,76.758,77.284,77.399,76.74,96.6331,7446.1281256
1775212200,77.028,76.411,77.14,76.411,85.8691,6595.8199778
1775214000,76.291,76.368,76.445,75.96,73.5594,5604.7661573
1775215800,76.317,76.409,76.409,76.06,7.8719,600.4440985
1775217600,76.447,76.346,76.447,76.031,8.5,647.7005011
1775219400,76.54,76.106,76.759,75.915,31.5892,2408.8788735
1775221200,76.054,76.275,76.317,75.847,60.5887,4608.216226
1775223000,76.298,76.098,76.323,75.975,11.1171,846.7104428
1775224800,76.272,75.571,76.278,75.519,36.8693,2793.1799735
1775226600,75.54,75.572,75.709,75.432,12.7606,963.9224192
1775228400,75.718,76.25,76.25,75.718,40.4827,3078.4156391
1775230200,76.329,76.451,76.481,75.971,23.3607,1779.8356866
1775232000,76.372,76.333,76.707,76.218,41.2276,3149.1834968
1775233800,76.239,76.554,76.561,76.166,8.6162,657.3655741
1775235600,76.605,76.677,76.85,76.605,14.9195,1143.974011
1775237400,76.734,76.957,77.03,76.699,123.6863,9497.9077093
1775239200,76.868,76.75,77.185,76.75,33.4881,2580.0037622
1775241000,76.608,77.001,77.038,76.606,56.1631,4319.5980013
1775242800,77.001,77.422,77.66,76.836,58.3039,4506.7453391
1775244600,77.451,77.542,77.599,77.168,53.2536,4123.8288344
1775246400,77.383,77.029,77.383,77.029,30.2606,2336.8427796
1775248200,77.008,77.057,77.199,76.822,41.6993,3212.3914958
1775250000,77.168,76.885,77.29,76.872,51.6224,3980.6862313
1775251800,76.796,76.713,77.006,76.516,18.4982,1419.6873806
1775253600,76.779,76.24,76.856,75.91,451.9896,34466.803066
1775255400,76.272,76.28,76.464,76.061,36.5168,2788.8639784
1775257200,76.364,76.434,76.606,76.364,30.1051,2302.0731221
1775259000,76.508,76.456,76.571,76.315,21.66,1656.0004712
1775260800,76.377,76.121,76.754,75.969,45.4023,3467.2266576
1775262600,76.028,75.761,76.033,75.524,39.2242,2969.5651572
1775264400,75.856,75.702,75.918,75.602,18.1953,1378.2490451
1775266200,75.58,75.835,75.835,75.524,8.3264,630.0439019
1775268000,75.831,75.19,75.831,74.966,42.4134,3191.6364612
1775269800,75.133,74.838,75.242,74.838,16.0663,1203.9365593
1775271600,75.044,74.944,75.408,74.883,21.4968,1615.3399754
1775273400,74.889,75.092,75.173,74.889,5.1584,386.7091776
1775275200,75.02,74.302,75.02,74.241,39.2395,2923.855449
1775277000,74.302,74.371,74.447,74.302,6.2846,467.4308685
1775278800,74.472,74.849,74.898,74.472,27.5073,2056.1237022
1775280600,74.796,74.915,75.296,74.796,37.5313,2819.6510226
1775282400,75.136,75.226,75.226,74.924,17.0268,1278.7775457
1775284200,75.16,75.347,75.347,75.16,9.8176,738.1834408
1775286000,75.359,75.008,75.408,75.008,13.92,1046.3084167
1775287800,75.001,74.526,75.001,74.522,30.8173,2302.6199988
1775289600,74.593,74.431,74.594,74.431,11.2378,837.4693146
1775291400,74.412,74.053,74.954,74.053,248.1064,18560.562985
1775293200,74.049,74.382,74.44,74.049,9.4213,699.9741158
1775295000,74.231,74.407,74.647,74.231,38.3826,2860.0445099
1775296800,74.299,74.481,74.507,74.222,29.6781,2206.7079006
1775298600,74.288,73.739,74.288,73.71,44.5824,3296.6305712
1775300400,73.764,73.663,73.81,73.639,14.9181,1099.9508493
1775302200,73.599,73.522,73.607,73.48,11.3997,838.1485213
1775304000,73.518,73.72,73.866,73.478,32.5861,2401.3390022
1775305800,73.721,73.756,74.023,73.538,35.6514,2627.6485544
1775307600,73.716,73.43,73.716,73.43,10.9242,803.9149198
1775309400,73.432,73.368,73.561,73.275,27.7683,2037.9699475
1775311200,73.269,73.229,73.269,73.109,9.7754,715.1638216
1775313000,73.408,73.495,73.739,73.103,72.3541,5305.9114216
1775314800,73.475,73.781,74.034,73.452,18.6881,1378.9956642
1775316600,73.741,73.346,73.741,73.318,69.8754,5129.3607171
1775318400,73.341,73.292,73.341,73,55.5986,4066.3690347
1775320200,73.234,73.324,73.487,73.188,62.3359,4567.2812791
1775322000,73.292,73.304,73.307,73.167,5.9672,437.2595376
1775323800,73.137,73.204,73.258,73.003,7.372,539.2407342
1775325600,73.086,73.014,73.086,72.6,77.708,5659.7808805
1775327400,73.046,73.043,73.046,72.944,5.0415,368.0078028
1775329200,73,73.705,73.862,73,81.2833,5971.5124443
1775331000,73.566,73.597,73.603,73.448,1.742,128.0917236
1775332800,73.408,73.414,73.549,73.304,9.1876,674.3457466
1775334600,73.409,73.138,73.5,73.138,50.8787,3729.1057928
1775336400,73.076,72.785,73.076,72.752,24.6095,1793.7980266
1775338200,72.824,73.093,73.199,72.824,11.9977,875.1914479
1775340000,72.974,73.478,73.478,72.974,12.8559,942.7896937
1775341800,73.495,73.389,73.495,73.249,12.506,916.9546656
1775343600,73.416,73.464,73.512,73.387,4.076,299.4757718
1775345400,73.436,73.398,73.718,73.362,25.9974,1910.8112967
