time,open,close,high,low,volume,turnover
1724198400,4,4.79,4.949,4,80820.506,372315.023676
1724284800,4.795,5.055,5.704,4.72,105495.9914,524906.6493098
1724371200,5.057,5.599,5.763,5.051,258212.54,1418264.01854
1724457600,5.598,6.201,6.377,5.452,482763.3767,2893923.2951656
1724544000,6.195,6.316,6.497,6.09,562187.87,3505570.29135
1724630400,6.314,6.174,6.425,5.959,249642.14796804,1540755.48277253264
1724716800,6.151,5.724,6.582,5.569,319677.65,1925050.8748
1724803200,5.718,5.535,6.285,5.461,618228.45993264,3566089.270307732
1724889600,5.544,5.241,5.817,5.171,586737.40995105,3263521.69385985915
1724976000,5.242,5.243,5.443,4.9,232699.78,1203198.09633
1725062400,5.235,4.995,5.334,4.95,139736.98,717134.31612
1725148800,4.995,4.822,5.161,4.802,264061.43999942,1318311.19580713886
1725235200,4.82,5.088,5.155,4.774,241201.32748478,1199644.17321078502
1725321600,5.084,4.702,5.201,4.7,197863.43,970987.51126
1725408000,4.705,4.912,5.047,4.534,120958.25991757,582576.59787425357
1725494400,4.915,4.682,4.959,4.628,142367.57,681545.12954
1725580800,4.686,4.678,4.936,4.451,226286.83,1061438.65047
1725667200,4.687,4.717,4.887,4.6,115086.06,551042.55272
1725753600,4.716,4.867,4.945,4.704,128292.46,618777.55706
1725840000,4.883,5.168,5.253,4.796,194157.64,965705.39368
1725926400,5.17,5.269,5.338,5.007,205139.58,1066962.67737
1726012800,5.266,5.087,5.285,4.816,321528.7,1604070.80324
1726099200,5.092,5.248,5.318,5.092,178694.25997993,929753.94252491348
1726185600,5.248,5.239,5.312,4.999,187674.38,969214.24446
1726272000,5.244,5.232,5.383,5.189,136179.85,719188.20975
1726358400,5.236,4.946,5.291,4.9,275719.26,1393351.90562
1726444800,4.942,4.742,4.998,4.675,160928.56,779307.42588
1726531200,4.741,4.771,4.96,4.656,224501.17,1080936.76043
1726617600,4.757,4.984,4.99,4.5,249030.12977851,1176888.0899867162
1726704000,4.99,5.131,5.275,4.983,231229,1191080.33466
