time,open,close,high,low,volume,turnover
1754956800,0.0033,0.004791,0.004832,0.0033,186870022,863028.513199
1755043200,0.004792,0.005207,0.00525,0.004754,320386116,1598091.504485
1755129600,0.005229,0.005153,0.006,0.004904,505205571,2688750.607722
1755216000,0.00517,0.005097,0.005362,0.004968,401687260,2080749.498714
1755302400,0.005097,0.005067,0.005647,0.00495,502963928,2562251.514174
1755388800,0.005068,0.005358,0.005558,0.005001,577499653,3040089.44499
1755475200,0.00536,0.005184,0.005374,0.004983,458940421,2340742.545443
1755561600,0.005206,0.004541,0.005274,0.004541,577458888,2968442.97292
1755648000,0.004561,0.004647,0.004768,0.004473,416219092,1914904.339216
1755734400,0.00466,0.004484,0.004789,0.0044,396043929,1827769.886957
1755820800,0.004485,0.005123,0.005269,0.004381,752256210,3600928.138927
1755907200,0.005116,0.004753,0.00514,0.004689,376460555,1853304.689342
1755993600,0.004752,0.004795,0.005049,0.004587,737512873,3461462.901071
1756080000,0.004796,0.004235,0.004819,0.004181,474890148,2149185.593668
1756166400,0.004246,0.004333,0.004365,0.004118,244123339,1022752.266307
1756252800,0.004349,0.004242,0.004377,0.00422,362800763,1557070.840161
1756339200,0.004239,0.004164,0.004419,0.004114,432819612,1848662.834775
1756425600,0.004165,0.00393,0.004183,0.003885,480612961,1943368.53287
1756512000,0.00393,0.003867,0.00407,0.003801,308425333,1198676.169375
1756598400,0.003842,0.003902,0.004061,0.003831,22307071,87377.321475
1756684800,0.003896,0.003643,0.004099,0.003476,14865619,55632.183045
1756771200,0.003643,0.003776,0.003851,0.003604,3907507,14607.818479
1756857600,0.003794,0.003817,0.003882,0.003704,5216472,19915.306681
1756944000,0.003818,0.003584,0.003885,0.003507,14107591,51836.191131
1757030400,0.003616,0.003788,0.003868,0.003554,10104563,37646.035898
1757116800,0.003788,0.003707,0.00395,0.003675,36619840,137475.091192
1757203200,0.003706,0.003869,0.003897,0.003675,14775969,56140.462465
1757289600,0.00384,0.004115,0.004185,0.003816,8848488,35826.586784
1757376000,0.004109,0.004123,0.00436,0.00408,6793558,28652.429837
1757462400,0.004134,0.00446,0.004506,0.004027,7827083,33001.102436
1757548800,0.004459,0.004419,0.004551,0.004334,8704435,39085.72606
1757635200,0.004419,0.004683,0.004766,0.004384,14444346,65733.441938
1757721600,0.004705,0.004794,0.004919,0.004643,21312482,102108.219398
1757808000,0.004755,0.004502,0.00477,0.004446,6569556,30111.254267
1757894400,0.0045,0.004224,0.00459,0.004155,8402538,36489.62504
1757980800,0.004239,0.004202,0.004338,0.004049,15407961,64688.516765
1758067200,0.004227,0.004377,0.004377,0.00402,19602739,81274.895275
1758153600,0.004378,0.004324,0.004531,0.004245,12029580,52949.731831
1758240000,0.00432,0.00412,0.004436,0.004075,4080226,17305.650015
1758326400,0.004097,0.004112,0.004241,0.00407,2714219,11262.333107
1758412800,0.004112,0.004039,0.004186,0.003991,9577280,38995.816279
1758499200,0.004037,0.003815,0.004088,0.003757,7562267,28983.884623
1758585600,0.003797,0.003681,0.003897,0.003659,4196709,15985.42225
1758672000,0.003683,0.003811,0.003895,0.003622,4224877,15940.293999
1758758400,0.003813,0.00352,0.003831,0.003453,6909814,25196.213684
1758844800,0.003549,0.003674,0.003722,0.003502,7343264,26375.118605
1758931200,0.003688,0.003723,0.003756,0.003636,2055258,7577.075606
1759017600,0.003725,0.003811,0.003833,0.003605,8532897,31870.974319
1759104000,0.003825,0.003851,0.003877,0.003752,8925440,34107.415865
1759190400,0.003838,0.003778,0.003844,0.003664,3458559,12948.714414
1759276800,0.003778,0.00398,0.00398,0.003659,5829479,22511.918001
1759363200,0.003981,0.004238,0.004301,0.003933,6521400,26757.228545
1759449600,0.004231,0.004183,0.004308,0.004106,4397195,18490.645315
1759536000,0.004187,0.004094,0.004224,0.00404,3785780,15588.567782
1759622400,0.004101,0.004085,0.004338,0.004049,4233698,17737.212072
1759708800,0.004102,0.004259,0.004377,0.004049,3619863,15353.794823
1759795200,0.004251,0.003991,0.004375,0.00399,2951293,12425.801343
1759881600,0.003997,0.00407,0.004264,0.003839,3768270,14993.138699
1759968000,0.004068,0.003918,0.004086,0.003838,2910940,11426.017526
1760054400,0.003908,0.003038,0.004224,0.00221,28362219,90240.398102
1760140800,0.003038,0.003019,0.003327,0.00287,28640719,89020.198208
1760227200,0.003019,0.003438,0.003454,0.002899,5425849,17253.834049
1760313600,0.003434,0.00356,0.003663,0.00339,3016925,10656.263291
1760400000,0.003561,0.003313,0.003576,0.003167,5628612,18901.673576
1760486400,0.003327,0.003163,0.003432,0.003135,2965659,9839.836004
1760572800,0.003171,0.003005,0.003279,0.002982,2306244,7138.887345
1760659200,0.003019,0.002902,0.003055,0.002755,8422053,23985.985632
