time,open,close,high,low,volume,turnover
1770692400,0.000611,0.000596,0.000622,0.000596,575842,351.584079
1770696000,0.000593,0.000596,0.00061,0.000593,750214,452.279926
1770699600,0.000599,0.000596,0.000599,0.000591,259236,153.666535
1770703200,0.000594,0.000593,0.000599,0.000593,18234,10.819796
1770706800,0.000593,0.000578,0.000593,0.000578,1047898,609.720193
1770710400,0.000578,0.000578,0.000578,0.000578,294,0.169932
1770714000,0.000578,0.000592,0.000592,0.000578,1453953,849.972051
1770717600,0.000593,0.000585,0.000594,0.000585,124707,73.420112
1770721200,0.000585,0.000585,0.000591,0.000583,323436,189.27436
1770724800,0.000584,0.000581,0.000584,0.000581,16727,9.767851
1770728400,0.000581,0.000581,0.000581,0.000581,227,0.131887
1770732000,0.000581,0.000584,0.000584,0.000578,24868,14.458475
1770735600,0.000584,0.000577,0.000584,0.000577,40245,23.287543
1770739200,0.000577,0.000577,0.000577,0.000577,195,0.112515
1770742800,0.000577,0.000572,0.000577,0.000572,114070,65.645793
1770746400,0.000573,0.000562,0.000573,0.000562,316369,178.692607
1770750000,0.000566,0.000567,0.000567,0.00056,299836,168.923346
1770753600,0.000567,0.000563,0.000568,0.000561,47854,27.034044
1770757200,0.000563,0.00056,0.000563,0.00056,63344,35.564948
1770760800,0.000557,0.000566,0.000572,0.000553,3708342,2108.632863
1770764400,0.000566,0.000554,0.000566,0.000552,1675196,931.123283
1770768000,0.000557,0.00056,0.00056,0.000557,261130,146.043573
1770771600,0.000563,0.000563,0.000563,0.000563,1095,0.616485
1770775200,0.000563,0.000566,0.000566,0.000563,65355,36.828882
1770778800,0.000566,0.000566,0.000566,0.000566,0,0
1770782400,0.000563,0.000557,0.000563,0.000557,132327,74.083654
1770786000,0.00056,0.000552,0.000562,0.000545,2327455,1288.375812
1770789600,0.000553,0.000545,0.000554,0.000545,969349,534.894588
1770793200,0.000545,0.000542,0.000545,0.000537,402179,218.112789
1770796800,0.000541,0.000537,0.000541,0.000537,17875,9.669503
1770800400,0.000537,0.000545,0.000547,0.000533,670245,363.380883
1770804000,0.000542,0.000543,0.000545,0.000537,369887,200.156328
1770807600,0.000539,0.000538,0.000548,0.000538,3946660,2155.890886
1770811200,0.000537,0.000545,0.000545,0.000537,81676,44.249648
1770814800,0.000545,0.000538,0.000547,0.000538,275412,148.489031
1770818400,0.000542,0.000539,0.000559,0.000539,917923,505.601379
1770822000,0.000539,0.000536,0.000539,0.000529,983741,523.882327
1770825600,0.000539,0.000532,0.000545,0.000532,1409811,758.723622
1770829200,0.000536,0.000536,0.000536,0.000536,3467,1.858312
1770832800,0.000536,0.000538,0.000538,0.000536,62971,33.83013
1770836400,0.000539,0.000543,0.000543,0.000539,145367,78.549369
1770840000,0.000544,0.000545,0.000551,0.000544,1544706,844.091623
1770843600,0.000545,0.000545,0.000553,0.000539,843422,460.81203
1770847200,0.000542,0.000547,0.000547,0.000542,66110,35.962574
