time,open,close,high,low,volume,turnover
1774882800,0.00041,0.00041,0.00041,0.00041,364,0.14924
1774884600,0.00041,0.00041,0.00041,0.00041,32215,13.20815
1774886400,0.000409,0.000405,0.000409,0.000403,3145508,1274.331695
1774888200,0.000405,0.000403,0.000407,0.000402,44730182,18129.140633
1774890000,0.000404,0.000404,0.000405,0.000403,8288232,3347.317124
1774891800,0.000403,0.000405,0.000405,0.000402,29331375,11845.543434
1774893600,0.000405,0.000405,0.000405,0.000405,0,0
1774895400,0.000406,0.000403,0.000406,0.000402,3332069,1344.583056
1774897200,0.000404,0.000404,0.000404,0.000404,9595,3.87638
1774899000,0.000402,0.0004,0.000402,0.000399,690717,276.741569
1774900800,0.000399,0.000403,0.000403,0.000399,209964,84.28305
1774902600,0.000399,0.000399,0.000399,0.000399,90614,36.154986
1774904400,0.000399,0.000399,0.000399,0.000399,1391368,555.155832
1774906200,0.0004,0.000401,0.000401,0.000399,2879276,1153.276446
1774908000,0.000399,0.000399,0.000399,0.000399,203480,81.18852
1774909800,0.000398,0.000397,0.000399,0.000397,250874,99.898343
1774911600,0.000397,0.000397,0.000397,0.000397,0,0
1774913400,0.000397,0.000397,0.000397,0.000397,0,0
1774915200,0.000397,0.000397,0.000397,0.000397,0,0
1774917000,0.000399,0.000401,0.000401,0.000399,1209909,482.820539
1774918800,0.000401,0.000401,0.000401,0.000401,0,0
1774920600,0.000399,0.000399,0.000399,0.000399,3688399,1471.671201
1774922400,0.000398,0.000399,0.000399,0.000397,915190,365.03529
1774924200,0.000399,0.000402,0.000402,0.000399,14804494,5914.171046
1774926000,0.000401,0.000402,0.000402,0.000401,1208167,485.293389
1774927800,0.000402,0.000405,0.000407,0.000402,68857208,27953.368876
1774929600,0.000407,0.000406,0.000408,0.000404,6171435,2506.867722
1774931400,0.000407,0.000403,0.000407,0.000403,471975,191.483147
1774933200,0.000403,0.000406,0.000406,0.000403,176444621,71367.252579
1774935000,0.000405,0.000403,0.000406,0.000402,90637635,36629.900755
1774936800,0.000404,0.000406,0.000406,0.000403,91768509,37081.064669
1774938600,0.000406,0.000407,0.00041,0.000404,188237931,76684.591154
1774940400,0.000407,0.000411,0.000413,0.000407,163743090,66949.327137
1774942200,0.00041,0.00041,0.000411,0.000407,5541699,2269.094765
1774944000,0.00041,0.000406,0.00041,0.000406,133575635,54355.96751
1774945800,0.000408,0.000406,0.000408,0.000405,53136203,21593.093884
1774947600,0.000406,0.000405,0.000408,0.000405,62085461,25195.235336
1774949400,0.000406,0.000406,0.00041,0.000405,221052514,89985.835107
1774951200,0.000408,0.000407,0.000408,0.000406,250960546,102226.498523
1774953000,0.000408,0.000409,0.000409,0.000406,128341639,52295.469645
1774954800,0.000409,0.000407,0.000409,0.000405,69880580,28466.528763
1774956600,0.000407,0.000408,0.000409,0.000407,203682568,83074.546708
1774958400,0.000408,0.000407,0.000409,0.000406,232817832,94873.124445
1774960200,0.000407,0.000407,0.000409,0.000406,304576898,124053.27843
1774962000,0.000407,0.000408,0.000409,0.000406,210480017,85784.741608
1774963800,0.000408,0.000407,0.000409,0.000406,181862802,74158.115627
1774965600,0.000407,0.000408,0.000409,0.000406,61304349,24995.785445
1774967400,0.000408,0.000408,0.000411,0.000408,96662344,39442.280371
1774969200,0.000409,0.000408,0.000409,0.000408,159969014,65267.758712
1774971000,0.000408,0.000408,0.000409,0.000408,59147078,24132.279219
1774972800,0.000407,0.000405,0.000408,0.000403,102917768,41841.099206
1774974600,0.000405,0.000403,0.000406,0.000402,110969583,44833.071094
1774976400,0.000404,0.000406,0.000408,0.000402,182514150,73912.897728
1774978200,0.000406,0.000407,0.000408,0.000405,81694799,33192.004456
1774980000,0.000407,0.000413,0.000414,0.000406,53247074,21691.394338
1774981800,0.000413,0.000418,0.000419,0.000412,8233789,3417.63381
1774983600,0.000419,0.000423,0.000426,0.000419,257223603,109280.849214
1774985400,0.000424,0.000423,0.000426,0.000423,351900969,149170.521474
1774987200,0.000423,0.000423,0.000426,0.000421,215034767,91191.468385
1774989000,0.000422,0.000424,0.000425,0.000419,164889227,69587.390078
1774990800,0.000423,0.000424,0.000426,0.000421,101556554,43011.030002
1774992600,0.000425,0.000426,0.000427,0.000423,185972972,79156.064878
1774994400,0.000426,0.000426,0.000427,0.000422,132877106,56468.018995
1774996200,0.000426,0.000427,0.000428,0.000424,76961359,32771.63258
1774998000,0.000426,0.000428,0.000429,0.000426,10067040,4307.794709
1774999800,0.000429,0.000429,0.00043,0.000427,38037162,16280.518855
1775001600,0.000429,0.000429,0.000429,0.000428,5375104,2301.43032
1775003400,0.000429,0.000432,0.000432,0.000428,10897199,4666.661547
1775005200,0.000433,0.000436,0.000437,0.000431,9622690,4183.652909
1775007000,0.000436,0.000439,0.00044,0.000435,11668822,5095.185445
1775008800,0.000438,0.000436,0.000444,0.000436,76803220,33571.620601
1775010600,0.000436,0.000436,0.000439,0.000435,167211374,73018.912346
1775012400,0.000436,0.000442,0.000442,0.000435,68790122,30111.375187
1775014200,0.000442,0.000441,0.000443,0.00044,9396227,4144.063021
1775016000,0.000441,0.000441,0.000442,0.00044,33557335,14798.918047
1775017800,0.000441,0.000442,0.000442,0.000439,12018054,5300.121258
1775019600,0.000441,0.000445,0.000445,0.00044,29694232,13122.642361
1775021400,0.000445,0.000448,0.000452,0.000445,36272767,16256.721048
1775023200,0.000448,0.000452,0.000455,0.000446,151363497,68580.539054
1775025000,0.000452,0.000454,0.000454,0.000452,59880168,27138.311556
1775026800,0.000452,0.000454,0.000454,0.000452,105945228,47980.288242
1775028600,0.000453,0.000451,0.000454,0.00045,113999777,51632.729231
1775030400,0.00045,0.000445,0.000454,0.000443,42741243,19122.098475
1775032200,0.000445,0.000442,0.000445,0.000442,17509573,7776.248482
1775034000,0.000442,0.000443,0.000445,0.000442,5369585,2378.711466
1775035800,0.000443,0.000438,0.000445,0.000438,13346117,5865.795842
1775037600,0.000438,0.000437,0.000439,0.000435,149152881,65132.889137
1775039400,0.000436,0.000438,0.000439,0.000435,132725562,57961.304954
1775041200,0.000438,0.000436,0.000439,0.000435,155596343,67906.655331
1775043000,0.000437,0.000437,0.000439,0.000435,343327763,149739.164955
1775044800,0.000436,0.000425,0.000438,0.000423,82009922,35575.430225
1775046600,0.000425,0.000423,0.000426,0.000419,97418289,41234.300036
1775048400,0.000424,0.000421,0.000426,0.00042,123478529,52287.587345
1775050200,0.00042,0.000421,0.000424,0.00042,107031184,45077.420571
1775052000,0.000421,0.00042,0.000423,0.00042,59257094,24955.749896
1775053800,0.00042,0.00042,0.000421,0.00042,1254080,527.198621
1775055600,0.000421,0.000421,0.000424,0.00042,94227916,39715.797163
1775057400,0.000421,0.000423,0.000424,0.000421,87956892,37102.970915
1775059200,0.000423,0.000424,0.000425,0.000421,123284436,52190.041245
1775061000,0.000424,0.000432,0.000433,0.000423,59802887,25752.274758
1775062800,0.000433,0.000434,0.000435,0.000432,52573772,22772.484131
1775064600,0.000434,0.000434,0.000434,0.000432,61283772,26550.328019
1775066400,0.000434,0.000461,0.000462,0.000432,55943430,24776.699426
1775068200,0.000461,0.000459,0.000462,0.000457,40348725,18547.09526
1775070000,0.00046,0.000454,0.000461,0.000453,7962954,3653.131092
1775071800,0.000453,0.00045,0.000453,0.00045,3049347,1376.603749
1775073600,0.000451,0.00045,0.000453,0.00045,2603767,1172.562091
1775075400,0.000449,0.000448,0.00045,0.000447,84831363,38010.582485
1775077200,0.000449,0.000449,0.00045,0.000447,46655537,20903.832421
1775079000,0.000449,0.000458,0.000458,0.000449,7087937,3215.387021
1775080800,0.000459,0.00046,0.000462,0.000458,8626949,3962.71713
1775082600,0.000459,0.000461,0.000461,0.000459,18737590,8632.057347
