time,open,close,high,low,volume,turnover
1775654400,84.67,84.71,84.78,84.64,1206.964,102227.74993
1775655000,84.76,84.1,84.94,84.1,4268.326999999999,360782.63549
1775655600,84.12,84.36,84.44,83.98,3060.64999902,257715.0631874252
1775656200,84.37,84.05,84.42,83.91,4123.593,347004.12092
1775656800,84.04,83.46,84.16,83.42,8034.214,672684.8519400001
1775657400,83.45,83.55,83.99,83.41,3069.209,256832.52892999997
1775658000,83.57,83.46,83.68,83.36,2279.07,190313.25078
1775658600,83.48,83.04,83.54,82.64,6547.627,543416.55114
1775659200,83.05,82.81,83.08,82.56,2240.1040000000003,185678.92596999998
1775659800,82.8,82.9,82.91,82.51,4745.99,392461.44578
1775660400,82.9,82.85,83.09,82.85,2455.376,203643.45750000002
1775661000,82.84,83.21,83.21,82.79,1680.642,139552.76153
1775661600,83.17,83.15,83.24,83.12,894.243,74379.00292
1775662200,83.18,83.23,83.35,83.05,1523.433,126785.81462
1775662800,83.23,83.38,83.46,83.18,973.74399953,81134.6722508913
1775663400,83.38,83.33,83.42,83.25,755.798,62992.632840000006
1775664000,83.31,83.28,83.44,83.27,1563.638,130347.75362
1775664600,83.31,83.33,83.37,83.21,849.0840000000001,70716.12524
1775665200,83.32,83.29,83.39,83.23,745.213,62082.682929999995
1775665800,83.22,83.19,83.22,83.05,922.448,76673.06762
1775666400,83.2,83.46,83.47,83.18,920.643,76723.34348000001
1775667000,83.44,83.48,83.6,83.35,1232.0929999999998,102830.32849
1775667600,83.52,83.47,83.6,83.43,2734.0,228255.70232
1775668200,83.48,83.6,83.75,83.48,618.3800000000001,51729.12221
1775668800,83.59,83.47,83.62,83.31,1590.652,132801.4754
1775669400,83.47,83.87,84.19,83.47,2838.266,238095.14366
1775670000,83.93,83.96,84.03,83.83,790.802,66365.29147
1775670600,83.97,83.95,83.97,83.86,334.211,28047.66432
1775671200,83.99,83.9,84.01,83.83,1289.323,108197.45343
1775671800,83.89,83.45,83.9,83.28,2051.843,171565.96429
1775672400,83.46,83.27,83.54,83.2,2155.936,179838.36010999998
1775673000,83.29,83.29,83.47,83.28,1487.58,124057.80784000001
1775673600,83.28,83.1,83.28,83.05,813.458,67651.77428
1775674200,83.1,82.9,83.11,82.82,1079.098,89522.71841999999
1775674800,82.89,82.91,82.99,82.79,1424.6709999999998,118116.39523999998
1775675400,82.99,83.0,83.13,82.93,1044.7240000000002,86749.38421
1775676000,83.02,82.83,83.02,82.77,791.075,65581.66439
1775676600,82.86,82.98,83.06,82.81,1636.478,135784.80164
1775677200,82.97,83.01,83.04,82.8,874.911,72545.82587999999
1775677800,83.01,83.21,83.22,82.99,1358.342,112858.71479
1775678400,83.19,83.26,83.37,83.18,2070.6980000000003,172439.53173
1775679000,83.27,83.36,83.38,83.23,677.988,56476.89482
1775679600,83.36,83.27,83.36,83.22,1470.011,122417.3156
1775680200,83.28,83.16,83.35,83.05,724.866,60345.47114
1775680800,83.15,83.18,83.19,83.07,1128.69,93825.47567000001
1775681400,83.19,83.27,83.28,83.18,933.495,77694.99067
1775682000,83.27,83.32,83.35,83.2,669.229,55721.03224
1775682600,83.33,83.44,83.58,83.33,1440.87,120296.58238
1775683200,83.43,83.48,83.61,83.42,1256.277,104887.17311999999
1775683800,83.48,83.45,83.51,83.3,990.0419999999999,82604.61269000001
1775684400,83.41,83.39,83.44,83.35,308.762,25747.89095
1775685000,83.38,83.42,83.45,83.35,793.444,66169.19128
1775685600,83.43,83.17,83.43,83.17,382.467,31852.60663
1775686200,83.16,82.88,83.19,82.87,1085.453,90077.67252000001
1775686800,82.87,82.7,82.98,82.67,1415.213,117216.24089
1775687400,82.7,82.96,83.0,82.6,897.6690000000001,74319.97429
1775688000,82.89,82.89,82.9,82.84,841.886,69757.78677
1775688600,82.87,82.64,82.88,82.61,582.526,48167.41358
1775689200,82.62,82.34,82.63,82.26,8393.733,692664.69494
1775689800,82.35,82.6,83.02,82.35,3719.5919999999996,307968.00647
1775690400,82.6,82.52,82.64,82.33,1844.453,152191.16985
1775691000,82.52,82.57,82.68,82.42,2430.739,200545.94027
1775691600,82.56,82.67,82.67,82.5,743.316,61371.290460000004
1775692200,82.67,82.57,82.69,82.55,584.722,48306.799150000006
1775692800,82.57,82.61,82.62,82.44,687.76,56761.53288
1775693400,82.57,82.51,82.68,82.46,469.343,38760.768970000005
1775694000,82.48,82.4,82.61,82.38,1203.612,99299.20466
1775694600,82.39,82.19,82.47,82.17,2022.0900000000001,166489.43176
1775695200,82.19,82.21,82.27,82.08,2398.5370000000003,197092.08471999998
1775695800,82.21,82.21,82.32,82.11,520.376,42789.00998
1775696400,82.21,81.9,82.28,81.72,4530.595,371430.17895
1775697000,81.88,82.01,82.05,81.86,1356.656,111216.93286
1775697600,82.02,81.93,82.08,81.79,656.281,53761.379400000005
1775698200,81.93,82.04,82.33,81.84,1954.781,160469.76433
1775698800,82.04,82.08,82.11,81.88,854.5029999999999,70050.29472
1775699400,82.07,82.24,82.26,82.07,897.912,73797.74587
1775700000,82.24,82.24,82.33,82.15,859.307,70650.58809
1775700600,82.24,82.35,82.35,82.11,665.02,54669.95001
1775701200,82.36,82.4,82.44,82.25,384.942,31692.85778
1775701800,82.36,82.29,82.38,82.21,252.368,20768.36978
1775702400,82.23,82.23,82.33,82.07,492.452,40487.11682
1775703000,82.21,82.13,82.27,82.12,366.14300000000003,30092.68861
1775703600,82.14,82.06,82.15,82.03,195.03300000000002,16011.5605
1775704200,82.05,81.97,82.05,81.9,862.716,70717.82876
1775704800,81.97,81.99,82.14,81.91,1480.515,121455.21020999999
1775705400,81.99,82.07,82.09,81.99,289.729,23772.68082
1775706000,82.08,82.11,82.11,81.94,1032.912,84719.87215000001
1775706600,82.13,82.03,82.17,82.03,656.886,53941.216230000005
1775707200,82.01,81.92,82.02,81.91,1063.479,87179.39928
