time,open,close,high,low,volume,turnover
1628035200,25,35.799,50,25,19984.13356515,701799.20795371364
1628121600,35.72,37.35,38.3,35.58,33122.03414698,1230417.40695362199
1628208000,37.388,39.535,40.444,35.71,28081.02777124,1075712.05113165799
1628294400,39.402,39.333,40.96,37.5,27779.11963342,1089974.73002417891
1628380800,39.45,37.715,39.517,36.846,14868.8506037,567902.02010804998
1628467200,37.714,38.767,39.974,36.384,34201.77059918,1333097.85391073314
1628553600,38.687,40.7,41.66,38.266,33168.85721204,1335250.52593199251
1628640000,40.69,41.7,43.9,40.69,36194.65760611,1539740.62990410596
1628726400,41.701,41.136,43.373,39.4,24835.40441602,1019883.67831771006
1628812800,41.136,44.949,46.875,40.724,39391.94458792,1718197.14557537194
1628899200,44.839,44.278,44.914,42.768,28335.32271043,1244053.85629596832
1628985600,44.209,54.19,54.6,43.584,105758.18799189,5252615.54653075809
1629072000,54.073,62.207,70.1,52.4,185858.43141337,11641213.95285475837
1629158400,62.207,64.256,77,58.758,261701.90845302,17995968.11602180621
1629244800,64.01,72.752,80.538,59.72,328259.00510369,24084202.82025776671
1629331200,72.591,72.842,75.43,68.29,165357.61341698,11924756.63409207168
1629417600,72.738,78.726,79.98,70.918,94200.87507685,7030808.59444425734
1629504000,78.643,73.876,81.895,72.68,77829.38242009,6002405.98394953383
1629590400,73.964,72.629,77.54,71.263,57285.35644984,4272580.21497920003
1629676800,72.748,75.63,76.72,71.574,61071.92905398,4506752.65518856115
1629763200,75.71,70.587,79.396,68.592,114337.52955211,8591396.33939220844
1629849600,70.5,71.993,72.74,66.135,76303.96843733,5329198.83103020661
1629936000,72,74.714,78.637,66.278,133286.75439679,9766195.53514430018
1630022400,74.99,88.041,88.948,72.206,237570.98241546,19575207.14014576031
1630108800,87.916,96.009,98.222,85.558,154009.42647318,14267480.29156676606
1630195200,96.105,94.267,97.8,90.143,138848.41960433,13007011.01035083092
1630281600,94.248,110.145,118.996,93.653,317955.40541914,33566111.25725969595
1630368000,110.369,108.234,130.499,103.102,494295.68203518,57374336.60111641802
1630454400,108.235,110.784,119.681,105.98,260625.31145722,29528188.15396008433
1630540800,110.722,128.23,133.682,108.962,308381.85277403,37569542.0255132091
1630627200,128.277,146.287,148.982,128.118,416323.90703419,58252242.35745209191
1630713600,146.274,138.976,150.614,135.823,227548.57721736,32788455.84971045308
1630800000,138.976,142.059,145,134.77,213260.19571055,29852728.26680187176
1630886400,142.065,164.276,166.076,137.011,301977.73408829,45970362.77976328069
1630972800,164.244,173.434,195.5,132,793976.87138355,141107313.60735601277
1631059200,173.44,191.2,198,146.512,602427.24452069,104694319.29214990684
1631145600,190.977,187.852,215.755,180.721,591168.06430855,119281832.93074140494
1631232000,187.958,179.433,197.268,168.025,372151.66962556,67282346.85905089351
1631318400,179.491,179.208,193.425,175.291,290679.47105582,53405927.85405563815
1631404800,179.133,174.327,181.635,170.172,169992.74144629,30078773.35253483104
1631491200,174.277,169.624,174.949,150.359,396190.55223054,64075399.86055458206
1631577600,169.624,158.743,171.927,142.5,351995.37179855,55178740.9397266525
1631664000,158.778,158.739,166.443,153.75,240014.00046983,38352048.27759804862
1631750400,158.823,152.17,163.068,147.392,223193.95422881,34714555.41505000289
1631836800,152.257,147.491,153.469,133.908,397191.31585817,56840511.99150885028
1631923200,147.532,169.3,171.501,144.134,543431.3317506,86689350.55048168369
1632009600,169.312,152.778,170.914,150.696,212570.11003993,34077909.10510867721
1632096000,152.872,132.738,153.387,130.219,456032.30163452,64194101.98531971273
1632182400,132.754,124.223,144.84,115.926,439508.22556278,58234858.12516786945
1632268800,124.261,148.156,151.489,122.149,375669.86064524,51470291.80143650343
1632355200,148.02,149.969,152.42,143,242858.38008795,35965254.14111750935
1632441600,149.876,139.16,151.26,128.1,260716.35179062,36253295.88130636784
1632528000,139.171,136.002,144.14,133.467,117126.0892282,16264714.53471664692
1632614400,136.019,135.708,140.722,124.689,165609.19891352,22100617.65603726634
1632700800,135.615,136.428,148.932,133.732,218948.89256492,31168290.10262644289
1632787200,136.291,132.158,139.348,128.065,167904.71788666,22445762.98416670763
1632873600,132.115,135.267,140.131,131.166,179552.81248116,24445705.07247310602
1632960000,135.271,141.457,142.891,134.056,145437.43373587,20154701.13280402038
1633046400,141.427,161.713,164.999,138.275,300953.36389722,46072168.11444010474
