time,open,close,high,low,volume,turnover
1770692400,86.66,85.86,86.84,85.28,20149.65,1729665.88296
1770696000,85.86,86.55,86.66,85.8,9482.305,818611.11802
1770699600,86.56,85.95,86.58,85.62,11318.773,974746.00533
1770703200,85.91,84.59,86.03,84.33,23236.48799887,1978885.9249935997
1770706800,84.6,84.63,85.13,84.43,13983.992,1185058.70938
1770710400,84.64,84.66,84.87,84.19,15455.433,1306856.25132
1770714000,84.65,84.56,85.09,84.31,11034.922,935439.68732
1770717600,84.58,84.23,84.74,84.21,8717.968,735983.32955
1770721200,84.23,83.84,84.6,83.77,12190.195,1026036.81471
1770724800,83.84,83.96,84.36,83.7,15410.317,1295559.59662
1770728400,83.96,84.67,84.78,83.7,18308.287,1543031.42366
1770732000,84.67,83.73,85.23,83.22,26208.027,2206281.35283
1770735600,83.72,84.28,84.52,83.45,26384.841,2220366.08623
1770739200,84.3,84.46,84.93,83.79,18351.348,1549170.86517
1770742800,84.45,84.89,85.13,84.21,13442.725,1138530.12457
1770746400,84.91,82.94,84.98,82.74,21655.003,1810549.24823
1770750000,82.94,83.11,83.5,82.45,16756.941,1390592.60453
1770753600,83.09,82.63,83.22,82.3,14187.875,1173739.74642
1770757200,82.62,82.46,82.93,81.91,12295.561,1013212.20461
1770760800,82.48,82.61,82.96,82.37,11059.911,913960.17335
1770764400,82.59,82.99,82.99,82.35,9464.108,782868.96244
1770768000,83,83.47,83.71,82.94,15599.093,1300511.13549
1770771600,83.47,83.76,83.78,83.2,6761.956,564722.80137
1770775200,83.76,83.54,84.38,83.54,17670.13,1484282.28284
1770778800,83.54,83.33,83.84,82.6,14905.635,1241573.08391
1770782400,83.34,81.97,83.52,81.72,21485.791,1772519.59089
1770786000,81.98,81.9,82.39,81.74,11763.172,965790.69723
1770789600,81.91,80.86,81.97,80.6,28634.985,2322678.94169
1770793200,80.86,81.02,81.36,80.3,15566.12998641,1258891.0689204331
1770796800,81.02,81.09,81.19,80.56,16592.727,1343533.75411
