time,open,close,high,low,volume,turnover
1775654400,0.9493,0.9502,0.9508,0.9493,15947.1,15149.08634
1775655000,0.951,0.9462,0.9537,0.9457,38944.9,36956.57887
1775655600,0.947,0.9488,0.9491,0.945,44256.6,41921.02652
1775656200,0.9484,0.947,0.9489,0.946,14943.699999999999,14164.80196
1775656800,0.9469,0.9395,0.9474,0.9389,27588.7,26019.256419999998
1775657400,0.9395,0.9392,0.9436,0.9389,43625.2,41051.519400000005
1775658000,0.9395,0.9346,0.9403,0.9339,41355.2,38724.99096
1775658600,0.9349,0.928,0.9352,0.9235,138112.3,128157.85915999999
1775659200,0.9281,0.9258,0.9292,0.9224,87014.0,80680.78046
1775659800,0.9246,0.9222,0.9246,0.9204,56723.5,52289.31258
1775660400,0.9225,0.9256,0.9272,0.9209,45069.3,41698.70228
1775661000,0.9248,0.9317,0.9317,0.9243,42914.9,39798.25713
1775661600,0.9318,0.9291,0.932,0.9277,38299.8,35626.29069
1775662200,0.9286,0.9317,0.9338,0.9286,35852.8,33411.30406
1775662800,0.9328,0.9336,0.9336,0.9317,12741.900000000001,11889.9587
1775663400,0.9332,0.9337,0.935,0.9326,12358.3,11543.05221
1775664000,0.9343,0.9341,0.9348,0.9329,10454.5,9763.99301
1775664600,0.9336,0.9346,0.9349,0.9317,11399.2,10642.58062
1775665200,0.9352,0.9324,0.9362,0.9324,9507.3,8879.678899999999
1775665800,0.9323,0.9312,0.9323,0.9296,22338.899999999998,20798.35286
1775666400,0.9314,0.9318,0.9329,0.9314,1015.2,946.22954
1775667000,0.932,0.9316,0.9326,0.9305,7351.5,6849.26486
1775667600,0.9314,0.9329,0.9342,0.9307,30613.6,28512.01105
1775668200,0.9326,0.9328,0.9345,0.9318,35188.2,32855.87033
1775668800,0.9329,0.9293,0.9332,0.9279,25063.3,23326.368479999997
1775669400,0.9294,0.9345,0.9367,0.9291,60582.600000000006,56531.83872
1775670000,0.9347,0.9345,0.9347,0.9324,12270.1,11456.76805
1775670600,0.9348,0.9353,0.9353,0.9335,6630.2,6194.20341
1775671200,0.9355,0.9345,0.9355,0.9333,4693.5,4384.72991
1775671800,0.9333,0.9284,0.9335,0.9274,12772.9,11870.68764
1775672400,0.9275,0.9276,0.929,0.9265,28035.6,26012.797319999998
