time,open,close,high,low,volume,turnover
1744848000,2.0558,2.1027,2.116,2.0441,2689857.48,5616378.760082
1744891200,2.1028,2.1228,2.1706,2.055,3480687.91937876,7387127.600584053336
1744934400,2.1232,2.1289,2.1426,2.0965,3660414.1,7750405.45111
1744977600,2.129,2.1206,2.1539,2.0955,4090569.3,8693177.84678
1745020800,2.1207,2.1393,2.163,2.1107,4026834.77,8628992.858168
1745064000,2.1403,2.1547,2.1783,2.1207,3505212.2507854,7534007.133734683
1745107200,2.1545,2.0963,2.1719,2.0835,3554475.52,7598571.088178
1745150400,2.0959,2.1134,2.1373,2.0824,4560294.33351702,9588520.373528636436
1745193600,2.1139,2.2414,2.2849,2.1099,3767611.00049972,8348596.275890119761
1745236800,2.2416,2.1953,2.2689,2.137,3964751.01771338,8703976.312030462786
1745280000,2.1965,2.3299,2.335,2.1683,3740489.42881651,8429503.801959480803
1745323200,2.3262,2.6667,2.748,2.3215,10909867.35264878,27459302.613773702026
1745366400,2.6689,2.8688,2.9669,2.6689,10313973.93399928,29333520.263501021249
1745409600,2.8686,2.9658,3.0773,2.858,12405030.75525567,36963957.629139887993
1745452800,2.9649,2.9917,3.1291,2.8955,8686481.45575996,26063910.506996234051
1745496000,2.9902,3.3432,3.3935,2.9773,11204628.52155661,36058993.430366931217
1745539200,3.3432,3.7071,3.7402,3.2753,9108028.96929223,32060973.528616790828
1745582400,3.7076,3.5185,3.8104,3.4721,7892632.34790359,28774755.693265286422
1745625600,3.5197,3.4366,3.648,3.4122,3511402.83673161,12488746.059873271926
1745668800,3.4366,3.5183,3.5564,3.3554,3279112.98914225,11333588.318610091679
1745712000,3.5181,3.6255,3.6545,3.424,3536175.40804718,12612038.132377847598
1745755200,3.6253,3.5568,3.6421,3.5334,4825950.599487,17341982.9081654642
1745798400,3.5578,3.7911,3.874,3.4012,7450932.23559276,26792688.911845515564
1745841600,3.7911,3.5263,3.8051,3.493,7704221.59912633,27936605.414506787016
1745884800,3.5274,3.5639,3.6341,3.4606,6981182.19954337,24806218.156945995602
1745928000,3.562,3.5328,3.6167,3.4239,8419545.9947407,29806247.676680256185
1745971200,3.5318,3.5268,3.6037,3.5064,2809781.27648645,9981658.212574580178
1746014400,3.5265,3.5074,3.5489,3.2741,5013982.78304788,17111530.536714302597
1746057600,3.5049,3.6793,3.7078,3.4561,3413550.8,12139627.26799
1746100800,3.6794,3.5509,3.7654,3.5184,4136925.94236863,15236037.152820681694
1746144000,3.5508,3.4456,3.5712,3.4183,3930590.2323837,13694267.713863303708
1746187200,3.4456,3.4262,3.4993,3.3902,3608214.72821355,12445358.34544468593
1746230400,3.4259,3.3516,3.4616,3.3296,2454045.05507951,8342894.126528749138
1746273600,3.3516,3.3352,3.3823,3.2651,3008566.09732974,9997460.197195795608
1746316800,3.3359,3.2325,3.359,3.1543,3337168.18776,10766549.021380193361
1746360000,3.2316,3.2747,3.3313,3.2073,2964049.13207419,9699083.477926864377
1746403200,3.2753,3.4304,3.4942,3.211,6671413.01761242,22438809.731623875993
1746446400,3.4319,3.4228,3.4834,3.3855,4846217.55466715,16636748.006624073375
1746489600,3.4248,3.1959,3.4275,3.17,5084895.8447611,16842288.026224399082
1746532800,3.1949,3.3461,3.3741,3.1184,6254261.12578398,20299396.896175575982
1746576000,3.347,3.3964,3.4466,3.3305,3826199.80258048,12982828.78547492162
1746619200,3.3965,3.3318,3.3992,3.2342,4886060.2335635,16165015.585808907197
1746662400,3.3311,3.7625,3.803,3.3158,8206233.89879639,29555257.969028518591
1746705600,3.7623,4.0343,4.1,3.7485,9814804.11184968,38414827.230689129485
