time,open,close,high,low,volume,turnover
1683072000,0.1,1.40268,2.1,0.1,67421474.21363233,86908739.2425548612182
1683158400,1.40305,1.33059,1.52321,1.29833,18646411.006269,26006633.8806125877
1683244800,1.32999,1.30645,1.38,1.25816,14473835.4531,18990357.779649448
1683331200,1.30587,1.32888,1.37627,1.2699,10027303.012,13287812.781704586
1683417600,1.32995,1.24268,1.34685,1.22,6229352.8338,8073129.656126971
1683504000,1.2428,1.13672,1.24432,1.02,14877710.3674,16835222.47745528
1683590400,1.13778,1.18366,1.21523,1.09476,8946571.87816,10263498.720157296
1683676800,1.18398,1.18044,1.24236,1.1,12002338.7023,14088947.141493898
1683763200,1.17936,1.07336,1.18149,1.03401,6055953.3669,6678842.973091658
1683849600,1.0744,1.11547,1.12225,1.013,5718313.1405,6052458.175907028
1683936000,1.11438,1.0996,1.14059,1.0861,2599652.7339,2871089.566608303
1684022400,1.09865,1.15891,1.20394,1.06773,5334878.1756,6066528.322138318
1684108800,1.15918,1.19233,1.25564,1.12401,7328560.8105,8890945.450249754
1684195200,1.1932,1.16485,1.20657,1.14127,4170538.0398,4905360.955885541
1684281600,1.16542,1.21172,1.21509,1.11417,4056378.0148,4734842.297365795
1684368000,1.21345,1.14033,1.22433,1.12654,3076746.1923,3600523.392341071
1684454400,1.14179,1.13091,1.14957,1.11482,2026626.9653,2301764.184970438
1684540800,1.13059,1.12375,1.13391,1.11045,1210029.7439,1357972.287079137
1684627200,1.12426,1.07295,1.15278,1.05138,2429012.2479,2672963.980584316
1684713600,1.07293,1.04972,1.07779,1.03404,2418851.05876644,2550777.8085022302336
1684800000,1.05031,1.05301,1.09783,1.02308,3075432.7899,3272956.542444056
1684886400,1.053,0.97805,1.053,0.94355,4997417.281,4919831.521939007
1684972800,0.97929,0.98211,1.01,0.93848,3610615.7615,3541211.634515553
1685059200,0.98373,0.99089,1.00939,0.96292,2188117.9578,2166929.475899435
1685145600,0.99177,0.99922,1.01734,0.98271,1732580.0586,1726802.699371521
1685232000,0.99807,1.063,1.07054,0.99241,2957328.6585,3040189.451547209
1685318400,1.06297,1.03888,1.09907,1.02251,4568648.8748,4844479.146927289
1685404800,1.03991,1.00156,1.062,0.99,2901306.04876667,2975012.1064089068451
1685491200,1.00102,0.9736,1.00959,0.94352,2563142.5854,2493575.576373131
1685577600,0.97397,0.9456,0.97916,0.9398,2270304.252,2177612.014327961
1685664000,0.94517,0.94132,0.96293,0.90297,4545946.6753,4257141.349813953
1685750400,0.94136,0.93433,0.95635,0.90624,7195192.635338,6714030.21846389408
1685836800,0.93321,0.96021,0.978,0.9261,3286044.8718,3147071.136910604
1685923200,0.95928,0.8171,0.97104,0.74527,10952871.5401,9182810.126351388
1686009600,0.81761,0.83086,0.84956,0.75418,7470855.0855559,6023771.999811537194
1686096000,0.83095,0.75692,0.83095,0.7432,5934180.4032,4604115.813110448
1686182400,0.75645,0.72887,0.79357,0.71489,8344319.95077559,6246042.5937116814605
1686268800,0.72896,0.73789,0.762,0.71,5823849.96897195,4307140.7346162254525
1686355200,0.73897,0.60996,0.74149,0.51,12489341.22634662,7627637.6126938570986
1686441600,0.6097,0.60494,0.62418,0.58693,5112084.1284,3102062.499510932
1686528000,0.6052,0.66313,0.68805,0.5691,9064402.57171256,5841661.532916430782
1686614400,0.66315,0.69737,0.72905,0.66191,11160090.1683,7796174.416129346
1686700800,0.69718,0.65104,0.71274,0.62743,8693321.62504134,5833462.7267926914534
1686787200,0.65082,0.64893,0.65907,0.62064,4579423.64616673,2933085.3933245460651
1686873600,0.64883,0.70715,0.72167,0.62307,5409999.2196,3623731.288033983
1686960000,0.70605,0.75372,0.78756,0.70431,10104758.67909082,7569790.5940143952744
1687046400,0.75298,0.72076,0.79687,0.713,7627535.5174,5789061.844120356
1687132800,0.71893,0.78505,0.79267,0.70936,7427601.94406448,5645582.4344476340832
1687219200,0.7852,0.81884,0.82759,0.74892,12301755.34585209,9626781.20796951321
1687305600,0.81893,0.83065,0.85,0.768,12193371.0594,9874857.94652247
1687392000,0.83166,0.80256,0.88911,0.79066,11613585.986625,9678040.69698200625
1687478400,0.8037,0.79845,0.83615,0.77,6452536.721,5180588.092542034
1687564800,0.7947,0.7525,0.7956,0.72477,5014060.0658,3825767.835951298
1687651200,0.75249,0.74549,0.78,0.74,5254180.614,4000526.482671356
1687737600,0.7447,0.72683,0.76008,0.71106,4217328.35148018,3097222.8741260629166
1687824000,0.7266,0.72045,0.75748,0.7022,5382034.4892,3906432.091067139
1687910400,0.72045,0.66331,0.72091,0.63704,4635495.1137,3140660.539696955
1687996800,0.6633,0.6806,0.715,0.66052,6177449.8806,4252615.725138917
1688083200,0.68058,0.68932,0.7113,0.62743,6509106.4936,4441269.279749529
1688169600,0.68881,0.68978,0.69104,0.66749,2000290.6027,1355768.712831785
1688256000,0.68966,0.68957,0.69422,0.6594,2682756.0487,1817894.778537752
1688342400,0.6909,0.70026,0.71626,0.68578,8732295.183,6110176.219257072
1688428800,0.70033,0.68422,0.73848,0.68,5159506.116638,3651371.20920175988
1688515200,0.68567,0.66216,0.69168,0.6453,3244817.6465,2164963.821377951
1688601600,0.66157,0.64887,0.68208,0.6343,3118865.5074,2056019.396293353
1688688000,0.6488,0.66126,0.66678,0.6399,2593533.5142,1697119.197118893
1688774400,0.66136,0.65256,0.66894,0.64135,1495518.2341,982069.517920264
1688860800,0.65322,0.6588,0.66638,0.64989,1550110.6546,1020735.974217096
1688947200,0.65924,0.65536,0.66685,0.627,2574298.3943,1662641.463525246
1689033600,0.65543,0.65544,0.66976,0.6428,1765462.8429,1157300.722596006
1689120000,0.65582,0.65525,0.68751,0.6451,1968503.083,1316326.256731235
1689206400,0.65518,0.69936,0.7159,0.64848,3617809.9243,2472310.446338505
1689292800,0.6993,0.68021,0.76255,0.65873,5295173.9285,3745119.210011123
1689379200,0.68075,0.68276,0.69842,0.66729,1818410.5012,1239296.910370475
1689465600,0.683,0.67243,0.69398,0.6633,1424063.6919,972466.100056191
1689552000,0.67126,0.71957,0.73179,0.66504,4689985.9512,3277008.694966881
1689638400,0.7199,0.73622,0.78476,0.7062,12116017.6799,9014452.675733795
1689724800,0.73611,0.71057,0.77562,0.70291,4485067.7729,3271662.98995264
1689811200,0.70968,0.68849,0.72789,0.68019,2302740.8915,1623374.270935376
1689897600,0.68737,0.68312,0.69576,0.67144,1094645.0736,748423.086401829
1689984000,0.68323,0.69308,0.70487,0.68186,1077211.6643,745071.660081363
