time,open,close,high,low,volume,turnover
1703030400,270.3,310.05,370,270.3,4865.837,1580582.721729
1703116800,310.05,307.99,337,282.65,2863.9972,886368.090122
1703203200,308,275.97,308.65,264.2,3709.8857,1056521.583853
1703289600,275.37,282.55,299,259.06,4456.4436,1225380.169394
1703376000,282.55,276.64,293.4,260.25,4559.2559,1253627.314909
1703462400,276.63,274.52,290,251.81,4746.9463,1250701.919381
1703548800,276.17,260.64,277.16,255,2712.3835,716891.489448
1703635200,261.99,319.79,339,256.62,5796.3927,1749932.525558
1703721600,319.94,306.99,350.53,293.35,3174.1434,992114.500524
1703808000,306.23,279,311.79,255.1,8528.9412,2374322.176417
1703894400,279,278.9,289.99,266.2,2817.4904,778310.034714
1703980800,279.1,267.96,287.99,262.59,1498.7669,409215.878047
1704067200,267.97,275,290,257,3923.4885,1041268.395466
1704153600,275,265.45,289.99,259.1,5567.8923,1506424.78106
1704240000,265.45,253.83,267,230.2,8454.135,2072237.116945
1704326400,253.83,256.16,267.94,240,6925.2744,1750936.247956
1704412800,256.52,241.03,260,232.88,5093.9789,1267886.348297
1704499200,241.03,238.3,247.88,229.57,5777.3764,1371037.905282
1704585600,238.89,219.41,243.99,216,4754.4878,1089083.493428
1704672000,219.41,251.15,260,191.42,12681.0989,2884954.422087
1704758400,251.27,243.99,269,234.44,7086.0724,1757464.814166
1704844800,242.85,239.59,251.82,204.93,15186.7002,3425496.30175
1704931200,239.61,233.41,251.9,228.8,7216.8231,1725987.374117
1705017600,233.53,223.45,236.93,207.51,6068.9711,1363484.700978
1705104000,223.45,229.8,239,210,5300.9824,1183896.123968
1705190400,230.92,220.3,241.26,217.2,3163.2762,712968.394428
1705276800,220.16,221.74,228.11,216.5,4110.6922,905799.423287
1705363200,221.74,256.03,270,219.83,10023.8443,2428391.518116
1705449600,256.52,268.7,284,246,11451.7019,3092852.994368
1705536000,269.96,253.85,273.99,233.8,6671.9372,1676271.592111
1705622400,254.66,246.34,255.29,223.97,7577.3868,1818546.771258
1705708800,246.5,250.42,256.23,235,3327.4529,821542.953931
1705795200,251.65,254.46,265.97,248.67,3684.0935,950175.161428
1705881600,255.05,250.68,259.94,235.01,7497.7253,1840066.522072
1705968000,250.28,268.96,278,247.54,11087.3964,2876555.085859
1706054400,268.95,321.73,327.86,264.99,15077.3385,4525876.14302
1706140800,322,325.5,371.57,304,15985.7798,5368537.634629
1706227200,325.51,342.73,360,314.47,8281.8972,2785631.741493
1706313600,342.7,359.93,369.87,330.11,6894.8113,2415442.872028
1706400000,360.72,359.1,388.47,351.4,8532.5344,3154925.82061
1706486400,358.95,391.99,408.52,339.03,11363.7011,4183232.722891
1706572800,391.17,424.58,476,385.91,30403.7985,13260511.849832
1706659200,424.52,468.79,482.24,414,17581.0165,7853114.322669
1706745600,468.79,448.32,483,429.72,15487.0391,7018309.049374
1706832000,447.88,431.82,457.67,415,9728.2312,4195316.080686
1706918400,431.89,431.86,460.44,428.7,8687.3153,3851382.360492
1707004800,431.17,419.42,438,416.66,4506.5637,1921877.072908
1707091200,419.08,448.26,453.07,417.04,9040.6442,3936487.236432
1707177600,448.65,490.76,535,448.65,22606.1441,11122659.146267
1707264000,490,438.68,500,438,12112.358,5713605.485958
1707350400,438.68,456.41,461,415,23411.5408,10279620.341597
1707436800,456.42,547.9,560,450,27578.241,13917776.875036
1707523200,548.64,577.18,625,523.72,26420.0015,15045789.003972
1707609600,577.61,536.68,600,529,22118.0724,12523291.742751
1707696000,536.68,541.23,590,532.48,16501.6358,9171386.248181
1707782400,541.98,582.42,593.04,522.72,17269.0767,9455871.989462
1707868800,582.72,620,620,558.8,14580.9794,8681696.561786
1707955200,619.58,673.02,704.09,600,21237.9229,13504945.655089
1708041600,673,665.11,702.33,630,15694.7728,10467881.910058
1708128000,665.05,658.93,680.99,630,10436.2938,6803230.812368
1708214400,659.26,639.79,674.33,630,9346.4268,6046044.857229
1708300800,640.62,640.99,682.78,595.51,13336.4551,8614718.974717
1708387200,640.99,623.19,654.09,560,14098.8396,8573237.312067
1708473600,623.59,628.47,630.27,561.31,10278.981,6105974.188387
1708560000,629.44,584.08,642,583.8,9610.248,5895126.720455
1708646400,584.83,582.49,616.2,572.69,5782.5232,3412459.68483
1708732800,583.76,559.75,601.03,558,5445.8154,3171646.646439
1708819200,559.69,567.49,590,549.29,6834.1625,3892659.943588
1708905600,566.92,598.5,621.2,561.96,11854.0862,7005467.170082
1708992000,597.98,605.77,646,579.72,10412.7746,6426287.751935
1709078400,605.5,609.23,636,585.74,10590.2516,6466561.474895
1709164800,610,620.37,642.27,575,12538.1614,7735010.088546
1709251200,620.69,668.69,730,610.33,23554.2593,16105184.928278
1709337600,669.32,650.11,691.5,633.33,9300.3902,6151907.190529
1709424000,650.15,625,660.73,620,8556.0987,5466529.539729
1709510400,624.99,645.63,671.11,618.78,14899.9367,9568147.21546
1709596800,645.31,675.25,718.6,600.65,18113.3027,12114635.146416
1709683200,677.14,715.32,748.95,657.16,17799.0919,12636254.810134
1709769600,715.99,730.96,760.54,692.53,14011.4627,10188949.263348
1709856000,730.96,694.02,744.3,693.03,9429.7483,6799117.175996
1709942400,693.88,714.87,731.25,682.33,8860.37789003,6306625.2577672312
1710028800,714.96,690.95,721.99,671,8473.1846,5920006.020733
1710115200,691.26,687.74,714.16,662.87,10059.483,6902443.679258
1710201600,687.74,680.79,705,668.54,11215.2846,7632991.402211
