time,open,close,high,low,volume,turnover
1776084000,260.05,260.1,260.45,259.84,557.2402,144981.259196
1776084300,260.13,260.8,261.08,260.12,575.5465,150013.181709
1776084600,260.84,262.46,262.53,260.69,446.9967,116968.224016
1776084900,262.27,262.07,262.27,261.5,419.0019,109684.283332
1776085200,262.27,263.17,263.7,262.03,704.4982,185319.186478
1776085500,262.92,263.39,263.76,262.92,113.0881,29774.416479
1776085800,263.39,263.59,264.05,263.27,174.9458,46116.971732
1776086100,263.49,263.12,263.49,262.68,204.3281,53744.014608
1776086400,263.09,263.16,263.45,262.95,345.5316,90937.679352
1776086700,263.06,261.68,263.08,261.56,378.2723,99116.080034
1776087000,261.74,262.12,262.7,261.7,734.4901,192636.893942
1776087300,262.12,260.5,262.12,260.41,421.5803,110173.141849
1776087600,260.6,261.36,261.95,260.47,516.5114,134999.85027
1776087900,261.35,264.05,264.05,260.83,745.2187,195299.891565
1776088200,264.08,263.69,264.14,262.45,801.3974,210864.356127
1776088500,263.78,263.81,264.16,263.49,440.1784,116097.081051
1776088800,263.79,262.3,264.22,262.03,714.054,187787.02248
1776089100,262.13,261.83,262.53,261.72,394.452,103365.680048
1776089400,261.83,262.31,262.31,261.79,386.1015,101168.319907
1776089700,261.97,262.17,262.93,261.88,366.4874,96104.383955
1776090000,262.26,262.03,262.55,261.53,288.6057,75635.554704
1776090300,262.25,261.55,262.25,261.46,47.4253,12410.860342
1776090600,261.67,262.26,262.26,261.64,21.6122,5659.457185
1776090900,262.18,261.83,262.47,261.25,89.4055,23408.292957
1776091200,261.8,262,262,261.36,41.396,10836.186101
1776091500,261.88,260,261.88,260,282.3861,73681.332926
1776091800,260.2,260.68,260.68,260.17,421.739,109808.723015
1776092100,260.64,261.36,261.47,260.1,481.3599,125447.308651
1776092400,261.44,259.88,261.61,259.68,972.8134,254107.162314
1776092700,259.99,259.36,260.38,259.05,277.2734,72019.078816
1776093000,259.33,259.39,259.58,259.05,328.5518,85201.961185
1776093300,259.3,259.42,259.83,259.05,318.2807,82613.287482
1776093600,259.29,258.55,259.61,258.54,542.2206,140456.844898
1776093900,258.51,258.41,258.81,258.16,212.467,54896.938371
1776094200,258.46,254.82,258.46,254.17,942.418,241039.81908
1776094500,255.04,254.99,255.25,254.07,201.9717,51449.658579
1776094800,255.05,254.98,255.73,254.69,182.9792,46691.409547
1776095100,254.97,254.69,255.58,254.34,872.6392,222658.004056
1776095400,254.78,254.04,254.85,253.9,562.9873,143153.449065
1776095700,254.1,254.27,254.85,253.97,745.1093,189488.295953
1776096000,254.25,254.09,254.58,253.52,424.9461,108026.561808
1776096300,253.88,252.09,253.88,251.13,1060.3202,267131.097966
1776096600,252.05,252.28,252.57,251.66,333.7721,84159.439949
1776096900,252.37,252.06,252.47,250.18,355.9059,89473.163668
1776097200,252.08,252.23,252.51,250.87,413.5082,104088.65403
1776097500,252.43,253.56,253.71,252.43,433.8165,109749.209879
1776097800,253.67,255.69,255.95,253.67,634.8234,161982.124649
1776098100,255.44,255.32,256.25,254.92,538.4188,137643.241994
1776098400,255.42,254.51,255.54,254.51,969.4402,247269.816954
1776098700,254.44,254.59,255.22,254.31,462.2816,117790.326874
1776099000,254.62,254.26,255.16,253.98,559.4736,142395.755432
1776099300,254.42,254.92,255.3,254.38,597.2127,152231.82231
1776099600,254.92,254.58,255.5,253.93,419.7675,106915.787205
1776099900,254.51,254.77,254.78,253.93,550.5877,140021.21297
1776100200,254.81,255.99,256.14,254.8,344.9882,88173.153626
1776100500,255.92,256.62,256.68,255.82,358.3731,91773.515956
1776100800,256.7,257.06,257.08,256.2,279.4748,71725.08393
1776101100,257.08,257.27,257.86,257.08,533.7696,137354.60005
1776101400,257.3,257.68,258.46,257.3,439.1804,113359.979747
1776101700,257.82,257.38,257.82,256.89,333.1195,85695.84289
1776102000,257.35,257.09,257.41,256.83,165.9649,42671.479812
1776102300,257.07,256.47,257.51,256.47,232.107,59668.963624
1776102600,256.58,255.25,256.71,255.19,564.3606,144406.586076
1776102900,255.25,255.63,255.95,255.25,220.0313,56243.695286
1776103200,255.68,255.32,255.76,254.96,485.0815,123820.965525
1776103500,255.28,254.78,255.37,254.61,548.8284,139945.411964
1776103800,254.74,254.55,254.92,254.29,244.7444,62308.700537
1776104100,254.58,254.74,254.94,254.28,291.7544,74267.912271
1776104400,254.76,253.42,254.85,253.39,514.6439,130814.606331
1776104700,253.53,254.07,254.07,253.53,579.2616,146968.361037
1776105000,254.08,255.11,255.25,254.07,318.44,81145.446324
1776105300,255.09,255.39,255.44,255,231.5307,59091.876929
1776105600,255.35,256.07,256.42,255.35,149.5309,38253.800754
1776105900,256.29,255.48,256.37,255.1,367.1135,93892.466571
1776106200,255.42,256.25,256.33,255.04,578.0143,147847.879383
1776106500,256.37,256.38,256.67,256.22,398.76,102259.671525
1776106800,256.39,257.03,257.12,256.06,235.9828,60566.344216
1776107100,257.1,256.93,258.1,256.61,613.1162,157756.932685
1776107400,256.93,256.39,256.95,256.3,250.3365,64212.483801
1776107700,256.45,257.43,257.7,256.45,319.2667,82105.789598
1776108000,257.37,257.25,257.72,257.07,382.5887,98443.415815
1776108300,257.15,257,257.25,256.6,364.2515,93567.183031
1776108600,257.01,257.31,257.81,257.01,824.0461,212096.315822
1776108900,257.21,258.2,258.39,256.3,772.72,198543.847338
1776109200,258.2,257.68,258.75,257.41,375.2068,96854.008468
1776109500,257.57,258.01,258.2,257.38,358.3588,92391.651128
1776109800,258.06,257.88,258.11,257.57,182.8392,47142.513015
1776110100,257.69,257.77,258.2,257.59,208.4354,53737.88001
1776110400,257.71,256.06,257.71,256.01,446.1844,114464.098728
1776110700,256.08,255.75,256.13,255.48,331.2096,84732.898518
1776111000,255.74,254.76,255.76,254.74,637.2922,162649.310122
1776111300,254.8,255.15,255.5,254.8,470.2954,120011.698049
1776111600,255.25,255.1,255.96,254.89,624.4088,159460.671356
1776111900,255.1,254.76,255.67,254.61,750.4043,191449.321953
1776112200,254.77,254.45,254.95,253.37,907.0762,230671.999972
1776112500,254.48,254.39,255.03,254.19,662.3575,168632.560179
1776112800,254.4,254.77,255.15,254.35,554.4215,141268.13514
1776113100,254.81,254.42,254.82,254.38,523.7805,133356.293788
1776113400,254.55,254.78,254.96,254.11,660.7984,168224.122639
1776113700,254.88,255.11,255.55,254.76,245.6852,62676.887621
1776114000,255.1,254.59,255.21,254.14,214.2535,54531.651537
1776114300,254.7,256.15,256.18,254.7,243.2194,62220.765637
1776114600,256.2,256.36,257.06,256.17,666.7307,171026.429961
1776114900,256.35,256.45,256.68,256.12,711.517,182434.208189
1776115200,256.47,257.04,257.08,256.2,364.6372,93561.298865
1776115500,257,257.06,257.49,256.79,91.5139,23546.042851
1776115800,256.89,256.03,257.26,256,599.7063,153862.940766
1776116100,256.14,256.56,256.68,256.08,461.7481,118409.948466
1776116400,256.62,257.94,257.95,256.49,343.7372,88504.036407
1776116700,257.93,257.91,257.96,257.49,305.1618,78691.55996
1776117000,257.92,257.56,258.14,257.25,717.902,185089.061625
1776117300,257.55,258.05,258.06,257.33,651.5407,168004.06079
1776117600,258.06,258.66,259.32,257.88,643.3499,166370.922106
1776117900,258.81,259.53,260.89,258.74,547.7107,142188.493264
1776118200,259.62,260.5,261.42,259.18,1018.2064,264571.813216
1776118500,260.8,261.92,263.72,260.8,1165.1587,305522.021878
1776118800,262.04,262.09,262.82,261.06,1086.6281,284769.738207
1776119100,262.08,262.19,262.82,261.91,1032.6482,270855.341863
1776119400,262.25,262.54,263.6,262.08,765.0794,201007.463135
1776119700,262.36,262.2,262.5,261.66,583.0465,152799.393867
1776120000,262.02,262.01,262.36,261.71,564.6447,147886.000434
1776120300,261.95,260.64,262.08,260.64,464.702,121367.160572
1776120600,260.63,261.66,261.86,260.37,514.1706,134108.742797
1776120900,261.67,261.25,261.84,260.74,549.0805,143492.987708
1776121200,261.3,261.08,261.43,259.84,552.9048,144026.125853
1776121500,260.84,260.06,260.84,259.5,441.7458,114876.275197
