time,open,close,high,low,volume,turnover
1775873400,1.3069,1.307,1.3074,1.3054,5442.0704,7108.68761749
1775874000,1.3066,1.3052,1.3067,1.3032,4500.8773,5872.09437793
1775874600,1.3053,1.3102,1.3119,1.3053,16104.6486,21100.851886700002
1775875200,1.3105,1.3076,1.3105,1.3076,7285.1407,9537.653350429999
1775875800,1.3085,1.3107,1.3112,1.3082,4428.4978,5799.242390490001
1775876400,1.3105,1.3109,1.3127,1.3104,29410.5953,38580.62961567
1775877000,1.3115,1.3109,1.3145,1.3106,22294.7339,29263.324744240002
1775877600,1.3109,1.3086,1.3109,1.3076,23172.7543,30340.33991337
1775878200,1.3085,1.3099,1.3103,1.3052,12631.9102,16521.10254914
1775878800,1.3106,1.3134,1.3135,1.3088,5990.199200000001,7854.5782997900005
1775879400,1.3134,1.3137,1.314,1.3109,4219.549,5537.96163836
1775880000,1.3146,1.3194,1.3203,1.3145,20114.3976,26493.95885093
1775880600,1.3192,1.3153,1.3194,1.3153,10915.6588,14375.10155163
1775881200,1.3152,1.3145,1.3154,1.3114,8195.523799999999,10766.91972998
1775881800,1.3144,1.3175,1.3175,1.3133,10579.353,13914.330270620001
1775882400,1.318,1.3172,1.3204,1.3172,5968.5592,7871.81850607
1775883000,1.3175,1.316,1.3187,1.3153,9952.4765,13115.36889745
1775883600,1.316,1.3167,1.3182,1.3119,25042.084000000003,32954.306832610004
1775884200,1.3157,1.3136,1.3157,1.3107,26146.280700000003,34328.73863
1775884800,1.3131,1.3151,1.316,1.3131,3540.3814,4653.99509947
1775885400,1.3148,1.3162,1.3164,1.313,6330.3078000000005,8325.01118004
1775886000,1.3162,1.3164,1.3183,1.3151,14100.7333,18567.31058595
1775886600,1.3164,1.3045,1.3169,1.3037,41382.6842,54181.9545572
1775887200,1.3048,1.3006,1.3054,1.3,21207.013,27609.00553973
1775887800,1.3009,1.2995,1.3018,1.2994,13236.069899999999,17216.12231033
1775888400,1.3001,1.3011,1.3038,1.3001,12090.8747,15745.111656070001
1775889000,1.3014,1.3033,1.304,1.3014,15151.751400000001,19739.34964341
1775889600,1.3034,1.3047,1.3056,1.3025,16425.312700000002,21418.31147229
1775890200,1.3052,1.3077,1.3083,1.3052,5744.3793000000005,7507.10160819
1775890800,1.3077,1.3091,1.3093,1.3054,27026.395099999998,35308.81828285
1775891400,1.309,1.3095,1.3097,1.3082,12705.8283,16633.9117252
1775892000,1.3097,1.3184,1.3193,1.3097,24251.011,31892.838153099998
1775892600,1.3184,1.3197,1.3197,1.3175,26197.6958,34543.18586713
1775893200,1.3197,1.3234,1.3262,1.3175,24919.1535,32943.52887625
1775893800,1.3231,1.3363,1.3384,1.3231,132549.2468,176553.19452348002
1775894400,1.3367,1.3363,1.3408,1.3357,44241.3905,59180.720431580005
1775895000,1.3369,1.3301,1.3378,1.3301,28408.557699999998,37918.56864237
1775895600,1.33,1.3326,1.3349,1.3281,32360.394,43078.780104980004
1775896200,1.3329,1.3383,1.3393,1.33,9755.3465,13028.48380354
