time,open,close,high,low,volume,turnover
1666828800,1.34,1.6391,3.56,0.5,1027313.75143604,1951129.780058586307
1666915200,1.6391,1.6753,1.71,1.6126,237712.88548895,393578.981384130801
1667001600,1.6797,1.5713,1.6991,1.5402,142756.35960808,231699.675154777603
1667088000,1.5713,1.6364,1.6488,1.5444,101058.74854607,163081.876060439215
1667174400,1.6364,1.513,1.6492,1.5049,99127.02137975,154967.530869744285
1667260800,1.513,1.6541,1.6637,1.3105,282516.8495681,431119.553587882512
1667347200,1.6475,1.5653,1.7017,1.5459,317094.19667895,510316.309973714583
1667433600,1.5653,1.6065,1.6626,1.554,248440.90822197,402036.767145590861
1667520000,1.6094,1.6761,1.71,1.5806,145222.77618934,238582.362932978482
1667606400,1.6806,1.6931,1.698,1.6209,209417.95209359,348680.778504722153
1667692800,1.6931,1.6309,1.7779,1.6309,264673.54727293,453408.880248067273
1667779200,1.6309,1.7799,1.787,1.5342,249456.34716539,411447.3318279133
1667865600,1.7864,1.6358,1.7864,1.5695,261899.48036111,431493.87026398999
1667952000,1.6322,1.3329,1.6388,1.25,262563.50796072,396755.105341762061
1668038400,1.33,1.5849,1.6009,1.3291,354538.48728945,516931.55412978936
1668124800,1.5897,1.5359,1.6202,1.4772,192655.68164628,297385.573527790328
1668211200,1.534,1.5478,1.5937,1.427,263506.54525094,394997.06289724854
1668297600,1.5478,1.6531,1.713,1.5478,195486.62943352,317658.366395492882
1668384000,1.6531,1.68,1.7367,1.56,281999.06710531,461945.491462122835
1668470400,1.6799,1.6901,1.7202,1.6311,172109.28002252,288594.409776290472
1668556800,1.6912,1.7315,1.85,1.677,263131.49465757,459302.05838462766
1668643200,1.7315,1.7836,1.8287,1.6909,320268.09082556,569607.27518433082
1668729600,1.789,1.7827,1.8361,1.6639,221891.41304017,392656.194107469422
1668816000,1.7827,1.7322,1.8075,1.7113,162534.98173159,288127.079432680658
1668902400,1.739,1.7211,1.7875,1.6968,134343.40400039,233886.737956327365
1668988800,1.7211,1.7099,1.7931,1.6865,175506.16698852,305052.002150536624
1669075200,1.7134,1.7365,1.75,1.5845,160287.8047494,274807.21561495799
1669161600,1.7364,1.7553,1.7699,1.7202,85867.31235299,149534.664627975109
