time,open,close,high,low,volume,turnover
1775654400,0.318,0.3182,0.3182,0.318,2785.11,886.071927
1775655000,0.3182,0.3177,0.3182,0.3177,28214.22,8970.394715
1775655600,0.3177,0.3179,0.3181,0.3176,88355.75,28089.203961
1775656200,0.3179,0.3175,0.3181,0.3175,139559.38,44328.82949800001
1775656800,0.3176,0.3175,0.3182,0.3174,106810.48000000001,33951.618807000006
1775657400,0.3175,0.3176,0.3179,0.3174,234288.45,74431.910798
1775658000,0.3176,0.3177,0.3178,0.3174,117878.92,37436.860983
1775658600,0.3178,0.3175,0.3178,0.3172,85458.92,27134.892813
1775659200,0.3175,0.3176,0.3177,0.3174,11263.12,3577.004582
1775659800,0.3177,0.3176,0.3177,0.3174,53844.979999999996,17096.743589
1775660400,0.3176,0.3176,0.3178,0.3176,39927.43,12685.625237
1775661000,0.3176,0.3179,0.3179,0.3175,41828.94,13285.95753
1775661600,0.3179,0.3178,0.3179,0.3177,163825.73,52054.690995
1775662200,0.3179,0.3178,0.318,0.3177,18623.69,5919.353904
1775662800,0.3179,0.3178,0.3179,0.3176,13731.91,4364.247408
1775663400,0.3177,0.3177,0.3178,0.3176,16969.74,5392.392054
1775664000,0.3177,0.3174,0.3177,0.3174,45718.44,14514.380083
1775664600,0.3174,0.3175,0.3176,0.3174,16337.75,5187.169202
1775665200,0.3175,0.3176,0.3178,0.3175,140007.28,44468.164284
1775665800,0.3177,0.3178,0.3179,0.3175,73641.97,23398.384619
1775666400,0.3177,0.3179,0.318,0.3177,56144.26,17847.682023
1775667000,0.318,0.3181,0.3182,0.3179,113757.08,36181.788945
1775667600,0.3181,0.3181,0.3183,0.3179,152565.74,48533.110549000005
1775668200,0.3182,0.3182,0.3183,0.3179,189159.28,60184.809331000004
1775668800,0.3181,0.3182,0.3183,0.318,47939.89,15255.350930999999
1775669400,0.3183,0.3182,0.3184,0.318,176178.5,56054.120900999995
1775670000,0.3181,0.3183,0.3183,0.3181,20522.26,6530.0152020000005
1775670600,0.3183,0.3182,0.3184,0.3182,15468.41,4922.920174
1775671200,0.3182,0.3184,0.3184,0.3181,13619.48,4334.413339
1775671800,0.3183,0.3179,0.3183,0.3178,39861.79,12677.040762
1775672400,0.3179,0.3178,0.318,0.3177,29072.09,9242.23459
1775673000,0.3178,0.3178,0.3179,0.3177,54756.15,17402.133065
1775673600,0.3178,0.3177,0.3178,0.3176,28182.28,8953.522753
1775674200,0.3177,0.3177,0.3178,0.3175,27673.25,8791.067692999999
1775674800,0.3176,0.3179,0.318,0.3176,21387.85,6798.291865
1775675400,0.3178,0.3176,0.318,0.3176,14841.01,4716.488644999999
1775676000,0.3177,0.3177,0.3178,0.3176,49744.86,15804.261498
1775676600,0.3176,0.3178,0.3179,0.3176,9838.93,3126.063588
1775677200,0.3178,0.3179,0.318,0.3178,8211.43,2610.400068
1775677800,0.318,0.3179,0.3181,0.3179,94117.73999999999,29932.963373
1775678400,0.318,0.318,0.3182,0.3179,108324.24,34456.833797
1775679000,0.318,0.318,0.318,0.3178,15711.169999999998,4994.834487
1775679600,0.318,0.3178,0.318,0.3177,25358.739999999998,8059.273128000001
1775680200,0.3179,0.3179,0.318,0.3178,13154.61,4182.432712
1775680800,0.318,0.3178,0.318,0.3177,24089.08,7657.50447
1775681400,0.3178,0.3177,0.3179,0.3177,16001.240000000002,5085.351533
1775682000,0.3178,0.3178,0.3179,0.3177,22762.55,7235.113221
1775682600,0.3179,0.3176,0.3179,0.3176,38762.01,12315.948735
1775683200,0.3176,0.3178,0.318,0.3176,73740.94,23430.484005
1775683800,0.3178,0.3179,0.318,0.3176,75258.32,23919.328175
1775684400,0.318,0.3178,0.3182,0.3177,18912.92,6013.200113
1775685000,0.3178,0.3179,0.318,0.3177,21493.7,6832.70233
1775685600,0.318,0.318,0.3181,0.3178,75618.01999999999,24042.513441
1775686200,0.3179,0.3179,0.3181,0.3178,16283.24,5176.669564
1775686800,0.3178,0.3177,0.318,0.3177,49260.97,15656.023726
1775687400,0.3178,0.3178,0.318,0.3177,16925.38,5378.057747999999
1775688000,0.3179,0.318,0.318,0.3178,14821.900000000001,4712.1026409999995
1775688600,0.3179,0.318,0.318,0.3179,9224.74,2933.245163
1775689200,0.318,0.3179,0.318,0.3177,7000.610000000001,2225.066583
1775689800,0.3179,0.3179,0.3182,0.3179,22219.66,7066.22836
1775690400,0.3178,0.3175,0.3178,0.3175,4458.54,1416.385295
1775691000,0.3175,0.3176,0.3177,0.3175,74853.73,23776.970097999998
1775691600,0.3175,0.3179,0.3179,0.3175,5500.35,1747.916711
1775692200,0.3178,0.318,0.318,0.3178,11914.22,3788.183758
1775692800,0.3179,0.3183,0.3185,0.3178,113395.76999999999,36081.442134
1775693400,0.3183,0.3182,0.3185,0.3182,24976.79,7951.324096
1775694000,0.3182,0.3182,0.3183,0.318,10294.93,3275.8960850000003
1775694600,0.3183,0.3182,0.3184,0.3181,12964.560000000001,4127.102652
1775695200,0.3182,0.3176,0.3182,0.3176,17687.73,5623.293084000001
1775695800,0.3176,0.3177,0.3178,0.3176,1781.48,565.933675
1775696400,0.3177,0.3176,0.3178,0.3175,44902.2,14261.250390000001
1775697000,0.3177,0.3176,0.3177,0.3175,23359.6,7420.186008000001
1775697600,0.3177,0.3174,0.3178,0.3174,10167.67,3228.427753
1775698200,0.3173,0.3174,0.3174,0.3173,16305.36,5174.41385
1775698800,0.3173,0.3171,0.3173,0.3171,10908.32,3460.105673
1775699400,0.3171,0.3173,0.3173,0.317,8986.11,2850.016575
1775700000,0.3173,0.3175,0.3176,0.3173,10141.130000000001,3218.575097
1775700600,0.3174,0.3175,0.3175,0.3173,66641.81,21152.670904000002
1775701200,0.3176,0.3176,0.3177,0.3174,47864.15,15196.859080999999
1775701800,0.3177,0.3171,0.3177,0.317,18936.84,6012.341246
1775702400,0.3169,0.3168,0.3171,0.3168,99537.78,31549.552794
1775703000,0.3169,0.3168,0.3169,0.3167,73648.43,23331.143205
1775703600,0.3168,0.3171,0.3171,0.3167,16929.86,5364.92259
1775704200,0.3171,0.317,0.3173,0.3169,8031.08,2546.765742
1775704800,0.317,0.3169,0.3171,0.3168,7742.46,2453.985629
1775705400,0.3169,0.3167,0.317,0.3166,27047.47,8567.69695
1775706000,0.3167,0.3169,0.317,0.3167,6918.299999999999,2191.9098989999998
1775706600,0.3169,0.3171,0.3172,0.3169,13862.419999999998,4394.383574
1775707200,0.3171,0.3173,0.3173,0.317,31104.79,9867.834579
1775707800,0.3172,0.3173,0.3173,0.3172,1846.06,585.718948
1775708400,0.3172,0.3169,0.3174,0.3169,60135.76,19078.00832
1775709000,0.317,0.3169,0.3171,0.3169,2972.52,942.4031259999999
1775709600,0.3169,0.3171,0.3171,0.3169,6776.61,2148.25578
1775710200,0.317,0.3171,0.3171,0.3169,14397.64,4564.657936
1775710800,0.3172,0.3172,0.3173,0.3171,31891.370000000003,10115.233908
1775711400,0.3171,0.3173,0.3173,0.3169,11622.72,3685.80185
1775712000,0.3174,0.3174,0.3174,0.3173,1300.38,412.697292
1775712600,0.3174,0.3174,0.3175,0.3173,4521.84,1435.2241960000001
1775713200,0.3175,0.3173,0.3175,0.3171,22123.739999999998,7018.622762
1775713800,0.3174,0.3172,0.3174,0.3171,26184.61,8307.664303
1775714400,0.3172,0.3174,0.3197,0.3171,414486.85000000003,131853.120909
1775715000,0.3174,0.3172,0.3175,0.3172,8597.35,2729.31477
1775715600,0.3173,0.3171,0.3173,0.3171,3549.83,1125.922794
1775716200,0.3171,0.3173,0.3173,0.3171,6420.789999999999,2036.4804210000002
1775716800,0.3171,0.3174,0.3175,0.3171,9010.97,2859.597591
1775717400,0.3175,0.3176,0.3176,0.3171,64124.59,20357.108243000002
1775718000,0.3177,0.3176,0.3177,0.3174,32319.739999999998,10265.116335
1775718600,0.3175,0.3168,0.3176,0.3165,65013.28999999999,20602.00629
1775719200,0.3168,0.3168,0.3169,0.3168,36741.89,11640.701398
1775719800,0.3167,0.3169,0.317,0.3167,36424.21,11541.936463
1775720400,0.3169,0.317,0.317,0.3168,12397.039999999999,3929.38926
1775721000,0.317,0.3169,0.317,0.3168,7947.620000000001,2518.9146060000003
1775721600,0.3168,0.3169,0.3171,0.3168,43815.79,13884.434932
1775722200,0.3169,0.3169,0.317,0.3168,19935.63,6316.920666
1775722800,0.3168,0.3168,0.317,0.3168,19197.86,6083.776323
1775723400,0.3169,0.317,0.317,0.3167,96654.93000000001,30625.087804000003
1775724000,0.317,0.3169,0.317,0.3168,27999.940000000002,8872.273356
1775724600,0.3169,0.3169,0.3171,0.3169,15639.41,4956.5566340000005
1775725200,0.3169,0.3171,0.3172,0.3168,65768.95,20850.264494000003
1775725800,0.317,0.3173,0.3173,0.317,11311.36,3587.128694
1775726400,0.3172,0.3171,0.3173,0.317,17934.44,5688.713855
1775727000,0.317,0.3169,0.3171,0.3169,6471.219999999999,2051.2107699999997
1775727600,0.317,0.3172,0.3173,0.3169,13252.29,4201.584435
1775728200,0.3172,0.3171,0.3173,0.3169,51658.25,16384.746513000002
1775728800,0.3172,0.3168,0.3172,0.3167,33643.259999999995,10663.611002
1775729400,0.3167,0.3168,0.3169,0.3167,20914.89,6625.075640999999
1775730000,0.3169,0.3168,0.3169,0.3167,18554.47,5877.76542
1775730600,0.3169,0.317,0.3171,0.3168,9756.919999999998,3092.518669
1775731200,0.3171,0.3172,0.3174,0.3171,103805.52,32931.698516000004
1775731800,0.3172,0.3177,0.318,0.3171,36925.34,11726.59132
1775732400,0.3177,0.3176,0.3178,0.3175,23614.5,7500.7860359999995
1775733000,0.3177,0.3177,0.3178,0.3175,42433.67,13481.29516
1775733600,0.3177,0.3177,0.3179,0.3177,73164.14,23250.989857
1775734200,0.3178,0.3177,0.3179,0.3177,15760.099999999999,5008.685233
1775734800,0.3178,0.3177,0.3179,0.3177,8816.619999999999,2801.745827
1775735400,0.3178,0.3178,0.3178,0.3176,22314.37,7089.519531999999
1775736000,0.3178,0.318,0.318,0.3177,53739.62,17082.452952
