time,open,close,high,low,volume,turnover
1744848000,0.2474,0.2482,0.2486,0.2439,9174291.11,2252175.412397
1744891200,0.2482,0.2478,0.2506,0.2471,8126409.84,2019990.39539
1744934400,0.2477,0.245,0.248,0.2442,5105926.46344123,1253925.036036295564
1744977600,0.2449,0.2399,0.2449,0.2397,7647752.09,1851882.597529
1745020800,0.2399,0.2427,0.2427,0.2397,6789801.52,1641108.733901
1745064000,0.2427,0.2441,0.2448,0.2406,5720266.62,1386078.952491
1745107200,0.244,0.2446,0.2455,0.2414,5492349.21,1338774.590713
1745150400,0.2446,0.2438,0.247,0.2437,7251451.97,1779767.946883
1745193600,0.2437,0.2426,0.2471,0.2423,9324978.91,2282292.657251
1745236800,0.2426,0.2463,0.2468,0.241,8689883.70322404,2119535.259688791436
1745280000,0.2464,0.245,0.2494,0.2446,6771984.29,1673096.981691
1745323200,0.245,0.2484,0.2487,0.2436,10628034.55,2617688.602275
1745366400,0.2484,0.2458,0.2495,0.2453,8889687.34821784,2196934.989507301504
1745409600,0.2459,0.2462,0.2476,0.2434,11948519.37,2936822.581999
1745452800,0.2464,0.2445,0.2465,0.242,6743266.43851161,1645658.831006023552
1745496000,0.2444,0.2456,0.2476,0.2443,8419922.49999429,2072811.328784593627
1745539200,0.2456,0.2435,0.246,0.2423,5685477.32,1385258.02528
1745582400,0.2435,0.242,0.2447,0.2404,7720094.54,1876462.403989
1745625600,0.2419,0.2518,0.2525,0.2419,7764589.74980591,1914319.273943690999
1745668800,0.2518,0.2519,0.2533,0.2494,9777594.88719648,2459271.321146195072
1745712000,0.252,0.2499,0.2545,0.2488,8802444.01,2215798.065098
1745755200,0.25,0.2454,0.25,0.2452,4450209.86,1103898.358316
1745798400,0.2453,0.247,0.2474,0.2434,9297702.78,2284817.259312
1745841600,0.247,0.2484,0.2486,0.2443,9073712.26,2237899.903876
1745884800,0.2484,0.2471,0.2499,0.2465,5586445.86,1383603.961136
1745928000,0.247,0.2439,0.2471,0.2429,7104868.37,1744388.964642
1745971200,0.2439,0.2454,0.2457,0.2422,6286880.9,1535153.024356
1746014400,0.2454,0.2465,0.2471,0.2428,7681250.55,1883799.533999
1746057600,0.2465,0.2487,0.2496,0.246,5821265.85,1441797.175389
1746100800,0.2487,0.2447,0.2494,0.2439,7288686.88,1800444.481742
1746144000,0.2446,0.2451,0.2458,0.2432,5953680.54,1457507.687069
1746187200,0.2452,0.2478,0.2484,0.2451,7049952.47,1739886.293215
1746230400,0.2479,0.2481,0.2499,0.2467,6867802.92,1705621.653303
1746273600,0.2481,0.2456,0.2493,0.2445,7341590.48,1810311.208225
1746316800,0.2455,0.2476,0.249,0.245,8593194.71,2128357.515039
1746360000,0.2476,0.2472,0.2487,0.2461,6898452.75710573,1708259.876837799894
1746403200,0.2473,0.2491,0.2506,0.246,9950374.95184329,2471555.229282532197
1746446400,0.2491,0.2483,0.2502,0.2474,8893799.74,2212984.844301
1746489600,0.2483,0.2442,0.2486,0.244,6574729.21,1617553.214326
1746532800,0.2441,0.2459,0.2464,0.2437,7500626.06,1835184.141612
1746576000,0.2458,0.2468,0.247,0.2434,8185045.15,2006164.658281
1746619200,0.2468,0.2486,0.2492,0.2461,6349572.35,1570991.185142
1746662400,0.2488,0.2509,0.2519,0.2483,7746675.47,1938904.8251
1746705600,0.2508,0.2573,0.258,0.2499,21075927.93567639,5362903.670081264591
1746748800,0.2573,0.2632,0.2661,0.2538,24263281.82,6269402.707889
1746792000,0.2631,0.2602,0.2647,0.2597,25062637.44630549,6563585.315391102341
1746835200,0.2602,0.2598,0.2651,0.259,16285616.92,4276082.16507
1746878400,0.2598,0.2662,0.2668,0.2589,11198916.17,2928318.541278
1746921600,0.2663,0.2629,0.2688,0.2603,15621046.85,4126431.653295
1746964800,0.2628,0.2651,0.2659,0.2597,7590288.70288638,1991473.144421520198
1747008000,0.2651,0.2697,0.2725,0.2631,21325503.71,5702680.890146
1747051200,0.2698,0.2718,0.2803,0.2689,30624048.48,8415200.423543
1747094400,0.2718,0.2653,0.2719,0.2608,13033207.76,3445360.385006
1747137600,0.2652,0.2709,0.2732,0.2639,13956384.71,3747069.277678
1747180800,0.2709,0.2749,0.2767,0.2691,13570163.44,3706652.741006
1747224000,0.2749,0.2748,0.2791,0.2734,16783631.99914381,4632810.875534092227
1747267200,0.2748,0.2694,0.2758,0.2674,13309771.82,3613829.705608
1747310400,0.2694,0.2733,0.2765,0.2689,16951428.04,4616436.10609
1747353600,0.2732,0.2719,0.2783,0.2719,15216096.88,4179296.002023
1747396800,0.2719,0.2716,0.2739,0.2705,9885095.53,2690724.344471
1747440000,0.2715,0.2697,0.272,0.2669,10065760.86,2709213.261037
1747483200,0.2697,0.2695,0.2723,0.268,10296848.76,2786400.247035
1747526400,0.2695,0.2725,0.2735,0.2688,7501833.98,2040101.287682
1747569600,0.2725,0.2682,0.2747,0.2638,9309456.34,2510792.003327
1747612800,0.2681,0.2639,0.2681,0.2605,10687494.27,2809014.574294
1747656000,0.2639,0.2666,0.2667,0.2633,8635184.59,2287804.233441
1747699200,0.2666,0.2734,0.2745,0.2661,15827640.22,4283887.732632
