time,open,close,high,low,volume,turnover
1744848000,5.1455,5.2104,5.2973,5.1455,37199.0607,194221.90273446
1744891200,5.2191,5.1785,5.2855,5.0927,37616.9739,195871.65291661
1744934400,5.1845,5.2029,5.2316,5.1287,19531.364,101182.68843987
1744977600,5.2096,5.1745,5.2397,5.1437,29740.1488,154324.82079563
1745020800,5.176,5.2456,5.31,5.1719,25939.8124,136062.95159623
1745064000,5.2472,5.3151,5.3567,5.2238,21499.2717,113520.6544328
1745107200,5.3189,5.1824,5.3532,5.1529,27167.13359868,143173.167037251092
1745150400,5.1777,5.2528,5.3318,5.1636,19256.8421,100866.85864476
1745193600,5.2516,5.4168,5.5098,5.2516,42199.9824,229068.47834465
1745236800,5.4173,5.2801,5.4803,5.2159,46581.5736,248785.21306338
1745280000,5.2731,5.4239,5.4277,5.1844,74066.1606,394548.29752374
1745323200,5.4236,5.8098,5.8304,5.404,120267.6512,676943.22267333
1745366400,5.8247,6.0078,6.0779,5.7877,105094.50228906,624250.974296201392
1745409600,6.01,6.0334,6.0979,5.8577,108725.8673,652822.83092968
1745452800,6.0324,5.7606,6.0509,5.645,54182.6594,315362.97486912
1745496000,5.7684,5.8115,5.9254,5.7388,69467.0396,404342.04395768
1745539200,5.8109,5.8674,5.9255,5.6927,72210.0376386,420830.71567313682
1745582400,5.8674,5.8332,5.9832,5.7527,97865.6146,574849.61326315
1745625600,5.8357,5.7907,6.0303,5.7678,87226.26984653,516714.077946977852
1745668800,5.7912,5.8129,5.8594,5.7446,43383.5307,251847.88591254
1745712000,5.814,5.7093,6.0117,5.6681,82421.2308,481342.86686601
1745755200,5.7096,5.4997,5.7096,5.4927,93230.2518,520438.01623996
1745798400,5.5006,5.6079,5.6469,5.3231,107818.4444,592420.65181796
1745841600,5.6126,5.4358,5.6142,5.3564,82106.20470759,447903.280103492544
1745884800,5.439,5.4459,5.5428,5.3499,86550.6991,472003.21045513
1745928000,5.4495,5.2711,5.4495,5.1981,90957.73659937,484086.378112137777
1745971200,5.2706,5.3797,5.3953,5.2486,68036.71029923,361309.550651680145
1746014400,5.3741,5.2697,5.375,5.0618,149016.0329,777208.73325871
1746057600,5.2717,5.3574,5.3968,5.2367,67608.5426,359508.09719115
1746100800,5.3504,5.3183,5.4302,5.2911,102787.0617,551603.42912634
1746144000,5.3168,5.2606,5.3813,5.2445,73382.3131,388669.94215107
1746187200,5.2592,5.2472,5.3601,5.1918,88671.7366,466185.69949242
1746230400,5.2445,5.1205,5.2643,5.1077,80695.3809,417742.26295207
1746273600,5.1262,5.09,5.2082,5.0253,97781.6836,500822.05334797
1746316800,5.0867,5.0712,5.1355,5.0138,64839.486,329128.51397048
1746360000,5.0717,4.9867,5.1055,4.9665,48928.867,247038.23177096
1746403200,4.9846,4.9835,5.114,4.9592,53897.6916,271400.5650414
