time,open,close,high,low,volume,turnover
1600300800,3,3.4387,5,2.0505,417042.98782263,1355725.908107775514
1600387200,3.4387,6.8999,8.6,3.0906,1486427.4223388,8976342.04417459612
1600473600,6.9127,5.7244,7.49,5.1379,1009176.76899659,6461709.810083393215
1600560000,5.7201,5.213,6.0816,4.6569,698692.77770265,3674742.480180041145
1600646400,5.2269,4.2466,5.652,4.0745,1310332.75453641,6078808.213179127466
1600732800,4.2501,3.9019,4.5483,3.7,814911.31066824,3329949.979679113785
1600819200,3.91,4.3736,5.3433,3.8996,1556275.20645925,7151620.061130558034
1600905600,4.3746,5.1612,5.2864,4.2603,1169923.75777166,5729759.230406026521
1600992000,5.1575,4.9078,5.555,4.7661,848236.02740949,4357548.143812731728
1601078400,4.9157,4.8708,4.9804,4.6785,301660.4489335,1460838.978283177385
1601164800,4.8768,4.8501,5.2,4.7,225216.58507594,1107751.862723458498
1601251200,4.848,4.2429,4.9439,4.1845,231901.7381704,1055024.628128015205
1601337600,4.243,4.38,4.4081,4.1281,126149.68997647,535687.945467840369
1601424000,4.3694,4.14,4.38,3.9488,139972.8744584,575122.105126318059
1601510400,4.14,4.133,4.4936,3.8857,251560.61592859,1039889.211054191969
1601596800,4.134,3.8872,4.1453,3.5688,219070.06580646,848745.546267657044
1601683200,3.8962,3.8764,4.0773,3.8073,86298.65900197,336843.829152827274
1601769600,3.8564,3.7104,3.9082,3.5857,75304.49319694,281081.589766576392
1601856000,3.718,3.2941,3.7855,3.182,152345.76761441,515548.960332964619
1601942400,3.3,2.6153,3.3252,2.5,213015.04926301,626276.904974623604
1602028800,2.6157,2.9577,2.964,2.5002,292480.27208742,787269.294828746694
1602115200,2.9553,3.2,3.35,2.6207,139963.78606609,426855.745915730824
1602201600,3.182,3.3773,3.4899,3.0862,129820.77220919,431835.268514726202
1602288000,3.3935,3.3,3.6546,3.2723,96363.81413906,330335.862049948705
1602374400,3.3,3.3723,3.4487,3.1851,47520.50267087,158167.2740364766
1602460800,3.3595,3.4479,3.5955,3.29,83827.62285092,288565.260608434589
1602547200,3.4587,3.349,3.4945,3.2965,70999.80327767,240414.206264589781
1602633600,3.3543,3.1177,3.4372,2.98,101058.33535589,324025.684172017192
1602720000,3.1158,3.0761,3.1669,2.9204,49945.56049935,152982.804345380305
1602806400,3.076,3.0453,3.3756,2.883,183739.45483305,583337.595386459655
1602892800,3.0531,3.0601,3.1214,2.9795,42980.73927307,130824.141615511122
1602979200,3.0568,3.2806,3.2901,3.0468,49135.5418414,155403.445640091908
1603065600,3.282,3.169,3.283,3.1136,35500.26280931,113366.173711424251
1603152000,3.1687,2.8538,3.1887,2.8162,60601.29527339,179391.416979080068
1603238400,2.8534,2.9406,3.085,2.8441,83756.83457989,250333.371805030888
1603324800,2.9338,3.0403,3.1441,2.9243,32027.63704168,97619.268622105389
1603411200,3.0383,3.0119,3.1161,2.9636,44536.59689603,134502.007168766621
1603497600,3.0143,2.94,3.081,2.9297,29516.51940897,88338.004780574179
1603584000,2.9415,2.7795,2.9636,2.7145,53660.44407475,153435.897005567185
1603670400,2.7749,2.7201,2.8815,2.5307,53263.53884245,144499.899407169432
1603756800,2.7116,2.8119,2.9055,2.706,45810.97104882,129478.446630389682
1603843200,2.8085,2.6671,2.8563,2.5991,44886.14338473,120845.684740753992
1603929600,2.6619,2.5388,2.7378,2.4905,36600.52875571,94902.256832520086
1604016000,2.5341,2.4161,2.5631,2.25,86569.1119584,202981.772681630205
1604102400,2.4118,2.2688,2.4118,2.2467,36960.18638406,86817.752737761947
1604188800,2.2561,2.3736,2.4576,2.2218,67830.95502628,155914.066630297592
1604275200,2.377,2.255,2.4541,2.2271,66819.98998103,152833.893972567502
1604361600,2.2477,2.1343,2.2769,2.0542,42748.00948416,90984.281218024058
1604448000,2.1382,1.9244,2.1628,1.8826,73135.92819339,148815.306858130054
1604534400,1.9253,2.188,2.42,1.76,188340.23645883,410918.429245098931
1604620800,2.1885,2.5642,2.6877,2.1769,208379.10432092,514908.759179152932
1604707200,2.5689,2.4714,3.0227,2.4285,251944.66784278,685558.627047647058
1604793600,2.4591,2.867,2.9183,2.4358,58188.41553508,157069.183981238067
1604880000,2.8635,2.6795,2.8691,2.5791,51458.5344279,138833.741049766833
1604966400,2.6792,3.0778,3.1712,2.6295,140820.45760248,416149.43702232605
1605052800,3.0728,2.9356,3.2142,2.8848,171285.32433912,526491.019188911947
1605139200,2.9343,2.9701,3.1355,2.8385,99138.8213876,296474.350524403137
1605225600,2.9551,3.8576,3.9847,2.9356,370459.01766157,1315531.896732714762
1605312000,3.8573,3.8118,3.976,3.5169,398740.99546654,1498772.426957296306
1605398400,3.8217,3.8385,4.2937,3.6164,718006.69273255,2833101.62123195442
1605484800,3.8384,3.5653,3.9509,3.4506,413287.72988557,1535234.477579625506
1605571200,3.5638,3.8147,3.8532,3.4812,529559.45503898,1951213.113318230639
1605657600,3.8078,3.4583,3.8507,3.2722,416070.88563093,1453776.149433696328
1605744000,3.4627,3.7409,3.8863,3.2255,499438.31214,1778995.403587867952
1605830400,3.7417,3.8526,4.0893,3.6794,282445.99834074,1097873.14472174068
1605916800,3.8622,3.835,3.9345,3.6,404332.13590986,1528967.783789782106
1606003200,3.8417,3.6853,3.9368,3.4039,300691.80406082,1113715.799946532177
1606089600,3.6941,4.1761,4.2286,3.6292,431491.84740473,1695690.465842944913
1606176000,4.1793,4.0595,4.4826,3.9355,502398.47352631,2089372.581782655072
1606262400,4.0619,3.6717,4.2,3.4595,329224.706734,1280790.686488549393
1606348800,3.669,3.4307,3.7642,3.091,279492.23086952,936757.500418306745
1606435200,3.436,3.3057,3.5417,3.1664,237667.89899511,805782.209308619326
1606521600,3.3057,3.4595,3.5327,3.2553,163786.11521936,555414.971336523539
1606608000,3.457,3.5503,3.5708,3.3671,158078.36053403,549980.440478872682
1606694400,3.56,3.7735,4.0511,3.2356,288087.21742483,1059154.066404136929
1606780800,3.7771,3.5471,3.9848,3.393,171887.63228101,630235.293727035515
1606867200,3.5478,3.9494,4.1752,3.5,189140.47752856,747703.991188749378
1606953600,3.9431,3.89,4.0214,3.8,184332.19535816,722785.56034827105
1607040000,3.8757,3.5408,3.925,3.4931,168186.36119862,621265.597109492648
1607126400,3.5124,3.68,3.6958,3.45,113398.85222976,404141.687062295672
1607212800,3.694,3.65,3.7811,3.51,107233.9939315,392530.522257359372
1607299200,3.6506,3.7636,3.8813,3.5637,224229.99270774,833447.314804601542
1607385600,3.753,3.3017,3.7646,3.2757,115142.09740036,401474.130505587173
1607472000,3.2877,3.3586,3.3928,3.0973,128788.86118659,422299.418397930974
1607558400,3.3563,3.2318,3.3696,3.189,57270.64381264,186978.702996863669
1607644800,3.2356,2.9589,3.2356,2.9131,69091.92002519,207626.381969599088
1607731200,2.958,3.1139,3.18,2.958,98354.99056909,306666.111017448999
1607817600,3.1189,3.3271,3.3644,3.0753,80644.9506983,261895.419732638707
1607904000,3.3198,3.4794,3.5411,3.2397,108615.19076287,364380.43534904849
1607990400,3.4914,3.3307,3.5196,3.31,98281.75034025,334572.890664842606
1608076800,3.3303,3.5411,3.5411,3.2453,159073.69726064,545303.472059318112
1608163200,3.5411,3.6959,3.995,3.4373,283557.61046047,1059771.515289150593
1608249600,3.6899,3.7638,3.8537,3.5412,287633.50589319,1063770.519214731723
1608336000,3.7587,3.9603,4.2399,3.7021,206036.53746381,831017.08002795025
1608422400,3.9544,3.7685,4.0276,3.61,150001.36551277,580845.652017461851
1608508800,3.7481,3.5167,3.9226,3.4116,139712.61897145,503130.144293309195
1608595200,3.5162,3.7373,3.775,3.2876,77154.99762024,274591.3229859974
1608681600,3.7245,3.3185,3.7731,3.0114,108146.50877704,371348.931148196901
1608768000,3.3039,3.5132,3.5248,3.159,74623.58776559,250190.962809206846
1608854400,3.5252,3.5105,3.6473,3.374,96926.28446128,337678.979095912566
1608940800,3.4992,3.4128,3.5995,3.3614,77458.17760389,269053.160271034878
1609027200,3.4177,3.595,3.8,3.3614,182219.56318225,651585.393333613151
1609113600,3.602,3.7329,3.9434,3.5775,151600.83913563,575068.527704410674
1609200000,3.7286,3.6786,3.8404,3.5015,92825.19649349,337649.126712402509
1609286400,3.6783,4.1538,4.3734,3.6352,180745.29307248,728785.260763779012
1609372800,4.1566,5.1566,5.2874,3.94,378899.86795535,1775752.759575567623
1609459200,5.1546,4.7351,5.2649,4.6156,319035.92283649,1563140.041745620186
1609545600,4.7142,4.8543,5.1858,4.3469,424592.12620497,2044584.520887264775
1609632000,4.8592,5.5244,5.63,4.6767,371305.59611928,1900852.390272589049
1609718400,5.5306,5.4324,6.2468,4.7127,384064.10311906,2105532.650182238787
1609804800,5.43,6.2418,6.5665,5.2006,293652.64988504,1777867.015840880034
1609891200,6.2813,6.4079,6.5984,6,283659.81853398,1764696.056779544395
1609977600,6.4308,6.2653,6.8026,5.3321,208745.60956838,1307391.846308104486
1610064000,6.2601,5.8723,6.3639,5.2112,279505.91237726,1638284.103293327697
1610150400,5.8723,6.212,6.3453,5.6699,90108.82381562,548452.755289211088
1610236800,6.2233,5.9818,6.5814,5.5516,153431.77944936,938175.967025597185
1610323200,5.9801,5.25,5.989,4.404,274022.8206206,1410804.715529406777
1610409600,5.2291,5.5881,5.8151,4.9642,113594.90871577,618235.391932345998
1610496000,5.5836,6.3558,6.38,5.2756,136515.80893539,795519.295560949859
1610582400,6.3458,6.9677,7.14,6.183,207704.01665571,1381122.92640772436
1610668800,6.9631,7.3934,7.4777,6.3635,410729.44404283,2889553.53229321243
1610755200,7.3888,8.4036,9.35,7.189,278633.41634653,2309024.307497284493
1610841600,8.3966,8.6593,9.1692,8.0715,283854.42784697,2452826.69873840928
