time,open,close,high,low,volume,turnover
1776084000,3.0214,3.0244,3.0249,3.0203,17028.4948,51465.25088675
1776084300,3.0256,3.0338,3.0349,3.0252,22605.8929,68501.91994406
1776084600,3.0325,3.0456,3.0496,3.0311,30260.4582,91967.69609166
1776084900,3.047,3.0388,3.0495,3.0377,45504.6425,138347.38002617
1776085200,3.0407,3.0436,3.0447,3.0398,34924.6867,106247.83030867
1776085500,3.0433,3.0405,3.0437,3.0397,34845.8469,106002.1048063
1776085800,3.0405,3.044,3.0461,3.0398,25767.229,78381.25272757
1776086100,3.0449,3.0478,3.0478,3.0418,32720.3333,99600.82924942
1776086400,3.0471,3.0451,3.0478,3.043,26404.71,80384.31041434
1776086700,3.0441,3.0442,3.0494,3.039,31077.2943,94644.37842321
1776087000,3.0467,3.0366,3.0471,3.0325,24303.5991,73946.90472364
1776087300,3.0358,3.0267,3.0358,3.0231,1856.6867,5618.76875867
1776087600,3.0281,3.041,3.0423,3.027,3150.0993,9554.81399358
1776087900,3.0424,3.0753,3.0753,3.0385,38305.6624,116825.94902543
1776088200,3.0799,3.0685,3.0815,3.0592,21309.5436,65362.91500038
1776088500,3.0722,3.0775,3.083,3.0684,32694.0942,100575.08673266
1776088800,3.0792,3.0699,3.0847,3.0636,19971.6849,61343.64977786
1776089100,3.0693,3.0661,3.0731,3.0638,13161.2577,40401.63534086
1776089400,3.0638,3.0642,3.07,3.0626,7281.4528,22330.71145346
1776089700,3.0649,3.0591,3.0688,3.0571,19793.0245,60588.75840493
1776090000,3.063,3.0617,3.0667,3.0551,9392.7541,28777.4261714
1776090300,3.062,3.0618,3.0638,3.0618,226.0222,692.32488823
1776090600,3.0656,3.0749,3.0776,3.0656,1494.8035,4597.16394496
1776090900,3.0746,3.0721,3.0747,3.0712,414.3243,1273.75473816
1776091200,3.0749,3.0791,3.0822,3.0686,6967.8667,21419.93857966
1776091500,3.0766,3.0774,3.0836,3.0742,13124.7079,40406.70216843
1776091800,3.0757,3.0753,3.0771,3.0738,1461.3135,4493.63862987
1776092100,3.0825,3.0956,3.0991,3.079,8394.4079,25972.13647698
1776092400,3.0943,3.0754,3.0985,3.0752,38865.3043,119994.83061951
1776092700,3.0758,3.0784,3.0809,3.072,15168.2188,46690.36883401
1776093000,3.0785,3.0784,3.0829,3.0771,28843.0901,88813.91122393
1776093300,3.0802,3.0834,3.0867,3.0769,30935.202,95350.27293579
1776093600,3.0819,3.0825,3.0884,3.0819,1847.1921,5697.76198224
1776093900,3.0794,3.0809,3.0843,3.0794,7905.8684,24350.7692018
1776094200,3.0779,3.0681,3.0779,3.0663,21924.6693,67293.35172439
1776094500,3.0705,3.0722,3.0729,3.065,46968.5605,144171.59114216
1776094800,3.0725,3.0733,3.0743,3.0707,30709.7663,94355.81022801
1776095100,3.0737,3.0743,3.0757,3.0723,15823.4839,48635.41089711
1776095400,3.0752,3.0821,3.0843,3.0737,41310.2466,127205.25100293
1776095700,3.0841,3.0862,3.0896,3.0804,36033.7811,111145.43421149
1776096000,3.0888,3.0767,3.0888,3.0743,29023.8717,89353.56972733
1776096300,3.0763,3.0851,3.086,3.0697,46730.3549,143906.21382126
1776096600,3.0842,3.0911,3.0911,3.0842,41812.2601,129123.80667255
1776096900,3.0912,3.0974,3.1004,3.0845,49852.2257,154218.05460215
1776097200,3.0985,3.1054,3.1054,3.0946,36737.0425,113856.55591632
1776097500,3.1067,3.1174,3.1213,3.1067,13850.4788,43177.08341062
1776097800,3.118,3.1268,3.132,3.1174,44363.6529,138653.68421062
1776098100,3.1267,3.1206,3.1367,3.1206,38836.5239,121603.23791552
1776098400,3.1229,3.1318,3.1334,3.1206,28097.8238,87900.6347122
1776098700,3.1276,3.1337,3.1436,3.1276,25171.0113,78925.30731523
1776099000,3.1348,3.1175,3.1383,3.1103,52023.6391,162567.33752011
1776099300,3.1173,3.1169,3.1208,3.112,36144.9088,112703.43091957
1776099600,3.1162,3.1109,3.1177,3.1068,33441.4469,104060.64627027
1776099900,3.1127,3.1037,3.1127,3.0992,46995.8977,145847.39104821
1776100200,3.1045,3.1021,3.1084,3.1005,52298.0976,162323.54223412
1776100500,3.1024,3.1073,3.111,3.1024,44077.2045,136944.75131097
1776100800,3.1078,3.1019,3.1084,3.096,38242.3871,118602.73868309
1776101100,3.1024,3.1119,3.1134,3.1022,43442.1877,135052.38853067
1776101400,3.1174,3.1123,3.1264,3.1123,16609.6458,51805.314855
1776101700,3.1115,3.1094,3.1127,3.1041,40187.8061,124942.14835218
1776102000,3.1092,3.1064,3.1107,3.1041,27174.0609,84425.25996738
1776102300,3.1069,3.1052,3.1103,3.105,16322.643,50729.48508347
1776102600,3.1049,3.0945,3.1049,3.0895,4072.0333,12598.01906351
1776102900,3.0932,3.0881,3.094,3.0873,39349.1351,121577.32904307
1776103200,3.0872,3.0888,3.0896,3.084,22654.8294,69938.29392039
1776103500,3.0878,3.0851,3.0904,3.0837,27443.6349,84717.90141028
1776103800,3.0851,3.0882,3.0882,3.081,7870.8186,24288.17526251
1776104100,3.0869,3.0891,3.0895,3.0844,29649.0286,91510.27558476
1776104400,3.0889,3.0778,3.0916,3.0768,30085.9493,92827.08849936
1776104700,3.0774,3.0776,3.0799,3.0752,20968.7694,64536.47359352
1776105000,3.0775,3.0842,3.0846,3.0766,4718.0478,14532.67660745
1776105300,3.0875,3.0845,3.0878,3.0839,24043.7556,74202.6891333
1776105600,3.0845,3.0879,3.092,3.0844,13272.1982,40977.02829863
1776105900,3.0874,3.0859,3.0917,3.0856,37151.1523,114741.02363983
1776106200,3.0853,3.0884,3.0884,3.0843,28358.2078,87521.87180839
1776106500,3.0892,3.0931,3.0944,3.0876,32324.6421,99931.8497326
1776106800,3.0931,3.0962,3.0972,3.0927,9448.6207,29231.34225731
1776107100,3.0964,3.0936,3.0979,3.0932,52982.729,164023.75578169
1776107400,3.0934,3.0924,3.0955,3.0924,50453.3039,156104.72623807
1776107700,3.0922,3.1039,3.1083,3.0922,48251.2477,149606.39574767
1776108000,3.1046,3.1118,3.1163,3.1026,47391.7014,147271.27498875
1776108300,3.112,3.119,3.1197,3.1112,30298.8004,94429.3470882
1776108600,3.1188,3.1226,3.1288,3.1176,44186.5523,138070.71655067
1776108900,3.1238,3.126,3.1272,3.1159,51667.099,161296.7489513
1776109200,3.1268,3.1196,3.1269,3.1181,36372.4968,113590.2472626
1776109500,3.1191,3.1252,3.1317,3.1177,51700.6012,161609.15601655
1776109800,3.1269,3.1338,3.1342,3.1268,21291.6722,66695.5169303
1776110100,3.1332,3.1381,3.141,3.1332,44711.0394,140302.88497375
1776110400,3.1386,3.1307,3.1396,3.1278,51693.7241,161890.45755199
1776110700,3.1305,3.1292,3.1323,3.127,41156.5604,128778.03628725
1776111000,3.1281,3.1242,3.1284,3.1232,48958.641,153075.75366032
