time,open,close,high,low,volume,turnover
1747785600,1,1.0014,1.005,0.993,17132.56,17135.867824
1747828800,1.0014,0.9905,1.0014,0.9905,3912.89,3897.816338
1747872000,0.9905,1.001,1.009,0.99,20768.98,20820.152905
1747915200,1.0007,0.997,1.002,0.996,15135.95,15092.765558
1747958400,0.9972,0.998,1.002,0.9937,1006,1005.600122
1748001600,0.998,1.002,1.002,0.998,3087.66,3087.24877
1748044800,0.999,0.999,1.002,0.999,2433.93,2434.89624
1748088000,1.002,0.999,1.002,0.999,4152.22,4154.18733
1748131200,0.999,1.009,1.009,0.994,2857.76,2863.71739
1748174400,1.002,1.002,1.002,0.997,6514.48,6525.16576
1748217600,0.997,0.9978,1.002,0.997,17586.86,17612.586259
1748260800,0.9976,0.9995,1.0015,0.9976,3226.1,3230.625978
1748304000,0.9996,0.9978,1.0017,0.9977,4238.16,4235.759279
1748347200,0.9978,0.9977,1.0012,0.9976,3130.49,3126.402564
1748390400,0.9977,0.9902,1.0014,0.99,7327.49,7310.736671
1748433600,0.9977,0.9978,1.001,0.9977,3998.74,3997.022454
1748476800,0.9977,1.009,1.009,0.9975,44955.55,44978.595321
1748520000,0.9977,1.0014,1.009,0.9977,2664.79,2685.43712
1748563200,0.9993,0.9978,1.0018,0.9978,8526.7,8511.854521
1748606400,0.9978,0.9902,1.0019,0.9902,1083.65,1081.626994
1748649600,0.9977,0.9901,1.0015,0.99,5164.5,5137.846076
1748692800,1.0014,0.9903,1.0015,0.99,3916.99,3909.629643
1748736000,0.9903,0.9901,1.0015,0.9901,10804.25,10785.594132
1748779200,0.9993,0.9903,1.0014,0.9901,19974.53,19954.57967
1748822400,0.9904,0.9984,1.0014,0.98,20634.7,20570.368865
1748865600,0.9984,0.9946,1.0033,0.9946,34088.39,34052.191125
1748908800,0.9945,0.9946,1.0043,0.9945,54515.96,54457.240007
1748952000,0.9946,0.9976,0.9992,0.9945,4007.83,3994.510187
1748995200,0.9993,0.9913,0.9996,0.9913,4346.02,4331.572888
1749038400,0.9946,0.9948,1.0033,0.9946,1687.5,1679.680783
1749081600,0.9948,0.9947,0.9955,0.9947,577.32,574.331371
1749124800,0.9947,0.9947,1.0019,0.9946,6284.43,6266.188094
1749168000,1.0015,0.9947,1.0034,0.9947,85.67,85.239633
1749211200,0.9964,0.9946,1.0032,0.9946,1275.92,1271.496152
1749254400,0.9946,0.9954,0.9954,0.9946,124.92,124.265088
1749297600,0.9954,0.9956,1.0032,0.9954,15.48,15.41102
1749340800,0.9956,0.9947,1.0032,0.9947,51.48,51.260877
1749384000,0.9947,0.9947,0.9947,0.9947,59.31,58.995657
1749427200,0.9954,0.9946,1.0044,0.9946,3395.59,3406.624461
1749470400,1.0032,0.9955,1.0032,0.9954,4202.53,4198.574993
1749513600,0.9949,0.9991,0.9991,0.9949,82.48,82.137786
1749556800,0.9997,0.9959,1.0046,0.9959,291.98,292.824701
1749600000,0.9959,0.9951,0.996,0.995,4043.33,4025.680102
1749643200,0.9951,0.9958,1.0031,0.9951,81.71,81.624255
1749686400,0.9958,0.9957,1.009,0.9957,26976.79,27066.817121
1749729600,0.9957,1.0007,1.0017,0.995,22545.22,22499.577686
1749772800,0.9959,1.0043,1.0044,0.9954,7560.24,7556.572397
1749816000,0.9959,1.0044,1.0044,0.9946,15482.11,15419.721191
1749859200,0.9948,0.9948,0.9996,0.9947,4694.38,4688.562524
1749902400,0.9948,0.9997,1.01,0.9946,71838.83,72008.242449
1749945600,0.9996,0.9999,1.0099,0.9977,13463.27,13514.603636
1749988800,1.0001,1.0001,1.01,0.9996,19629.28,19805.029529
1750032000,1.0096,1.0001,1.0099,0.9999,858.53,865.342685
1750075200,1.0096,1,1.0096,0.9999,4590.04,4599.481871
1750118400,1.0029,1.0045,1.0094,0.9948,3658.52,3661.814084
1750161600,0.9999,0.9999,1.005,0.9949,3175.6,3183.943562
1750204800,0.9993,0.99,1.0016,0.988,3278.35,3278.556192
1750248000,0.99,0.9986,0.9999,0.9844,4857.99,4854.93355
1750291200,0.9986,0.9992,0.9999,0.9949,44063.75,44009.756321
1750334400,0.9998,0.9993,1.0026,0.995,51963.18,51951.794094
1750377600,0.9992,0.9997,1.0048,0.9991,35265.68,35236.857366
1750420800,0.9997,0.9996,0.9999,0.9982,19725.65,19714.711047
1750464000,0.9997,0.9996,0.9998,0.9996,3097.78,3096.563934
1750507200,0.9996,0.9995,1.0003,0.9987,4937.64,4935.362879
1750550400,0.9988,0.9984,0.9998,0.9915,3723.3,3720.443578
1750593600,0.9998,0.9991,1.0001,0.9947,9751.13,9744.789274
1750636800,0.9991,0.9989,1.0015,0.9952,4742.55,4739.918362
1750680000,1,0.9973,1.0001,0.9957,4429.27,4426.031669
1750723200,0.9994,0.998,1.0002,0.9969,3723.64,3720.816365
1750766400,0.9966,0.9965,1,0.9965,1094.21,1093.635289
1750809600,0.9986,1.0001,1.0001,0.9961,2621.88,2620.546414
1750852800,0.9994,0.9993,0.9994,0.9993,500.5,500.149661
1750896000,0.9989,0.9996,1.0002,0.9971,6133.26,6131.722636
1750939200,1.001,0.999,1.0015,0.9856,35439.61,35415.330087
1750982400,0.9995,0.9976,1.0001,0.9863,6999.24,6995.058146
1751025600,0.9998,0.9987,1.0004,0.9948,819.83,819.483191
1751068800,0.9992,0.9993,1,0.9948,3581.3,3578.705036
1751112000,0.9993,0.9994,1,0.9991,16645.94,16639.753334
1751155200,0.9995,0.9996,1.0007,0.9887,6650.21,6646.752324
1751198400,0.9994,0.9993,0.9994,0.996,3126.66,3124.569436
1751241600,0.9994,0.9996,1.0004,0.9987,21288.63,21282.542945
1751284800,0.9996,0.9997,1.0003,0.9996,3210.65,3210.684686
1751328000,0.9994,0.9998,1.0003,0.9983,3195.26,3194.062118
1751371200,0.9999,0.9997,0.9999,0.9996,432.28,432.137334
1751414400,0.9998,0.9988,0.9998,0.9941,1077.67,1077.11981
1751457600,0.9996,0.9965,0.9997,0.9824,8805.95,8794.283881
1751500800,0.9988,0.9985,0.9997,0.995,4325.4,4322.57186
1751544000,0.9986,0.9998,1.0004,0.9962,4841.78,4837.173198
1751587200,0.9998,0.9966,0.9999,0.995,763.16,762.698021
1751630400,0.9994,0.9994,0.9995,0.9994,1910.87,1909.733874
1751673600,0.9995,0.9996,0.9997,0.9995,4259.91,4258.467534
1751716800,0.9998,0.9997,0.9998,0.9997,2917.49,2916.733123
1751760000,0.9997,1,1,0.9997,53.77,53.756899
1751803200,0.9997,0.9997,0.9998,0.9997,5018.87,5017.564379
1751846400,0.9997,0.9999,0.9999,0.9997,1418.62,1418.386734
1751889600,0.9998,0.9999,0.9999,0.9998,2211.77,2211.544043
1751932800,0.9999,0.9999,1.0015,0.9999,32522.17,32523.525441
1751976000,0.9999,0.9998,1.0015,0.9929,20912.31,20903.656897
1752019200,0.9997,0.9998,1.0098,0.9905,19810.13,19804.11123
1752062400,0.9998,0.9995,1.0001,0.9995,3398.83,3397.938703
1752105600,0.9995,0.9995,0.9998,0.9994,1502.82,1502.231558
1752148800,0.9995,0.9998,0.9998,0.9875,26529.2,26515.94744
1752192000,0.9998,0.9996,0.9998,0.9994,12997.63,12992.980687
1752235200,0.9996,0.9996,0.9999,0.9993,6447.8,6445.209281
1752278400,0.9996,0.9994,0.9996,0.9994,5565.05,5562.331813
1752321600,0.9995,0.9996,0.9997,0.9995,4680.83,4678.697145
1752364800,0.9996,1,1.01,0.9902,1721.57,1721.096382
1752408000,0.9901,0.9995,0.9996,0.9901,2717.4,2716.044454
1752451200,0.9995,0.9998,0.9998,0.9903,4745.14,4742.741385
1752494400,0.9999,0.9996,1,0.9902,1301.41,1300.775235
1752537600,0.9997,0.9998,1,0.99,9405.18,9403.201122
1752580800,0.9999,0.9997,1.0001,0.99,2017.21,2016.96759
1752624000,0.9997,0.9996,0.9998,0.9907,2623.55,2622.682081
1752667200,0.9997,0.9996,0.9998,0.9994,3013.46,3012.197628
1752710400,0.9995,0.9996,1.0099,0.9995,2059.81,2059.040753
1752753600,0.9996,0.9993,0.9998,0.9993,2492.61,2491.290092
1752796800,0.9993,0.9995,1.01,0.9992,18645.2,18647.209869
1752840000,0.9996,0.9995,1.02,0.9993,26732.32,26975.321728
1752883200,0.9995,0.9993,0.9995,0.9992,12610.38,12601.560635
1752926400,0.9993,0.9996,0.9997,0.9992,3085.18,3083.452659
1752969600,0.9996,0.9995,0.9997,0.991,26312.24,26299.054758
1753012800,0.9996,0.9997,0.9998,0.9996,486.65,486.484338
1753056000,0.9997,0.9998,0.9999,0.9995,1423.97,1423.506352
1753099200,0.9998,0.9997,0.9999,0.9995,1325.6,1325.172471
1753142400,0.9996,0.9997,0.9998,0.9995,9706.68,9703.764074
1753185600,0.9995,0.9997,1,0.9995,1033.55,1033.240674
1753228800,0.9996,0.9997,1.03,0.9996,59394.01,60399.966312
1753272000,0.9997,0.9996,0.9998,0.9996,3225.38,3224.412647
1753315200,0.9996,0.9996,0.9997,0.9995,4107.49,4106.007593
1753358400,0.9996,0.9997,1,0.9901,9578.61,9574.836644
1753401600,0.9997,1.0043,1.0043,0.9996,31849.74,31851.297012
1753444800,1.0004,1.0002,1.0289,1.0001,4944.13,4984.710158
1753488000,1.0002,1.0001,1.0252,0.9999,17960.89,18027.128826
1753531200,1.01,1.0001,1.0112,1,2601.94,2608.530533
1753574400,1.005,1.0001,1.0056,1,321.05,321.918045
1753617600,1.0001,0.9999,1.0056,0.9998,6503.41,6504.893521
1753660800,0.9999,1,1.005,0.9998,11489.04,11489.362853
1753704000,1,1.0035,1.0045,0.9995,29512.58,29516.781667
1753747200,1.0035,0.9998,1.0049,0.9902,15773.79,15773.219761
1753790400,0.999,0.9998,1.0001,0.9987,21580.53,21578.121251
1753833600,0.9998,0.9999,1.0027,0.9991,3460.49,3458.819612
1753876800,0.9995,1.0037,1.0048,0.9951,1303.72,1302.747527
1753920000,0.999,0.999,1.02,0.9988,7485.11,7480.245992
1753963200,0.9991,0.9987,0.9992,0.9987,956.89,956.046072
1754006400,0.9987,0.9994,1.0028,0.9956,330.39,330.047054
1754049600,0.9994,0.9996,0.9998,0.9993,1041.47,1040.966848
1754092800,0.9995,0.9993,0.9995,0.9993,778.66,778.199784
1754136000,0.9994,0.9994,0.9994,0.9991,5107.24,5103.423848
1754179200,0.9994,0.9995,0.9995,0.9993,20486.92,20475.613035
1754222400,0.9993,0.9991,0.9994,0.9991,6046.11,6041.874243
1754265600,0.9992,0.9992,0.9993,0.9992,136.02,135.916928
1754308800,0.9993,0.9993,0.9994,0.9959,4916.21,4911.876384
1754352000,0.9993,0.9993,0.9995,0.9991,21678.65,21663.989531
1754395200,0.9993,0.9993,0.9995,0.9992,16452.45,16441.000038
1754438400,0.9993,1.0018,1.0018,0.9957,3529.72,3527.634703
1754481600,0.9992,0.999,0.9993,0.995,2995.52,2993.17373
1754524800,0.9991,0.9953,0.9992,0.9953,956.44,955.054214
1754568000,0.9992,0.9989,1.0011,0.9953,470.27,469.820338
1754611200,0.9988,0.999,0.9991,0.9988,2188.32,2186.151395
1754654400,0.9991,0.9991,0.9993,0.9961,2548.05,2545.79877
1754697600,0.9991,0.9992,0.9994,0.9991,836.55,835.873486
1754740800,0.9991,0.9991,0.9994,0.9991,28816.12,28790.77635
1754784000,0.9992,0.9993,0.9994,0.999,1196.59,1195.724422
1754827200,0.9995,0.9991,0.9995,0.9991,31389.49,31369.567606
1754870400,0.9992,0.9997,0.9997,0.9969,4515.47,4512.684576
1754913600,0.9999,0.9996,1.01,0.9996,7981.56,7980.716844
1754956800,0.9996,0.9998,0.9999,0.9996,773.6,773.367956
1755000000,0.9997,0.9998,1.0002,0.9969,5117.95,5116.72294
1755043200,0.9997,0.9996,0.9998,0.9958,2125.28,2122.353553
1755086400,0.9996,0.9995,0.9997,0.9958,10303.63,10299.354459
1755129600,0.9995,0.9997,0.9997,0.9995,810.78,810.456599
1755172800,0.9996,0.9995,0.9998,0.9995,7558,7555.687366
1755216000,0.9995,0.999,0.9996,0.999,8568.05,8562.187045
1755259200,0.999,1,1.01,0.999,733.37,732.860302
1755302400,1,0.9991,1.0001,0.999,261.75,261.573795
1755345600,0.9991,0.9991,0.9991,0.999,188.96,188.774342
1755388800,0.999,0.9992,0.9993,0.9965,676.66,675.754046
1755432000,0.9993,0.999,0.9993,0.9966,898.78,897.913317
1755475200,0.999,0.9991,0.9992,0.999,83.29,83.210001
1755518400,0.9992,0.9992,1.0026,0.999,120.42,120.327163
1755561600,0.9992,0.9994,0.9994,0.9992,501.62,501.273702
1755604800,0.9994,0.999,0.9996,0.999,503.79,503.477513
1755648000,0.9994,0.9997,1.028,0.999,70436.22,70469.364179
1755691200,0.9995,0.9993,1,0.991,63380.75,63317.156114
1755734400,0.999,0.9994,0.9995,0.991,76530.42,76464.009941
1755777600,0.9995,0.9995,1.0022,0.9993,64745.42,64707.554244
1755820800,0.9995,0.9995,0.9995,0.9993,41298.57,41272.704891
1755864000,0.9994,0.9997,1.0048,0.9904,112580.52,112491.758177
1755907200,0.9998,0.9998,1.005,0.9953,242498.76,242458.602533
1755950400,1.0046,1.0047,1.0095,0.995,21911.49,21946.971637
1755993600,1.0047,1.0047,1.0095,0.996,37340.19,37389.505855
1756036800,1,0.9998,1.03,0.9969,64724.85,65271.804418
1756080000,1.0047,1.0047,1.0098,0.9978,31920.43,31985.050971
1756123200,1.0047,1.0048,1.0073,0.999,34189.64,34266.588475
1756166400,1,1.0072,1.0123,0.9995,36656.62,36777.422999
1756209600,1.0072,1.0065,1.0092,1,224385.89,225042.96292
1756252800,1.0064,1.0024,1.0064,1.0001,109826.56,110032.495568
1756296000,1.0024,1.0003,1.0028,1,353529.23,353663.43879
1756339200,1.0004,1.0001,1.001,1.0001,146271.05,146355.464557
1756382400,1.0005,1.0003,1.0008,1.0001,58563.36,58587.413025
1756425600,1.0004,1.0005,1.0019,1.0001,202765.05,202870.048027
1756468800,1.0005,1,1.0019,0.9999,215132.14,215193.885644
1756512000,1,1.0002,1.03,0.9997,116726.16,116991.123662
1756555200,1.0003,1.0002,1.0007,0.9997,294722.21,294796.184284
1756598400,1.0002,0.9965,1.03,0.9965,842438.75,845188.51584
1756641600,0.999,1.0001,1.0017,0.996,174366.09,174319.41165
1756684800,1.0001,0.997,1.0976,0.97,1253260.06,1257907.004064
1756728000,0.9998,0.9969,1.0005,0.983,1148733.66,1146797.686576
1756771200,0.9998,0.9995,1.0002,0.9946,308888.86,308482.674534
1756814400,0.9996,0.9993,1.0006,0.9924,904926.67,901857.534192
1756857600,0.9993,0.9994,0.9996,0.9979,135469.2,135362.811059
1756900800,0.9994,0.9994,0.9997,0.9992,176493.27,176403.215408
1756944000,0.9994,0.9994,0.9996,0.9993,222322.69,222199.213565
1756987200,0.9995,0.999,0.9995,0.9988,231290.26,231074.362315
1757030400,0.999,0.9989,0.999,0.9987,229704.84,229439.672404
1757073600,0.9988,0.999,0.9992,0.9986,390266.1,389852.208077
1757116800,0.999,0.9991,0.9991,0.9989,154046.83,153896.963392
1757160000,0.9991,0.999,0.9991,0.9987,257989.73,257723.068219
1757203200,0.9991,0.9996,1.0001,0.999,317786.19,317587.381007
1757246400,0.9995,0.9992,0.9996,0.999,330423.47,330173.599709
1757289600,0.9992,0.999,0.9994,0.9989,282659.33,282433.864307
1757332800,0.9991,0.999,0.9992,0.9988,380988.5,380627.838959
1757376000,0.999,0.9993,0.9995,0.999,418670.36,418325.801359
1757419200,0.9993,0.9991,0.9993,0.9988,402333.23,401929.831457
1757462400,0.9991,0.9992,1.004,0.9989,535277.43,535101.666368
1757505600,0.9991,0.9991,0.9994,0.999,327156.41,326878.098508
1757548800,0.9992,0.9993,0.9994,0.9991,275931.74,275725.531592
1757592000,0.9992,0.9993,0.9996,0.9986,1257366.41,1256427.006253
1757635200,0.9993,0.9992,0.9994,0.9989,724491.8,723921.658538
1757678400,0.9992,0.9993,0.9994,0.999,447117.3,446778.764465
1757721600,0.9993,0.9994,0.9995,0.9991,194533.9,194387.040631
1757764800,0.9994,0.9993,0.9995,0.9993,310329.54,310126.308644
1757808000,0.9993,0.9997,1,0.9993,217417.17,217330.713202
1757851200,0.9996,0.9994,1.0001,0.9992,335755.15,335576.136236
1757894400,0.9994,0.9994,0.9996,0.9993,273463.36,273288.415066
1757937600,0.9994,0.9994,0.9996,0.9993,182100.12,181990.215527
1757980800,0.9994,0.9997,1,0.9992,367815.38,367678.465169
1758024000,0.9998,0.9997,1.0006,0.9996,409882.91,409822.04773
1758067200,0.9997,0.9997,0.9999,0.9995,288096.32,288011.591543
1758110400,0.9998,0.9998,1,0.9994,685908.9,685694.171623
1758153600,0.9998,0.9995,0.9999,0.9994,396003.46,395876.115946
1758196800,0.9994,0.9996,0.9997,0.9994,240803.18,240711.5836
1758240000,0.9996,0.9996,0.9997,0.9996,201836.56,201764.637297
1758283200,0.9997,0.9998,0.9999,0.9995,192869.56,192817.351228
1758326400,0.9998,1,1.0002,0.9997,122715.34,122708.113357
1758369600,1,1.0004,1.0007,1,184025.02,184074.726498
1758412800,1.0004,1.0002,1.0004,1.0002,89917.71,89945.720917
1758456000,1.0002,1.0003,1.0005,1,437509.06,437612.973113
1758499200,1.0003,1.0007,1.0008,1,849958.54,850130.206178
1758542400,1.0006,1.0004,1.0011,1.0004,538405.03,538796.686324
1758585600,1.0005,0.9999,1.0007,0.9997,467788.88,467871.645767
1758628800,0.9999,0.9999,1.0001,0.9997,229005,228982.861789
1758672000,0.9999,0.9996,1,0.9996,113480.64,113458.677425
1758715200,0.9997,0.9997,0.9997,0.9994,140142.32,140085.150382
1758758400,0.9997,0.9998,0.9999,0.9995,200018.25,199947.12786
1758801600,0.9998,0.9991,1.0002,0.9991,362278.22,362130.13961
1758844800,0.9991,0.9991,0.9994,0.9961,229529.83,229270.203813
1758888000,0.9991,0.999,0.9993,0.9988,119225.67,119104.939875
1758931200,0.9991,0.9991,0.9991,0.9989,30163.48,30133.107627
1758974400,0.9991,0.999,0.9991,0.9989,53210.67,53159.097012
1759017600,0.999,0.9997,0.9997,0.999,123042.04,122978.921021
1759060800,0.9997,0.9996,1,0.9994,367680.26,367563.787689
1759104000,0.9997,0.9995,0.9997,0.9995,225824.4,225737.753026
1759147200,0.9995,0.9996,1,0.9993,521288.08,521081.8673
1759190400,0.9996,0.9995,0.9997,0.9994,187260.26,187189.912077
1759233600,0.9995,0.9994,0.9997,0.9992,190228.35,190120.567069
1759276800,0.9995,0.9993,0.9997,0.999,332258.85,332033.225885
1759320000,0.9994,0.9996,0.9997,0.9992,177417.1,177324.602207
1759363200,0.9996,0.9994,0.9996,0.9994,146819.85,146752.138888
1759406400,0.9994,0.9996,0.9996,0.9994,105504.27,105452.36174
1759449600,0.9995,0.9995,0.9996,0.9993,203422.49,203311.967351
1759492800,0.9996,0.9994,1,0.9993,468864.37,468643.233407
1759536000,0.9994,0.9992,0.9996,0.9987,382599.66,382333.841233
1759579200,0.9992,0.9994,1.0015,0.9992,216843.49,216714.790989
1759622400,0.9995,0.9994,0.9996,0.9992,204937.61,204819.907104
1759665600,0.9993,0.9992,0.9994,0.9991,330414.33,330180.847912
1759708800,0.9992,0.9994,0.9996,0.9992,127218.32,127134.288484
1759752000,0.9993,0.9996,0.9999,0.9989,333301.59,333072.507962
1759795200,0.9996,0.9993,0.9997,0.9992,76483.18,76446.486205
1759838400,0.9992,0.9992,0.9996,0.999,292459.06,292229.987457
