time,open,close,high,low,volume,turnover
1747785600,1,0.9905,1.005,0.9905,21045.45,21033.684162
1747872000,0.9905,0.997,1.009,0.99,35904.93,35912.918463
1747958400,0.9972,1.002,1.002,0.9937,4093.66,4092.848892
1748044800,0.999,0.999,1.002,0.999,6586.15,6589.08357
1748131200,0.999,1.002,1.009,0.994,9372.24,9388.88315
1748217600,0.997,0.9995,1.002,0.997,20812.96,20843.212237
1748304000,0.9996,0.9977,1.0017,0.9976,7368.65,7362.161843
1748390400,0.9977,0.9978,1.0014,0.99,11326.23,11307.759125
1748476800,0.9977,1.0014,1.009,0.9975,47620.34,47664.032441
1748563200,0.9993,0.9902,1.0019,0.9902,9610.35,9593.481515
1748649600,0.9977,0.9903,1.0015,0.99,9081.49,9047.475719
1748736000,0.9903,0.9903,1.0015,0.9901,30778.78,30740.173802
1748822400,0.9904,0.9946,1.0033,0.98,54723.09,54622.55999
1748908800,0.9945,0.9976,1.0043,0.9945,58523.79,58451.750194
1748995200,0.9993,0.9948,1.0033,0.9913,6033.52,6011.253671
1749081600,0.9948,0.9947,1.0019,0.9946,6861.75,6840.519465
1749168000,1.0015,0.9946,1.0034,0.9946,1361.59,1356.735785
1749254400,0.9946,0.9956,1.0032,0.9946,140.4,139.676108
1749340800,0.9956,0.9947,1.0032,0.9947,110.79,110.256534
1749427200,0.9954,0.9955,1.0044,0.9946,7598.12,7605.199454
1749513600,0.9949,0.9959,1.0046,0.9949,374.46,374.962487
1749600000,0.9959,0.9958,1.0031,0.995,4125.04,4107.304357
1749686400,0.9958,1.0007,1.009,0.995,49522.01,49566.394807
1749772800,0.9959,1.0044,1.0044,0.9946,23042.35,22976.293588
1749859200,0.9948,0.9997,1.01,0.9946,76533.21,76696.804973
1749945600,0.9996,1.0001,1.01,0.9977,33092.55,33319.633165
1750032000,1.0096,1,1.0099,0.9999,5448.57,5464.824556
1750118400,1.0029,0.9999,1.0094,0.9948,6834.12,6845.757646
1750204800,0.9993,0.9986,1.0016,0.9844,8136.34,8133.489742
1750291200,0.9986,0.9993,1.0026,0.9949,96026.93,95961.550415
1750377600,0.9992,0.9996,1.0048,0.9982,54991.33,54951.568413
1750464000,0.9997,0.9995,1.0003,0.9987,8035.42,8031.926813
1750550400,0.9988,0.9991,1.0001,0.9915,13474.43,13465.232852
1750636800,0.9991,0.9973,1.0015,0.9952,9171.82,9165.950031
1750723200,0.9994,0.9965,1.0002,0.9965,4817.85,4814.451654
1750809600,0.9986,0.9993,1.0001,0.9961,3122.38,3120.696075
1750896000,0.9989,0.999,1.0015,0.9856,41572.87,41547.052723
1750982400,0.9995,0.9987,1.0004,0.9863,7819.07,7814.541337
1751068800,0.9992,0.9994,1,0.9948,20227.24,20218.45837
1751155200,0.9995,0.9993,1.0007,0.9887,9776.87,9771.32176
1751241600,0.9994,0.9997,1.0004,0.9987,24499.28,24493.227631
1751328000,0.9994,0.9997,1.0003,0.9983,3627.54,3626.199452
1751414400,0.9998,0.9965,0.9998,0.9824,9883.62,9871.403691
1751500800,0.9988,0.9998,1.0004,0.995,9167.18,9159.745058
1751587200,0.9998,0.9994,0.9999,0.995,2674.03,2672.431895
1751673600,0.9995,0.9997,0.9998,0.9995,7177.4,7175.200657
1751760000,0.9997,0.9997,1,0.9997,5072.64,5071.321278
1751846400,0.9997,0.9999,0.9999,0.9997,3630.39,3629.930777
1751932800,0.9999,0.9998,1.0015,0.9929,53434.48,53427.182338
1752019200,0.9997,0.9995,1.0098,0.9905,23208.96,23202.049933
1752105600,0.9995,0.9998,0.9998,0.9875,28032.02,28018.178998
1752192000,0.9998,0.9996,0.9999,0.9993,19445.43,19438.189968
1752278400,0.9996,0.9996,0.9997,0.9994,10245.88,10241.028958
1752364800,0.9996,0.9995,1.01,0.9901,4438.97,4437.140836
1752451200,0.9995,0.9996,1,0.9902,6046.55,6043.51662
1752537600,0.9997,0.9997,1.0001,0.99,11422.39,11420.168712
1752624000,0.9997,0.9996,0.9998,0.9907,5637.01,5634.879709
1752710400,0.9995,0.9993,1.0099,0.9993,4552.42,4550.330845
1752796800,0.9993,0.9995,1.02,0.9992,45377.52,45622.531597
1752883200,0.9995,0.9996,0.9997,0.9992,15695.56,15685.013294
1752969600,0.9996,0.9997,0.9998,0.991,26798.89,26785.539096
1753056000,0.9997,0.9997,0.9999,0.9995,2749.57,2748.678823
1753142400,0.9996,0.9997,1,0.9995,10740.23,10737.004748
1753228800,0.9996,0.9996,1.03,0.9996,62619.39,63624.378959
1753315200,0.9996,0.9997,1,0.9901,13686.1,13680.844237
1753401600,0.9997,1.0002,1.0289,0.9996,36793.87,36836.00717
1753488000,1.0002,1.0001,1.0252,0.9999,20562.83,20635.659359
1753574400,1.005,0.9999,1.0056,0.9998,6824.46,6826.811566
1753660800,0.9999,1.0035,1.005,0.9995,41001.62,41006.14452
1753747200,1.0035,0.9998,1.0049,0.9902,37354.32,37351.341012
1753833600,0.9998,1.0037,1.0048,0.9951,4764.21,4761.567139
1753920000,0.999,0.9987,1.02,0.9987,8442,8436.292064
1754006400,0.9987,0.9996,1.0028,0.9956,1371.86,1371.013902
1754092800,0.9995,0.9994,0.9995,0.9991,5885.9,5881.623632
1754179200,0.9994,0.9991,0.9995,0.9991,26533.03,26517.487278
1754265600,0.9992,0.9993,0.9994,0.9959,5052.23,5047.793312
1754352000,0.9993,0.9993,0.9995,0.9991,38131.1,38104.989569
1754438400,0.9993,0.999,1.0018,0.995,6525.24,6520.808433
1754524800,0.9991,0.9989,1.0011,0.9953,1426.71,1424.874552
1754611200,0.9988,0.9991,0.9993,0.9961,4736.37,4731.950165
1754697600,0.9991,0.9991,0.9994,0.9991,29652.67,29626.649836
1754784000,0.9992,0.9991,0.9995,0.999,32586.08,32565.292028
1754870400,0.9992,0.9996,1.01,0.9969,12497.03,12493.40142
1754956800,0.9996,0.9998,1.0002,0.9969,5891.55,5890.090896
1755043200,0.9997,0.9995,0.9998,0.9958,12428.91,12421.708012
1755129600,0.9995,0.9995,0.9998,0.9995,8368.78,8366.143965
1755216000,0.9995,1,1.01,0.999,9301.42,9295.047347
1755302400,1,0.9991,1.0001,0.999,450.71,450.348137
1755388800,0.999,0.999,0.9993,0.9965,1575.44,1573.667363
1755475200,0.999,0.9992,1.0026,0.999,203.71,203.537164
1755561600,0.9992,0.999,0.9996,0.999,1005.41,1004.751215
