time,open,close,high,low,volume,turnover
1776084000,0.9989,0.9989,0.9989,0.9989,5.92,5.913488
1776084300,0.9989,0.9989,0.9989,0.9989,61.13,61.062757
1776084600,0.9989,0.9988,0.9989,0.9988,2846.59,2843.42884
1776084900,0.9988,0.9989,0.9989,0.9988,1183.79,1182.473208
1776085200,0.9989,0.9989,0.9989,0.9989,1220.9,1219.55701
1776085500,0.9989,0.9989,0.9989,0.9989,234.02,233.762578
1776085800,0.9988,0.9988,0.9988,0.9988,41.08,41.030704
1776086100,0.9988,0.9989,0.9989,0.9988,6.42,6.412324
1776086400,0.9988,0.9988,0.9988,0.9988,163.41,163.213908
1776086700,0.9988,0.9989,0.9989,0.9988,4826.07,4820.755321
1776087000,0.9988,0.9988,0.9988,0.9988,204.64,204.394432
1776087300,0.9988,0.9988,0.9988,0.9988,136.75,136.5859
1776087600,0.9988,0.9988,0.9988,0.9988,67.99,67.908412
1776087900,0.9988,0.9988,0.9989,0.9988,1544.95,1543.213344
1776088200,0.9989,0.9989,0.9989,0.9988,3520.07,3516.141269
1776088500,0.9988,0.9988,0.9988,0.9988,988.92,987.733296
1776088800,0.9988,0.9989,0.9989,0.9988,11.76,11.74607
1776089100,0.9989,0.9989,0.9989,0.9989,0,0
1776089400,0.9988,0.9988,0.9988,0.9988,37.06,37.015528
1776089700,0.9988,0.9989,0.9989,0.9988,497.15,496.587508
1776090000,0.9989,0.9988,0.9989,0.9988,923.5,922.45348
1776090300,0.9988,0.9989,0.9989,0.9988,28.88,28.845436
1776090600,0.9989,0.9988,0.9989,0.9988,442.19,441.678267
1776090900,0.9988,0.9989,0.9989,0.9988,233.94,233.670311
1776091200,0.9988,0.9987,0.9988,0.9987,5655.51,5648.709266
1776091500,0.9987,0.9987,0.9988,0.9987,3297.76,3293.782967
1776091800,0.9987,0.9987,0.9988,0.9987,189.12,188.876136
1776092100,0.9987,0.9987,0.9988,0.9987,3362.73,3358.637032
1776092400,0.9987,0.9987,0.9988,0.9987,235.24,234.950931
1776092700,0.9987,0.9988,0.9988,0.9987,67.27,67.182673
1776093000,0.9987,0.9987,0.9988,0.9987,216.29,216.010793
1776093300,0.9987,0.9987,0.9987,0.9987,101.19,101.058453
1776093600,0.9987,0.9987,0.9987,0.9987,0,0
1776093900,0.9987,0.9987,0.9987,0.9987,369.63,369.149481
1776094200,0.9987,0.9988,0.9988,0.9987,248.04,247.71757
1776094500,0.9987,0.9987,0.9987,0.9987,272.92,272.565204
1776094800,0.9987,0.9987,0.9987,0.9987,0.12,0.119844
1776095100,0.9987,0.9987,0.9987,0.9987,0,0
1776095400,0.9987,0.9987,0.9987,0.9987,0,0
1776095700,0.9987,0.9987,0.9987,0.9987,0,0
1776096000,0.9987,0.9987,0.9987,0.9987,0,0
1776096300,0.9988,0.9988,0.9988,0.9988,91.17,91.060596
1776096600,0.9988,0.9988,0.9988,0.9988,1124.51,1123.160588
1776096900,0.999,0.999,0.999,0.999,39.8,39.7602
1776097200,0.999,0.999,0.999,0.999,746.31,745.56369
1776097500,0.999,0.999,0.999,0.999,1640.33,1638.68967
1776097800,0.9991,0.999,0.9991,0.999,485.19,484.718872
1776098100,0.999,0.9991,0.9991,0.999,446.82,446.373672
1776098400,0.999,0.9991,0.9991,0.999,57.67,57.614631
1776098700,0.9991,0.9991,0.9991,0.999,26.07,26.044672
1776099000,0.999,0.999,0.999,0.999,62.25,62.18775
1776099300,0.999,0.999,0.999,0.999,119.69,119.57031
1776099600,0.999,0.9987,0.999,0.9987,90.57,90.457728
1776099900,0.9987,0.9987,0.9988,0.9987,399.83,399.323254
1776100200,0.9987,0.9988,0.9988,0.9987,857.42,856.390079
1776100500,0.9988,0.9988,0.9988,0.9988,147.45,147.27306
1776100800,0.9988,0.9988,0.9989,0.9988,1856.41,1854.205367
1776101100,0.9988,0.9989,0.9989,0.9988,604.68,604.008806
1776101400,0.9989,0.9988,0.9989,0.9988,281.98,281.662195
1776101700,0.9988,0.9989,0.9989,0.9988,3186.38,3182.847654
1776102000,0.9988,0.9988,0.9988,0.9988,41.34,41.290392
1776102300,0.9988,0.9989,0.9989,0.9988,62.17,62.097232
1776102600,0.9988,0.9988,0.9988,0.9988,609.13,608.399044
1776102900,0.9988,0.9988,0.9988,0.9988,51.38,51.318344
1776103200,0.9988,0.9988,0.9988,0.9988,0,0
1776103500,0.9989,0.9989,0.9989,0.9989,7.7,7.69153
1776103800,0.9988,0.9988,0.9988,0.9988,8.39,8.379932
1776104100,0.9989,0.9988,0.9989,0.9988,6.25,6.242568
1776104400,0.9989,0.9989,0.9989,0.9989,66,65.9274
1776104700,0.9989,0.9989,0.9989,0.9989,104.79,104.674731
1776105000,0.9989,0.9989,0.9989,0.9989,115.86,115.732554
1776105300,0.9988,0.9988,0.9988,0.9988,0.31,0.309628
1776105600,0.9988,0.9988,0.9988,0.9988,9.61,9.598468
1776105900,0.9988,0.9988,0.9988,0.9988,0,0
1776106200,0.9988,0.9988,0.9988,0.9988,0,0
1776106500,0.9988,0.9988,0.9988,0.9988,0,0
1776106800,0.9988,0.9989,0.9989,0.9988,157.86,157.676329
1776107100,0.9989,0.9988,0.9989,0.9988,316.3,315.928988
1776107400,0.9988,0.9988,0.9988,0.9988,48.67,48.611596
1776107700,0.9988,0.9988,0.9989,0.9988,635.04,634.316367
1776108000,0.9989,0.9988,0.9989,0.9988,937.42,936.366687
1776108300,0.9988,0.9988,0.9988,0.9988,384.9,384.43812
1776108600,0.9989,0.9988,0.9989,0.9988,154.51,154.32659
1776108900,0.9988,0.9988,0.9988,0.9988,827.14,826.147432
1776109200,0.9988,0.9987,0.9988,0.9987,162.95,162.743891
1776109500,0.9988,0.9988,0.9988,0.9988,4595.45,4589.93546
1776109800,0.9988,0.9988,0.9988,0.9988,1855.59,1853.363292
1776110100,0.9988,0.9988,0.9989,0.9988,5978.56,5971.421001
1776110400,0.9987,0.9988,0.9988,0.9987,1134.84,1133.373191
1776110700,0.9988,0.9988,0.9988,0.9987,2364.84,2361.995785
1776111000,0.9987,0.9988,0.9988,0.9987,932.79,931.647109
1776111300,0.9988,0.9988,0.9988,0.9988,18.37,18.347956
1776111600,0.9988,0.9988,0.9988,0.9988,53.7,53.63556
1776111900,0.9988,0.9988,0.9988,0.9988,0,0
1776112200,0.9988,0.9988,0.9988,0.9988,158.04,157.850352
