time,open,close,high,low,volume,turnover
1606089600,1,0.9982,1.0004,0.998,196807.99549361,196592.586190335361
1606176000,0.9984,0.9982,1.0004,0.9973,218294.62529717,218084.568964156773
1606262400,1,0.99001,1.00039,0.96556,342399.83444539,341863.1707258145567
1606348800,0.99003,0.9982,1.12258,0.68001,695949.2652168,695192.2229071155943
1606435200,0.9982,0.9986,1,0.99799,218170.38489348,217898.576578804744
1606521600,0.9986,0.9984,1,0.9978,133595.91724147,133439.3487044445034
1606608000,0.9984,0.99828,1,0.9982,71234.04430561,71149.2783294381858
1606694400,0.99858,0.99898,1.00092,0.99725,173475.79105857,173324.4620281161407
1606780800,0.99878,0.99943,1.0005,0.99807,232755.34702647,232516.6804150370993
1606867200,1.00021,0.99858,1.00072,0.99501,164141.69863414,164005.8844755380801
1606953600,0.99862,0.99798,1.00062,0.99798,224381.17594064,224220.948157663794
1607040000,0.999,0.99925,1.00032,0.99501,248029.72498094,247788.864851213373
1607126400,0.99982,0.9993,0.99983,0.99502,126404.5677252,126199.5137518949228
1607212800,0.99849,0.99777,1.00022,0.99601,119257.36429326,119117.4522434116542
1607299200,0.99777,0.99855,1.0006,0.99765,149463.88264059,149330.9865941554317
1607385600,0.999,0.99996,1.00275,0.997,566883.43561226,566975.3497262132994
1607472000,0.9998,0.99897,1.00133,0.99897,459701.57092213,459622.5452994519405
1607558400,0.99898,0.9993,1.00069,0.99897,163564.8254284,163485.031643221898
1607644800,1.00032,0.99918,1.00133,0.99918,134487.23414254,134484.2070260272456
1607731200,0.99918,0.99888,1.00072,0.99848,119163.92906222,119154.219377396343
1607817600,1.00042,1.00113,1.00113,0.99876,82324.51883574,82302.0743217422651
1607904000,1.00113,0.99865,1.00113,0.98709,194333.97167807,194239.5749642086973
1607990400,0.9981,0.99865,1.00083,0.89971,302617.16240443,300814.5902123060364
1608076800,0.99811,0.99976,1.0016,0.94165,387873.7186788,386578.4324120116557
1608163200,0.99921,1.00139,1.10002,0.9768,430814.86523782,430773.6180601134215
1608249600,1.00087,0.99735,1.0095,0.9946,162722.86389022,162562.0586611943937
1608336000,0.99733,0.99995,1.00084,0.995,153903.26226067,153617.9473179663797
1608422400,0.99995,0.99993,1.1,0.99,264497.84956309,264424.3431267581699
1608508800,0.99989,0.99764,1.00267,0.9805,192887.65992648,192664.984297038723
1608595200,0.99773,0.99935,1.00149,0.981,423584.0268383,423413.3920763632859
1608681600,0.9993,0.9988,1.00153,0.9983,628375.54452478,628342.8830690810074
1608768000,0.99862,1.00133,1.00133,0.99765,343636.28557621,343772.9986327066411
1608854400,1.00122,1.00111,1.00514,1,178710.97293461,178773.6180314804291
1608940800,1.00002,0.99979,1.01,0.99961,174022.56707968,174187.9082177278739
1609027200,1.00175,1.00003,1.0065,0.99613,649514.31529697,649976.5817098139565
1609113600,1.00015,1.00233,1.003,0.99974,389417.5212847,389834.1026985616298
1609200000,1.00067,1.00042,1.003,0.99974,528425.89595107,529057.4150727177071
1609286400,1.00042,1.00029,1.00531,0.99905,681449.73817561,682099.2064416885571
1609372800,1.00025,0.99895,1.0022,0.9975,445474.02984297,445202.1274585777482
1609459200,0.9992,0.9982,0.9996,0.9959,466353.43101002,465285.4266129876068
1609545600,0.9966,0.9997,1.00082,0.9957,1390252.97945627,1388089.9664651345966
1609632000,0.9982,0.9998,1.002,0.95001,1067063.62755291,1066517.5322399796693
1609718400,1.00011,0.99954,1.008,0.9941,1545251.76785171,1544775.7722657008125
1609804800,0.99954,0.9961,1.0005,0.9953,1064072.93912336,1062702.4456330148427
1609891200,0.99995,0.99671,1.00015,0.99181,2183969.52519239,2178448.7884211308828
1609977600,0.99839,0.9994,1.007,0.994,2017935.95861148,2016342.983905956531
1610064000,0.9991,0.9999,1.0005,0.9856,1466934.47746398,1464409.7326725988051
1610150400,0.9999,0.99619,1.00007,0.9201,797050.16333659,789053.1919863799287
1610236800,0.99581,0.99725,1.00009,0.984,920940.42553836,918720.5836538866519
1610323200,0.997,0.99999,1.00481,0.97484,2371170.56463101,2366395.2569933836119
1610409600,0.99581,1.00161,1.00251,0.99433,1234709.0228455,1234925.5470867368938
1610496000,0.99949,0.99901,1.006,0.99901,828557.65832467,829193.0530048987694
1610582400,1.00043,1.0006,1.1128,0.99888,1799611.85731094,1809406.7592831110409
1610668800,1.00198,0.99999,1.078,0.99999,2281623.69778874,2290757.7396569679845
1610755200,1,0.99941,1.0076,0.9983,1112576.01504002,1112372.3539450300797
1610841600,0.99952,1.00104,1.00351,0.9978,1224604.24803317,1225158.1473105954595
1610928000,0.9995,0.99999,1.00299,0.9988,681369.01566455,681440.2008576591242
1611014400,0.99999,1.00164,1.00985,0.995,817369.47378953,817232.9082038031578
1611100800,1.0017,0.9986,1.005,0.9984,1089240.24748615,1089168.4511283378905
1611187200,1.00028,0.9999,1.00438,0.9985,1543758.81010744,1545097.7732916862804
1611273600,1.00047,0.99988,1.00251,0.99101,1493628.52546792,1493182.2060347195622
1611360000,0.99678,0.9983,0.99988,0.996,540367.52889923,539299.3960726437925
1611446400,0.9985,0.99664,1.00003,0.99605,587217.83015306,586127.0153584432357
1611532800,0.99667,0.99947,1.00192,0.996,1049873.67322859,1048714.128606114752
1611619200,0.99947,0.9983,1.00272,0.997,1582905.27075785,1582492.3605105508547
1611705600,0.9983,0.9981,1.00241,0.9981,825172.16312861,824359.2438344031963
1611792000,0.9981,0.99691,1.00054,0.99602,1134869.05227354,1132784.2432595687525
1611878400,0.99828,0.99843,1.00073,0.994,2438679.62947813,2432157.1570880553926
1611964800,0.99843,0.998,1.0008,0.99401,772931.12885952,771867.7413633121384
1612051200,0.99909,0.9999,1.00059,0.99412,790386.61538693,788929.2974039762565
1612137600,0.99696,1.0003,1.00214,0.994,1881975.10129392,1880259.5208702565462
1612224000,1.00029,0.998,1.00202,0.994,980419.82004875,979259.1848956589411
1612310400,0.99601,0.99625,1.0006,0.994,1189187.12570847,1186579.9137145138852
1612396800,0.9996,0.9981,1.00028,0.995,1486749.3040056,1484487.0496592696183
1612483200,0.9981,0.9995,1.00028,0.99601,1124388.36767967,1122411.3957374723315
1612569600,0.9995,0.99799,1.00038,0.994,1193643.50422629,1191164.0415935378011
1612656000,0.99821,0.99752,1.00197,0.99501,1393776.16702127,1391950.7512974247318
1612742400,0.99752,0.99961,1.002,0.99001,2071543.91834427,2067042.8840442599773
1612828800,0.99948,0.99633,1.00201,0.99401,1999204.05179168,1996732.1730250369316
1612915200,0.99847,1.00352,1.00959,0.98809,2061093.72708735,2058201.3910305639004
1613001600,1.00194,0.99999,1.01069,0.99646,2326192.71709832,2324505.3362150037467
1613088000,0.99852,0.99781,1.0056,0.99433,2496353.52910407,2493275.0140825484121
1613174400,0.9987,0.9979,1.00489,0.9968,2204940.21479314,2202367.8560747385868
1613260800,0.99845,0.99928,1.00247,0.99281,1640046.81509628,1638162.6576083652978
1613347200,0.99928,0.99967,1.055,0.8933,2798047.10522858,2794514.8607606921985
1613433600,1.00063,0.99985,1.00171,0.998,2008404.58864893,2008653.1522732316755
1613520000,0.99986,0.9995,1.003,0.9986,2222207.12332152,2222304.4425988108607
1613606400,0.9988,1.00078,1.00356,0.998,2189264.64148328,2189367.4240228672238
1613692800,1.00077,0.99966,1.00176,0.99791,2172011.10915384,2172008.5076355357046
1613779200,0.9992,0.99925,1.0064,0.99351,4311203.08116773,4309776.1413678420166
1613865600,0.99856,1.00036,1.00959,0.996,2530871.69052321,2530505.9965668572806
1613952000,1.00036,0.99908,1.019,0.98,6408786.86837384,6408118.2587825975531
1614038400,0.9996,1.00041,1.02,0.99712,8112613.6823847,8114039.6827988995331
1614124800,1.00041,0.99959,1.00329,0.99501,2925478.59446463,2923869.9103540226772
1614211200,0.99959,0.99964,1.0026,0.9965,2904121.74041808,2903048.3092136418168
1614297600,0.9999,0.99961,1.0022,0.9965,3121225.99589386,3120054.7936968228098
1614384000,0.99961,0.99911,1.00101,0.99653,2826032.45568875,2823215.6259284808077
1614470400,0.99911,0.99898,1.00033,0.995,3580999.98776054,3577333.4589794663707
1614556800,0.99898,0.99766,1,0.994,2525303.02636646,2520659.9263581217643
1614643200,0.99835,0.99902,0.99942,0.99403,2116843.65733228,2113301.2263373474579
1614729600,0.99899,0.99913,1.00032,0.99546,2100852.77181623,2099152.7496547482866
1614816000,0.99913,0.99939,1.00121,0.99569,2701199.65257354,2699608.2334576135398
1614902400,0.9995,0.9993,1.00181,0.996,2838528.03290916,2836718.5733761003166
1614988800,0.99933,0.9983,1.00128,0.995,2093937.24006926,2090871.438259605401
1615075200,0.99831,0.9997,1.00079,0.99501,2110756.30565088,2108576.4563731449566
1615161600,0.99988,0.999,1.0008,0.9983,1918811.74729041,1917565.0915214466367
1615248000,0.999,0.9998,1,0.9951,2928294.06517636,2925306.541565615184
1615334400,0.9998,0.99984,1.00099,0.99755,3087024.13591779,3085809.5606917640948
1615420800,0.99971,0.9995,1.00131,0.9967,2571763.28540026,2570953.5709193214434
1615507200,0.9995,0.9996,1.0003,0.99054,3353095.61299239,3351526.6213322791574
1615593600,0.99976,1.00035,1.001,0.99909,3263276.01867763,3263483.7920265394162
1615680000,1,0.9999,1.001,0.99557,3410970.11559859,3410312.3685844304863
1615766400,0.9999,0.9994,1.00045,0.99814,3748527.28194993,3747073.9712593423505
1615852800,0.9995,0.99939,1.001,0.9963,4993577.43011905,4993309.951526575455
1615939200,0.9992,0.99952,1.00506,0.99601,4439216.2117881,4438720.0715725857162
1616025600,0.99952,0.99987,1.00855,0.99713,3414341.08950279,3413309.860997208396
1616112000,0.9998,1.0011,1.0011,0.9988,2865294.02514516,2865246.7655701889537
1616198400,0.99974,0.999,1.00619,0.99802,2443192.4393499,2442751.1929984374854
1616284800,0.999,0.9996,1.0002,0.9986,3022114.38345023,3020481.8127897062874
1616371200,0.9996,0.99955,1.00506,0.99872,3915846.27843377,3916129.2543841333413
1616457600,0.99955,0.99985,1.0998,0.9986,3426351.26970741,3427622.2963868963801
1616544000,0.99985,0.9994,1.00514,0.9987,3813524.54370999,3813629.0094874089725
1616630400,0.99941,0.9995,1.005,0.99858,4014175.14664373,4013481.6886528231628
1616716800,0.9995,0.99921,1.0002,0.99671,3441565.29897577,3439290.5515988009495
1616803200,0.99902,0.99964,1.0005,0.99671,2213893.69367761,2212783.7126658153065
1616889600,0.99979,0.9998,1.00105,0.9987,2183069.46310145,2182999.3029449903339
1616976000,0.99999,1,1.00101,0.99899,3131780.81963375,3131175.1386793253733
1617062400,1,0.99922,1.00181,0.9967,2808012.54515838,2807358.4020783374926
1617148800,0.99924,0.9993,1.001,0.9983,3405729.51097501,3404438.9721781260914
1617235200,0.9993,0.99979,1.00009,0.99854,3423278.74675827,3422463.5205594436479
1617321600,0.9998,0.99937,1.00499,0.99671,3724285.39672827,3723750.8329541840548
1617408000,0.99965,0.9991,1.00035,0.9986,3609206.10057053,3607512.0604666578497
