time,open,close,high,low,volume,turnover
1760810400,0.9998,0.9997,0.9998,0.9997,3225143.45,3224419.766298
1760832000,0.9998,0.9997,0.9998,0.9997,784723.29,784500.030346
1760853600,0.9998,0.9997,0.9998,0.9997,1819192.5,1818727.6418
1760875200,0.9998,0.9998,0.9998,0.9997,988143.74061554085,987893.867313356187745
1760896800,0.9998,0.9998,0.9998,0.9997,564180.985408355725,564036.2472657332182825
1760918400,0.9998,0.9998,0.9998,0.9997,2023815.9049916424,2023290.76125314490728
1760940000,0.9998,0.9997,0.9998,0.9997,3320788.57036866625,3319958.284394555650125
1760961600,0.9997,0.9998,0.9998,0.9997,2634319.36661224175,2633612.595497258077475
1760983200,0.9997,0.9997,0.9998,0.9997,1797729.198552546475,1797267.8921859807110575
1761004800,0.9997,0.9998,0.9998,0.9997,1352547.24,1352200.196665
1761026400,0.9997,0.9997,0.9998,0.9997,1900725.920614959075,1900226.9396907745872775
1761048000,0.9997,0.9995,0.9998,0.9995,5286958.9986,5285067.33794598202527
1761069600,0.9996,0.9996,0.9996,0.9995,1937045.46080379,1936172.232107388105
1761091200,0.9996,0.9995,0.9996,0.9995,1384322.64,1383677.235214
1761112800,0.9996,0.9996,0.9996,0.9995,2154257.55,2153288.430262
1761134400,0.9996,0.9996,0.9997,0.9995,7421397.06461401865,7418301.620301711640675
1761156000,0.9997,0.9996,0.9997,0.9996,1765925.28,1765325.944277
1761177600,0.9997,0.9996,0.9997,0.9996,1371560.85,1371091.190188
1761199200,0.9996,0.9997,0.9997,0.9996,2804861.33,2803822.153701
1761220800,0.9996,0.9996,0.9997,0.9996,2081774.419914712337074,2081031.6678397464521391704
1761242400,0.9996,0.9997,0.9997,0.9996,2178064.54,2177282.384426
1761264000,0.9996,0.9996,0.9997,0.9996,1354147.67,1353663.93003
1761285600,0.9996,0.9994,0.9997,0.9994,3550202.07922099,3548521.618206301604
1761307200,0.9995,0.9996,0.9997,0.9994,4392321.88,4390423.12109
1761328800,0.9997,0.9996,0.9997,0.9995,3240094.8,3238946.215676
1761350400,0.9996,0.9995,0.9996,0.9995,1340015.1394736432,1339390.1472889063784
1761372000,0.9996,0.9997,0.9997,0.9995,973138.66,972751.846123
1761393600,0.9996,0.9997,0.9997,0.9996,1065304,1064929.790848
1761415200,0.9997,0.9997,0.9997,0.9996,670331.18990009,670105.357786129964
1761436800,0.9997,0.9996,0.9997,0.9996,957355.54,957013.703494
1761458400,0.9997,0.9996,0.9997,0.9995,3929383.62460831,3927762.691852466676
1761480000,0.9996,0.9996,0.9997,0.9995,2693607.5834707218334731108,2692686.37708733354473972156
1761501600,0.9996,0.9996,0.9997,0.9996,1658797.09,1658250.426654
1761523200,0.9997,0.9997,0.9997,0.9996,1967896.47,1967210.213022
1761544800,0.9996,0.9997,0.9997,0.9996,2707177.83194502,2706257.190153241992
1761566400,0.9997,0.9996,0.9997,0.9994,7253171.48,7250397.649391610996
1761588000,0.9997,0.9997,0.9997,0.9996,1534948.89628663,1534414.644878115348
1761609600,0.9997,0.9997,0.9997,0.9996,1898497.75,1897834.62928
1761631200,0.9996,0.9998,0.9998,0.9996,2966874.81,2965997.643892
1761652800,0.9998,0.9998,0.9998,0.9997,2536083.23,2535430.248781
1761674400,0.9998,0.9997,0.9998,0.9997,2170241.06,2169657.963631
1761696000,0.9997,0.9997,0.9998,0.9997,908349.64,908104.301765
1761717600,0.9997,0.9998,0.9998,0.9997,1347864.85,1347511.474896
1761739200,0.9998,0.9998,0.9998,0.9997,2730199.96,2729467.882814
1761760800,0.9998,0.9998,0.9998,0.9997,2300761.22,2300200.070411
1761782400,0.9997,0.9998,0.9998,0.9997,1904362.63,1903872.573372
1761804000,0.9997,0.9997,0.9998,0.9997,1887465.18,1886974.014793
1761825600,0.9998,0.9999,0.9999,0.9997,6748413.91,6746936.328085
1761847200,0.9998,0.9999,1,0.9998,3167416.5224803219919,3167142.31226307395970081
1761868800,0.9999,1,1,0.9999,1019688.27,1019609.883409
1761890400,1,1,1,0.9999,2541300.49,2541215.949828
1761912000,1,1.0002,1.0003,0.9999,4356885.2,4357427.190661
1761933600,1.0002,1.0003,1.0003,1.0002,1477861.35,1478245.877698
1761955200,1.0002,1.0002,1.0003,1.0002,1384691.83,1385009.776008
1761976800,1.0003,1.0002,1.0003,1.0002,1527951.48,1528350.999311
1761998400,1.0003,1.0002,1.0003,1.0002,2500811.27,2501374.573662
1762020000,1.0002,1.0003,1.0003,1.0002,1185736.56,1186051.606893
1762041600,1.0002,1.0002,1.0003,1.0002,346826.81,346910.430282
1762063200,1.0003,1.0001,1.0003,1.0001,1831625.99,1831957.824866
1762084800,1.0001,1.0001,1.0002,1.0001,1097514.66516802,1097666.451292536802
1762106400,1.0001,1.0001,1.0002,1,1915809.74,1915982.593995
1762128000,1.0001,0.9999,1.0001,0.9999,2118846.42,2118842.526525
1762149600,0.9999,0.9998,1,0.9998,2685590.2,2685265.57934
1762171200,0.9999,0.9998,0.9999,0.9998,4577018.84,4576357.317646
1762192800,0.9999,0.9999,1,0.9998,2406103.76,2405940.992389
1762214400,1,1,1,0.9999,1480592.26,1480516.995675
1762236000,0.9999,1,1.0001,0.9999,5344959.27036942,5345016.761698383058
1762257600,1.0001,1.0002,1.0003,1,6516395.6392772396,6516940.63969816732396
1762279200,1.0003,1.0001,1.0005,1.0001,6024301.26246589,6026258.677864136589
1762300800,1.0001,1,1.0002,1,1284505.45753411,1284569.260740863411
1762322400,1.0001,0.9999,1.0001,0.9998,2549475.14,2549103.260916
1762344000,0.9999,0.9998,0.9999,0.9998,3289167.167846733,3288690.1186491636534
1762365600,0.9998,0.9998,0.9999,0.9998,1552911.7362929,1552675.85541264142
1762387200,0.9999,0.9999,1,0.9998,1045494.47,1045389.730802
1762408800,1,1,1,0.9999,1306503.61,1306468.611756
1762430400,1,1.0002,1.0002,0.9999,3884742.07669644,3885094.011735109644
1762452000,1.0001,1.0002,1.0002,1.0001,1589115.77,1589352.089053
1762473600,1.0002,1.0003,1.0003,1.0001,1699513.52,1699890.163668
1762495200,1.0003,1.0002,1.0003,1.0002,2107039.57,2107579.334755
1762516800,1.0003,1.0006,1.0011,1.0002,7117574.07,7121329.537756
1762538400,1.0005,1.0005,1.0006,1.0005,2374597.51204777,2375870.533169793885
1762560000,1.0006,1.0006,1.0006,1.0005,843727.72,844185.433444
1762581600,1.0006,1.0004,1.0006,1.0003,1193909.72496866,1194519.71789014433
1762603200,1.0003,1.0004,1.0004,1.0003,1287106.75,1287552.243591
1762624800,1.0003,1.0002,1.0004,1.0001,1157342.02,1157674.144864
1762646400,1.0002,1.0002,1.0002,1.0001,1417273.52,1417506.45236
1762668000,1.0001,1.0002,1.0002,1.0001,1263616.85,1263820.56287
1762689600,1.0002,1.0002,1.0002,1.0001,1661256.41,1661494.680306
1762711200,1.0002,1.0002,1.0002,1.0001,1487531.63,1487740.605051
1762732800,1.0001,1.0002,1.0002,1.0001,1135288.24,1135439.322716
1762754400,1.0002,1.0001,1.0002,1.0001,3055014.09,3055477.030175
1762776000,1.0002,1,1.0002,1,4017591.33,4017974.370404
1762797600,1.0001,1,1.0001,1,1430667.79710098,1430721.19742798
1762819200,1.0001,1,1.0001,1,1015274.73039419,1015308.08787319
1762840800,1.0001,1.0001,1.0001,1,1990912.29,1991036.308084
1762862400,1.0001,1,1.0001,1,1721269.17,1721340.982507
1762884000,1,1.0001,1.0001,1,1315647.72943674,1315707.75257674
1762905600,1,1,1.0001,1,856949.48,856997.657852
1762927200,1,1.0001,1.0001,1,1586937.52267403,1587011.32771703
1762948800,1,1.0003,1.0003,1,3288941.87,3289315.392371
1762970400,1.0003,1.0003,1.0004,1.0002,2137851.27,2138395.910784
1762992000,1.0002,1.0002,1.0003,1.0002,1097776.54,1098026.430661
1763013600,1.0002,1,1.0003,1,1526756.44,1527004.457135
1763035200,1,1,1.0001,1,3147209.28,3147353.378086
1763056800,1,1.0004,1.0004,1,4557497.94,4558358.998564
1763078400,1.0003,1.0004,1.0004,1.0003,2053132.20291274,2053828.207673613822
1763100000,1.0003,1.0004,1.0004,1.0003,2249512.42,2250284.489499
1763121600,1.0003,1.0006,1.0007,1.0003,5089384.41,5091814.528987
1763143200,1.0007,1.0007,1.0007,1.0006,1584946.05566515,1585948.58869654909
1763164800,1.0007,1.0003,1.0007,1.0003,1108970.57,1109585.224492
1763186400,1.0004,1.0003,1.0004,1.0003,685475.76,685721.394155
1763208000,1.0004,1.0004,1.0004,1.0003,1128320.66,1128731.413821
1763229600,1.0004,1.0005,1.0006,1.0003,1037603.89314687,1038131.675741443435
1763251200,1.0006,1.0006,1.0006,1.0005,437374.41,437615.959986
1763272800,1.0006,1.0005,1.0006,1.0005,1067107.74,1067671.616395
1763294400,1.0006,1.0005,1.0006,1.0005,1738749.19,1739707.923028
1763316000,1.0005,1.0005,1.0006,1.0005,1926021.86,1927104.615282
1763337600,1.0005,1.0005,1.0006,1.0005,865001.7300881,865467.37720314405
1763359200,1.0005,1.0006,1.0006,1.0005,1182411.83,1183036.92599
1763380800,1.0005,1.0006,1.0006,1.0005,2723744.81,2725264.706084
1763402400,1.0005,1.001,1.001,1.0005,2675409.01,2677437.728126
1763424000,1.001,1.001,1.001,1.0009,1274813.86,1276010.145645
1763445600,1.0009,1.0007,1.001,1.0005,2701560.26,2703673.779642
1763467200,1.0007,1.0006,1.001,1.0005,3847818.93,3850963.154103
1763488800,1.0006,1,1.0006,1,4222917.7,4223587.13186
1763510400,1.0001,1.0004,1.0005,1,1431953.34719809,1432315.303058529618
1763532000,1.0005,1.0004,1.0005,1.0004,2005122,2005969.099964
1763553600,1.0004,1.0006,1.0009,1.0004,3900641.73,3902635.140346
1763575200,1.0006,1.0007,1.0014,1.0006,4202315.61,4206325.967571
1763596800,1.0007,1.0006,1.0007,1.0005,1230016.75,1230718.691237
1763618400,1.0006,1.0007,1.0008,1.0005,2007891.94,2009140.684226
1763640000,1.0008,1.0007,1.0008,1.0007,2424346.23,2426159.910112
1763661600,1.0008,1.0011,1.0012,1.0007,3332482.64352002,3335290.945729484014
1763683200,1.0011,1.0012,1.0012,1.0011,1154232.72,1155553.450881
1763704800,1.0011,1.001,1.0012,1.0009,9047719.5,9056501.484258
1763726400,1.001,1.0004,1.001,1,6938757.62,6943453.962773
1763748000,1.0005,1.0003,1.0005,1.0001,3106152.2,3107120.621068
1763769600,1.0003,1.0003,1.0003,1.0002,1040773.62,1041055.679096
1763791200,1.0003,1.0003,1.0004,1.0002,1140584.74,1140889.703096
1763812800,1.0004,1.0004,1.0004,1.0003,1723707.7838923,1724353.37065946769
1763834400,1.0003,1.0003,1.0004,1.0003,1761615.19344276,1762275.839039792828
1763856000,1.0003,1.0003,1.0004,1.0003,908352.39,908690.53519
1763877600,1.0004,1.0003,1.0004,1.0003,860847.68,861160.976179
1763899200,1.0003,1.0003,1.0004,1.0003,849172.49,849461.193988
1763920800,1.0004,1.0002,1.0004,1.0002,1007942.74,1008271.221742
1763942400,1.0003,1.0003,1.0003,1.0002,1001562.32,1001827.318283
1763964000,1.0003,1.0002,1.0003,1.0002,1400569.98,1400908.438076
1763985600,1.0002,1.0002,1.0003,1.0002,2599451.25,2600048.761591
1764007200,1.0002,1.0002,1.0003,1.0001,1700088.94,1700397.406852
1764028800,1.0002,1.0002,1.0002,1.0001,875243.47,875366.160372
1764050400,1.0002,0.9998,1.0002,0.9996,2373604.92,2373481.378878
1764072000,0.9998,1.0004,1.0004,0.9998,5975112.4708446633,5976110.95791091669899
1764093600,1.0004,1,1.0004,1,1333984.82,1334306.39015
1764115200,1.0001,1,1.0001,1,855743.27598365,855780.23833165
1764136800,1.0001,1.0002,1.0002,1,1544439.3174172533419762771,1544507.3033732533419762771
