time,open,close,high,low,volume,turnover
1652745600,0.95,1.0026,1.19,0.95,2267010.71910997,2277335.285079645746
1652832000,1.0026,1.0019,1.088,0.996,9134769.05900601,9155478.568027530502
1652918400,1.002,1.0026,1.05,0.9992,36088421.65052342,36173649.825247611452
1653004800,1.0019,1.0024,1.0034,0.9998,15051488.45705339,15080040.042100991015
1653091200,1.0022,1.0018,1.0029,0.999,20384690.57727106,20426195.04757381029
1653177600,1.0019,1.0018,1.0028,1.0008,22090041.68265503,22134127.942562705769
1653264000,1.0017,1.0023,1.005,1.0009,20866783.47581335,20907380.514291692185
1653350400,1.0022,1.0009,1.0023,0.999,8509545.16712847,8522496.990002247941
1653436800,1.001,1.0009,1.0021,0.9999,7830892.47511544,7842186.557817506443
1653523200,1.0009,1.0006,1.002,0.9998,7438421.82971644,7445000.292128702434
1653609600,1.0007,1.0004,1.0022,0.999,6756660.3216832,6760134.943932306974
1653696000,1.0006,1.0008,1.0016,0.9983,3205362.87140519,3207427.259433996263
1653782400,1.0008,1.0007,1.0015,1.0002,2170739.0801406,2172739.04973454622
1653868800,1.0007,1.0005,1.0016,0.999,3361546.25888428,3362912.052895418142
1653955200,1.0004,1.0009,1.0015,0.9986,3255495.44518366,3257043.923355317891
1654041600,1.001,1.0004,1.0013,0.999,2984134.39585595,2984817.057528267521
1654128000,1.0003,1.0011,1.0019,0.9983,2413016.70606562,2414199.577213258975
1654214400,1.0012,1.0015,1.0026,0.9981,4260505.77983779,4262590.227148863805
1654300800,1.0016,1.0013,1.0019,0.999,3201431.18125426,3203379.373021556411
1654387200,1.0012,1.0008,1.003,0.9989,4319732.06745791,4322421.762132004416
1654473600,1.0009,1.0001,1.002,0.9993,3396873.22439804,3399064.877674229616
1654560000,1,1.0011,1.0032,0.9993,3585871.99934111,3588497.459678336115
1654646400,1.0012,1.0015,1.002,0.9994,3370373.86548552,3373001.959635254823
1654732800,1.0015,1.0015,1.0019,0.9995,5012783.39672837,5016691.089551144204
1654819200,1.0013,1.0004,1.0025,0.9993,7215735.88806616,7220379.202177843791
1654905600,1.0005,1.0011,1.2042,0.998,7648188.78843611,7652867.419863181678
1654992000,1.0011,1.0004,1.0014,0.9968,19196187.37182653,19193732.990684242869
1655078400,1.0003,0.988,1.001,0.9111,40330696.50381281,39937944.812497886246
1655164800,0.9882,0.9782,0.998,0.9612,4819907.15682372,4724712.175696138178
1655251200,0.9783,0.978,0.981,0.9543,4139148.27989953,4013204.36873258714
1655337600,0.9779,0.9702,0.9849,0.962,2562994.58257873,2500306.113678988692
1655424000,0.9703,0.98,0.985,0.9682,2637030.36398129,2576867.2943497078
1655510400,0.98,0.9632,0.9822,0.96,3281959.93749147,3179628.642171249375
1655596800,0.9629,0.9634,0.9676,0.915,5844547.10827517,5549725.788934689326
1655683200,0.9632,0.9634,0.9669,0.9422,3569257.9952619,3416819.612612011765
1655769600,0.9635,0.9747,0.9797,0.9601,1662419.69614565,1613759.777295390277
1655856000,0.9738,0.9758,0.9777,0.97,1409343.13417544,1371046.924383760018
1655942400,0.9759,0.9773,0.9777,0.9725,1366272.63048338,1331574.302835602348
1656028800,0.9774,0.9752,0.98,0.9708,16181494.93710168,15773631.4322954725
1656115200,0.9751,0.9774,0.9817,0.9746,7275985.72974884,7115822.499618750268
1656201600,0.9773,0.9817,0.9849,0.9726,6243131.22946198,6109965.49368887234
1656288000,0.982,0.9855,0.99,0.9777,5548210.15607994,5462926.700678076551
1656374400,0.9854,0.99,0.999,0.9835,6211451.62814416,6136130.296195893473
1656460800,0.9896,0.9916,0.9975,0.9819,4877594.56872603,4834094.468962854162
1656547200,0.9918,0.9914,0.995,0.9902,2614542.36291066,2594569.69697809536
1656633600,0.9915,0.9924,0.995,0.9888,3102285.87713497,3079020.532438067536
1656720000,0.993,0.9916,0.9947,0.9877,4529004.34607298,4489646.879787421787
1656806400,0.9918,0.9912,0.9929,0.9908,3358411.43218538,3330619.002455792896
1656892800,0.9913,0.9915,0.993,0.9899,4327002.58122708,4291042.467880709533
1656979200,0.9914,0.9929,0.9989,0.9906,4663448.54971431,4628990.742349032523
1657065600,0.993,0.9933,0.9966,0.9921,6493516.49005234,6449744.416788184899
1657152000,0.9934,0.9922,0.9942,0.99,8075632.86445095,8012596.243101433523
1657238400,0.9923,0.9953,0.9982,0.951,9842660.34909788,9780182.968873422225
1657324800,0.9956,0.9959,0.9978,0.9932,8742491.35270297,8707756.485967902684
