time,open,close,high,low,volume,turnover
1770901200,0.9999,0.9999,0.9999,0.9999,0,0
1770904800,0.9999,0.9999,0.9999,0.9999,20.124,20.1219876
1770908400,0.9999,1,1,0.9999,458.0203,458.0183
1770912000,1.0001,1.0001,1.0001,1.0001,0.5,0.50005
1770915600,1.0001,1.0001,1.0001,1.0001,0,0
1770919200,1.0001,0.9996,1.0001,0.9996,60.8502,60.83781081
1770922800,1.0002,1.0002,1.0002,1.0002,0.8144,0.81456288
1770926400,0.9996,0.9996,0.9996,0.9996,0.9772,0.97680912
1770930000,0.9996,0.9996,0.9996,0.9996,0,0
1770933600,0.9996,0.9996,0.9996,0.9996,0,0
1770937200,0.9996,0.9996,0.9996,0.9996,0,0
1770940800,0.9996,0.9994,0.9996,0.999,55.6421,55.60811232
1770944400,0.9999,0.999,0.9999,0.999,79.511,79.4369824
1770948000,0.9999,0.9999,0.9999,0.9999,2.1609,2.16068391
1770951600,0.9999,0.9999,0.9999,0.9999,1.3633,1.36316367
1770955200,0.9999,0.9999,0.9999,0.9999,0,0
1770958800,0.9999,0.9999,0.9999,0.9999,0,0
1770962400,0.9999,0.9999,0.9999,0.9999,0,0
1770966000,0.9999,0.9999,0.9999,0.9999,0,0
1770969600,0.9999,1,1,0.9999,47.4144,47.41339726
1770973200,0.9995,0.9999,0.9999,0.9995,0.9775,0.97733709
1770976800,0.9999,0.9999,0.9999,0.9999,1.9161,1.91590839
1770980400,1,1.0012,1.0012,1,100.83,100.90002411
1770984000,1.0005,1,1.0005,1,107.9908,108.0443885
1770987600,0.9995,0.9999,0.9999,0.999,96.5739,96.50053951
1770991200,0.9996,0.9996,0.9996,0.9996,0.1769,0.17682924
1770994800,0.9996,0.9996,0.9996,0.9996,0,0
1770998400,1,0.9999,1,0.9994,30.1738,30.16879558
1771002000,0.9999,0.9999,0.9999,0.9999,9.7033,9.70232967
1771005600,0.9995,0.9995,0.9995,0.9995,0.1441,0.14402795
1771009200,0.9995,0.9995,0.9995,0.9995,0,0
1771012800,0.9995,0.9995,0.9995,0.9995,0,0
1771016400,0.9995,0.9995,0.9995,0.9995,0,0
1771020000,0.9995,0.9995,0.9995,0.9995,0,0
1771023600,0.9995,0.9995,0.9995,0.9995,0.7,0.69965
1771027200,0.9994,0.9994,0.9994,0.9994,10.8844,10.87786936
1771030800,0.9994,0.9994,0.9994,0.9994,0,0
1771034400,0.9994,0.9994,0.9994,0.9994,0,0
1771038000,0.9994,0.9994,0.9994,0.9994,0,0
1771041600,0.9994,0.9994,0.9994,0.9994,0,0
1771045200,0.9994,0.9994,0.9994,0.9994,0,0
1771048800,0.9994,0.9994,0.9994,0.9994,0,0
1771052400,0.9994,0.9994,0.9994,0.9994,0,0
1771056000,1,1,1,1,42.4534,42.4534
1771059600,1,1,1,1,0,0
1771063200,0.9994,0.9994,1,0.999,76.5577,76.5136509
1771066800,0.9994,0.9994,0.9994,0.9994,0.1366,0.13651804
1771070400,0.9994,0.9998,0.9998,0.999,109.0019,108.9555779
1771074000,0.9998,0.9998,0.9998,0.9998,0,0
1771077600,1,1,1,0.9994,5.4969,5.49646752
1771081200,0.9995,0.9979,0.9999,0.9596,66984.0559,66316.42104073
1771084800,0.9979,0.9987,0.999,0.9954,1157.9005,1155.72797968
1771088400,0.9971,0.9986,0.9986,0.997,672,671.01119999
1771092000,0.9986,0.9986,0.9986,0.9986,0,0
1771095600,0.9986,0.9986,0.9986,0.9986,0,0
1771099200,0.9988,0.999,0.999,0.9988,900,899.09902142
1771102800,0.999,0.999,0.999,0.999,0,0
1771106400,0.999,0.999,0.999,0.999,0,0
1771110000,0.999,0.999,0.999,0.999,0,0
1771113600,0.999,0.999,1.0007,0.999,10090.6841,10088.02493261
1771117200,0.999,0.999,0.999,0.999,0,0
1771120800,0.999,0.999,0.999,0.999,0,0
1771124400,0.999,0.999,0.999,0.999,0,0
1771128000,0.9993,0.999,1,0.999,204.045,204.01310314
1771131600,0.999,0.999,0.999,0.999,0.4678,0.4673322
1771135200,0.999,0.999,0.999,0.999,0.4444,0.4439556
1771138800,0.999,0.999,0.999,0.999,0,0
1771142400,0.999,0.999,0.999,0.999,20.299,20.278701
1771146000,0.999,0.999,0.999,0.999,0,0
1771149600,0.9996,0.9996,0.9996,0.9996,1.0401,1.03968396
1771153200,0.9996,0.9996,0.9996,0.9996,1.9166,1.91583336
1771156800,0.999,0.999,0.999,0.999,20.6242,20.6035758
1771160400,0.999,0.999,0.999,0.999,11.807,11.795193
1771164000,0.999,0.999,0.999,0.999,2.0687,2.0666313
1771167600,0.999,0.999,0.999,0.999,15.2801,15.2648199
1771171200,0.999,0.999,0.999,0.999,0,0
1771174800,0.999,0.999,0.999,0.9954,66715.8848,66557.54620602
1771178400,0.999,0.999,0.999,0.999,0,0
1771182000,0.999,0.999,0.999,0.999,0.2281,0.2278719
1771185600,0.9993,0.9991,0.9993,0.9991,1.2167,1.21580497
1771189200,0.9993,0.9954,1.0007,0.9954,13124.7996,13106.79366666
1771192800,0.999,0.9991,0.9991,0.999,20.3948,20.37642512
1771196400,0.999,0.9991,0.9991,0.999,877.5242,876.73441138
1771200000,0.9991,0.9991,0.9991,0.9991,0.1765,0.17634115
1771203600,0.9991,0.9991,0.9991,0.9991,0.1677,0.16754907
1771207200,0.9991,0.9991,0.9991,0.9991,0.1593,0.15915663
1771210800,0.9991,0.9991,0.9991,0.9991,0.1513,0.15116383
1771214400,0.9991,0.9991,0.9991,0.9991,0.4438,0.44340058
1771218000,0.9995,0.999,0.9998,0.996,2046.2987,2044.32300889
1771221600,0.999,0.999,0.9991,0.999,17.2533,17.23673128
1771225200,0.999,0.9991,0.9991,0.999,352.9418,352.62411433
1771228800,0.999,0.999,0.999,0.999,0.3614,0.3610386
1771232400,0.999,0.999,0.999,0.999,35.5,35.4645
1771236000,0.999,0.999,0.999,0.999,0.3262,0.3258738
1771239600,0.999,0.999,0.999,0.999,5.9898,5.9838102
1771243200,0.9996,0.999,0.9996,0.999,20.5921,20.58368652
1771246800,0.9996,0.9998,0.9998,0.9996,44.7169,44.69995662
1771250400,0.9992,0.9992,0.9992,0.9992,1.6122,1.61091024
1771254000,0.9992,0.9992,0.9992,0.9992,0.2524,0.25219808
1771257600,0.9992,0.9998,0.9998,0.9992,1.3836,1.38309888
1771261200,0.9998,0.9998,0.9998,0.9998,1.0317,1.03149366
1771264800,0.9993,0.9992,0.9993,0.9992,37.3087,37.27989334
1771268400,0.9995,0.9992,0.9995,0.9992,0.3739,0.37365137
1771272000,0.9992,0.9992,0.9992,0.9992,0.1953,0.19514376
1771275600,0.9992,0.9992,0.9992,0.9992,0.1855,0.1853516
1771279200,0.9992,0.9992,0.9992,0.9992,0.1763,0.17615896
1771282800,0.9992,0.9992,0.9992,0.9992,1.1548,1.15387616
1771286400,0.9992,0.9991,0.9992,0.9991,18.3439,18.32920897
1771290000,0.9995,0.9991,0.9995,0.9991,0.3195,0.31927981
1771293600,0.9991,0.9991,0.9991,0.9991,0.1436,0.14347076
1771297200,0.9991,0.9991,0.9991,0.9991,0.1364,0.13627724
1771300800,0.9991,0.9995,0.9995,0.9991,1.9431,1.94199741
1771304400,0.9991,0.9991,0.9991,0.9991,0.3112,0.31091992
1771308000,0.9991,1.0012,1.0021,0.9991,27857.7117,27904.76316798
1771311600,1.0009,1.0005,1.0009,1.0005,188.7475,188.90219627
1771315200,1.0004,0.999,1.0004,0.9912,35257.5324,35116.15461184
