time,open,close,high,low,volume,turnover
1712016000,1,0.9999,1.0097,0.9763,1163728.36,1164490.740894
1712102400,0.9999,1.0019,1.003,0.9995,299841.87,300107.032507
1712188800,1.0019,1.0019,1.003,1.0019,6136.56,6150.424182
1712275200,1.0019,1.0024,1.003,1.0019,8434.17,8454.059006
1712361600,1.0024,1.0021,1.003,1.0009,63392.69,63512.475215
1712448000,1.0011,1.0029,1.003,1.0011,46531.52,46621.239504
1712534400,1.0019,1.0016,1.003,1.0013,143239.39,143494.333986
1712620800,1.0017,1.0005,1.0024,0.9997,137966.86,138117.967484
1712707200,1.0001,1.0002,1.001,0.9997,66919.94,66927.017506
1712793600,0.9998,0.9997,1.0004,0.9997,27530.04,27529.94527
1712880000,0.9997,0.9999,1.0007,0.9997,91650.41,91670.583722
1712966400,0.9997,0.9987,1.0001,0.9984,231231.07,231020.010863
1713052800,0.999,0.9988,0.9991,0.9987,96607.9,96490.022447
1713139200,0.9987,0.9996,0.9996,0.9985,57841.93,57790.935815
1713225600,0.9998,0.9995,0.9998,0.999,15868.85,15860.684934
1713312000,0.9995,0.9998,1.0002,0.9995,29457.26,29449.043207
1713398400,0.9998,0.9997,0.9999,0.9995,20592.57,20586.639556
1713484800,0.9997,0.9996,1.0001,0.9995,38803.89,38788.532632
1713571200,0.9995,0.9995,0.9998,0.9995,7538.91,7535.159115
1713657600,0.9995,0.9999,0.9999,0.9995,12827.21,12822.58733
1713744000,0.9996,0.9994,0.9998,0.9992,19831.38,19823.947913
1713830400,0.9994,0.9988,0.9998,0.9988,6130.25,6125.975968
1713916800,0.9988,0.9986,0.9998,0.9985,3996.1,3991.63835
1714003200,0.9986,0.9997,1.0008,0.9985,112594.42,112561.670202
1714089600,0.9997,0.9996,1.0007,0.9995,84805.92,84847.731661
1714176000,0.9996,0.9995,1.0006,0.9994,10213.84,10212.414151
1714262400,0.9995,0.9996,1.0006,0.9995,10511.82,10514.821454
1714348800,0.9996,0.9996,1.0006,0.9994,684.9,684.618329
1714435200,0.9996,0.9996,1.0006,0.9995,482.52,482.280435
1714521600,1.0004,1.0003,1.0005,0.9995,55930.69,55948.753094
1714608000,1.0004,0.9996,1.0006,0.9996,35553.45,35560.747932
1714694400,0.9993,0.9996,0.9996,0.9993,322.4,322.187223
1714780800,0.9996,0.9995,1.0004,0.9994,24846.26,24852.900454
1714867200,1.0004,0.9995,1.0004,0.9994,283.07,283.020552
1714953600,1.0003,0.9995,1.0005,0.9994,87102.71,87124.132283
1715040000,0.9995,0.9993,0.9995,0.9993,24.68,24.66536
1715126400,1.0002,0.9995,1.0002,0.9993,695.4,695.149104
1715212800,0.9995,0.9994,0.9996,0.9994,160.88,160.7997
1715299200,0.9994,0.9993,0.9994,0.9992,100.49,100.410062
1715385600,0.9992,0.9995,1.0007,0.9992,31558.71,31571.944659
1715472000,0.9995,0.9995,0.9995,0.9995,0,0
1715558400,0.9998,0.9996,0.9998,0.9995,2908.56,2907.296462
1715644800,0.9996,0.9997,1.0006,0.9995,520.51,520.254679
1715731200,0.9997,0.9998,1.0008,0.9996,3433.03,3435.601383
1715817600,0.9997,0.9997,1.0008,0.9996,1349.27,1349.593155
1715904000,0.9997,0.9997,1.0008,0.9996,30.27,30.264232
1715990400,0.9997,0.9996,1.0007,0.9996,551.04,550.961934
1716076800,1.0007,0.9997,1.0008,0.9997,620.96,621.085486
1716163200,1.0007,1.0008,1.0008,0.9996,4890.27,4889.502941
1716249600,1.0008,1.0001,1.0008,1.0001,3134.42,3134.734135
1716336000,0.9998,0.9997,0.9998,0.9995,9.18,9.176946
1716422400,0.9998,0.9997,1.0007,0.9994,609.8,610.164867
1716508800,0.9998,0.9995,1.0008,0.9995,1361.73,1361.785379
1716595200,0.9995,0.9997,0.9999,0.9995,1614.95,1614.393687
1716681600,0.9997,1.0005,1.0005,0.9994,1848.86,1849.771795
1716768000,0.9995,0.9997,0.9997,0.9995,2.69,2.688807
1716854400,1.0008,1,1.001,1,129.38,129.486072
1716940800,1.001,1.0001,1.0011,1.0001,693.57,694.028707
1717027200,1.0004,1.0002,1.0005,1.0002,2210.25,2211.148681
1717113600,1.0004,1.0004,1.0015,1.0004,979.41,979.845104
1717200000,1.0004,1.0004,1.0005,1.0004,1342.94,1343.601395
1717286400,1.0001,1.0024,1.0024,1.0001,138043.27,138286.882461
1717372800,1.0024,1.0025,1.0035,1.0023,23378.26,23438.732126
1717459200,1.0025,1.0025,1.0035,1.0023,483.59,485.201373
1717545600,1.0025,1.0024,1.0035,1.0024,7421.47,7442.683862
1717632000,1.0035,1.0021,1.0035,1.0021,1692.19,1697.517457
1717718400,1.0021,1.0024,1.0035,1.0021,415.03,416.398979
1717804800,1.0035,1.0012,1.0035,1.0012,31986.95,32065.029616
1717891200,1.0012,1.0012,1.0023,1.0011,50301.81,50377.064552
1717977600,1.0012,1.0024,1.0025,1.0012,48189.89,48303.357221
1718064000,1.0024,1.0032,1.0035,1.0021,19387.12,19452.427339
1718150400,1.0031,1.0023,1.0034,1.0021,324.99,325.991001
1718236800,1.0023,1.0023,1.0024,1.0021,27.71,27.772731
1718323200,1.0023,1.0017,1.0024,1.0013,5808.27,5815.844786
1718409600,1.0018,1.0026,1.0027,1.0016,2109.56,2114.166201
1718496000,1.0023,1.0023,1.0034,1.0023,149.45,149.883198
1718582400,1.0023,1.0012,1.0033,1.0012,2039.18,2041.737342
