time,open,close,high,low,volume,turnover
1770681600,0.9991,0.9991,0.9991,0.9991,0.12,0.119892
1770685200,0.9991,0.9991,0.9991,0.9991,0.12,0.119892
1770688800,0.9991,0.9991,0.9991,0.9991,0.11,0.109901
1770692400,0.9991,0.9991,0.9991,0.9991,0.11,0.109901
1770696000,1.001,1.001,1.001,1.001,20.59,20.61059
1770699600,0.9991,0.9991,0.9991,0.9991,0.1,0.09991
1770703200,0.9991,0.9991,0.9991,0.9991,0,0
1770706800,0.9991,0.9991,0.9991,0.9991,0,0
1770710400,0.9991,0.9991,0.9991,0.9991,0,0
1770714000,0.9991,0.9991,0.9991,0.9991,0,0
1770717600,1.0011,1.0011,1.0011,1.0011,42.52,42.566772
1770721200,0.9991,0.9991,0.9991,0.9991,306.34,306.064294
1770724800,1.0011,1.0011,1.0011,1.0011,11.12,11.132232
1770728400,1.0011,1.0011,1.0011,1.0011,0,0
1770732000,1.0011,1.0011,1.0011,1.0011,0,0
1770735600,1.0011,1.0011,1.0011,1.0011,0,0
1770739200,1.0011,1.0011,1.0011,1.0011,0,0
1770742800,1.0011,1.0011,1.0011,1.0011,0,0
1770746400,1.0011,1.0011,1.0011,1.0011,0,0
1770750000,1.0011,1.0011,1.0011,1.0011,0,0
1770753600,1.0011,1.0011,1.0011,1.0011,0,0
1770757200,1.0011,1.0011,1.0011,1.0011,0,0
1770760800,1.0013,1.0013,1.0013,1.0013,7.69,7.699997
1770764400,1.0013,1.0013,1.0013,1.0013,0,0
1770768000,0.9991,0.9991,0.9991,0.9991,56.33,56.279303
1770771600,0.9991,0.9991,0.9991,0.9991,0,0
1770775200,0.9991,0.9991,0.9991,0.9991,0,0
1770778800,0.9991,0.9991,0.9991,0.9991,0,0
1770782400,0.9991,0.9991,0.9991,0.9991,0,0
1770786000,0.9991,0.9991,0.9991,0.9991,0,0
1770789600,0.9991,0.9991,0.9991,0.9991,781,780.2971
1770793200,0.9991,0.9991,0.9991,0.9991,0,0
1770796800,0.9991,0.9991,0.9991,0.9991,0,0
1770800400,0.9991,0.9991,0.9991,0.9991,0,0
1770804000,0.9999,0.9999,0.9999,0.9999,1125.07,1124.957493
1770807600,1,0.9995,1,0.9995,13.2,13.196155
1770811200,0.9995,0.9995,0.9995,0.9995,0,0
1770814800,0.9995,0.9995,0.9995,0.9995,0,0
1770818400,0.9995,0.9995,0.9995,0.9995,0,0
1770822000,0.9995,0.9995,0.9995,0.9995,0,0
1770825600,0.9995,0.9995,0.9995,0.9995,0,0
1770829200,0.9995,0.9995,0.9995,0.9995,0,0
1770832800,0.9995,0.9995,0.9995,0.9995,0,0
1770836400,0.9995,0.9995,0.9995,0.9995,0,0
1770840000,0.9995,0.9995,0.9995,0.9995,0,0
1770843600,1.0018,1.0018,1.0018,1.0018,5.52,5.529936
1770847200,1.0018,0.9994,1.0029,0.9994,132.93,133.036363
1770850800,0.9994,0.9994,0.9994,0.9994,0,0
1770854400,0.9994,1.0001,1.0001,0.9994,127.92,127.893361
1770858000,1.0001,1.0001,1.0001,1.0001,0,0
1770861600,1.0001,1.0001,1.0001,1.0001,0,0
1770865200,1.0001,1.0001,1.0001,1.0001,0,0
1770868800,1.0001,1.0001,1.0001,1.0001,0,0
1770872400,1.0001,1.0001,1.0001,1.0001,0,0
1770876000,1.0001,1.0001,1.0001,1.0001,0,0
1770879600,1.0001,1.0001,1.0001,1.0001,0,0
1770883200,1.0001,1.0001,1.0001,1.0001,0,0
1770886800,1.0001,1.0001,1.0001,1.0001,0,0
1770890400,0.9994,0.9994,0.9994,0.9994,17.13,17.119722
1770894000,0.9994,0.9994,0.9994,0.9994,0,0
1770897600,0.9994,0.9994,0.9994,0.9994,0,0
1770901200,0.9994,0.9994,0.9994,0.9994,0,0
1770904800,0.9994,0.9994,0.9994,0.9994,0,0
1770908400,0.9994,0.9994,0.9994,0.9994,0,0
1770912000,0.9994,0.9994,0.9994,0.9994,0,0
1770915600,0.9994,0.9994,0.9994,0.9994,0,0
1770919200,0.9994,0.9994,0.9994,0.9994,0,0
1770922800,0.9994,0.9994,0.9994,0.9994,0,0
1770926400,0.9994,0.9994,0.9994,0.9994,0,0
1770930000,0.9994,0.9994,0.9994,0.9994,0,0
1770933600,0.9994,0.9994,0.9994,0.9994,0,0
1770937200,1.0016,1.0016,1.0016,0.9994,121.19,121.29498
1770940800,1.0016,1.0016,1.0016,1.0016,0,0
1770944400,1.0016,1.0016,1.0016,1.0016,0,0
1770948000,0.9994,0.9994,0.9994,0.9994,108.66,108.594804
1770951600,0.9994,0.9994,0.9994,0.9994,0,0
1770955200,0.9994,0.9994,0.9994,0.9994,0,0
1770958800,0.9994,0.9994,0.9994,0.9994,0,0
1770962400,0.9994,0.9994,0.9994,0.9994,0,0
1770966000,0.9994,0.9994,0.9994,0.9994,0,0
1770969600,0.9994,0.9994,0.9994,0.9994,0,0
1770973200,0.9994,0.9994,0.9994,0.9994,0,0
1770976800,1.0014,1.0014,1.0014,1.0014,1,1.0014
1770980400,1.0014,1.0014,1.0014,1.0014,0,0
1770984000,1.0014,1.0014,1.0014,1.0014,0,0
1770987600,1.0014,1.0014,1.0014,1.0014,0,0
1770991200,1.0014,1.0014,1.0014,1.0014,0,0
1770994800,0.999,1.0012,1.0012,0.999,81.05,81.05849
1770998400,1.0012,1.0012,1.0012,1.0012,0,0
1771002000,1.0012,0.9992,1.0012,0.9992,156.94,156.971528
1771005600,0.9992,0.9992,0.9992,0.9992,0,0
1771009200,0.9992,0.9992,0.9992,0.9992,0,0
1771012800,0.9992,0.9992,0.9992,0.9992,0,0
1771016400,0.9992,0.9992,0.9992,0.9992,0,0
1771020000,0.9992,0.9992,0.9992,0.9992,0,0
1771023600,0.9992,0.9992,0.9992,0.9992,0,0
1771027200,0.9992,0.9992,0.9992,0.9992,0,0
1771030800,0.9992,0.9992,0.9992,0.9992,0,0
1771034400,0.9992,0.9992,0.9992,0.9992,0,0
1771038000,0.9992,0.9992,0.9992,0.9992,0,0
1771041600,0.9992,0.9992,0.9992,0.9992,0,0
1771045200,0.9992,0.9992,0.9992,0.9992,0,0
1771048800,0.9992,0.9992,0.9992,0.9992,0,0
1771052400,0.9992,0.9992,0.9992,0.9992,0,0
1771056000,0.9991,0.9991,0.9991,0.9991,6.3,6.29433
1771059600,0.9991,0.9991,0.9991,0.9991,40.7,40.66337
1771063200,0.9991,0.9991,0.9991,0.9991,12.66,12.648606
1771066800,1.0012,1.0012,1.0012,1.0012,44.27,44.323124
1771070400,1.0012,1.0012,1.0012,1.0012,0,0
1771074000,1.0012,1.0012,1.0012,1.0012,0,0
1771077600,1.0012,1.0012,1.0012,1.0012,0,0
1771081200,1.0012,1.0012,1.0012,1.0012,0,0
1771084800,1.0012,1.0012,1.0012,1.0012,0,0
1771088400,1.0012,1.0012,1.0012,1.0012,0,0
1771092000,0.9991,1.0012,1.0012,0.9991,82.43,82.442669
1771095600,1.0012,1.0012,1.0012,1.0012,0,0
1771099200,1.0012,1.0012,1.0012,1.0012,0,0
1771102800,1.0012,1.0012,1.0012,1.0012,0,0
1771106400,1.0012,1.0012,1.0012,1.0012,1.24,1.241488
1771110000,1.0012,1.0012,1.0012,1.0012,0,0
1771113600,0.9991,1.0012,1.0012,0.9991,83.05,83.062804
1771117200,1.0012,1.0012,1.0012,1.0012,0,0
1771120800,1.0012,1.0012,1.0012,1.0012,0,0
1771124400,1.0012,1.0012,1.0012,1.0012,0,0
1771128000,1.0012,1.0012,1.0012,1.0012,0,0
1771131600,0.9991,1.0012,1.0012,0.9991,78.13,78.136207
1771135200,1.0012,1.0012,1.0012,1.0012,0,0
1771138800,0.9991,0.9991,0.9991,0.9991,36.44,36.407204
1771142400,0.9991,0.9991,0.9991,0.9991,0,0
1771146000,0.9991,0.9991,0.9991,0.9991,0,0
1771149600,0.9991,0.9991,0.9991,0.9991,0,0
1771153200,0.9991,0.9991,0.9991,0.9991,0,0
1771156800,0.9991,0.9991,0.9991,0.9991,0,0
1771160400,0.9991,0.9991,0.9991,0.9991,0,0
1771164000,0.9991,0.9991,0.9991,0.9991,0,0
1771167600,0.9991,0.9991,0.9991,0.9991,0,0
1771171200,0.9991,0.9991,0.9991,0.9991,0,0
1771174800,0.9991,0.9991,0.9991,0.9991,0,0
1771178400,0.9991,0.9991,0.9991,0.9991,0,0
1771182000,0.9991,0.9991,0.9991,0.9991,0,0
1771185600,0.9991,0.9991,0.9991,0.9991,0,0
1771189200,0.9991,0.9991,0.9991,0.9991,0,0
1771192800,0.9991,0.9991,0.9991,0.9991,0,0
1771196400,0.9991,0.9991,0.9991,0.9991,0,0
1771200000,0.9991,0.9991,0.9991,0.9991,0,0
1771203600,0.9991,0.9991,0.9991,0.9991,0,0
1771207200,0.9991,0.9991,0.9991,0.9991,0,0
1771210800,0.9991,0.9991,0.9991,0.9991,0,0
1771214400,0.999,0.999,0.999,0.999,33.74,33.70626
1771218000,0.999,0.999,0.999,0.999,0,0
1771221600,0.999,0.999,0.999,0.999,0,0
1771225200,0.999,0.999,0.999,0.999,0,0
1771228800,0.999,0.999,0.999,0.999,149.38,149.23062
1771232400,0.999,0.999,0.999,0.999,0,0
1771236000,0.999,0.999,0.999,0.999,0,0
1771239600,0.9991,0.9991,0.9991,0.9991,11.36,11.349776
1771243200,0.9991,0.9991,0.9991,0.9991,0,0
1771246800,0.9991,0.9991,0.9991,0.9991,0,0
1771250400,0.9991,0.9991,0.9991,0.9991,780,779.298
1771254000,0.9991,0.9991,0.9991,0.9991,0,0
1771257600,0.9991,0.9991,0.9991,0.9991,0,0
1771261200,0.9991,0.9991,0.9991,0.9991,0,0
1771264800,0.9991,0.9991,0.9991,0.9991,0,0
