time,open,close,high,low,volume,turnover
1775873400,0.9996,0.9996,0.9996,0.9996,0.0,0.0
1775874000,0.9996,0.9996,0.9996,0.9996,0.0,0.0
1775874600,0.9997,0.9997,0.9997,0.9997,1.45,1.449565
1775875200,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1775875800,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1775876400,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1775877000,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1775877600,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1775878200,0.9997,0.9996,0.9997,0.9996,1273.56,1273.050576
1775878800,0.9996,0.9996,0.9996,0.9996,0.0,0.0
1775879400,0.9996,0.9996,0.9996,0.9996,0.0,0.0
1775880000,0.9997,0.9997,0.9997,0.9997,14.58,14.575626
1775880600,0.9997,0.9997,0.9997,0.9996,176.92000000000002,176.864957
1775881200,0.9997,0.9996,0.9997,0.9996,192.39,192.326281
1775881800,0.9997,0.9996,0.9997,0.9996,78.56,78.532504
1775882400,0.9997,0.9995,0.9997,0.9995,68.44,68.41357
1775883000,0.9995,0.9995,0.9995,0.9995,0.0,0.0
1775883600,0.9995,0.9995,0.9995,0.9995,0.0,0.0
1775884200,0.9996,0.9993,0.9996,0.9993,2039.1299999999999,2038.0819880000001
1775884800,0.9992,0.9992,0.9993,0.9992,157.21,157.092092
1775885400,0.9993,0.9992,0.9993,0.9992,178.66,178.52297099999998
1775886000,0.9992,0.9992,0.9993,0.9992,39.3,39.270526
1775886600,0.9992,0.9992,0.9992,0.9992,1.04,1.039168
1775887200,0.9993,0.9992,0.9993,0.9992,117.77,117.683635
1775887800,0.9992,0.9992,0.9993,0.9992,78.54,78.481095
1775888400,0.9992,0.9992,0.9993,0.9992,117.78,117.691665
1775889000,0.9992,0.9992,0.9993,0.9992,39.28,39.25054
1775889600,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775890200,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775890800,0.9993,0.9992,0.9993,0.9992,78.62,78.561035
1775891400,0.9992,0.9992,0.9993,0.9992,39.32,39.29051
1775892000,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775892600,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775893200,0.9992,0.9993,0.9993,0.9992,34.19,34.166067
1775893800,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775894400,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775895000,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775895600,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775896200,0.9993,0.9992,0.9993,0.9992,5178.11,5174.180371
1775896800,0.9992,0.9992,0.9993,0.9992,179.28,179.13854
1775897400,0.9993,0.9993,0.9993,0.9993,206.58,206.435394
1775898000,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775898600,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775899200,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775899800,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775900400,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775901000,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775901600,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775902200,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775902800,0.9993,0.9993,0.9993,0.9993,8500.0,8494.05
1775903400,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775904000,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775904600,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775905200,0.9993,0.9993,0.9993,0.9993,0.0,0.0
1775905800,0.9993,0.9993,0.9993,0.9993,5000.0,4996.5
1775906400,0.9992,0.9953,0.9993,0.9522,25957.26,25773.244045
1775907000,0.9953,0.9953,0.9953,0.9953,0.0,0.0
1775907600,0.9953,0.9953,0.9953,0.9953,0.0,0.0
1775908200,0.9953,0.9953,0.9953,0.9953,0.0,0.0
1775908800,0.9953,0.9991,0.9991,0.9953,4.23,4.226193
1775909400,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775910000,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775910600,0.9991,0.9991,0.9991,0.9991,113.77,113.667607
1775911200,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775911800,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775912400,0.9991,0.9991,0.9991,0.9991,153.27,153.132057
1775913000,0.9991,0.9991,0.9991,0.9991,1601.47,1600.028677
1775913600,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775914200,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775914800,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775915400,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775916000,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775916600,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775917200,0.9991,0.9991,0.9991,0.9991,18.0,17.9838
1775917800,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775918400,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775919000,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775919600,0.9991,0.9991,0.9991,0.9991,1.0,0.9991
1775920200,0.9991,0.9991,0.9991,0.9991,42.0,41.9622
1775920800,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775921400,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775922000,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775922600,0.9991,0.9991,0.9991,0.9991,13.85,13.837535
1775923200,0.9991,0.9991,0.9991,0.9991,0.0,0.0
1775923800,0.9991,0.9992,0.9992,0.9991,38.66,38.627102
1775924400,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775925000,0.9992,0.9993,0.9993,0.9992,1190.15,1189.198067
1775925600,0.9992,0.9992,0.9992,0.9992,1014.64,1013.828288
1775926200,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775926800,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775927400,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775928000,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775928600,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775929200,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775929800,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775930400,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775931000,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775931600,0.9992,0.9992,0.9992,0.9992,0.0,0.0
1775932200,0.9993,0.9998,0.9998,0.9993,30055.620000000003,30035.581066000002
1775932800,0.9997,0.9998,0.9998,0.9997,1023.43,1023.12431
1775933400,0.9997,0.9997,0.9997,0.9997,6073.42,6071.597974
1775934000,0.9997,1.0001,1.0004,0.9997,18381.78,18380.505341
1775934600,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775935200,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775935800,1.0001,1.0001,1.0001,1.0001,19.89,19.891989
1775936400,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775937000,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775937600,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775938200,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775938800,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775939400,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775940000,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775940600,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775941200,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775941800,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775942400,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775943000,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775943600,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775944200,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775944800,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775945400,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775946000,1.0001,1.0,1.0001,0.9999,19.83,19.829191
1775946600,1.0,0.9998,1.0,0.9998,93.82,93.816042
1775947200,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775947800,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775948400,1.0,0.9998,1.0,0.9998,78.30000000000001,78.294146
1775949000,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775949600,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775950200,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775950800,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775951400,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775952000,0.9998,1.0,1.0,0.9998,256.02,256.02
1775952600,1.0,1.0,1.0,1.0,0.0,0.0
1775953200,1.0,1.0,1.0,1.0,0.0,0.0
1775953800,1.0,1.0,1.0,1.0,0.0,0.0
1775954400,1.0,1.0,1.0,1.0,0.0,0.0
1775955000,1.0,1.0,1.0,1.0,0.0,0.0
1775955600,1.0,1.0,1.0,1.0,0.0,0.0
1775956200,1.0,1.0,1.0,1.0,0.0,0.0
1775956800,1.0,1.0,1.0,1.0,0.0,0.0
1775957400,1.0,1.0,1.0,1.0,0.0,0.0
1775958000,0.9998,1.0,1.0001,0.9998,2042.4399999999998,2042.39601
1775958600,1.0,1.0001,1.0001,1.0,15674.61,15676.165389
1775959200,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775959800,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775960400,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775961000,1.0001,1.0001,1.0001,0.9998,2.09,2.089909
1775961600,1.0001,1.0001,1.0001,1.0001,20.73,20.732073
1775962200,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775962800,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775963400,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775964000,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775964600,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775965200,1.0001,1.0001,1.0001,1.0001,19.34,19.341934
1775965800,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775966400,1.0001,1.0001,1.0001,1.0001,0.0,0.0
1775967000,0.9998,0.9998,0.9998,0.9998,1.06,1.059788
1775967600,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775968200,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775968800,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775969400,1.0,1.0001,1.0001,0.9998,82.87,82.87008900000001
1775970000,1.0001,1.0001,1.0001,0.9998,271.61,271.590565
1775970600,0.9998,0.9998,1.0,0.9998,154.49,154.470688
1775971200,0.9998,0.9998,1.0001,0.9998,116.04,116.029401
1775971800,0.9998,0.9998,1.0004,0.9998,8423.55,8421.8851
1775972400,0.9998,0.9998,0.9999,0.9998,38.7,38.694195
1775973000,0.9998,0.9998,0.9999,0.9998,77.46,77.448381
1775973600,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775974200,0.9999,0.9999,0.9999,0.9999,164.99,164.973501
1775974800,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775975400,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775976000,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775976600,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775977200,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775977800,0.9999,0.9998,0.9999,0.9998,986.37,986.172726
1775978400,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775979000,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775979600,0.9999,0.9999,0.9999,0.9999,196.7,196.68033
1775980200,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775980800,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775981400,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775982000,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775982600,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775983200,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775983800,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775984400,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775985000,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1775985600,0.9999,0.9997,0.9999,0.9997,77.28,77.26261199999999
1775986200,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1775986800,0.9997,0.9997,0.9998,0.9997,77.19,77.172633
1775987400,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1775988000,0.9998,0.9997,0.9998,0.9997,38.6,38.59035
1775988600,0.9997,0.9997,0.9997,0.9997,0.0,0.0
1775989200,0.9998,0.9998,0.9998,0.9997,58.019999999999996,58.006462
1775989800,0.9998,0.9996,0.9998,0.9996,38.64,38.628408
1775990400,0.9998,1.0,1.0,0.9998,223.27,223.236508
1775991000,1.0,0.9998,1.0,0.9998,39.96,39.956004
1775991600,1.0,1.0,1.0,1.0,19.29,19.29
1775992200,1.0,1.0,1.0,1.0,0.0,0.0
1775992800,1.0,1.0,1.0,1.0,0.0,0.0
1775993400,1.0,0.9998,1.0,0.9998,42.85,42.848149
1775994000,0.9998,0.9998,0.9999,0.9998,1088.65,1088.439178
1775994600,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775995200,0.9999,0.9998,0.9999,0.9998,59.949999999999996,59.942008
1775995800,0.9999,0.9998,0.9999,0.9998,39.94,39.934009
1775996400,0.9998,0.9998,0.9998,0.9998,0.0,0.0
1775997000,0.9998,0.9998,0.9998,0.9998,538.28,538.172344
