time,open,close,high,low,volume,turnover
1764115200,1,1.0001,1.0199,0.9999,13962.79,13970.125479
1764158400,1.0001,0.9998,1.0004,0.9998,2707.43,2707.557147
1764201600,1.0001,0.9998,1.0002,0.9997,4001.04,4000.798906
1764244800,0.9998,1.0001,1.0002,0.9998,324.87,324.866809
1764288000,1.0002,0.9999,1.0002,0.9998,186.64,186.648882
1764331200,0.9997,0.9998,1,0.9994,3099.14,3099.077477
1764374400,0.9995,0.9995,0.9997,0.9995,2910.65,2909.198446
1764417600,0.9998,0.9998,0.9999,0.9994,63,62.977927
1764460800,0.9999,1,1.0002,0.9995,7633.91,7630.310667
1764504000,1,1.0001,1.0001,0.9997,450.76,450.761042
1764547200,1,1.0002,1.0013,0.9997,372.99,372.964142
1764590400,1.0003,1.0001,1.0003,0.9997,700.11,700.064669
1764633600,1.0001,1.0001,1.0001,0.9997,25.32,25.319436
1764676800,1.0001,0.9998,1.0004,0.9996,4386.86,4386.764521
1764720000,0.9999,0.9998,0.9999,0.9995,88.66,88.64573
1764763200,0.9997,0.9999,0.9999,0.9995,20131.22,20121.196798
1764806400,0.9999,0.9996,1,0.9996,38.19,38.182513
1764849600,0.9995,0.9998,0.9998,0.9995,118.13,118.097143
1764892800,0.9995,0.9998,0.9999,0.9995,672.39,672.173587
1764936000,0.9997,0.9995,0.9997,0.9995,15.54,15.534232
1764979200,0.9998,0.9999,0.9999,0.9998,22.11,22.105935
1765022400,1,0.9998,1,0.9998,21.65,21.64895
1765065600,0.9995,0.9996,0.9998,0.9995,72.32,72.285593
1765108800,0.9998,1,1,0.9996,30395.99,30395.982338
1765152000,1,0.9999,1.0004,0.9996,124652.55,124665.879813
1765195200,1,1,1.0001,0.9996,407.02,406.972081
1765238400,1,0.9998,1.0001,0.9996,124.71,124.687233
1765281600,1,0.9996,1.0001,0.9996,317.2,317.147181
1765324800,0.9996,1,1.0001,0.9996,60.7,60.686716
1765368000,0.9999,0.9996,0.9999,0.9994,14194.14,14189.388046
1765411200,0.9995,0.9996,0.9997,0.9994,103.9,103.856015
1765454400,0.9996,0.9997,1.0003,0.9996,180190.78,180162.239135
1765497600,0.9997,0.9997,0.9998,0.9994,1548.92,1548.450473
1765540800,0.9996,0.9995,0.9998,0.9995,3791.84,3790.867412
1765584000,0.9996,0.9997,0.9997,0.9995,39.84,39.825122
1765627200,0.9998,0.9998,0.9998,0.9998,36.52,36.512696
1765670400,0.9997,0.9996,0.9998,0.9995,40024.5,40015.693749
1765713600,0.9996,0.9997,0.9998,0.9995,1659.66,1658.848491
1765756800,0.9997,0.9997,0.9999,0.9995,35.7,35.688296
1765800000,0.9998,0.9997,0.9999,0.9909,227109.28,227018.489282
1765843200,0.9997,0.9998,1.0001,0.9997,210113.17,210057.486013
1765886400,1.0001,1.0001,1.0001,0.9998,11223.15,11222.081641
1765929600,1.0001,0.9999,1.0002,0.9998,548.77,548.706762
1765972800,1.0002,0.9999,1.0002,0.9999,30411.72,30413.362126
1766016000,1.0003,1.0003,1.0003,1.0003,965.45,965.739635
1766059200,1,1.0004,1.0004,1,27096.38,27099.894301
1766102400,1.0001,1.0004,1.0005,1.0001,1076.07,1076.506352
