time,open,close,high,low,volume,turnover
1764115200,1,0.9998,1.0199,0.9998,16670.22,16677.682626
1764201600,1.0001,1.0001,1.0002,0.9997,4325.91,4325.665715
1764288000,1.0002,0.9998,1.0002,0.9994,3285.78,3285.726359
1764374400,0.9995,0.9998,0.9999,0.9994,2973.65,2972.176373
1764460800,0.9999,1.0001,1.0002,0.9995,8084.67,8081.071709
1764547200,1,1.0001,1.0013,0.9997,1073.1,1073.028811
1764633600,1.0001,0.9998,1.0004,0.9996,4412.18,4412.083957
1764720000,0.9999,0.9999,0.9999,0.9995,20219.88,20209.842528
1764806400,0.9999,0.9998,1,0.9995,156.32,156.279656
1764892800,0.9995,0.9995,0.9999,0.9995,687.93,687.707819
1764979200,0.9998,0.9998,1,0.9998,43.76,43.754885
1765065600,0.9995,1,1,0.9995,30468.31,30468.267931
1765152000,1,1,1.0004,0.9996,125059.57,125072.851894
1765238400,1,0.9996,1.0001,0.9996,441.91,441.834414
1765324800,0.9996,0.9996,1.0001,0.9994,14254.84,14250.074762
1765411200,0.9995,0.9997,1.0003,0.9994,180294.68,180266.09515
1765497600,0.9997,0.9995,0.9998,0.9994,5340.76,5339.317885
1765584000,0.9996,0.9998,0.9998,0.9995,76.36,76.337818
1765670400,0.9997,0.9997,0.9998,0.9995,41684.16,41674.54224
1765756800,0.9997,0.9997,0.9999,0.9909,227144.98,227054.177578
1765843200,0.9997,1.0001,1.0001,0.9997,221336.32,221279.567654
1765929600,1.0001,0.9999,1.0002,0.9998,30960.49,30962.068888
1766016000,1.0003,1.0004,1.0004,1,28061.83,28065.633936
1766102400,1.0001,1.0005,1.0005,1,14876.52,14880.473171
1766188800,1.0004,1.0003,1.0004,1,112.12,112.142411
1766275200,1.0003,1.0002,1.0003,0.9999,4609.04,4609.959143
1766361600,1.0002,1.0004,1.0004,0.9999,3686.56,3687.113565
1766448000,1.0004,1.0003,1.0004,1,454.56,454.619918
1766534400,1.0003,1.0005,1.0006,1.0001,43.42,43.436115
1766620800,1.0005,1.0004,1.0005,1.0002,870.26,870.580615
1766707200,1.0005,1.0003,1.0007,1.0002,1113.22,1113.626697
1766793600,1.0006,1.0004,1.0006,1.0001,1568,1568.18098
1766880000,1.0005,1.0005,1.0006,1.0002,225.65,225.759979
1766966400,1.0006,1.0006,1.0009,1.0004,2462.39,2464.063325
1767052800,1.0006,1.0008,1.0021,1.0004,4837.71,4841.57269
1767139200,1.0006,1.0012,1.0013,1.0006,3964.59,3967.716687
1767225600,1.0013,1.0011,1.0014,1.0008,873.47,874.494236
1767312000,1.0011,1.0003,1.0015,1,150269.4,150379.13192
