time,open,close,high,low,volume,turnover
1775692800,1,0.9959,1.02,0.9496,24328.46,23955.612517
1775736000,0.9959,0.9959,0.9959,0.9959,0,0
1775779200,0.9959,0.9959,0.9959,0.9959,0,0
1775822400,1,0.9982,1.048,0.99,343119.77,342438.059352
1775865600,0.9983,0.9967,0.9989,0.9963,153457.46,153079.504607
1775908800,0.9969,0.9995,0.9996,0.9965,437257.9,436402.240557
1775952000,0.9995,0.9995,0.9996,0.9995,367.88,367.701568
1775995200,0.9995,0.9996,0.9999,0.9995,14115.52,14109.934072
1776038400,0.9997,0.9966,1.0017,0.91,2881196.5,2880447.467977
1776081600,0.9966,0.9994,0.9998,0.9964,838135.47,836485.707348
1776124800,0.9994,0.9994,0.9995,0.9994,1318.99,1318.199242
1776168000,0.9994,0.9994,0.9995,0.9994,33747.89,33727.644411
1776211200,0.9994,0.9994,0.9994,0.9994,888.13,887.597122
1776254400,0.9994,0.9997,0.9997,0.9994,5578.45,5575.453623
1776297600,0.9997,0.9997,0.9997,0.9997,26.73,26.721981
