time,open,close,high,low,volume,turnover
1744588800,0.54,0.591,0.591,0.535,2320878.59,1281995.06829
1744632000,0.592,0.577,0.592,0.555,1412304.13,805274.25414
1744675200,0.578,0.598,0.699,0.564,2774734.3,1653395.83915
1744718400,0.595,0.556,0.617,0.556,877510.26,514865.01816
1744761600,0.555,0.546,0.564,0.529,671612.13,366111.57702
1744804800,0.546,0.537,0.562,0.532,1533750.3,836072.21509
1744848000,0.537,0.537,0.549,0.528,260363.84,140012.08893
1744891200,0.537,0.556,0.572,0.526,1879011.13,1037586.12545
1744934400,0.557,0.569,0.574,0.542,1549892.22,869765.31087
1744977600,0.57,0.587,0.589,0.56,1520898.61,876415.53619
1745020800,0.586,0.568,0.592,0.566,881169.08568482,509357.3995287715
1745064000,0.568,0.583,0.589,0.564,479772.4,275878.29071
1745107200,0.58,0.553,0.589,0.548,1031198.25,585622.28531
1745150400,0.553,0.573,0.577,0.55,551362.88,310241.94731
1745193600,0.574,0.58,0.601,0.571,737235.84,434443.2472
1745236800,0.58,0.569,0.598,0.56,857650.21,497537.59683
1745280000,0.568,0.596,0.596,0.551,490579.07,282606.76823
1745323200,0.596,0.688,0.697,0.589,1420301.89,919134.56726
1745366400,0.693,0.781,0.806,0.692,2599544.14,1981853.09765
1745409600,0.782,0.727,0.846,0.723,2482079.4,1953604.58798
1745452800,0.726,0.694,0.737,0.673,1517055.6,1050135.40709
1745496000,0.694,0.774,0.774,0.689,1131147.59,825607.93284
1745539200,0.771,0.89,0.905,0.738,2135376.35,1723285.73191
1745582400,0.893,0.924,0.984,0.871,2309131.92,2134690.11307
1745625600,0.928,1.03,1.18,0.92,2671460.83302926,2874131.09972394994
1745668800,1.031,1.106,1.147,1.01,1096005.78996337,1168202.60351285718
1745712000,1.107,1.164,1.166,1.047,1222990.84,1350519.30092
1745755200,1.163,1.07,1.163,1.054,879510.61,953768.44243
1745798400,1.071,1.257,1.312,1.027,1969583.58985558,2382897.02868379638
1745841600,1.255,1.401,1.436,1.214,2320896.98,3092049.21611
1745884800,1.405,1.479,1.534,1.391,1755629.75999543,2573900.47427326839
1745928000,1.476,1.378,1.521,1.34,949489.25909973,1352467.05054339662
1745971200,1.378,1.307,1.415,1.273,775038.04997145,1035583.2633823711
1746014400,1.309,1.538,1.55,1.197,1915827.12,2532258.77667
1746057600,1.538,1.769,1.784,1.495,2062364.42302464,3414065.822377504
1746100800,1.774,1.637,1.789,1.617,1205264.33999942,2061787.86386899718
1746144000,1.64,1.794,1.833,1.589,1030080.93,1742485.8376
1746187200,1.793,1.765,1.888,1.738,1184937.78,2162277.64002
1746230400,1.76,1.68,1.808,1.672,573255.87,1000839.47458
1746273600,1.683,1.695,1.847,1.681,671767.05,1180754.21733
1746316800,1.697,1.616,1.747,1.579,990044.67,1630491.53869
1746360000,1.618,1.64,1.746,1.618,728963.19,1220246.88157
1746403200,1.638,1.716,1.83,1.58,1585556.32,2735808.92503
1746446400,1.711,1.655,1.736,1.616,880319.04,1479368.6131
1746489600,1.656,1.526,1.701,1.509,1270273.91,2068614.99323
1746532800,1.523,1.489,1.528,1.383,2166060.96964897,3168835.90985117766
1746576000,1.489,1.382,1.53,1.327,1237499.93,1767391.40498
1746619200,1.385,1.392,1.43,1.271,1347557.66,1819886.23263
1746662400,1.395,1.613,1.681,1.366,2245409.29204487,3454076.10446430078
1746705600,1.61,2.085,2.141,1.58,3403498.1975396,6416227.93891588681
1746748800,2.088,2.012,2.182,1.933,2779330.06998572,5736349.29350098412
1746792000,2.014,1.948,2.063,1.877,1151702.78995984,2268698.2575014872
1746835200,1.948,1.923,2.027,1.874,1111641.36935471,2159313.51942921867
1746878400,1.928,2.012,2.059,1.894,809124.69,1599885.35966
1746921600,2.01,1.956,2.059,1.884,757713.57999714,1485569.90130459746
1746964800,1.957,1.948,1.989,1.861,554277.12,1065452.21949
1747008000,1.95,2.019,2.218,1.945,1825150.30462543,3825270.50467057606
1747051200,2.019,1.996,2.11,1.837,1341558.23892064,2659204.07132220815
1747094400,1.996,2.05,2.086,1.88,740919.37998853,1467507.85886750733
1747137600,2.05,2.046,2.161,2.009,1056774.44,2196942.53101
1747180800,2.045,2.02,2.055,1.952,478518.86,957665.25811
1747224000,2.02,1.989,2.201,1.919,1058317.59414788,2102450.02719500892
1747267200,1.995,1.915,2.034,1.855,553406.2,1067890.25399
1747310400,1.916,1.822,1.938,1.772,941635.47,1749692.73323
1747353600,1.827,1.892,1.902,1.798,344659.79,639949.72278
1747396800,1.892,1.795,1.938,1.77,636800.2400876,1172108.59355624516
1747440000,1.796,1.703,1.806,1.669,719226.37,1230595.04715
1747483200,1.704,1.685,1.713,1.646,480109.82,804176.2926
1747526400,1.686,1.821,2.009,1.668,818409.56,1464910.46786
1747569600,1.819,2.033,2.105,1.8,2184742.48962012,4326499.58907516792
1747612800,2.035,1.842,2.065,1.773,992845.3,1868334.8871
1747656000,1.84,1.948,1.997,1.805,1264409.93,2411601.51859
1747699200,1.955,1.923,2.025,1.885,700386.48,1371460.01675
1747742400,1.921,1.94,1.968,1.866,563978.91,1083358.92246
1747785600,1.938,1.941,1.997,1.889,656476.14,1275893.55915
1747828800,1.94,1.983,2.142,1.9,1668949.81871345,3363723.07691715378
1747872000,1.985,2.008,2.072,1.948,954454.72,1922942.3423
1747915200,2.01,2.055,2.056,1.963,602411.48,1210225.88479
1747958400,2.052,2.049,2.251,2.027,1797854.27912456,3842359.76944507108
1748001600,2.052,1.939,2.167,1.919,2108951.75,4318620.76423
1748044800,1.94,1.988,2.024,1.925,507544.66,999732.8908
1748088000,1.988,2.006,2.073,1.963,644548.69013788,1304401.4690778282
1748131200,2.006,1.919,2.022,1.879,793425.76,1539781.68841
1748174400,1.914,2.029,2.051,1.829,1319866.8,2542460.87253
1748217600,2.032,2.231,2.264,2.019,1286104.5,2789844.5107
