time,open,close,high,low,volume,turnover
1732838400,0.7,1.365,1.433,0.7,315390.32,424878.50132
1732924800,1.37,1.76,1.914,1.37,860820.08,1402511.82875
1733011200,1.76,1.459,1.805,1.444,560200.22,873908.55775
1733097600,1.459,1.309,1.469,1.263,746234.12,1017380.76842
1733184000,1.306,1.646,1.735,1.3,498238.68,756112.03999
1733270400,1.639,1.691,1.83,1.521,647353.31,1067432.66782
1733356800,1.684,1.742,1.779,1.531,430192.65,711934.81702
1733443200,1.733,1.812,1.994,1.697,652054.02,1198517.38306
1733529600,1.81,1.658,1.877,1.604,401897.7,691658.08552
1733616000,1.671,1.712,1.757,1.645,265633.84,450719.69066
1733702400,1.712,1.545,1.712,1.327,665945,984532.72246
1733788800,1.54,1.563,1.736,1.468,912743.11,1461423.44518
1733875200,1.563,1.911,1.956,1.499,403453.52,701246.95819
1733961600,1.912,2.18,2.18,1.817,597017.9,1162098.15924
1734048000,2.18,2.457,2.624,2.108,1157259.37,2713420.68608
1734134400,2.455,2.453,2.644,2.414,825851.99,2082787.77583
1734220800,2.45,2.711,2.774,2.327,637698.75,1616798.73052
1734307200,2.71,2.958,3.52,2.59,1650622.29,4985496.17367
1734393600,2.956,2.578,3.003,2.53,1353642.41,3686416.12114
1734480000,2.579,2.531,2.976,2.521,1186649.45,3255734.62146
1734566400,2.537,2.273,2.946,2.104,1359608.13,3295901.62369
1734652800,2.28,2.821,2.972,1.804,1767129.69,4051666.5633
1734739200,2.826,2.514,3.043,2.454,689322.57,1865831.07187
1734825600,2.503,2.335,2.569,2.228,464917.54,1112151.66429
1734912000,2.338,3.031,3.124,2.255,1280055.18,3455203.44866
1734998400,3.023,3.037,3.251,2.97,1113291.36,3463075.4745
1735084800,3.035,3.171,3.295,2.896,619587.24,1925428.52156
1735171200,3.17,3.032,3.294,2.82,737829.09,2216861.79449
1735257600,3.027,3.546,3.602,2.93,1077365.24,3632182.78227
1735344000,3.549,3.408,3.57,3.253,656700.3,2245570.2886
1735430400,3.416,3.617,3.767,3.368,764922.53,2769671.89592
1735516800,3.617,3.506,3.69,3.005,1140932.23,3887546.53944
1735603200,3.501,3.92,4.152,3.399,1233118.46,4716754.74452
1735689600,3.918,4.627,5.048,3.818,1313505.51,5592174.40262
1735776000,4.626,4.533,5.143,4.36,1848594.06,8766144.79743
1735862400,4.538,4.279,4.636,4.109,1349169.04,5812959.19055
1735948800,4.282,4.418,4.555,4.146,991324.01,4269564.93686
1736035200,4.416,4.006,4.423,3.955,1136835.06,4690262.5205
1736121600,4.005,3.868,4.446,3.841,1206846.81,5079624.95508
1736208000,3.866,3.695,4.093,3.63,1877353.63,7291644.9658
1736294400,3.7,3.591,3.739,3.215,1460033.97,5116706.95459
1736380800,3.588,3.119,3.604,3.08,1466608.31,4766240.43674
1736467200,3.123,3.153,3.525,2.8,3448212.9,11013244.27937
1736553600,3.149,2.989,3.163,2.841,898012.93,2668195.81339
1736640000,2.989,2.686,3.004,2.664,991354.4,2777278.42735
1736726400,2.693,2.672,2.806,2.225,3289433.79,8080840.88146
1736812800,2.668,3.009,3.133,2.605,2541662.91998399,7172996.64126465968
1736899200,3.007,3.782,4.003,2.824,3189849.95997029,10991381.56891410129
1736985600,3.783,3.344,3.912,3.341,1739093.93905451,6326604.00541563576
1737072000,3.342,3.317,3.57,3.29,1929809.3516673,6639345.94088659916
