time,open,close,high,low,volume,turnover
1774882800,0.6631,0.6608,0.6639,0.6567,16643.13,10972.940997
1774884600,0.6608,0.6629,0.6658,0.6605,34572.81,22971.956934
1774886400,0.6626,0.6585,0.6637,0.6584,18033.88,11918.969406
1774888200,0.6587,0.6583,0.6604,0.6566,3909.3,2573.476499
1774890000,0.659,0.6511,0.6604,0.6487,17323.55,11319.847374
1774891800,0.6512,0.6525,0.6549,0.6504,27598.86,18014.182066
1774893600,0.6523,0.6482,0.6523,0.6465,30736.45,19962.590121
1774895400,0.6482,0.6472,0.6501,0.6453,4712.73,3050.524298
1774897200,0.647,0.6425,0.647,0.6419,8033.47,5174.270333
1774899000,0.6427,0.6451,0.6462,0.6421,26337.32,16956.308938
1774900800,0.6456,0.647,0.6478,0.6453,35849.57,23187.635565
1774902600,0.6468,0.6453,0.6469,0.6432,22728.66,14670.550415
1774904400,0.6455,0.6497,0.6528,0.6446,72844.82,47347.287782
1774906200,0.6497,0.6486,0.6524,0.6486,92341.46,60086.060777
1774908000,0.6488,0.6489,0.6512,0.6466,95915.27,62198.682738
1774909800,0.649,0.6461,0.6491,0.6453,15064.13,9745.087566
1774911600,0.6457,0.6418,0.6457,0.638,48760.36,31250.009774
1774913400,0.6415,0.6429,0.6429,0.6409,14864.37,9539.807829
1774915200,0.643,0.6432,0.6432,0.6396,48156.02,30887.409224
1774917000,0.6432,0.6459,0.6483,0.6414,69620.1,44909.892913
1774918800,0.6459,0.6526,0.6539,0.6422,113569.23,73546.511791
1774920600,0.6529,0.656,0.6603,0.652,114549.13,75095.793089
1774922400,0.6559,0.6587,0.6587,0.6537,109518.54,71825.343637
1774924200,0.6586,0.6586,0.6598,0.657,195496.02,128741.273782
1774926000,0.6586,0.6543,0.6591,0.6535,182601.1,119864.204863
1774927800,0.6546,0.6535,0.6554,0.6521,222045.03,145162.787849
1774929600,0.6537,0.652,0.6566,0.6508,187426.72,122550.996851
1774931400,0.652,0.6513,0.6535,0.6508,130549.48,85135.942146
1774933200,0.6512,0.654,0.6545,0.6508,138398.28,90299.58679
1774935000,0.654,0.6544,0.6554,0.6525,127134.75,83111.527952
1774936800,0.6544,0.651,0.6547,0.6508,134709.48,87857.121657
1774938600,0.651,0.6525,0.6537,0.6508,84853.7,55299.291087
1774940400,0.6526,0.6486,0.6531,0.6469,173957.66,113000.480854
1774942200,0.6485,0.6519,0.6537,0.6485,216941.36,141327.61784
1774944000,0.6518,0.6516,0.6536,0.6493,183363.57,119532.385415
1774945800,0.6515,0.6429,0.6517,0.6429,174440.87,112740.332946
1774947600,0.6428,0.6382,0.6428,0.6361,205048.16,131253.571303
1774949400,0.638,0.6347,0.6405,0.6321,217422.55,138659.386382
1774951200,0.6348,0.636,0.6376,0.6347,105931.55,67422.969468
1774953000,0.636,0.6338,0.6366,0.6338,139067.6,88338.601069
1774954800,0.634,0.6365,0.6392,0.6317,223288.46,141904.470836
1774956600,0.6364,0.6383,0.6398,0.6359,176284.15,112413.836289
1774958400,0.6386,0.6423,0.6425,0.638,218019.75,139514.704928
1774960200,0.642,0.6406,0.6436,0.6401,186399.68,119679.764418
1774962000,0.6405,0.6435,0.6449,0.6405,150631.09,96838.883608
1774963800,0.6438,0.648,0.6506,0.6433,230525.41,149246.383292
1774965600,0.6481,0.6519,0.6542,0.6466,236093.83,153397.670047
1774967400,0.6523,0.637,0.6527,0.6336,237536.18,152672.1887
1774969200,0.6372,0.6409,0.6455,0.637,210286.09,134996.694453
1774971000,0.641,0.637,0.6422,0.6369,180695.72,115668.970809
1774972800,0.637,0.6406,0.6419,0.6369,197882.36,126633.291581
1774974600,0.6406,0.6532,0.654,0.6379,209882.48,136050.517526
1774976400,0.6534,0.658,0.6618,0.6508,243079.04,159558.439407
1774978200,0.6578,0.6486,0.6582,0.6462,170758.12,111182.898526
1774980000,0.6487,0.6517,0.6539,0.6487,229705.52,149578.425074
1774981800,0.6517,0.6541,0.6541,0.65,159609.9,104006.955807
1774983600,0.6539,0.6541,0.6559,0.6535,144015.82,94274.50305
1774985400,0.6543,0.6561,0.6561,0.6528,175773.89,115022.105587
1774987200,0.6558,0.6573,0.6597,0.6557,157525.81,103541.918774
1774989000,0.6572,0.658,0.6583,0.6543,153978.34,101043.850293
1774990800,0.658,0.6515,0.658,0.6509,151026.49,98624.830044
1774992600,0.6512,0.6528,0.6557,0.6512,231617.22,151148.895661
1774994400,0.6527,0.6539,0.6555,0.6508,234706.5,153272.64813
1774996200,0.6538,0.6519,0.6546,0.6504,236411.18,154264.370672
1774998000,0.6523,0.6554,0.6568,0.6508,233578.48,152727.425384
1774999800,0.6558,0.6564,0.6575,0.6532,245442.92,160897.568592
1775001600,0.6566,0.6573,0.6577,0.6547,207469.84,136188.390357
1775003400,0.6575,0.6617,0.662,0.6552,194013.09,127664.186997
1775005200,0.662,0.6604,0.6639,0.6603,195125.73,129268.826892
1775007000,0.6602,0.6588,0.6616,0.6577,127439.81,84046.005249
1775008800,0.6582,0.6555,0.66,0.6538,111740.94,73499.124307
1775010600,0.6549,0.6556,0.6571,0.6545,218703.03,143479.010332
1775012400,0.6552,0.6612,0.6636,0.6552,196483.99,129676.135249
1775014200,0.6613,0.6635,0.6652,0.6607,230312.62,152667.941704
1775016000,0.6645,0.6625,0.6656,0.6606,230909.32,153124.25941
1775017800,0.6626,0.6623,0.6649,0.6615,226185.95,149988.980773
1775019600,0.6627,0.6657,0.6681,0.66,253044.83,167540.513549
1775021400,0.6656,0.6654,0.6675,0.6633,197052.73,131110.81874
1775023200,0.6663,0.6738,0.6741,0.6653,209512.55,140560.931595
1775025000,0.6738,0.6779,0.6794,0.6731,195513.06,132177.591428
1775026800,0.678,0.6749,0.681,0.6745,197654.3,133916.121818
1775028600,0.6749,0.6743,0.6768,0.6731,172439.68,116349.1629
1775030400,0.6745,0.6736,0.676,0.6722,151361.56,101984.956344
1775032200,0.6739,0.6736,0.6769,0.6714,161890.3,109219.691106
