time,open,close,high,low,volume,turnover
1775832300,0.01002,0.00999,0.01009,0.00999,682211.7,6845.28192
1775832600,0.01002,0.00996,0.01004,0.00996,732675.4,7331.293942
1775832900,0.01002,0.00997,0.01004,0.00996,676878.8,6770.533044
1775833200,0.01002,0.01002,0.01004,0.00995,765982.4,7654.353137
1775833500,0.00996,0.01001,0.01003,0.00996,695621.3,6950.656475
1775833800,0.00996,0.01011,0.01012,0.00996,744257.1,7456.228318
1775834100,0.01002,0.01008,0.01013,0.01001,498567.1,5012.765769
1775834400,0.01002,0.01005,0.01013,0.01001,826876.7,8317.276824
1775834700,0.01011,0.01009,0.01013,0.01001,738292.4,7433.750493
1775835000,0.01002,0.01001,0.01008,0.01,575057.9,5774.871387
1775835300,0.01006,0.01001,0.01006,0.00995,596502.4,5969.046348
1775835600,0.00995,0.00998,0.01006,0.00995,762246.1,7627.311533
1775835900,0.01009,0.01011,0.01013,0.01002,678382.3,6837.672748
1775836200,0.01005,0.0101,0.01011,0.01003,498190,5019.866463
1775836500,0.01004,0.01006,0.01012,0.01003,690681.2,6954.563716
1775836800,0.0101,0.01012,0.01012,0.01005,506186.7,5107.872228
1775837100,0.01008,0.0102,0.0102,0.01008,977436.9,9937.187856
1775837400,0.01017,0.01009,0.0102,0.01007,1044822.6,10624.2202
1775837700,0.01015,0.01012,0.01017,0.01002,1087570.2,10989.924734
1775838000,0.01008,0.01012,0.01018,0.01006,1028218.2,10403.211936
1775838300,0.01014,0.01008,0.01014,0.01001,904802,9134.544495
1775838600,0.01003,0.01008,0.01013,0.01002,1117364.5,11286.030391
1775838900,0.01012,0.01011,0.01017,0.01008,1138785.4,11516.856151
1775839200,0.01012,0.01014,0.01014,0.01007,750610.2,7589.273185
1775839500,0.01013,0.01013,0.01013,0.01007,1042648.8,10534.396985
1775839800,0.0101,0.01017,0.01019,0.01008,1254516.8,12697.855521
1775840100,0.01012,0.01016,0.01019,0.01012,1229673.5,12478.408977
1775840400,0.01014,0.01019,0.01028,0.01014,573351.3,5841.834182
1775840700,0.01022,0.0102,0.01024,0.01017,561926.2,5733.143336
1775841000,0.01014,0.01021,0.01025,0.01011,555095.9,5654.861732
1775841300,0.01016,0.01019,0.01024,0.01016,563308.1,5750.205519
1775841600,0.01022,0.01019,0.01024,0.01017,637119.1,6502.274739
1775841900,0.01023,0.01015,0.01024,0.01011,570776.7,5816.124996
1775842200,0.01019,0.01019,0.01021,0.01012,660464.2,6717.803971
1775842500,0.01014,0.01016,0.01019,0.01011,673601.7,6838.613749
1775842800,0.01011,0.01012,0.01017,0.01009,502822.6,5096.188721
1775843100,0.01015,0.01014,0.01017,0.0101,660498,6692.887887
1775843400,0.01009,0.01013,0.01014,0.01008,586564.7,5933.27974
1775843700,0.01011,0.01013,0.01014,0.01008,490320.6,4958.914684
1775844000,0.01007,0.0101,0.01015,0.01007,782589.7,7921.892268
1775844300,0.01014,0.01013,0.01015,0.01008,684371.4,6919.844076
1775844600,0.01008,0.01006,0.01013,0.01006,626088,6320.090282
1775844900,0.01015,0.01017,0.01019,0.01006,678890.1,6874.656304
1775845200,0.01017,0.01023,0.01023,0.01011,652068.8,6637.630056
1775845500,0.01011,0.01017,0.01023,0.01011,638181.6,6492.561673
1775845800,0.01022,0.01017,0.01023,0.01015,621193.7,6332.54576
1775846100,0.01022,0.0102,0.01022,0.01013,648947.3,6611.843593
1775846400,0.01017,0.01014,0.01021,0.01014,583067.9,5927.986204
1775846700,0.01017,0.01014,0.01018,0.01009,666458.4,6761.01154
1775847000,0.01013,0.01012,0.01014,0.0101,460908.5,4667.590559
1775847300,0.01012,0.01011,0.01017,0.01007,393813.6,3979.629463
1775847600,0.0101,0.01011,0.01011,0.01008,707678.5,7150.120041
1775847900,0.01011,0.01008,0.01011,0.01008,750929.4,7584.168854
1775848200,0.01011,0.01011,0.01017,0.01008,723143.6,7320.77834
1775848500,0.01016,0.01023,0.01024,0.01011,700400.6,7124.328191
1775848800,0.01014,0.01023,0.01024,0.01014,752104.5,7665.979066
1775849100,0.01016,0.01014,0.01023,0.01013,833418.3,8492.747256
1775849400,0.01021,0.01018,0.01021,0.01011,666180.3,6769.425036
1775849700,0.0101,0.01008,0.01018,0.01008,735812.6,7451.410363
1775850000,0.01016,0.0101,0.01022,0.01007,663622.4,6718.146255
1775850300,0.01015,0.01012,0.01019,0.01011,551721.4,5591.05342
1775850600,0.01012,0.01011,0.01017,0.01009,796488.3,8062.097454
1775850900,0.01011,0.0101,0.01014,0.01009,592144.3,5987.505769
1775851200,0.01012,0.01008,0.01017,0.01008,310597.2,3138.503437
1775851500,0.0101,0.01013,0.01014,0.01007,736495.9,7441.694348
1775851800,0.0101,0.01015,0.01015,0.01008,686886.1,6940.376983
1775852100,0.01011,0.0101,0.01013,0.01008,533146.9,5389.370616
1775852400,0.01012,0.01009,0.01012,0.01007,253100.5,2555.459449
1775852700,0.01008,0.01008,0.01011,0.01008,395992,3995.074703
1775853000,0.0101,0.01011,0.01013,0.01007,298564,3014.437332
1775853300,0.01009,0.01008,0.0101,0.01007,331601.8,3346.116176
1775853600,0.0101,0.01013,0.01017,0.01005,516213.1,5215.703291
1775853900,0.01009,0.01009,0.01016,0.01007,480083.9,4848.685459
1775854200,0.01007,0.01006,0.01019,0.01005,605883.4,6111.550832
1775854500,0.01006,0.01008,0.01016,0.01002,783103.7,7885.343196
1775854800,0.01007,0.01005,0.01009,0.01001,612352.7,6159.340188
1775855100,0.01005,0.01,0.01008,0.01,675143,6777.144647
1775855400,0.01003,0.01004,0.01006,0.01001,478620.7,4802.512394
1775855700,0.01003,0.01002,0.01005,0.00995,713236.8,7130.27142
1775856000,0.00998,0.00994,0.01003,0.00994,898037,8964.634172
1775856300,0.00996,0.00998,0.01005,0.00994,876632.9,8736.404166
1775856600,0.00994,0.00996,0.00998,0.00994,566937.3,5649.99682
1775856900,0.00998,0.00996,0.00998,0.00994,793975.9,7914.547442
1775857200,0.00997,0.00992,0.00998,0.0099,771491.1,7675.412723
1775857500,0.00994,0.00992,0.00996,0.00991,449267.8,4462.276107
1775857800,0.00994,0.00995,0.00995,0.00991,330465,3282.796388
1775858100,0.00994,0.00995,0.00996,0.00991,704715.2,7006.472825
1775858400,0.00993,0.00992,0.00995,0.00992,325780.8,3235.172288
1775858700,0.00994,0.00991,0.00994,0.0099,409908.4,4064.536554
1775859000,0.0099,0.00991,0.00992,0.0099,1072273.1,10618.933436
1775859300,0.0099,0.00987,0.00993,0.00985,808942.4,7994.040358
1775859600,0.00985,0.00981,0.00988,0.00981,940836.8,9262.049509
1775859900,0.00983,0.00978,0.00984,0.00978,1090995.1,10683.352466
1775860200,0.00977,0.00971,0.00977,0.00971,623878.5,6080.806161
1775860500,0.00974,0.00972,0.00975,0.00969,595286.7,5786.121224
1775860800,0.00971,0.00978,0.00981,0.00971,1081186.8,10553.782673
1775861100,0.00978,0.0098,0.00983,0.00978,800283.6,7838.237616
1775861400,0.00978,0.00978,0.00982,0.00978,487320.1,4767.663388
1775861700,0.00978,0.00979,0.0098,0.00978,178227,1743.637083
1775862000,0.00978,0.00967,0.00979,0.00962,647856.2,6293.185692
1775862300,0.00977,0.00965,0.00977,0.00964,743881.8,7213.028506
