time,open,close,high,low,volume,turnover
1775654400,0.2648,0.2649,0.2649,0.2647,3560.3095,942.9522296
1775655000,0.2651,0.2645,0.266,0.2645,68319.4973,18115.6055759
1775655600,0.2647,0.2645,0.2649,0.2631,86981.21119999999,22988.977385860002
1775656200,0.2644,0.2633,0.2655,0.2631,70657.5401,18667.584806209998
1775656800,0.2636,0.2623,0.2637,0.2619,53420.399300000005,14057.90001865
1775657400,0.2621,0.2618,0.2637,0.2614,91396.3462,24031.378668520003
1775658000,0.2618,0.2618,0.2623,0.2611,132526.6046,34695.2993463
1775658600,0.262,0.2593,0.262,0.2585,140218.2514,36447.84887833
1775659200,0.2592,0.2601,0.2604,0.2588,87893.53210000001,22797.135577269997
1775659800,0.2601,0.2588,0.2601,0.2578,129666.2923,33553.098871199996
1775660400,0.2587,0.259,0.26,0.2586,80965.3367,21008.11411674
1775661000,0.2584,0.2607,0.2607,0.2581,114284.75409999999,29591.77098559
1775661600,0.2607,0.2604,0.261,0.26,39146.0804,10207.41887356
1775662200,0.2604,0.2625,0.2625,0.2604,22965.1367,6011.76049973
1775662800,0.2625,0.2625,0.2626,0.2608,79583.44940000001,20843.38992739
1775663400,0.2624,0.2637,0.2637,0.2624,27438.502099999998,7220.56542865
1775664000,0.2637,0.2648,0.2653,0.2636,36069.9014,9538.75804138
1775664600,0.2649,0.265,0.2658,0.2644,47005.8128,12455.98908946
1775665200,0.2647,0.2652,0.2653,0.2644,57174.4859,15144.80245082
1775665800,0.2652,0.2651,0.2658,0.2644,177226.93816533,46989.71865680552
1775666400,0.2651,0.2669,0.2672,0.265,127830.658,34035.827029520005
1775667000,0.267,0.2664,0.2675,0.2664,108445.18109999999,28933.67781865
1775667600,0.2663,0.268,0.2681,0.2663,54519.0793,14581.88106806
1775668200,0.2682,0.2674,0.269,0.2672,74543.7003,19962.52711697
1775668800,0.2673,0.2648,0.2675,0.2645,72195.9265,19173.66523903
1775669400,0.2649,0.2651,0.2662,0.2642,124829.4995,33083.19515308
1775670000,0.2651,0.2655,0.2658,0.2649,155818.5409,41348.565658
1775670600,0.2654,0.2654,0.2657,0.265,74746.7806,19835.03521569
1775671200,0.2657,0.2664,0.2671,0.2655,167217.6189,44546.00900351
1775671800,0.2663,0.2638,0.2669,0.2636,98784.3508,26253.07855705
1775672400,0.2637,0.2627,0.2639,0.2626,174963.16710000002,46064.100015970005
1775673000,0.263,0.262,0.2632,0.2617,106456.19380000001,27960.52881976
1775673600,0.2616,0.2607,0.2619,0.2604,15459.8908,4039.63031805
1775674200,0.2606,0.2591,0.2606,0.2591,2984.5200999999997,775.10844774
1775674800,0.259,0.2585,0.2596,0.2585,68218.4008,17646.43834637
1775675400,0.2585,0.259,0.2592,0.2585,47528.8854,12302.86370021
1775676000,0.2594,0.2585,0.2594,0.2582,54875.2998,14204.02953405
1775676600,0.2584,0.2589,0.259,0.2574,105801.6566,27341.801292969998
1775677200,0.2589,0.2593,0.2595,0.2586,58548.770399999994,15167.19977755
1775677800,0.2593,0.2592,0.2598,0.2589,50262.817800000004,13036.435524280001
1775678400,0.2594,0.2602,0.2605,0.2594,65662.6802,17088.31623559
1775679000,0.2603,0.2595,0.2603,0.2593,18773.3681,4874.41010474
1775679600,0.2592,0.2594,0.2597,0.2591,25321.6095,6567.54838404
1775680200,0.2593,0.2586,0.2597,0.2586,5362.1659,1389.21566583
1775680800,0.2589,0.2587,0.259,0.2587,2017.1571999999999,522.27131601
1775681400,0.2591,0.2598,0.2598,0.2591,11683.8197,3030.98293705
1775682000,0.2599,0.2611,0.2611,0.2599,10524.579,2742.1859796500003
1775682600,0.2611,0.2615,0.2622,0.261,44888.4615,11743.28784397
1775683200,0.2614,0.2619,0.2623,0.2611,59256.3001,15505.85023794
