time,open,close,high,low,volume,turnover
1690156800,1,2.1612,3.33,1,4943523.8157,11886449.00447375
1690243200,2.1601,2.2588,2.4565,1.8504,5273794.4081,11492599.2600196
1690329600,2.2564,2.2517,2.554,2.1447,5109486.8929,12091685.16170758
1690416000,2.2502,2.096,2.3178,2.0683,1921700.9646,4215118.52971003
1690502400,2.095,2.2187,2.2384,2.0441,1336321.8824,2883878.79539012
1690588800,2.218,2.3467,2.3792,2.1708,1399387.8033,3221741.71619867
1690675200,2.3464,2.29,2.4925,2.2246,1425984.22660936,3369082.655392974952
1690761600,2.2887,2.3163,2.3755,2.2415,1009752.0115,2325478.05270793
1690848000,2.3207,2.4284,2.4491,2.1966,1779368.9353717,4169018.97970631177
1690934400,2.4295,2.3601,2.5292,2.3041,1956987.9376,4729506.61522383
1691020800,2.3588,2.3263,2.3752,2.2526,844303.195,1949831.55908202
1691107200,2.3259,2.1723,2.3396,2.1466,853413.2959,1906458.7951387
1691193600,2.1755,2.1301,2.182,2.0851,542427.0314,1156073.78214155
1691280000,2.1319,2.0392,2.17,2.0093,853352.7662,1757947.73706096
1691366400,2.0406,2.0402,2.1085,2.0181,1629747.4487,3346298.97748257
1691452800,2.0415,1.9405,2.055,1.9064,1626620.1597,3174977.34471009
1691539200,1.9424,1.8357,1.9642,1.8078,1184018.0631,2245743.14496381
1691625600,1.8359,1.6804,1.8546,1.661,1705436.30487359,2973429.462254766802
1691712000,1.682,1.7468,1.7735,1.6497,1386631.08904654,2372559.74557534971
1691798400,1.7446,1.7577,1.8197,1.7249,974183.01,1722701.23931894
1691884800,1.7585,1.7696,1.8355,1.7585,934375.5852,1684230.82922526
1691971200,1.7683,1.7678,1.8181,1.7455,677796.6048,1214308.48366209
1692057600,1.7682,1.621,1.7935,1.5692,1045587.89817392,1773911.057850855616
1692144000,1.6191,1.523,1.6334,1.4811,1636746.0818,2558685.54726217
1692230400,1.5225,1.3687,1.544,1.1931,2004604.2011,2811592.73511547
1692316800,1.3668,1.5432,1.5852,1.3219,2569109.1594,3816645.04787332
1692403200,1.5426,1.4811,1.5447,1.4449,842888.0918,1248748.67861625
1692489600,1.4802,1.4691,1.5406,1.4616,753394.9875,1130656.20789267
1692576000,1.4681,1.4758,1.5302,1.4143,790645.1721,1165818.44460077
1692662400,1.4772,1.434,1.4995,1.3617,789739.0414,1140570.7349234
1692748800,1.4345,1.4071,1.4469,1.3342,843863.98706616,1174098.388699304264
1692835200,1.4075,1.4006,1.4729,1.3743,753912.7155,1074621.20316209
1692921600,1.4001,1.2697,1.4001,1.2422,1279256.4108,1665182.6396932
1693008000,1.269,1.2935,1.3255,1.2228,854477.9773,1084751.02673401
1693094400,1.2932,1.3122,1.3136,1.2659,763004.45838706,984778.579768659978
1693180800,1.3122,1.2088,1.3248,1.1939,1241381.2525,1544745.88215902
1693267200,1.2078,1.2967,1.3851,1.1104,3824044.8318,4703858.27986992
1693353600,1.2962,1.2222,1.333,1.2031,2096267.1222,2666339.40415095
1693440000,1.2247,1.1357,1.2772,1.1248,1767380.5406,2094105.52746889
1693526400,1.1353,1.1245,1.1493,1.0938,1956381.1284,2186519.69837898
1693612800,1.1251,1.1352,1.2141,1.1038,2330302.6702,2710559.87534311
1693699200,1.135,1.1302,1.1541,1.1016,799252.61489101,900431.315067427149
1693785600,1.1298,1.0483,1.1687,1.0235,1801783.271,1984950.74473093
1693872000,1.0483,1.0715,1.0979,1.0188,1528358.902,1610833.10766258
1693958400,1.0714,1.2906,1.3356,1.0523,4672998.17126347,5655056.591735911218
1694044800,1.2894,1.2292,1.3939,1.193,4748671.92168858,6138948.25497178164
1694131200,1.2288,1.1355,1.2533,1.1131,1829561.6051,2142014.32208282
1694217600,1.1363,1.1674,1.182,1.1206,1320458.69360705,1519902.119253347965
1694304000,1.1675,1.0927,1.1813,1.0567,1906070.229,2088082.85190273
1694390400,1.0928,1.0098,1.1095,0.9967,2347437.18356102,2476567.822794709344
1694476800,1.0101,1.0109,1.0637,0.9707,2577382.19615114,2610651.388146448666
1694563200,1.0113,1.0126,1.0422,0.9716,2926294.9733,2964996.75054704
1694649600,1.0127,1.0679,1.1172,0.9965,2235163.94796878,2347794.956074719238
1694736000,1.0686,1.3256,1.3746,1.0476,5412704.16151017,6588540.941438447418
1694822400,1.3262,1.5056,1.732,1.3124,8294153.59417305,12569355.315540952703
1694908800,1.5063,1.2639,1.5067,1.2279,3160399.59814319,4229287.874575323505
1694995200,1.2642,1.3528,1.4956,1.2323,3124660.00583178,4255899.006210227526
1695081600,1.3518,1.3766,1.4244,1.3151,1874291.30391144,2563983.91621875423
1695168000,1.3773,1.5595,1.5792,1.3541,3082774.11902298,4513218.430299575787
1695254400,1.5598,1.5095,1.6502,1.3773,2923995.63672143,4333127.711801452729
1695340800,1.51,1.603,1.6372,1.4543,2642150.53993079,4147016.481532077404
1695427200,1.6056,1.5092,1.6924,1.49,1909739.84586647,2995465.672249837208
1695513600,1.5082,1.6212,1.68,1.4925,1702303.66667034,2695334.304917369517
1695600000,1.6201,1.7215,1.7568,1.5725,2599402.31175202,4376157.616688251164
1695686400,1.7231,1.6926,1.7888,1.6359,1980514.49868477,3362747.889006337044
1695772800,1.6919,1.7972,1.8322,1.6709,1944027.63250066,3375857.688734656374
1695859200,1.797,1.7895,1.8996,1.7734,2269545.04418721,4164863.711552503317
1695945600,1.7912,1.7283,1.8497,1.6838,1689693.44930963,2982179.455694308496
1696032000,1.7287,1.6693,1.816,1.6576,1653412.21102303,2891418.287256886821
1696118400,1.6691,1.7796,1.8034,1.6642,18906640.4595142,33669772.054782855674
1696204800,1.7797,1.6416,1.8059,1.6081,835462.507,1412619.00272657
1696291200,1.6419,1.5327,1.6755,1.5223,821543.4242,1323936.00410769
1696377600,1.5342,1.5416,1.5616,1.4512,1152657.20375572,1751385.490405152984
1696464000,1.5422,1.5073,1.5884,1.4894,812795.55029283,1257886.135567020161
1696550400,1.5093,1.651,1.6878,1.5052,1145323.7445,1833261.50880949
1696636800,1.6523,1.5998,1.68,1.5853,848363.19640036,1387088.83955620913
1696723200,1.6032,1.5836,1.6342,1.5656,426325.39484877,680919.390072400118
1696809600,1.5838,1.5502,1.6045,1.483,606925.081,930594.90527737
1696896000,1.5501,1.5522,1.5698,1.5108,480250.8949,738672.37013972
1696982400,1.5529,1.6307,1.6571,1.5209,1069622.902,1703047.6713398
1697068800,1.6312,1.4625,1.6384,1.4461,988389.22549792,1491036.272007298263
1697155200,1.4626,1.4855,1.5078,1.4246,604046.66978401,886397.000551405097
1697241600,1.4863,1.4955,1.5161,1.4615,243204.84048949,361145.982868971523
1697328000,1.4958,1.5287,1.5453,1.4736,373210.5509,561421.26618196
1697414400,1.5281,1.6092,1.6955,1.5106,1023576.07511533,1635136.154643044679
1697500800,1.6103,1.6248,1.67,1.5851,639195.83736061,1040942.974363611244
1697587200,1.6252,1.4544,1.6417,1.453,762128.82288535,1181470.96047542503
1697673600,1.4551,1.4524,1.5092,1.4,878848.85828552,1282346.150661989504
1697760000,1.4525,1.5177,1.5718,1.435,869122.7127,1319996.00151868
1697846400,1.5181,1.6088,1.6617,1.4952,979542.7096,1532110.40231174
1697932800,1.6083,1.6325,1.7275,1.5671,1180187.5896,1924991.51815971
1698019200,1.6341,1.6528,1.6743,1.4814,1789839.51448493,2813628.065035005752
1698105600,1.6532,1.6782,1.8063,1.5903,2986839.3482,5049117.86915918
1698192000,1.6783,1.8044,1.8377,1.6567,1696156.53,2957022.91596473
1698278400,1.804,1.8541,1.9314,1.6849,1739875.7247,3126841.11312331
1698364800,1.8533,1.8747,1.949,1.7517,1559821.55898155,2889755.226778497264
1698451200,1.8747,1.8372,1.9556,1.8248,1289991.1126,2430765.2591935
1698537600,1.8374,1.7999,1.8695,1.7886,849974.922,1556246.75309444
1698624000,1.7999,1.8871,1.938,1.7999,1102508.5909,2070312.71310561
1698710400,1.8857,2.0324,2.049,1.867,1623458.87366575,3200093.9136880747
1698796800,2.0321,1.8855,2.0418,1.8379,1664500.19083048,3192627.690758719545
1698883200,1.8878,1.7503,1.9224,1.7036,1161551.58657816,2099746.151424557736
1698969600,1.7506,1.8552,1.8715,1.7022,890325.8023803,1597894.83657044893
1699056000,1.8552,1.869,1.9035,1.8393,590806.71301418,1104659.956037707574
1699142400,1.8689,1.8212,1.8923,1.7927,495291.8292,914224.95698601
1699228800,1.8219,1.821,1.869,1.7788,638664.4026,1156552.53142906
1699315200,1.8214,1.8416,1.8646,1.7395,931630.63700848,1678718.243128234416
1699401600,1.8437,1.8312,1.8593,1.7795,472631.8293,861185.11199669
1699488000,1.8308,1.7585,1.9132,1.5572,1462653.8533,2589981.07722245
1699574400,1.7593,1.961,1.9975,1.6734,1351558.8462,2421844.9301658
1699660800,1.9616,1.9364,2.0939,1.8913,2264478.1062,4538275.44789321
1699747200,1.9373,1.948,1.9832,1.8411,1124804.7878,2164617.8279456
1699833600,1.947,2.3073,2.6135,1.8755,6198409.22901523,14472256.133687924564
1699920000,2.308,2.3026,2.3361,2.1123,3258783.62801888,7219716.249372682715
1700006400,2.3013,2.3584,2.4505,2.2752,2009760.09872508,4762484.935836940824
1700092800,2.3583,2.1834,2.5276,2.1444,2190733.60038447,5118571.392584339685
1700179200,2.1813,1.9944,2.2579,1.8682,3045453.02112169,6102268.645085209023
1700265600,1.9946,2.0581,2.1188,1.8193,2220679.49300458,4337223.841762472094
1700352000,2.0581,2.4143,2.5885,2.0009,4884152.25956267,11489455.51175824123
1700438400,2.4185,2.1979,2.799,2.1665,4454482.45864078,10624236.426479372296
