time,open,close,high,low,volume,turnover
1760572800,0.9333,0.9275,0.9459,0.9194,306696.9027,286052.39534587
1760594400,0.9278,0.955,0.9571,0.9043,260806.1711,242895.01686443
1760616000,0.9539,0.9124,0.9605,0.8937,300868.219,277180.61585331
1760637600,0.9132,0.8999,0.9165,0.885,393265.9245,353730.43008479
1760659200,0.9005,0.8909,0.9108,0.8883,117001.9113,105079.90690069
1760680800,0.8909,0.8632,0.8958,0.8217,681335.2457,577911.21247392
1760702400,0.8625,0.8804,0.8865,0.8454,403764.7311,349280.53525505
1760724000,0.8803,0.8722,0.8867,0.8675,126380.6554,110806.18560827
1760745600,0.8718,0.8866,0.8867,0.8697,143708.8288,126407.84158482
1760767200,0.8868,0.8916,0.9,0.8792,201359.8909,179535.73110985
1760788800,0.8909,0.8899,0.8936,0.8744,118771.6946,104793.04504161
1760810400,0.8904,0.8863,0.8967,0.8842,178100.4292,158390.45408827
1760832000,0.8858,0.879,0.8891,0.877,122868.2984,108510.29677672
1760853600,0.8785,0.8987,0.9091,0.8705,536316.77831426,479854.901557928903
1760875200,0.8985,0.9201,0.9325,0.8946,599087.1789,550920.18987255
1760896800,0.9212,0.9121,0.9279,0.911,306827.9816,282007.36717434
1760918400,0.912,0.933,0.934,0.8911,237286.412,216382.77023559
1760940000,0.9326,0.9282,0.9389,0.9233,338229.8278,314628.63328956
1760961600,0.9282,0.9177,0.9428,0.9014,452276.9184,417452.76486846
1760983200,0.9179,0.9177,0.9296,0.9141,232210.8026,213611.98516562
1761004800,0.9171,0.8855,0.9176,0.88,376451.8273,337995.33549061
1761026400,0.8851,0.8939,0.8962,0.8789,98170.2305,87015.94577649
1761048000,0.8928,0.9347,0.9673,0.8916,846635.61450081,798770.621689215605
1761069600,0.935,0.8863,0.9455,0.8863,335695.9364,311039.14403327
1761091200,0.8873,0.8835,0.8966,0.8756,272618.7943,241717.35689086
1761112800,0.883,0.8713,0.8849,0.8576,288590.43339899,252362.627788570694
1761134400,0.8709,0.8592,0.8875,0.8569,162163.6176,141558.82738696
1761156000,0.859,0.8444,0.8654,0.8101,460669.9582,385265.26615038
1761177600,0.8447,0.8438,0.8583,0.8398,158127.5141,133802.02447302
1761199200,0.8437,0.8532,0.87,0.8413,177572.4308,152638.82878093
1761220800,0.8525,0.8623,0.865,0.8433,222179.88455421,189789.576333381603
1761242400,0.8632,0.8638,0.8646,0.8427,186110.4219,158640.95934166
1761264000,0.8647,0.8804,0.8833,0.8567,81823.7601,70817.22099136
1761285600,0.8805,0.8782,0.8871,0.8695,99640.9528,87806.78687479
1761307200,0.8792,0.8681,0.8975,0.8529,195366.4231,171347.25119774
1761328800,0.8687,0.8967,0.9106,0.8687,543612.2713,486383.99959252
1761350400,0.8934,0.8787,0.8934,0.8768,167136.0311,147980.71169454
1761372000,0.8792,0.8745,0.8816,0.8716,88392.8733,77400.04773882
1761393600,0.8744,0.8847,0.8874,0.8726,96528.95714233,85046.46118048807
1761415200,0.8831,0.8956,0.9013,0.8824,105540.3302,94488.6472442
1761436800,0.8938,0.8945,0.9006,0.8791,155688.0297,138707.74626603
1761458400,0.8945,0.9378,0.9422,0.8931,278856.3618,254204.10269959
1761480000,0.9372,0.9405,0.9507,0.9272,526878.7952,494118.49652113
1761501600,0.9409,0.9492,0.9646,0.9288,414473.8767,391578.0209037
1761523200,0.9495,0.9473,0.9592,0.9438,127357.0612,121061.39717736
1761544800,0.948,0.9289,0.9532,0.9198,221455.7231,206781.36315272
1761566400,0.9291,0.9312,0.9343,0.9125,118259.3254,108998.63531128
1761588000,0.9307,0.9044,0.9344,0.8975,261048.5522,238678.51849924
1761609600,0.9039,0.8908,0.9066,0.8896,117653.9782,105713.67500497
1761631200,0.8907,0.9035,0.911,0.8897,160827.0345,145036.16959882
1761652800,0.9038,0.9037,0.9245,0.882,248035.81653356,224428.359585744996
1761674400,0.9034,0.8695,0.9069,0.8523,308531.0926,268965.78483416
1761696000,0.8695,0.8683,0.8726,0.8629,90907.9538,78827.17330815
1761717600,0.8681,0.8812,0.8827,0.8654,110838.0869,96813.29509832
1761739200,0.8806,0.8958,0.8958,0.8587,279272.9594,243603.19423377
1761760800,0.896,0.8607,0.8966,0.8379,650459.6264,565776.92713704
1761782400,0.8603,0.8496,0.8716,0.8258,186032.0486,158574.93827315
1761804000,0.8499,0.8311,0.8583,0.8301,107192.5373,90362.19239109
1761825600,0.8315,0.7823,0.8329,0.7689,405801.0586,324684.85854888
1761847200,0.7817,0.7977,0.8002,0.7665,291334.1187568,227921.540527504
1761868800,0.798,0.8099,0.8174,0.7956,275684.8067,223599.76351981
1761890400,0.8103,0.8094,0.8113,0.7948,395854.569,318205.83649134
1761912000,0.8093,0.7887,0.8147,0.7799,311597.6178,249209.14810892
1761933600,0.7902,0.7993,0.8105,0.7883,264332.5501,212047.67687182
1761955200,0.7996,0.8084,0.8154,0.7929,181836.1895,146571.24474059
1761976800,0.8095,0.8664,0.8975,0.8067,1170296.2439,1013454.99089835
1761998400,0.867,0.8758,0.8881,0.8544,380998.3376,332681.94468924
1762020000,0.8762,0.8728,0.8853,0.867,262495.5017,229733.44544043
1762041600,0.8726,0.8649,0.8737,0.8479,173818.25177617,148970.641167555904
1762063200,0.8635,0.856,0.8647,0.8413,202917.7454,173722.84589437
1762084800,0.8563,0.8331,0.8564,0.8219,538503.0952,451872.84797186
1762106400,0.8331,0.8417,0.8456,0.8214,176866.2759,147222.35644989
1762128000,0.8418,0.7911,0.8446,0.7808,355794.4451,288203.307241
1762149600,0.7908,0.7856,0.7992,0.7761,314158.9054,247446.75838018
1762171200,0.7859,0.7505,0.793,0.7015,1398987.0585,1042756.34361565
1762192800,0.7508,0.7277,0.7508,0.7133,429498.0609,313505.70078072
1762214400,0.7279,0.7004,0.739,0.6978,322420.4167,232682.37434647
1762236000,0.6998,0.7179,0.7287,0.6996,310422.087,221493.72984297
1762257600,0.717,0.7009,0.7259,0.6797,398456.0566,281750.19989281
1762279200,0.7009,0.7039,0.7104,0.6528,548078.5489,373307.99321264
1762300800,0.7038,0.7194,0.7207,0.6679,331375.2455,233240.94042155
1762322400,0.7194,0.7175,0.7208,0.7031,166890.1362,119387.36974163
