time,open,close,high,low,volume,turnover
1775873400,0.0806,0.0808,0.0808,0.0806,82715.26000000001,6675.74833
1775874000,0.0809,0.0807,0.0809,0.0806,243076.84999999998,19638.952131000002
1775874600,0.0808,0.0808,0.081,0.0807,132445.86,10707.752328
1775875200,0.0808,0.0805,0.0808,0.0805,131222.48,10576.787281
1775875800,0.0805,0.0809,0.0811,0.0805,194920.62,15765.320500999998
1775876400,0.081,0.0809,0.081,0.0808,69478.45,5618.706787
1775877000,0.0809,0.0806,0.0809,0.0806,125761.67,10162.884095000001
1775877600,0.0806,0.0808,0.0809,0.0806,124368.69,10045.592577
1775878200,0.0808,0.0807,0.0809,0.0806,118971.77,9608.810819999999
1775878800,0.0808,0.0808,0.0808,0.0807,79913.07,6454.005989
1775879400,0.0807,0.0798,0.0807,0.0797,332227.56,26632.013863
1775880000,0.0798,0.0804,0.0804,0.0798,122913.92000000001,9847.085852
1775880600,0.0804,0.0801,0.0804,0.0799,219341.31,17565.856994
1775881200,0.0801,0.0803,0.0803,0.08,92428.59,7408.805732
1775881800,0.0803,0.0802,0.0803,0.08,80227.0,6428.2598610000005
1775882400,0.0802,0.08,0.0802,0.08,61166.31,4904.269342
1775883000,0.08,0.0801,0.0802,0.08,78532.34,6290.491212999999
1775883600,0.0801,0.08,0.0802,0.08,23230.44,1862.240675
1775884200,0.08,0.0803,0.0803,0.0799,118398.1,9483.594355
1775884800,0.0802,0.0805,0.0805,0.0802,193324.95,15535.872800000001
1775885400,0.0805,0.0801,0.0805,0.0799,309101.97000000003,24815.670647
1775886000,0.0801,0.0792,0.0801,0.0788,345713.26,27510.607038
1775886600,0.0792,0.0794,0.0794,0.0786,580477.13,45873.112855
1775887200,0.0795,0.0795,0.0796,0.0793,164551.75,13069.550352
1775887800,0.0795,0.0788,0.0795,0.0784,292977.01,23145.898289
1775888400,0.0787,0.0785,0.0789,0.0784,311590.29000000004,24493.046949000003
1775889000,0.0784,0.0785,0.0787,0.0784,159048.47,12496.873330999999
1775889600,0.0784,0.0785,0.0787,0.0782,191908.77000000002,15060.021886999999
1775890200,0.0785,0.0785,0.0786,0.0784,209872.86,16472.051088
1775890800,0.0785,0.0777,0.0785,0.0775,524955.52,40961.49803
1775891400,0.0778,0.0778,0.0783,0.0778,327181.4,25516.27951
1775892000,0.0781,0.0779,0.0781,0.0778,200348.76,15613.958315
1775892600,0.0779,0.078,0.0781,0.0778,213408.16,16638.715723
1775893200,0.078,0.0777,0.078,0.0773,548840.47,42608.207638
1775893800,0.0776,0.0776,0.0777,0.0768,388399.83999999997,30061.677862999997
1775894400,0.0777,0.078,0.0781,0.0776,141811.71,11040.398186999999
1775895000,0.078,0.078,0.0785,0.078,380547.39,29756.877167000002
1775895600,0.0781,0.0784,0.0785,0.0781,200204.12,15692.29807
1775896200,0.0785,0.0787,0.0789,0.0784,339263.22,26672.454421
1775896800,0.0787,0.0789,0.0791,0.0787,97068.56,7653.666435
1775897400,0.0788,0.0786,0.0788,0.0785,185437.12,14582.109219000002
1775898000,0.0786,0.0792,0.0792,0.0786,137309.19,10837.39458
1775898600,0.0793,0.0792,0.0794,0.079,151233.9,11983.561280000002
1775899200,0.0793,0.079,0.0794,0.0788,79726.75,6305.8509460000005
1775899800,0.079,0.0786,0.079,0.0786,193557.13999999998,15251.080709999998
1775900400,0.0786,0.0783,0.0786,0.0782,156839.87,12287.643639
1775901000,0.0783,0.0788,0.0789,0.0783,186461.16999999998,14656.333911
