time,open,close,high,low,volume,turnover
1756684800,0.25,0.2334,1.1642,0.2077,82719592.63,23265362.182279
1756771200,0.2334,0.2267,0.2596,0.2156,129838317.09,30293643.570879
1756857600,0.2272,0.2176,0.2345,0.21,55005495.58,12187051.656066
1756944000,0.2172,0.1867,0.2185,0.1614,147339379.46,27030765.754714
1757030400,0.1866,0.181,0.1928,0.1737,51418397.28,9468161.131838
1757116800,0.1809,0.2158,0.2189,0.1803,63591539.59,12849129.810675
1757203200,0.2162,0.2249,0.2447,0.2146,55123397.41,12684604.12908
1757289600,0.2252,0.2112,0.233,0.2019,46545419.49,9909667.062009
1757376000,0.2112,0.2004,0.2233,0.1912,31369836.82,6462274.381902
1757462400,0.2007,0.2021,0.2125,0.1954,24598815.69,4997965.037957
1757548800,0.2019,0.1998,0.2057,0.1857,22287880.04,4410758.266568
1757635200,0.1998,0.2071,0.2124,0.194,16713368.31,3412714.814828
1757721600,0.2072,0.2253,0.226,0.2023,21497779.26,4570377.988808
1757808000,0.2254,0.2105,0.2403,0.2054,42464862.91,9454319.921714
1757894400,0.2105,0.2167,0.2228,0.2038,25802236.75,5542193.805511
1757980800,0.2168,0.224,0.2259,0.2132,15631277.67,3449559.053934
1758067200,0.2239,0.2206,0.2247,0.2072,13728108.84,2989069.417559
1758153600,0.2206,0.22,0.2259,0.2178,9790858.19,2168737.292832
1758240000,0.22,0.2232,0.2378,0.2136,25749183.41,5827888.224347
1758326400,0.2233,0.2245,0.2276,0.2174,9587419.16,2131949.168748
1758412800,0.2247,0.2434,0.2564,0.2242,26360866.46,6371647.725309
1758499200,0.2434,0.2122,0.2451,0.2018,23881709.48,5190279.303434
1758585600,0.2121,0.1969,0.2141,0.1928,18471937.97,3717007.532465
1758672000,0.1969,0.1978,0.2058,0.191,9833552.54,1971341.576647
1758758400,0.1977,0.1921,0.2045,0.1815,19369219.84,3801096.869997
1758844800,0.1923,0.2101,0.2151,0.1898,10868242.47,2197116.069945
1758931200,0.2103,0.2064,0.2115,0.2024,7127891.73,1478293.227597
1759017600,0.2068,0.2208,0.2226,0.2032,9255807.72422806,1969646.514154080302
